UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
요루쿠,@Blin_koo,2021-08-28T10:13:06.000Z,"요루쿠
@Blin_koo
·
Aug 28","드디어 내 포카들에게도 집이 생겼다!
#채영아_눈물나는맛이야 
조개구이 먹으니까 바다가 너무 가고 싶어졌어
진짜 맛있더라
1",😢 🤤,,,1,"['https://pbs.twimg.com/media/E93snB_VIAM4WJX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E93soFWUYAQSjd_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E93spI9VUAIlH3f?format=jpg&name=360x360']",https://twitter.com/Blin_koo/status/1431560463783907335
진짜루,@realllastkpop,2021-08-19T02:53:26.000Z,"진짜루
@realllastkpop
·
Aug 18","아
이슨준 몇년 전부터 조개구이 먹으러가고싶다고 계속 그랬는데
그거 연하랑 먹으러간거
...진짜에바갓다
3
3",,,3,3,['https://pbs.twimg.com/media/E9Hxt1BVcAAGnuq?format=jpg&name=small'],https://twitter.com/realllastkpop/status/1428188328239583242
BenTe_230,@love_yongdusan,2021-08-21T14:56:55.000Z,"BenTe_230
@love_yongdusan
·
Aug 21","그리고 두식이는... 하 얘는 진짜 
조개구이 무전취식할 때 그 날티 나던 분위기 하나도 없네 이제... 개섹시 ㅜㅠ
4",,,,4,[],https://twitter.com/love_yongdusan/status/1429095175842795523
김민경,@aSdgQg44MZdlfzX,2021-08-06T05:42:19.000Z,"김민경
@aSdgQg44MZdlfzX
·
Aug 5",New post (포항조개구이 진짜 추천 이것도 알아보자) has been published on 정보마스터 - http://telrb.xyz/%ed%8f%ac%ed%95%ad%ec%a1%b0%ea%b0%9c%ea%b5%ac%ec%9d%b4-%ec%a7%84%ec%a7%9c-%ec%b6%94%ec%b2%9c-%ec%9d%b4%ea%b2%83%eb%8f%84-%ec%95%8c%ec%95%84%eb%b3%b4%ec%9e%90/…,,,,,['https://pbs.twimg.com/media/E8Fbsz9VkAIa-jn?format=jpg&name=small'],https://twitter.com/aSdgQg44MZdlfzX/status/1423519784952467456
,@xx_729,2021-08-10T11:41:07.000Z,"@xx_729
·
Aug 10","이게 다 코로롱 때문이다 진짜ㅡㅡ 조개구이 먹게해줘
3",😙,,,3,[],https://twitter.com/xx_729/status/1425059632960077828
따르 (접률 낮),@follow_my_M____,2021-08-12T14:50:47.000Z,"따르 (접률 낮)
@follow_my_M____
·
Aug 12","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 진짜 캐해석 최종판,,, 녈 조개구이 맛있게 먹는 방법 알려줄 st,,
닷새
@5__days__
 · Aug 12
컨뉴가 바닷가쪽 도로 거닐다가 해변에 있는 조개나 이런거 관심보이고 가서 몇개 주우면 매녈 야아.. 쓰레빠에 모래들어간다; 하면서도 같이 모래사장쪽으로 걸어는 줌
Show this thread
1",,,,1,['https://pbs.twimg.com/profile_images/1431263717275013121/1-43Svu9_mini.jpg'],https://twitter.com/follow_my_M____/status/1425832138700509200
은라,@eunla__o_x,2021-08-27T15:56:03.000Z,"은라
@eunla__o_x
·
Aug 27","식단 조절 그만하고 싶어요 하루만 더 참으면 되긴 한데 진짜 곱창 마라탕 초밥 삼겹살 국밥 먹태 노가리 육회 알탕 물총탕 조개탕 조개구이 너무 먹고싶어요 술은 기본 옵션
1
1",,1,,1,['https://pbs.twimg.com/media/E9zxjzUVUAEJmbe?format=jpg&name=small'],https://twitter.com/eunla__o_x/status/1431284380777938944
밍구리앞자리,@MINJU_CHAE_WON,2021-08-21T14:15:29.000Z,"밍구리앞자리
@MINJU_CHAE_WON
·
Aug 21","가리비 구이 진짜 좋아하는데...
2021년부터 조개구이 짱좋아졌어 가리비만 좋아하지만...ㅠㅠ 
야끼소바 맛있겠다! 얼마전에 안그래도 타코야끼 먹고싶어서 사러갔었는데
헐 도시락 짱맛있는데 내일 불족도시락
시켜먹어야겠네! 화이팅 히짱!!
#ひいめーる",,,,,[],https://twitter.com/MINJU_CHAE_WON/status/1429084747481813000
,@7_dhkdn,2021-08-08T10:23:52.000Z,"@7_dhkdn
·
Aug 8"," 당신이 최애를만나면
──────────────────
조개구이님은응 못만나
https://gaeyou.com/t/?260099

아니진짜저도알거든요",😙 🐥,,,,[],https://twitter.com/7_dhkdn/status/1424315415103115273
김허니가된 삐약…,@rlaqldirrpdhfa,2021-08-19T15:52:05.000Z,"김허니가된 삐약…
@rlaqldirrpdhfa
·
Aug 19","나..
많이먹는건 진짜 많이먹음
그게 대체로 새우나 장어 조개구이 막 이런거
몸통 비틀면 위 눌려서 토할것같을때까지 먹을수 잇음…(이러면안되긴함.)
고기나 라면 이런건 딱 1인분만 먹고…
나는쳐6 정도 되지않늘까 ?? ㅜ
1",,,,1,[],https://twitter.com/rlaqldirrpdhfa/status/1428384283505270785
