UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
엘리,@_hiraka_,2021-08-14T08:53:07.000Z,"엘리
@_hiraka_
·
8월 14일","길고 길었던 1박2일 끝에 다시 서울. 나 좀 살려죠라 빙수야.
3
4
66",,3,4,66,['https://pbs.twimg.com/media/E8vUE6nVgAAoAA4?format=jpg&name=small'],https://twitter.com/_hiraka_/status/1426466903824896007
(반동결)향조,@Aromajo_bjd,2021-08-21T02:16:46.000Z,"(반동결)향조
@Aromajo_bjd
·
8월 21일","빙수야
5",,,,5,['https://pbs.twimg.com/media/E9R8gGdUUAEmNrX?format=jpg&name=small'],https://twitter.com/Aromajo_bjd/status/1428903876141359106
곡도명,@0425_yoo,2021-08-11T04:40:34.000Z,"곡도명
@0425_yoo
·
8월 11일","하 빙수야 사랑해 너무나 만죡스럽..
14",,,,14,['https://pbs.twimg.com/media/E8e9g9JUYAQhmHZ?format=jpg&name=small'],https://twitter.com/0425_yoo/status/1425316184505810945
참새상회,@Jjaek_store,2021-08-22T04:54:15.000Z,"참새상회
@Jjaek_store
·
8월 22일","빙수야~~.
6",🍧,,,6,['https://pbs.twimg.com/media/E9XqIQ4VkAIs-bq?format=jpg&name=small'],https://twitter.com/Jjaek_store/status/1429305896325111810
보검햇살,@TT_vikto,2021-08-10T11:14:53.000Z,"보검햇살
@TT_vikto
·
8월 10일","#오늘은보거미데뷔십주년
빙수야팥빙수야녹지마녹지마
보검아보검아빨리빨리와
14
22",,,14,22,['https://pbs.twimg.com/media/E8bOLB6VIAAYUQ0?format=jpg&name=small'],https://twitter.com/TT_vikto/status/1425053029284282373
보살,@bosal_cm_,2021-08-18T09:19:31.000Z,"보살
@bosal_cm_
·
8월 18일","내 아기 인절미 커피 콩떡빙수야
3",,,,3,['https://pbs.twimg.com/media/E9EAfc9UYAUgK6a?format=jpg&name=small'],https://twitter.com/bosal_cm_/status/1427923099316408328
Asian Murder Hornet,@chobagg1978,2021-08-24T02:41:24.000Z,"Asian Murder Hornet
@chobagg1978
·
8월 24일","빙수야 팥빙수야!!!
사랑해...사랑해!!!!
팥빙수(윤종신) 뮤직비디오 가마초등학교
youtube.com
2",,,,2,['https://pbs.twimg.com/card_img/1441657064242040841/_XBFRFZb?format=jpg&name=240x240'],https://twitter.com/chobagg1978/status/1429997237921193990
세히잉빙,@seribing,2021-08-05T06:55:13.000Z,"세히잉빙
@seribing
·
8월 5일","제주산 애플망고로 만든 빙수야…맛있어… 한 입이라도 먹어줘…. 흑흑

#佐藤心
2
1",,,2,1,['https://pbs.twimg.com/media/E8AiylpVUAA3xmO?format=jpg&name=small'],https://twitter.com/seribing/status/1423175746126712837
원바가 원바함 바잇,@IM_viter,2021-08-20T08:45:48.000Z,"원바가 원바함 바잇
@IM_viter
·
8월 20일","츄리빙수
스포키빙수
하몽빙수
야코빙수
3
5",,,3,5,['https://pbs.twimg.com/media/E9OL80qUUAABse7?format=jpg&name=large'],https://twitter.com/IM_viter/status/1428639390805356552
"연두 ,",@mu_ffinnnn,2021-08-08T14:27:15.000Z,"연두 ,
@mu_ffinnnn
·
8월 8일","빙수야!!!!!!!!! 인절미빙수야!!!!!!!!
녹지마!!!!!!!!!! 녹지마!!!!!!!!!!!!!!!!!!!!!!
1
6",,,1,6,[],https://twitter.com/mu_ffinnnn/status/1424376665409396739
