UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
may,@C0Co55,2021-08-10T09:11:12.000Z,"may
@C0Co55
·
8월 10일","트위스테 굿즈 판매합니다.

- 릴리아 [비행술 아크릴+메탈카드+캔뱃지] 일괄 1.0
- 케이터 / 쟈밀 / 루크 / 릴리아 허그코트 각 0.45

* 운미포 가격입니다.
* cu끼리택배, gs반값택배, 우체국 이용해요
3
3
2",😈 😈 😇,3,3,2,"['https://pbs.twimg.com/media/E8aw2lIVkAAH7ax?format=png&name=360x360', 'https://pbs.twimg.com/media/E8aw2lgVgAIgBH4?format=png&name=small']",https://twitter.com/C0Co55/status/1425021906894262275
반 1일 1연성하는(?) 읻주케는 세계 최강 메이저 양심이의 짱귀요미 맹돌밍,,2021-08-03T12:39:25.000Z,"반 1일 1연성하는(?) 읻주케는 세계 최강 메이저 양심이의 짱귀요미 맹돌밍
·
8월 3일","마법사만 죽도록 돌리고 비행술 안돌렸어... 나도 케군 그루비... 저 저 요망한 얼굴을 봐요 저 팔뚝을 봐 우리애가 팔뚝 노출을 했다고
5",❄,,,5,"['https://pbs.twimg.com/media/E73eZYpUcAoWFDY?format=jpg&name=small', 'https://pbs.twimg.com/media/E73eZhkVUAMr25F?format=jpg&name=360x360']",https://twitter.com/maeng_d_Ming/status/1422537589614006276
˙Ⱉ˙,@itsadeeal,2021-08-14T16:23:01.000Z,"˙Ⱉ˙
@itsadeeal
·
8월 15일","트위스테 트레이 클로버 
비행술 아크릴 스탠드, LD 기숙사복/교복 아크릴 스탠드, SD 교복 아크릴 스탠드, SD 식전복 캔뱃지, 쿠너츠
일괄 반택포 4.8에 판매합니다!
2
19",,2,19,,['https://pbs.twimg.com/media/E8w7EMdVIAAl8ys?format=jpg&name=small'],https://twitter.com/itsadeeal/status/1426580129015230465
초로,@ch_cr_mn,2021-08-04T16:38:39.000Z,"초로
@ch_cr_mn
·
8월 5일","오 너무 좋다 병동 간호사 찭히랑 비행술 교수 제혅이
맨날 병동 찾아오는 이제혅한테
학생들은 땅바닥에 붙어있고 본인만 날아다니냐고 뭐라하는 최찭히
이제혅 다칠 실력 아니면서 괜히 최찭히 보려고 조금씩 긁혀 오는...
2",,,,2,['https://pbs.twimg.com/media/E79evjnUUAEkm7m?format=jpg&name=small'],https://twitter.com/ch_cr_mn/status/1422960181923639298
대한민국 산림청,@forest_news,2021-08-23T04:16:32.000Z,"대한민국 산림청
@forest_news
·
8월 23일","#산림항공본부 #산림드론경진대회

산림항공본부가 개청 50주년을 맞이하여
산림드론 경진대회를 진행합니다!

드론으로 만나보는 축하비행과 드론비행술 등
멋진 드론 비행을 페이스북에서 실시간 영상으로 확인해보세요!

일시 : 2021.9.1.(수) 9:00 ~ 16:30
http://facebook.com/KFAHwow
4
7",🚁 👏 👏 👏 👀 📍 📍,,4,7,['https://pbs.twimg.com/media/E9crE3vVkAMAYX6?format=jpg&name=900x900'],https://twitter.com/forest_news/status/1429658792891805699
곽두팔제 Official,@lobster_GAME,2021-08-14T10:25:29.000Z,"곽두팔제 Official
@lobster_GAME
·
8월 14일","해질ㄹ때 비행술 하는 1학년들
1",,,,1,['https://pbs.twimg.com/media/E8vpOcSVgAMXEg_?format=jpg&name=small'],https://twitter.com/lobster_GAME/status/1426490152222826498
빈어 스님,@your_venus,2021-08-10T14:40:53.000Z,"빈어 스님
@your_venus
·
8월 10일","축지법과 비행술
5",,,,5,[],https://twitter.com/your_venus/status/1425104874199527434
🅲🅷🅸🅲🅷🅸,@ChiChi_twst,2021-08-05T11:38:09.000Z,"🅲🅷🅸🅲🅷🅸
@ChiChi_twst
·
8월 5일","낮잠자는 ...
낮에 자면 밤에 잘 못 잔다고 어렸을 때 부터 생각해와서 낮잠을 되도록이면 안 자려고 노력하는데, 5교시 트레인 선생님 수업이라던가... 비행술 수업 중 잠깐 그늘에 앉았는데 불어오는 바람이라던가... 모든 것이 잠을 솔솔 오게 하는지라 맥없이 깜빡깜빡 졸곤 한다.
1
17",🍑,1,,17,[],https://twitter.com/ChiChi_twst/status/1423246946467127297
,@Mynahan_RIM,2021-08-09T11:28:26.000Z,"
@Mynahan_RIM
·
8월 9일","제의로도 보고싶다………..손을잡고 이끌어주면서 비행술 가르쳐주는 거……..
노전
@DJ_cc0
 · 8월 9일
나쁜 상상...히..히히, ... 리노세론 해치우고 신록쌤 살아있나 확인하려던 까마귀 수인 조의신 보고 피떡이 된 후예가 시체인 줄 알고 온 줄 알고 찍쩝대는 거라 착각한 황호가 본보기로 날개 부러뜨렸다가 후에 아닌 거 알고 사과하기... 근데 이미 뼈가 잘못 붙어서 날지 못하게 된 조의신...히히히
2
17",🌿,2,,17,['https://pbs.twimg.com/profile_images/1385046278678081536/UN6DsZg2_mini.jpg'],https://twitter.com/Mynahan_RIM/status/1424694051442368522
샤타바,@shatava_,2021-08-24T07:27:42.000Z,"샤타바
@shatava_
·
8월 24일","빌 셴하이트 의외의 약점 있으면 좋겠다.→영화에서 이블 퀸 번개 치는 날에 죽었지.→천둥번개 일으키는 말레우스를 방위마법으로 막음.→영화에서 절벽에서 떨어져 죽었지.→비행술…제법 하잖아….→원전에서 불에 달군 구두….→애초에 핀 힐 신고 다니고 하이힐 신겨지는 카드 있음.→이 남자….
4
24",,,4,24,[],https://twitter.com/shatava_/status/1430069290682646531
