UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
오댕이,@odengpassingby,2021-08-29T14:26:00.000Z,"오댕이
@odengpassingby
·
8월 29일","아진짜웃기네..
내남자의남자..한국와서 양양등불가든 불고기먹음 근데이제 손닦으라고준 물수건을 무릎위에곱게펼치고
5
106
480",,5,106,480,"['https://pbs.twimg.com/media/E99wHyqVEAMb4vh?format=jpg&name=small', 'https://pbs.twimg.com/media/E99wILvUYAo6Cbw?format=jpg&name=360x360']",https://twitter.com/odengpassingby/status/1431986495406030861
_COZY_,@hoi_cheol,2021-08-28T08:59:27.000Z,"_COZY_
@hoi_cheol
·
8월 28일","#가든쿠키_트친소

렏북은 끝이났고
경죵은 곧 시작인데
가든쿠키 좋아하신 분들 
언제든지 맘눌러주시면
무멘팔 조용히 찾아갈게요
9
5",😭 😃 ☺ ☺,,9,5,['https://pbs.twimg.com/media/E93ZOR6VgAQg-x1?format=jpg&name=small'],https://twitter.com/hoi_cheol/status/1431541928542162949
미야와키채연,@IZONE_Kkuchaen,2021-08-28T05:33:18.000Z,"미야와키채연
@IZONE_Kkuchaen
·
8월 28일","원영이가 간 카페 미미미가든이구나
78
140",🧸 🥰,,78,140,"['https://pbs.twimg.com/media/E92smdsVcAE6t22?format=jpg&name=small', 'https://pbs.twimg.com/media/E92snJYVQAQn3Od?format=jpg&name=small']",https://twitter.com/IZONE_Kkuchaen/status/1431490048566857732
이도,@dbdlr33,2021-08-27T05:31:43.000Z,"이도
@dbdlr33
·
8월 27일","가든
5
16",🌸,,5,16,"['https://pbs.twimg.com/media/E9xiqSlVUAAhxtb?format=jpg&name=small', 'https://pbs.twimg.com/media/E9xiqSmVgAEy3IU?format=jpg&name=small']",https://twitter.com/dbdlr33/status/1431127265484546049
빵동꾸룩,@unoocat,2021-08-30T16:11:02.000Z,"빵동꾸룩
@unoocat
·
8월 31일","내가 어딜가든 쫓아다님..
5
42",,,5,42,"['https://pbs.twimg.com/media/E-DRwK5VQAMDlzf?format=jpg&name=small', 'https://pbs.twimg.com/media/E-DRwK4VQAEYMmf?format=jpg&name=small']",https://twitter.com/unoocat/status/1432375317704986624
감 자,@Prefer_Potato,2021-08-28T13:37:45.000Z,"감 자
@Prefer_Potato
·
8월 28일","근데 갯차 OST 이거 카더가든님 목소리 아닌가 ..?
1
21
53",,1,21,53,['https://pbs.twimg.com/ext_tw_video_thumb/1431611677825384450/pu/img/n1wX-9AfWmy1XaHb.jpg'],https://twitter.com/Prefer_Potato/status/1431611964929626119
도세글자,@tool_rain,2021-08-28T08:44:33.000Z,"도세글자
@tool_rain
·
8월 28일","와 토니스타크 
시크릿 가든 나온적 있는거 아님?

이 스파이더보이가 나한텐 캡틴 아메리카고 아이언맨입니다
GIF
1
30
74",,1,30,74,['https://pbs.twimg.com/tweet_video_thumb/E93YX9uVcAgd5bv.jpg'],https://twitter.com/tool_rain/status/1431538181065691138
한별✪hanbyeol,@smseok1028,2021-08-29T05:58:03.000Z,"한별✪hanbyeol
@smseok1028
·
8월 29일","이런 열차가 좀 필요함
-량수 마음대로 조절 가능
-내장재만 바꾸면 새마을 같은 특급에 사용 가능
-운전대가 양방향이라 자유롭게 운행가능
-디젤이라 어딜가든 상관없음
1
12",,1,,12,['https://pbs.twimg.com/media/E9773n7VEAQFCPW?format=jpg&name=small'],https://twitter.com/smseok1028/status/1431858667557588993
조약돌,@uforabbits,2021-08-28T18:13:07.000Z,"조약돌
@uforabbits
·
8월 29일","내가 틧터를 오랜안에 들어와서 누가 떠났고, 누가 계옮했고, 누가 닉 바꿨는지 나는.... 저는 모르게쒀..... 제발 나를 데려가줘 어딜가든... 부탁입니댜.... 제가 미안합니다.... 젭ㅇ알... 다들 나랑 평생 조절 같이 하기로 했잖아요... 고작 일년 좀 동결했다고 강산이 변할 줄 누가 알았겠어
GIF
5
5
18",,5,5,18,['https://pbs.twimg.com/tweet_video_thumb/E95aepvVUAA8oyu.jpg'],https://twitter.com/uforabbits/status/1431681262649950208
무무,@mumujjan,2021-08-30T10:06:18.000Z,"무무
@mumujjan
·
8월 30일","악 저 뮤직가든 도착했대요 ㅠㅠ
1
20",,1,,20,['https://pbs.twimg.com/media/E-B-RwkVUAQs-_e?format=jpg&name=small'],https://twitter.com/mumujjan/status/1432283527673008133
염건 ʏᴜᴍɢᴜɴ 창귀,@yumgunidayo,2021-08-30T04:54:31.000Z,"염건 ʏᴜᴍɢᴜɴ 창귀
@yumgunidayo
·
8월 30일","어제 문어가든 옷 개시하구...
루루랑 끝내주는 스타스테 보고 스콘이랑 밀크티도 먹고 암튼 오타쿠력 풀충해서 기운난다
1
2
12",👹 😋,1,2,12,"['https://pbs.twimg.com/media/E-A24_qVQAEtDQ8?format=jpg&name=small', 'https://pbs.twimg.com/media/E-A25ymVIAU8DCw?format=jpg&name=small', 'https://pbs.twimg.com/media/E-A25RrVkAUYHHI?format=jpg&name=small', 'https://pbs.twimg.com/media/E-A26n6VQAAlUCC?format=jpg&name=small']",https://twitter.com/yumgunidayo/status/1432205067931717636
찌미,@JJIMIE_Som,2021-08-29T12:56:54.000Z,"찌미
@JJIMIE_Som
·
8월 29일","╔═════ °•  •° ═════╗

갠제작 인형 뽀로미가 드디어 도착
울망 시무룩한 표정이 딱 제취향이예요

뽀로미
타락가든옷장
마녀들의전설 드레스(
@yo_jung_hsy
)
도안 및 컨택도움 (
@chomin_som
)

맛챠민님, 요정님 감사드려요

╚═════ °•  •° ═════╝
4
6
28",💕 🧸 ❤ 💖 💕 🧸 👗 💖 💖 💖 ❤,4,6,28,['https://pbs.twimg.com/media/E99bu9_UUAomMQR?format=jpg&name=small'],https://twitter.com/JJIMIE_Som/status/1431964072660979714
야가미사,@crecrew_yagam,2021-08-29T17:54:29.000Z,"야가미사
@crecrew_yagam
·
8월 30일","2021.08.28
@LIEFOFFICIAL
의 플라워가든 그레이 개시 특별한 날인 만큼 공들여 코디
1
5
34",😌 😌 💜,1,5,34,"['https://pbs.twimg.com/media/E9-f01VVEAIcDYJ?format=jpg&name=small', 'https://pbs.twimg.com/media/E9-f1wmUYAkNxby?format=jpg&name=small', 'https://pbs.twimg.com/media/E9-f1VUVkAgmJZp?format=jpg&name=small', 'https://pbs.twimg.com/media/E9-f2IMVUAgRJRa?format=jpg&name=small']",https://twitter.com/crecrew_yagam/status/1432038961698906115
nth,@fmjHSzsQMf12HEB,2021-08-28T09:17:08.000Z,"nth
@fmjHSzsQMf12HEB
·
8월 28일","#팬아트 #트친소 #그림러_트친소 #트친소_rt위주로_찾아갑니다 
바이올렛 에버가든 팬아트 
2
12",❤ ❤,,2,12,"['https://pbs.twimg.com/media/E93f2DvVQAY7_EW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E93f2DxVQAIxkrN?format=jpg&name=360x360']",https://twitter.com/fmjHSzsQMf12HEB/status/1431546381588582402
흑챱 ,@saewol_1215,2021-08-29T05:53:23.000Z,"흑챱 
@saewol_1215
·
8월 29일","남한테 칼빵맞든 몸의 반이 날라가든 폭탄에 맞든 
살아나는 놈근데 뒤질라게 아파함
죽을수 있는 법은 자기가 원해서 자결하는 법뿐
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
32",,,,32,[],https://twitter.com/saewol_1215/status/1431857493764816899
푸항,@ppuhhang99,2021-08-27T07:45:19.000Z,"푸항
@ppuhhang99
·
8월 27일","'단발 변신' 도로공사 문정원 ＂변화주고 싶었어…올해는 다 쏟아낼 것＂ (출처 : 뉴스1 | 네이버 스포츠) http://naver.me/5VekCQp8
나걍또우는중이지
문가든까지 나울리냐???
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
24
22",,1,24,22,[],https://twitter.com/ppuhhang99/status/1431160887008661508
promise,@glassian10,2021-08-30T13:09:29.000Z,"promise
@glassian10
·
8월 30일","지민이가 왔어요
지민이 넘 이뻐서 정신줄 살짝 놨나봐요
내 갤러리에 지민이가 한가든
사실 더있는건 안비밀 ㅋㅋ

#방탄소년단지민 #지민 #JIMIN  
#ジミン #Jiminie  PARK JIMIN 
#방탄소년단 #BTS 
@BTS_twt
5
7
30",💜 😭 😭 😭 🤭 😁 🤣 🤣,5,7,30,"['https://pbs.twimg.com/media/E-CoM4jVcAUZpxD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CoNLzVQAIMNzk?format=jpg&name=360x360']",https://twitter.com/glassian10/status/1432329628065038343
사꾸미,@0n1y1ovedream,2021-08-29T10:09:20.000Z,"사꾸미
@0n1y1ovedream
·
8월 29일","음 .. 엑칼 좌석 고르는 팁
일단 어딜가든 오글은 필수 .. 무대를 넓게 쓰기 때문에 .. 
정중앙 > 왼블 통로쪽 > 오블 통로쪽 > 중앙 오른쪽 사이드 > 중앙 왼쪽 사이드 > 왼블 극싸 > 우블 극싸
이 순서대로 좋은듯
1
45
82",,1,45,82,[],https://twitter.com/0n1y1ovedream/status/1431921904076541953
