UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
김새리,@Tree_Saeli__,2021-08-28T23:04:50.000Z,"김새리
@Tree_Saeli__
·
8월 29일","네코타사이슈………
귀엽당
7",,,,7,['https://pbs.twimg.com/media/E96dSoxVQAAOLPr?format=jpg&name=small'],https://twitter.com/Tree_Saeli__/status/1431754679059320835
아마미 란타로,@questionamami,2021-08-11T03:58:10.000Z,"아마미 란타로
@questionamami
·
8월 11일","사이슈 학원에 등교한 날이 언제인지 기억하시나요? 모노패드는 기억한답니다! #MyquestionAnniversary
2
11",,2,,11,['https://pbs.twimg.com/media/E8ezzVeUYAAPc3V?format=jpg&name=small'],https://twitter.com/questionamami/status/1425305516146786305
망히,@epoh_mangh,2021-08-08T07:28:48.000Z,"망히
@epoh_mangh
·
8월 8일","나 이거 처음보고 사이슈? 사이하라+슈이치 사이슈? 사이하라 이샛기 뭐 있느거 아님? 했는데 걍 내가 일본어를 모르는 멍청이였던거임
7",,,,7,['https://pbs.twimg.com/media/E8QHIa6UYAExVmM?format=jpg&name=small'],https://twitter.com/epoh_mangh/status/1424271360780488709
슈카,@shuka_DGRP,2021-08-16T09:46:31.000Z,"슈카
@shuka_DGRP
·
8월 16일"," 뉴단 초성 대사 맞추기 
──────────────────
ㅅㅇㅅ ㅎㅇㅇ... ㅍㄱㅎㄴㄷ. 
https://gaeyou.com/t/?260318

사이슈 학원은 피곤합니다.
7
2",🔎 🎹 🐬,,7,2,[],https://twitter.com/shuka_DGRP/status/1427205118768807937
,@apple_dgrp,2021-08-01T07:54:04.000Z,"@apple_dgrp
·
8월 1일",사이슈학원 뺏긴다~~,🍎,,,,['https://pbs.twimg.com/media/E7sJ3DzUYAArl5m?format=jpg&name=small'],https://twitter.com/apple_dgrp/status/1421741002163769344
나헤ˊᵕˋ ɞ˚˙,@NaHae_S,2021-08-25T16:23:19.000Z,"나헤ˊᵕˋ ɞ˚˙
@NaHae_S
·
8월 26일","긴가노 메이메츠~ 아오이 라이토~ 
사이슈우노 렛샤~ 후타리봇치닷타~
1
1",,1,,1,[],https://twitter.com/NaHae_S/status/1430566470350622720
남편인장,@dori_wife,2021-08-28T10:44:02.000Z,"남편인장
@dori_wife
·
8월 28일","사이슈눈에넣어도안아프지만 내각막을뚫고나오는 5마
1",,,,1,[],https://twitter.com/dori_wife/status/1431568247762022403
하루/ハル,@Haru_2430,2021-08-07T02:07:25.000Z,"하루/ハル
@Haru_2430
·
8월 7일","사이슈한테 동생이 있었구나..(흠터)
1",,,,1,[],https://twitter.com/Haru_2430/status/1423828091529424896
사이하라 슈이치 대사봇,@shuichi_lines,2021-08-09T17:00:13.000Z,"사이하라 슈이치 대사봇
@shuichi_lines
·
8월 10일",사이슈 학원 학생회…? 안지 씨가 학생회장…?,,,,,[],https://twitter.com/shuichi_lines/status/1424777549616324625
뱌,@x57827648,2021-08-12T09:33:08.000Z,"뱌
@x57827648
·
8월 12일","성지순례 왔습니다 사이슈학원 부활하게 헤주새요.^^
| 헝끼tv | 뚜
@yubto_45
 · 8월 11일
나진짜 미치겠다 ㅋㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅜㅠㅠㅠ 갓금손 트친이 만들어준 영정탑꾸ㅜㅠㅠㅠㅠ 遺影でいえ~い·····♪
1",,,1,,"['https://pbs.twimg.com/profile_images/1435951772640559111/OI04wY-W_mini.jpg', 'https://pbs.twimg.com/media/E8fzZ2gUUAE7LKe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8fzZ5hUUAYZgID?format=jpg&name=360x360']",https://twitter.com/x57827648/status/1425752200857329673
