UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
아가페 '주삶' 말씀묵상,@agape_jusam,2021-08-12T00:29:04.000Z,"아가페 '주삶' 말씀묵상
@agape_jusam
·
8월 12일","#오늘의말씀_ 답부아 땅은 므낫세에게 속하였으되 므낫세 경계에 있는 답부아는 에브라임 자손에게 속하였으며
2",,,,2,['https://pbs.twimg.com/media/E8jNaVFVcAAzlhx?format=jpg&name=small'],https://twitter.com/agape_jusam/status/1425615283109072902
오해룡,@amsegp,2021-08-27T02:43:05.000Z,"오해룡
@amsegp
·
8월 27일","최후 승리의 공을 에브라임에게 돌린 것입니다. 기드온이 이렇게 한 것은 하나님의 인도하심을 통한 지혜입니다.
10
1",,,10,1,[],https://twitter.com/amsegp/status/1431084825826381832
495 내 영혼이 은총 입어,@somang495,2021-08-24T21:45:00.000Z,"495 내 영혼이 은총 입어
@somang495
·
8월 25일","호세아 4장
17 에브라임은 우상들과 연합하였으니 그를 내버려 두어라.",,,,,[],https://twitter.com/somang495/status/1430285033735000065
오해룡,@amsegp,2021-08-28T04:12:47.000Z,"오해룡
@amsegp
·
8월 28일","하나님의 은혜로 전쟁은 승리로 끝나가고 있습니다. 전쟁 승리 목전에 에브라임 사람들이 기드온을 찾아와 따지고 있습니다.
미디안과 싸움에 자신들을 부르지 않았다는 것입니다. 사실 생각해보면 기드온이 전장의 상황에서 부르지 않은 것은 다행이었습니다.
10",,,10,,[],https://twitter.com/amsegp/status/1431469786979049472
이지아,@kimminz0,2021-08-13T18:35:50.000Z,"이지아
@kimminz0
·
8월 14일",[평창군] 에브라임펜션 https://link.coupang.com/re/AFFTDP?lptag=AF1369433&subid=easytweet&pageKey=100000010034&traceid=V0-153-83ee78b8350da592… <파트너스 활동을 통해 수수료를 제공받을 수 있음>,,,,,['https://pbs.twimg.com/media/E8sP4KnUcAcJygJ?format=jpg&name=small'],https://twitter.com/kimminz0/status/1426251165591736322
방정숙,@bjs5004,2021-08-28T04:16:32.000Z,"방정숙
@bjs5004
·
8월 28일","기드온의 공적에 비해서 상대적으로 보잘것없는 자신들의 공적이 비교된 것입니다. 기드온은 겸손했습니다. 에브라임 사람들을 높이며 모든 공을 넘겼습니다. 사람들은 에브라임 사람들의 억지를 압니다. 교만과 시기와 질투는 망하는 길임을 알아야 합니다.
1
10
2",,1,10,2,[],https://twitter.com/bjs5004/status/1431470733197291524
오해룡,@amsegp,2021-08-28T04:12:51.000Z,"오해룡
@amsegp
·
8월 28일","전쟁은 목숨이 왔다 갔다 하는 곳입니다. 그런 곳으로 부르지 않은 것은 다행한 일인데 기드온이 승리를 하자 에브라임이 나선 것입니다. 에브라임의 항변은 자존심을 내세우는 것이라 할 수 있습니다.
10",,,10,,[],https://twitter.com/amsegp/status/1431469806327197697
485 어두운 내 눈 밝히사,@pros49586,2021-08-20T18:36:24.000Z,"485 어두운 내 눈 밝히사
@pros49586
·
8월 21일","민수기 7장
48 일곱째 날에는 에브라임 자손의 지도자, 암미훗의 아들 엘리사마가 예물을 드렸으니,",,,,,[],https://twitter.com/pros49586/status/1428788022233899011
김예지,@hiyj777,2021-08-23T07:27:04.000Z,"김예지
@hiyj777
·
8월 23일","므낫세는 에브라임을, 에브라임은 므낫세를 먹을 것이요 또 그들이 합하여 유다를 치리라 그럴지라도 여호와의 노가 쉬지 아니하며 그 손이 여전히 펴지리라
이사야 9:21 KRV
이사야 9:21 므낫세는 에브라임을, 에브라임은 므낫세를 먹을 것이요 또 그들이 합하여 유다를 치리라 그럴지라도 여호와의 노가 쉬지 아니하며 그 손이 여전히 펴지리라 | 개역한글...
므낫세는 에브라임을, 에브라임은 므낫세를 먹을 것이요 또 그들이 합하여 유다를 치리라 그럴지라도 여호와의 노가 쉬지 아니하며 그 손이 여전히 펴지리라
bible.com",,,,,['https://pbs.twimg.com/card_img/1436852856179474432/4_vCAc5r?format=png&name=120x120'],https://twitter.com/hiyj777/status/1429706741076303879
250 아름다운 시온 성아,@byeonhwa250,2021-08-09T21:39:21.000Z,"250 아름다운 시온 성아
@byeonhwa250
·
8월 10일","역대하 17장
2 그가 유다의 모든 견고한 성에 군대를 배치하고, 유다 땅과 그의 아버지 아사가 빼앗은 에브라임 성들에 수비대를 배치하였다.",,,,,[],https://twitter.com/byeonhwa250/status/1424847795702276096
250 아름다운 시온 성아,@byeonhwa250,2021-08-16T18:40:11.000Z,"250 아름다운 시온 성아
@byeonhwa250
·
8월 17일","역대하 19장
4 여호사밧이 예루살렘에 살면서 다시 브엘세바에서부터 에브라임 산지까지 백성들을 순방하고 그들을 여호와 그 조상의 하나님께로 돌아오게 하였으며,",,,,,[],https://twitter.com/byeonhwa250/status/1427339421083324426
