UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
유죄,@guilty_628,2021-08-10T04:26:28.000Z,"유죄
@guilty_628
·
8월 10일","개인적으로 꼭 살아갔으면 하는 캐 : 강재인 누아남 오미정
죽었으면 하는 캐 : 이미 다 죽음
13
18",,,13,18,[],https://twitter.com/guilty_628/status/1424950250645585920
서월,@Maybe_Seowol,2021-08-04T14:13:26.000Z,"서월
@Maybe_Seowol
·
8월 4일","베스타 출연진들 메이크업&헤어 오미정 샵에서 하는 상상.
2
3",,,2,3,[],https://twitter.com/Maybe_Seowol/status/1422923635514232832
서딕호(아무튼 연성백업),@neohyajach,2021-08-10T04:20:11.000Z,"서딕호(아무튼 연성백업)
@neohyajach
·
8월 10일","재호의 카키색 상의 빠숑쇼 보고싶다
무엇을 입을까?
1. 쑥색 셔츠
2. 쑥색 파카(기본)
3. 쑥색 항공점퍼
4. 쑥색 라이더자켓
오미정의 한줄평: 녹차인간이야?
1
8
8",,1,8,8,[],https://twitter.com/neohyajach/status/1424948667920699394
쫄?,@Equator_of_mist,2021-08-10T16:53:36.000Z,"쫄?
@Equator_of_mist
·
8월 11일","서재호: 인생은 순발력 아닙니까?
오미정: 언제보여줄건데요 순발력
권현석: 재호는 지구력이지
1
4",,,1,4,[],https://twitter.com/Equator_of_mist/status/1425138270128590848
「바쁨... 쫌 많이...」 Erebus,@Immibury,2021-08-04T04:19:37.000Z,"「바쁨... 쫌 많이...」 Erebus
@Immibury
·
8월 4일","문득 든 생각인데 오미정이 유상일을 사랑한 것도 마지막까지 자신을 보지 않아서 아닐까, 라고 생각함.
""어떻게 사랑이 변해?""
라고 외치며 이상형도 그랬던 오미정이잖아. 유상일이 오미정을 보게 된다면 결국 오미정의 마음에 응한거니까 그것도 오미정의 입장에서는 사랑이 변한거잖아.
1
6
12",,1,6,12,[],https://twitter.com/Immibury/status/1422774197013520387
은창아 어디갔어,@where_ech,2021-08-10T05:32:09.000Z,"은창아 어디갔어
@where_ech
·
8월 10일","하홀에 중년 강재인 실루엣이라도 나오길 기원 서재호 기원 근처 미용실 오미정씨 기원 수수께끼의 인물 누아남 사실은 장희준이 백선교 신봉자 얼씨구라서(ㅈㅅ합니다 검방 2도 안한놈이에요 걍 날조에요) 백석의 큰 피해자 유상일 강령술 기원
1
5
14",,1,5,14,[],https://twitter.com/where_ech/status/1424966780682788869
0,@_TACHYON_,2021-08-04T04:37:37.000Z,"0
@_TACHYON_
·
8월 4일","어제 혼자 생각한 건데
만약에 성격 다 그대로 간다는 전제에 
서재호가 여캐 오미정이 남캐였으면
과연 어떻게 되었을까.. 하는 그런 상상
1
6
6",,1,6,6,[],https://twitter.com/_TACHYON_/status/1422778729361670150
유장,@YooooJ_ang,2021-08-14T08:14:45.000Z,"유장
@YooooJ_ang
·
8월 14일","친구랑 술마시다가 거하게 취한 오미정... 친구가 미정이 연락처 뒤져서 대충 재호한테 미정이좀 데려가라고 연락했는데 재호 와서 오 형사! 하니까 엎어진채로 베시시 웃으면서 지금은 오 형사 아니고 오미정인데요~? 하는 미정이.. 눈 가늘게 뜨고 상체 벌떡 일으켜서 재호 얼굴 잡아 제 얼굴
1
3
6",,1,3,6,[],https://twitter.com/YooooJ_ang/status/1426457250525114372
뽀르스 뒤 렛또,@Red_Air_Com_Fs,2021-08-14T08:33:00.000Z,"뽀르스 뒤 렛또
@Red_Air_Com_Fs
·
8월 14일","오미정씨. ... . ... ....  .
착잡",,,,,[],https://twitter.com/Red_Air_Com_Fs/status/1426461842184957955
율무차,@dont_please_do,2021-08-10T05:53:01.000Z,"율무차
@dont_please_do
·
8월 10일","하............ 삼각형은가장완벽한도형으로
왜물한잔마이갓마이로드는오미정옆에유상일과서재호를두셨단말인가
5
5",,,5,5,[],https://twitter.com/dont_please_do/status/1424972031351693312
다랑,@dr_panic_room,2021-08-08T15:57:30.000Z,"다랑
@dr_panic_room
·
8월 9일","오미정의 불(물리)같은 사랑
2",,,,2,[],https://twitter.com/dr_panic_room/status/1424399378614153218
