UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
꿀단지,@honey_comv,2021-08-26T16:28:53.000Z,"꿀단지
@honey_comv
·
8월 27일","이거 약간 임당수에 뛰어든 효자 임군… 근데 공양미 삼백석은 빛좋은 개살구, 속셈은 임당수 아래 산다는 해신의 부군이 되는 것. 어릴적 그믐달 밤에 뭍으로 나온 해신을 만난 이후로 임군 마음은 줄곧 한 곳을 향했겠지. 푸르고 시커먼 임당수의 가장 깊은 밑바닥, 그곳에서 저를 기다릴 해신에게.
1
10
32",,1,10,32,"['https://pbs.twimg.com/media/E9uve4SVEAAa2K9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9uve5VUYAE6yxc?format=jpg&name=small']",https://twitter.com/honey_comv/status/1430930258752987143
수염,@mano26722,2021-08-22T03:32:36.000Z,"수염
@mano26722
·
8월 22일","아 썅 !!!!! 나보고 심청이래 나 공양미 삼백석에 팔려가냐??????
수염
@mano26722
 · 8월 22일
아ㅅㅂ 엄마가 아빠 눈다쳐가지고 지금 일시적으로 살짝 눈이 나쁜데 엄마가 아빠보고 심봉사 밥먹어~ 심봉사 뭐하냐~ 이래 아 미친거 아님???
1
2",,,1,2,['https://pbs.twimg.com/profile_images/1440222417327058954/GqA1sEma_mini.jpg'],https://twitter.com/mano26722/status/1429285347003756544
선빵좌,@rBkp1XODOYZtrz3,2021-08-23T08:54:45.000Z,"선빵좌
@rBkp1XODOYZtrz3
·
8월 23일","씨발,,  이거 보고 공양미 삼백석을 바치지 않았는데도 눈이 번쩍 뜨였습니다,,,
1
1",,1,,1,['https://pbs.twimg.com/media/E9dqxQjUYAA747L?format=jpg&name=small'],https://twitter.com/rBkp1XODOYZtrz3/status/1429728808899207176
헤브즈,@croco_rabb,2021-08-15T15:30:08.000Z,"헤브즈
@croco_rabb
·
8월 16일","공양미삼백석이 뭔 필요있냐 똑철그림이 있는데
똑철(10월중순까지 쉬어요)
@a_jinokki
 · 8월 16일
생존신고….
2
3",🥺,2,,3,"['https://pbs.twimg.com/profile_images/1429879314711859202/iSy3QjBd_mini.jpg', 'https://pbs.twimg.com/media/E814LLzUYAAYHpM?format=jpg&name=small']",https://twitter.com/croco_rabb/status/1426929207578296322
사비,@sabi_0115,2021-08-16T09:41:03.000Z,"사비
@sabi_0115
·
8월 16일","공양미 삼백석에 팔려가는 심청려
1
2
5",,1,2,5,[],https://twitter.com/sabi_0115/status/1427203742793814019
여치,@LN_Grasshopper,2021-08-16T09:18:43.000Z,"여치
@LN_Grasshopper
·
8월 16일","심봉사 좀만 늦게 태어나지 그랫어 공양미삼백석 없어도 걍 이달소 노래 들으면 눈뜨였을텐데
3",,,,3,[],https://twitter.com/LN_Grasshopper/status/1427198123726700546
이준익,@Jun_HJFL,2021-08-17T22:14:52.000Z,"이준익
@Jun_HJFL
·
8월 18일",삼백석... 구해주신다고... 약속 하셨잖아요...!! (심청이 톤),,,,,[],https://twitter.com/Jun_HJFL/status/1427755838345596931
엥,@ks_jlh,2021-08-06T17:22:51.000Z,"엥
@ks_jlh
·
8월 7일","맛있을거같은게문제가아니라
진심미미라니까??
눈이번쩍뜨인다고
심봉사살아있을때오백한번먹어봤으면
불쌍한심청이가공양미삼백석구하려고
인당수에뛰어들기전에
면뚜먹고심봉사눈이알아서떠졋을텐데
1",,1,,,[],https://twitter.com/ks_jlh/status/1423696082547052547
才柅殊제니스,@JsJ_zenith,2021-08-28T16:09:18.000Z,"才柅殊제니스
@JsJ_zenith
·
8월 29일","효성있는 내딸 청이가 삼백석에 몸이팔려
인당수 제수로 죽은지가 우금 삼년이요
눈도 뜨지 못하옵고 자식만 팔아먹은 놈을 살려두오
쓸데 있소 당장에 목숨을 끊어주오.
1",,,,1,[],https://twitter.com/JsJ_zenith/status/1431650106181242884
범벅,@b39437826,2021-08-08T03:44:15.000Z,"범벅
@b39437826
·
8월 8일","수사시가 돌 삼백개를 먹고 안 나온다 야 공양미 삼백석으로 사람 목숨도 확챠였어 돌 삼백개 먹었으면 0과 1로 이루어진 너도 명함 쯤은 줘야지
1",,,,1,[],https://twitter.com/b39437826/status/1424214850998206469
박바흐,@b9_11_13,2021-08-01T04:07:08.000Z,"박바흐
@b9_11_13
·
8월 1일","공양미 삼백석에 음악의 아버지를 팔았어요
6",,,,6,[],https://twitter.com/b9_11_13/status/1421683892759580672
才柅殊제니스,@JsJ_zenith,2021-08-17T10:52:31.000Z,"才柅殊제니스
@JsJ_zenith
·
8월 17일",공양미 삼백석을 부처님께 시주허면 소맹인 눈을 뜬다하니,,,,,[],https://twitter.com/JsJ_zenith/status/1427584116111810560
송화,@songhwa_krb,2021-08-27T14:14:28.000Z,"송화
@songhwa_krb
·
8월 27일",효성 있는 내 딸 청이가 삼백석에 몸이 팔려 인당수 제수로 죽은지가 우금 삼년이요,,,,,[],https://twitter.com/songhwa_krb/status/1431258818390814722
Eli,@eliJKang,2021-08-10T15:29:37.000Z,"Eli
@eliJKang
·
8월 11일",유족들이 조댕둘울 털어야하는데 뭔 반발. 이현주가 모든걸다하는놈인데. 그 스토리를 다안다고. 공양미삼백석 심청이 재물둘이고 누가 팔아먹었는지도. 심청이처럼 자발적 자원은 절대아니라며. 애미둘이 가서 시키는대로말을 잘둘어야한다고 수십만번 세뇌시켰울거고.,,,,,[],https://twitter.com/eliJKang/status/1425117137543176192
송화,@songhwa_krb,2021-08-20T12:15:34.000Z,"송화
@songhwa_krb
·
8월 20일",우연한 중을 만나 공양미 삼백석을 부처님께 시주하면 소맹 눈을 뜬다하니,,,,,[],https://twitter.com/songhwa_krb/status/1428692182999855111
마참내! ㅋlㅁlㅅl누 이북 업데이트,@0IB_C,2021-08-16T12:33:33.000Z,"마참내! ㅋlㅁlㅅl누 이북 업데이트
@0IB_C
·
8월 16일","심청려<존나웃김
공양미 삼백석으로는 어림없는 몸값이지만
1",,,1,,[],https://twitter.com/0IB_C/status/1427247157380218884
