UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
다오◡̈,@oa_STAY,2021-08-30T23:45:36.000Z,"다오◡̈
@oa_STAY
·
8월 31일","시바라 앨범 새로 찍어오냐
1
7",,1,,7,['https://pbs.twimg.com/media/E-E5zFSVEAAFCG2?format=jpg&name=small'],https://twitter.com/oa_STAY/status/1432489711847686149
빵테이,@stay_skz_bbang,2021-08-30T23:53:47.000Z,"빵테이
@stay_skz_bbang
·
8월 31일","밀리언셀러!!!!!!!!
스트레이키즈 축하해
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기",⭐ ⭐ ⭐ ⭐ ⭐ ⭐ 💓,,,,[],https://twitter.com/stay_skz_bbang/status/1432491770697244673
이원뿔,@stay_zzang,2021-08-30T23:41:59.000Z,"이원뿔
@stay_zzang
·
8월 31일","어니 지니 스밍이 안 돼 ㅅㅂ 나만 이래?
1
3",🍀,1,,3,[],https://twitter.com/stay_zzang/status/1432488802858070017
토냥 ⊙3⊙,@baby___stay,2021-08-30T23:59:21.000Z,"토냥 ⊙3⊙
@baby___stay
·
8월 31일","설렌다 골디 본상
1
11",,,1,11,[],https://twitter.com/baby___stay/status/1432493172215586817
ㅁr루  𝕊𝕃𝕆𝕎,@e_aeonian_stay,2021-08-30T23:44:40.000Z,"ㅁr루  𝕊𝕃𝕆𝕎
@e_aeonian_stay
·
8월 31일","1교시 체육 끔찍
2",🔥,,,2,[],https://twitter.com/e_aeonian_stay/status/1432489476190654465
땅콩,@peanut_stay,2021-08-30T23:58:59.000Z,"땅콩
@peanut_stay
·
8월 31일",씩 듣고있는데 슼뽕 희희,,,,,[],https://twitter.com/peanut_stay/status/1432493080653955079
페인,@Pain_stay,2021-08-30T23:55:25.000Z,"페인
@Pain_stay
·
8월 31일",『 내가 너의 흉터가 되었으려나 』,,,,,[],https://twitter.com/Pain_stay/status/1432492182909304837
nero brainrot,@hourlyode,2021-08-30T23:48:51.000Z,"nero brainrot
@hourlyode
·
8월 31일","I just want to stay with you
I just want to stay with you
I just want you, stay with you
Give me your, give me your
Give me your, give me your
나에게 어떤 슬픔도 없는
세상은 너니까",,,,,[],https://twitter.com/hourlyode/status/1432490531033079813
땅콩,@peanut_stay,2021-08-30T23:57:23.000Z,"땅콩
@peanut_stay
·
8월 31일",나 밀리언셀러 팬이야 아아아아아아아 자랑스럽다ㅏㅏ ㅠㅠㅠㅠㅠㅠㅠㅠ 스키즈 짱 ,😭 🖤 🖤,,,,[],https://twitter.com/peanut_stay/status/1432492676679561221
메트 알티 디예니 (인형 샘플 제작중),@SSSTAY__,2021-08-30T23:46:54.000Z,"메트 알티 디예니 (인형 샘플 제작중)
@SSSTAY__
·
8월 31일","사웨 2차랑 따로 오네 2차는 움직이지도 않아
1",‼ ‼,,,1,[],https://twitter.com/SSSTAY__/status/1432490038370058244
