UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
밥성진,@DAY6_BOBSUNGJIN,2021-08-07T01:36:21.000Z,"밥성진
@DAY6_BOBSUNGJIN
·
8월 7일","두 유 노 김치? 오늘은 돼지김치찜을 먹어보자!!!
Do you know KIMCHI? Today is braised KIMCHI with pork!!!
3.2천
1.3만
4만",,3.2천,1.3만,4만,[],https://twitter.com/DAY6_BOBSUNGJIN/status/1423820275397791746
팡팡,@BKPPLove123,2021-08-07T10:09:42.000Z,"팡팡
@BKPPLove123
·
8월 7일","오늘 저녁은 찜닭 & 김치찜 
5
1
21",❤,5,1,21,"['https://pbs.twimg.com/media/E8LieasVkAEBqqU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LifSUVcAUGCOJ?format=jpg&name=360x360']",https://twitter.com/BKPPLove123/status/1423949462334939160
아델(Adel),@Adel_Cos,2021-08-08T11:34:57.000Z,"아델(Adel)
@Adel_Cos
·
8월 8일","요즘 요리가 재밌당 오늘은 돼지 앞다리 김치찜
1
5",,,1,5,"['https://pbs.twimg.com/media/E8Q_lEwVoAE_oeD?format=jpg&name=small', 'https://pbs.twimg.com/media/E8Q_lvWVgAURqwI?format=jpg&name=small']",https://twitter.com/Adel_Cos/status/1424333303771918336
감 간게,@GangyeY,2021-08-05T04:08:29.000Z,"감 간게
@GangyeY
·
8월 5일","오늘은 진수성찬이네...

어제 식단 : 밥, 가지볶음, 오이무침, 깻잎찜, 배추김치, 김치국",,,,,['https://pbs.twimg.com/media/E7_8ocBVUAASZ2O?format=jpg&name=small'],https://twitter.com/GangyeY/status/1423133786326257669
강보ㄹl,@jeju_boriii,2021-08-13T02:03:01.000Z,"강보ㄹl
@jeju_boriii
·
8월 13일","강보리 진짜 냄새카피닌자라서
개털에 부엌냄새가 엄청 밴다
어제는 카레냄새나고 오늘은 김치찜냄새나
2
7
19",,2,7,19,[],https://twitter.com/jeju_boriii/status/1426001311829348355
오써니ₒₕ ₛₛᵤₙ🆃🅳,@ohssun0613,2021-08-02T03:05:38.000Z,"오써니ₒₕ ₛₛᵤₙ🆃🅳
@ohssun0613
·
8월 2일","오늘은 남편숙소에서 김치찜 배달시킴ㅋㅋ
아들이 좋아하는 메뉴 오늘은 숙소 붙박이ㅋㅋ
7",🅿,,,7,[],https://twitter.com/ohssun0613/status/1422030802720722945
도롱,@sweet_blanket_,2021-08-03T07:14:08.000Z,"도롱
@sweet_blanket_
·
8월 3일","오늘은 김치찜에 도전 중이다.
1
1",,1,,1,[],https://twitter.com/sweet_blanket_/status/1422455729701548036
트친소찾아옴 상어,@06250625_w,2021-08-02T07:15:51.000Z,"트친소찾아옴 상어
@06250625_w
·
8월 2일","오늘은 김치찜만들기 도전해보겟습니다.
두둥탁!
박잼민의 김치찜만들기!
1.일하고잇는 아빠에게 삼겹살사오면 김치찜만들어준다고 유혹해서 사오게만들기!
트친소찾아옴 상어
@06250625_w
 · 8월 2일
잘게여..
김치찜먹방봐버려서 존나먹고싶어짐 
내일 박박우겨보자. 김치찜먹자고...
1",,,,1,['https://pbs.twimg.com/profile_images/1437092382818766848/eqGEbUcP_mini.jpg'],https://twitter.com/06250625_w/status/1422093773836722178
𝔐𝔦𝔡𝔫𝔦𝔤𝔥𝔱(미드),@mid_t_gakupo,2021-08-13T11:21:48.000Z,"𝔐𝔦𝔡𝔫𝔦𝔤𝔥𝔱(미드)
@mid_t_gakupo
·
8월 13일","오늘은 생애 첫 꽁치김치찜 해서 동생이랑 먹었다...
3",🍆 💜,,,3,[],https://twitter.com/mid_t_gakupo/status/1426141934867795973
(슈터룬언급) 율뀨,@JNR_1117_LORD,2021-08-04T04:32:27.000Z,"(슈터룬언급) 율뀨
@JNR_1117_LORD
·
8월 4일","벌에게 쏘인 기념 (?) 
오늘 점심밥은 
등갈비김치찜
1
8",🌊 ❄ 🦂 👻 🌊 ❄ 🦂 👻,1,,8,[],https://twitter.com/JNR_1117_LORD/status/1422777428590530560
산마루,@sanmaru1024,2021-08-04T01:41:22.000Z,"산마루
@sanmaru1024
·
8월 4일","오늘은 김치찜이 땡긴다 
이열치열!!!
산마루의 질문함입니다
질문/답변은 여기
peing.net
1",,1,,,[],https://twitter.com/sanmaru1024/status/1422734372604551169
포립,@Bambugat_6w6,2021-08-04T10:03:45.000Z,"포립
@Bambugat_6w6
·
8월 4일",후후 오늘은 볼거야 공놀이 후훗... 어젠 줄 알고 시켰던 김치찜 데워왔다,,,,,[],https://twitter.com/Bambugat_6w6/status/1422860800952201216
달다란 일상,@moon_Ddaily,2021-08-13T05:01:50.000Z,"달다란 일상
@moon_Ddaily
·
8월 13일","넷플에서 금쪽같은 내새끼 찾아서 보기 시작했는데 매화 왜 이렇게 울게 되는지  오늘은 4화에 착한 맏딸 편 보는데 한시간 내내 울어 앜ㅋㅋㅋㅋㅋ 엄마 옆에서 요리하고 계시는데 나는 계속 줄줄 울고 있음 ㅋㅋㅋ 기운 빠졌으니까 이따 엄마표 돼지등갈비김치찜으로 위로 해야지 ㅋㅋㅋ
2",😂 😂,,,2,[],https://twitter.com/moon_Ddaily/status/1426046315318837249
𝙉𝘼𝙍𝙐,@NEVERvillain,2021-08-03T12:18:32.000Z,"𝙉𝘼𝙍𝙐
@NEVERvillain
·
8월 3일",어제 야식으로 김치찜먹엇는데 오늘은 엄마가 삘받아서 똑같은거 먹고있길래 구경중,,,,,[],https://twitter.com/NEVERvillain/status/1422532332565655561
피유,@coffemilk_6,2021-08-07T01:37:23.000Z,"피유
@coffemilk_6
·
8월 7일",오늘 점심은 돼지김치찜이다,🥕,,,,[],https://twitter.com/coffemilk_6/status/1423820535603994624
균 마감해,@Gyu__n,2021-08-06T09:25:39.000Z,"균 마감해
@Gyu__n
·
8월 6일","ㅁㅈ나요즘들어살이쪼까쪼까ㅉ뽜ㅉ꽈ㅉ빢ㅉㄲㅉ쫚ㅉ빠져
개홀쭉해졋음.
,,,밥좀먹고삽시다
오늘은!! 김치찜머거야지",,,,,[],https://twitter.com/Gyu__n/status/1423575992363147264
뽀나,@bo_o_na,2021-08-07T07:53:17.000Z,"뽀나
@bo_o_na
·
8월 7일","오늘 저녁은 목살묵은지김치찜으로 결정 ㅋㅋ
(장보면서 방금 결정한 메뉴...사서 고생인가..",,,,,[],https://twitter.com/bo_o_na/status/1423915135211474947
,@PiilALv,2021-08-07T01:59:46.000Z,"@PiilALv
·
8월 7일","오늘 저녁은 돼지김치찜
데장때문아니고 엄마픽",🐶,,,,[],https://twitter.com/PiilALv/status/1423826169330167810
Leelimdae,@learn_learn,2021-08-13T10:40:43.000Z,"Leelimdae
@learn_learn
·
8월 13일","1인분만 어떻게 요리하지? 만들고 보면 기본 4인분, 오늘은 빨간 묵은지 김치찜 했는데 하고보니 역시 한 솥 가득",😅,,,,[],https://twitter.com/learn_learn/status/1426131596814344192
Yoondal,@dalbearon,2021-08-15T03:03:52.000Z,"Yoondal
@dalbearon
·
8월 15일","찬바람 분다고 목이 칼칼해 ㅠㅠ 그래도 오늘 미션은 클리어하겠어 엄마네 가려고 지금 김치찜 만드는 중
1",,,,1,[],https://twitter.com/dalbearon/status/1426741401375494147
후추,@hs2neypepper,2021-08-12T04:52:37.000Z,"후추
@hs2neypepper
·
8월 12일",오늘은.. 김치찜ㅇㅣ다,🌿 💧,,,,[],https://twitter.com/hs2neypepper/status/1425681606874853388
옥수,@sailor_corn,2021-08-09T02:25:21.000Z,"옥수
@sailor_corn
·
8월 9일","식단표 받자마자 혈광펜칠하기... 오늘의 형광펜은 돈갈비김치찜과 햄감자볶음
5",🌽 🌽 😋,,,5,[],https://twitter.com/sailor_corn/status/1424557383318052866
잘 구운 토스트,@toast_welldone,2021-08-02T10:26:38.000Z,"잘 구운 토스트
@toast_welldone
·
8월 2일","나 어제 시킨 김치찜으로 어제 점저 오늘 점저 네끼먹었어 ... 나 좋아하는 음식은 계속 먹을수잇어 어렷을때 수능 끝나고 돼지국밥 너무 먹고싶어서 2주동안 3끼로 먹었어
9",,,,9,[],https://twitter.com/toast_welldone/status/1422141786135220228
라면좀그만먹자,@_gigglegiggle,2021-08-10T15:49:22.000Z,"라면좀그만먹자
@_gigglegiggle
·
8월 11일","내가 오늘 진짜 일찍.자려고 햇는데....집에 돼지고기김치찜을 발견해버림....그냥 한번 맛이나봤는데...이건 진짜 인간의 영역으로 인내가 불가능한 부분이라...이건 다 먹고자야겟음
1",,,,1,[],https://twitter.com/_gigglegiggle/status/1425122108871372804
건국백년_시대사명,@showtime_kr,2021-08-11T11:54:42.000Z,"건국백년_시대사명
@showtime_kr
·
8월 11일",오늘 저녁은 고등어 김치찜...,😤,,,,[],https://twitter.com/showtime_kr/status/1425425437820289025
ラブ,@clean_n_dirty,2021-08-26T15:15:54.000Z,"ラブ
@clean_n_dirty
·
8월 27일","오늘 밤 8시 맛있는 녀석들 ~ 
흑돼지랑 김치찜 먹방하는 림이랑 함 봅시다! 
뭘 보고 놀랬는지 드디어 알 수 있다 !!!!! 

스카이라이프 53번 
SK B티비 87번 
U+ 티비 77번 
Olleh 티비 85번

폰 / 패드 / 탭 / 노트북은 티빙으로 ! 
실시간 감상 가능 
0:04
1.1천 조회수
1
43
53",🎧 👍 👀 🖥,1,43,53,[],https://twitter.com/clean_n_dirty/status/1430911890222313481
난바티비,@byulnanbar,2021-08-26T06:25:47.000Z,"난바티비
@byulnanbar
·
8월 26일","항상우렁찬목소리로 
좋은아침!해주시는대리님
우리대리님은 무슨생각하고사실까?

                    (오늘점심 돼지고기김치찜)
16
11",,,16,11,['https://pbs.twimg.com/media/E9slcg8WYAA1llw?format=jpg&name=900x900'],https://twitter.com/byulnanbar/status/1430778482343170049
민비형,@Min_BH88,2021-08-17T15:48:01.000Z,"민비형
@Min_BH88
·
8월 18일","오늘은 묵은지김치찜... 들깨가루넣고싶었는데... 집에 없더라....
1",🕺 💃,1,,,"['https://pbs.twimg.com/media/E9APovSVoAI0LRu?format=jpg&name=small', 'https://pbs.twimg.com/media/E9APzceVoAICaTL?format=jpg&name=small']",https://twitter.com/Min_BH88/status/1427658483315318785
엔젤 지민~~,@JMwithLUV1013,2021-08-16T05:11:16.000Z,"엔젤 지민~~
@JMwithLUV1013
·
8월 16일","오늘 점심은 등갈비김치찜~~
어제 엄마가 주신 김장김치로 푹 끓이니 다른 반찬은 필요없다!!!

#MTVHottest BTS 
@BTS_twt
1
6",🪴 💜 💛 💜 💕,,1,6,['https://pbs.twimg.com/media/E840ffRVoAEPOA7?format=jpg&name=small'],https://twitter.com/JMwithLUV1013/status/1427135850513534976
라쥬,@Razu_g1604,2021-08-20T01:09:31.000Z,"라쥬
@Razu_g1604
·
8월 20일","우리집 요리 망치는 주범=압바
오늘은 돼지고기 김치찜 거의 다 먹어간다고 김치 넣고 다시다 넣고 대충 끓여놓음...
1",,,,1,[],https://twitter.com/Razu_g1604/status/1428524562744971267
ㅎr롱,@hrr3_blue,2021-08-28T02:01:58.000Z,"ㅎr롱
@hrr3_blue
·
8월 28일","오늘 점심은
우삼겹 김치찜과 냄비밥입니다
2",,,,2,[],https://twitter.com/hrr3_blue/status/1431436867283472390
깃털달린쌈빵,@feather__CY,2021-08-30T04:14:23.000Z,"깃털달린쌈빵
@feather__CY
·
8월 30일","#Dear_이채연
채연아 점심 먹었오~?

난 김치찜 먹었다

채연이 오늘 좋은 하루 보내!!
6",🤍 🐯 🍑 🤍 🤍 🤍,,,6,[],https://twitter.com/feather__CY/status/1432194968072851461
감자븁,@Weeeeewweee,2021-08-16T22:58:42.000Z,"감자븁
@Weeeeewweee
·
8월 17일",오늘은. 치킨&/. 돼지김치찜. 달린다,,,,,[],https://twitter.com/Weeeeewweee/status/1427404481705115651
치즈케이크,@chessecake_tk,2021-08-25T03:16:17.000Z,"치즈케이크
@chessecake_tk
·
8월 25일","요즘 식사 되게 집에서 잘 챙겨먹는듯....! 오늘 식단은...나트륨이 가득한거 같지만..그래도 맛있으니 용서하도록 했어요...두구두구두구
콩나물밥 
목살 넣은 김치찜
집에 있는 반찬들입니다 짱 맛나겠죠
1
3",,1,,3,[],https://twitter.com/chessecake_tk/status/1430368406620938247
liebe,@liebe5867,2021-08-28T10:24:53.000Z,"liebe
@liebe5867
·
8월 28일",내가 고기먹고싶어서 김치찜하고 오늘은 수육이랑 겉절이,,,,,[],https://twitter.com/liebe5867/status/1431563428590592000
퍠,@P_haseyo,2021-08-23T03:00:30.000Z,"퍠
@P_haseyo
·
8월 23일",오늘점심은김치찜이다와♡,,,,,[],https://twitter.com/P_haseyo/status/1429639656245661697
해쨔니,@haechanpudu0601,2021-08-18T04:13:25.000Z,"해쨔니
@haechanpudu0601
·
8월 18일","오늘 점심은 김치찜이다 지금 하는중
1",💙 💜,,,1,[],https://twitter.com/haechanpudu0601/status/1427846068411109381
미미,@mimi_two2,2021-08-28T11:14:51.000Z,"미미
@mimi_two2
·
8월 28일","김치찜 시켰다! 오늘은 성공하고 싶어 ㅜㅜ
1",,1,,,[],https://twitter.com/mimi_two2/status/1431576006112935942
