UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Miss Burd,@BurdMiss,2021-08-02T17:21:13.000Z,"Miss Burd
@BurdMiss
·
8월 3일","100 laminating sheets later…  #ECT #year3 #NQT
1
15",🌸 😅,1,,15,"['https://pbs.twimg.com/media/E7zVTNRXIAELXlF?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7zVTNSWEAQj9ub?format=jpg&name=small']",https://twitter.com/BurdMiss/status/1422246119883554816
lyjindarydeals •ᴗ• busy packing and shipping,@lyjindarydeals,2021-08-01T00:47:34.000Z,"lyjindarydeals •ᴗ• busy packing and shipping
@lyjindarydeals
·
8월 1일","#lyjindaryGO 
WTS LFB
PH ONLY

KR Brand Card Sleeve (HARD)
100 microns
145 per pack (50 sheets)

PP (archival safe)
for Mini PC (70 x 100)
The sleeve is 73 x 103! 

50 PAYO, BAL ONHAND
Date of Order: until August 3, 11:59 pm

Order Form: https://docs.google.com/forms/d/1SyQT_kWHuENJCigPHVKitNy3QYzYui__iZW4rhmyPDE/edit…
7
23",💖 🥰 💜 💖,,7,23,"['https://pbs.twimg.com/media/E7qoSPRVUAInKIC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7qoSdqVkAA_ZBJ?format=jpg&name=360x360']",https://twitter.com/lyjindarydeals/status/1421633669492482049
enigmailed,@enigmailed,2021-08-02T14:28:32.000Z,"enigmailed
@enigmailed
·
8월 2일","The Puzzle Pads have landed! No more Googling morse, writing out the alphabet or scrabbling around for Braille / it’s all on one sheet. Each pad has 100 90gsm sheets and we just *know* puzzle makers and players are going to love them! #puzzles #puzzlegames #stationeryaddict
2
3",,2,,3,['https://pbs.twimg.com/media/E7ytyCpXMAIlO0_?format=jpg&name=small'],https://twitter.com/enigmailed/status/1422202663475814400
kai casual vtuber,@sou_kaii,2021-08-02T05:09:30.000Z,"kai casual vtuber
@sou_kaii
·
8월 2일","cutting stickers (drawn by 
@itsyookey
) while watching yucha play ace attorney  hands sore but stickers cute...

Dont mind the other 100 sheets or so in the back that I haven't gone through yet. I'm trying to delete the task from my brain.
1
3
21",❄ ☺,1,3,21,['https://pbs.twimg.com/media/E7wskVKXIAE-o72?format=jpg&name=small'],https://twitter.com/sou_kaii/status/1422061977988472834
BwcDeals,@BwcDeals,2021-08-03T17:05:00.000Z,"BwcDeals
@BwcDeals
·
8월 4일","51% Off! 

Five Star Small Spiral Notebooks, 2 Subject, College Ruled Paper, 100 Sheets, 3 Pack

https://amzn.to/3hpETpT

#BwcDeals #Dogecoin #clearthelists #dailydeals #DealsAndSteals #BacktoSchool2021 #BacktoSchool
1",,,,1,['https://pbs.twimg.com/media/E74bMEBVcAE_Qa3?format=jpg&name=small'],https://twitter.com/BwcDeals/status/1422604427882504192
Seasons Gala,@SeasonsGala,2021-08-03T15:02:35.000Z,"Seasons Gala
@SeasonsGala
·
8월 4일","Everyday Kids 2-Pack Fitted Crib Sheets, 100% Soft Breathable Microfiber Baby Sh... https://amazon.com/Everyday-Microfiber-Breathable-Hypoallergenic-Standard/dp/B07PNK7FYG/ref=zg_bs_166742011_13/140-2304412-6711653?_encoding=UTF8&psc=1&refRID=P9W2R6MTM4J9K7E1HW6Q&tag=sg07b7-20…",👉,,,,['https://pbs.twimg.com/media/E73_KvOWEAc0kWJ?format=jpg&name=small'],https://twitter.com/SeasonsGala/status/1422573619423727619
𓆩evy𓆪,@HazyAngeLevV,2021-08-03T20:38:47.000Z,"𓆩evy𓆪
@HazyAngeLevV
·
8월 4일","Lmao I laminated 100 sheets of paper at work that weren’t supposed to be laminated and my manager goes “thank you 4 going above and beyond with your job all the time” instead of getting mad at me <3 lmao
24",,,,24,[],https://twitter.com/HazyAngeLevV/status/1422658227012055040
Dr Deadass,@ZackOSully,2021-08-03T08:54:35.000Z,"Dr Deadass
@ZackOSully
·
8월 3일","After Saturday, I’m 100% getting silk sheets and pillows cases 
9",🥵,,,9,[],https://twitter.com/ZackOSully/status/1422481009723858944
All U Can Heat,@AllUCanHeat1,2021-08-02T22:10:22.000Z,"All U Can Heat
@AllUCanHeat1
·
8월 3일","*Not Stat-sheets…but 100 Dollar Bills
GIF
Anthony Chiang
@Anthony_Chiang
 · 8월 3일
The expectation has been that Jimmy Butler and the Heat will agree to a max extension when he's eligible to sign one starting Friday. https://miamiherald.com/sports/nba/miami-heat/article253030493.html…
2
19",,,2,19,['https://pbs.twimg.com/profile_images/1039320741550874628/9i1j-kbY_mini.jpg'],https://twitter.com/AllUCanHeat1/status/1422318884368101382
Winnipeg Public Library,@wpglibrary,2021-08-02T16:35:03.000Z,"Winnipeg Public Library
@wpglibrary
·
8월 3일","Looking for inspiration for #NationalColouringBookDay ?
Check out the New York Academy of Medicine's Color Our Collections initiative, where over 100 museums, galleries & libraries are sharing free colouring sheets based on materials in their collections.
http://library.nyam.org/colorourcollections/…
1",,,,1,['https://pbs.twimg.com/media/E7zKvWVX0AUKRX3?format=jpg&name=small'],https://twitter.com/wpglibrary/status/1422234498977210378
