UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
예민한 카페충,@22sensitive2eat,2021-08-25T10:31:04.000Z,"예민한 카페충
@22sensitive2eat
·
Aug 25","공릉(화랑대) / 홀리몰리 베이글리 
한 번 맛보고 탈노원 탈공릉을 외친 베이글 가게! 빵 자체만 뜯어먹어도 겉바속쫄 맛있지만 압권은 베이글 샌드위치임. 치킨과 아보카도 정말 최고다  다만 가게 내부는 좀 번잡스러운 편이라(카페라고 부르긴 애매..) 포장을 추천, 음료는 굳이..?
6
4",😍 👍,,6,4,"['https://pbs.twimg.com/media/E9oT_YyVEAU6lj_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9oT_YlVIAUbfe6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9oT_YpVkAIX6l1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9oT_YoVUAEZXIe?format=jpg&name=360x360']",https://twitter.com/22sensitive2eat/status/1430477822863187968
하세,@hase_lucete,2021-08-24T04:32:27.000Z,"하세
@hase_lucete
·
Aug 23","플립턴 모펀카페! 글리픽 넘예..

#플립턴 #백상언 #리디북스 #오렌지디 #모펀 #콜라보카페
1",,1,,,['https://pbs.twimg.com/media/E9h4UndVoAEJuHl?format=jpg&name=small'],https://twitter.com/hase_lucete/status/1430025187697696771
ㄷㅎ o O (제남자친구는우주최고의빌런입니다),@danho_kim,2021-08-03T12:21:09.000Z,"ㄷㅎ o O (제남자친구는우주최고의빌런입니다)
@danho_kim
·
Aug 3","#웹툰_10작품으로_취향을_드러내자 
어글리후드
숲속의담
고래별
전자오락수호대
도롱이
우리카페사장님이이상하다
각자의디데이
합법해적파르페
귀곡의문
정년이
1
1
5",,1,1,5,[],https://twitter.com/danho_kim/status/1422532991666966533
당근맛토끼,@Carro_rabbit,2021-08-03T05:14:04.000Z,"당근맛토끼
@Carro_rabbit
·
Aug 2","#웹툰_10작품으로_취향을_드러내자

우리 카페 사장님이 이상하다
집이 없어
모죠의 일지
노곤하개
어글리후드
고래별
전자오락수호대
도롱이
개를 낳았다
상그미상
1
7",,,1,7,[],https://twitter.com/Carro_rabbit/status/1422425515688816640
이냔,@ai1p_j,2021-08-26T13:19:43.000Z,"이냔
@ai1p_j
·
Aug 26","카페인과다섭취로 좆됫는데 그림이나 글리게
1",,,1,,[],https://twitter.com/ai1p_j/status/1430882653033558021
조하뫄,@_ChoHaMa___,2021-08-11T12:40:09.000Z,"조하뫄
@_ChoHaMa___
·
Aug 11","#웹툰_10작품으로_취향을_드러내자
베도도 있음
우리카페사장님이이상하다
느린한끼
깜빡깜빡
모죠의일지
대학교수감기록
어글리후드
하얀하늘 꽃구름
일찍자고 일찍일어나기
만유인력의 법칙
집이없어
6
11",,,6,11,[],https://twitter.com/_ChoHaMa___/status/1425436879000797187
의단,@D4NI_IHI,2021-08-06T18:47:24.000Z,"의단
@D4NI_IHI
·
Aug 6","아니 근데 생각해보니까 좀 이상하네
카드 속성이 뭔지 가챠를 돌려서 뽑아야만 알 수 있는거임? 뭐 스파브릴플래글리는 카페 공지사항이나 인게임 출현카드에서 색 확인해보면 된다치고 자속은 어디서 봐?",,,,,[],https://twitter.com/D4NI_IHI/status/1423717359798263811
오무,@Omu_nim,2021-08-04T05:27:07.000Z,"오무
@Omu_nim
·
Aug 3","#웹툰_10작품으로_취향을_드러내자
우리 카페 사장님이 이상하다
원래부터 아무것도 없었던 세계
어글리후드
살아남은로멘스
마왕까지 한 걸음
전자오락수호대
양말도깨비
피와나비

이게...다 인거같은데...?10개..못채우겠음..하지만 위에 8작품은 진짜 내 인생을 갈만함
1
2",,,1,2,[],https://twitter.com/Omu_nim/status/1422791183655342081
안,@not_0401,2021-08-18T22:26:30.000Z,"안
@not_0401
·
Aug 18","어글리후드 카페에
목공 공약을 걸었는데
성공해버렸어요
뭘로하지.. ㅠㅠ",,,,,[],https://twitter.com/not_0401/status/1428121153411850242
안진,@helloworldanjin,2021-08-12T15:21:05.000Z,"안진
@helloworldanjin
·
Aug 12","오늘 친구랑 블로그 얘기하다가
내 글리/엠마 블로그 구경시켜줬는데
다시 생각해도 (벌써 6년전임) 이때 블로그랑 카페하던 열정은 정말 정말 … 대단했던 것 같음
1
1",,1,,1,[],https://twitter.com/helloworldanjin/status/1425839763194449924
이공,@20_twter,2021-08-21T02:41:52.000Z,"이공
@20_twter
·
Aug 20","장르 뭐파냐면
뜰팁 데못죽 이영싫 해포 스듀 어글리후드 좀비고 마크 제겜 전독시(웹툰) 헝거게임 집없 전오수 오늘의순정망화 
등등... 웹툰은 거의 다 보고
카카페웹소도 보고
게임도 이것저것 해요!
5",,,,5,[],https://twitter.com/20_twter/status/1428910192662433795
