UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
옥이,@ddaoogi01,2021-08-20T12:15:13.000Z,"옥이
@ddaoogi01
·
Aug 20","모기 잡으려고 지팡이 휘두르다가 초가삼간 태울거같음
44
49",,,44,49,['https://pbs.twimg.com/media/E9O7x8SVkAA0IE6?format=jpg&name=360x360'],https://twitter.com/ddaoogi01/status/1428692091186466825
코토노하 아오이,@Ko_Aoi_,2021-08-07T05:17:03.000Z,"코토노하 아오이
@Ko_Aoi_
·
Aug 6","집...초가삼간을 아주 다 태워서 모은 돈으로
나이트 글러브. 하나 장만했습니다...
1
2",,1,,2,['https://pbs.twimg.com/media/E8KfZaIVoAAyKiZ?format=jpg&name=small'],https://twitter.com/Ko_Aoi_/status/1423875816392314881
存在&時間 Being and Time,@Beingandtime27,2021-08-01T05:34:02.000Z,"存在&時間 Being and Time
@Beingandtime27
·
Jul 31","MBC, 뉴스공장은 조중동 그리고 종편과 싸우고.

이낙연 지지자들은 MBC, 뉴스공장과 싸운다.

그들은 노무현 재단도 싫어하고 이해찬도 싫어한다.

시작은 이재명이 싫어요였는데, 이제는 초가삼간 다 태우려고 한다.

그리고 이재명이 되면 윤석열 찍는다고. 사람이 아니라 AI?
2
16
19",,2,16,19,['https://pbs.twimg.com/media/E7rp2yPVIAcEkfG?format=jpg&name=small'],https://twitter.com/Beingandtime27/status/1421705762523410435
빛이비치는강,@moonriver_ever,2021-08-23T11:05:07.000Z,"빛이비치는강
@moonriver_ever
·
Aug 23","이해찬이 봐주면서 결국 민주당 초가삼간 다 태우고 제명한 꼬라지. 
1",🌕 🎗,,,1,['https://pbs.twimg.com/media/E9eIm_BUUAMv6Hz?format=jpg&name=900x900'],https://twitter.com/moonriver_ever/status/1429761616485109766
게으른희곰돌,@0808_1122_,2021-08-15T13:58:46.000Z,"게으른희곰돌
@0808_1122_
·
Aug 15","벌레 잡는다고 텐트 전실에 이런 랜턴 파란불만 켜놨는데 화장실 가려고 나갔다가 바깥쪽에 콩 같은 벌레샛기들이 다닥다닥 붙은 거 보고 불쇼할 뻔 괜히 빈대 때문에 초가삼간을 태우는 게 아니야 다 죽여버리고 싶을 만큼 혐오감이 듦 벌레 넘 싫....
1",♥,,,1,['https://pbs.twimg.com/media/E81joyNUUAU7sIt?format=jpg&name=900x900'],https://twitter.com/0808_1122_/status/1426906212625313792
Poly,@hjklhlwj,2021-08-26T02:09:05.000Z,"Poly
@hjklhlwj
·
Aug 25","집값 잡으려다 초가삼간 태울 듯.

기준금리 0.5→0.75% 인상…15개월만에 초저금리 시대 마감(종합) (출처 : 연합뉴스 | 네이버 뉴스) http://naver.me/x7vKQTq4
10",,,,10,[],https://twitter.com/hjklhlwj/status/1430713880800481284
首魁(수괴),@gonzoippai,2021-08-19T05:42:34.000Z,"首魁(수괴)
@gonzoippai
·
Aug 18","사람이 때가 왔다고 다 자기 때는 아니지요. 지 때가 아닌걸 잡으면 저렇게 괜히 초가삼간 탈탈 털어먹고 밑천만 빠지는거 아니게씀미까?
유비(현덕)(황숙)
@ZCghCiwOwCS66Wa
 · Aug 18
Replying to @gonzoippai
준석이 이제 백수 되남유 ㄷㄷㄷ
1
7
4",,1,7,4,['https://pbs.twimg.com/profile_images/1418732045245706243/WMaDQi7A_mini.jpg'],https://twitter.com/gonzoippai/status/1428230892170874881
소나무,@koreanation615,2021-08-18T10:08:18.000Z,"소나무
@koreanation615
·
Aug 18","오히려!

어제날 우리 인민은 보름달을 바라보며 달속의 계수나무를 옥도끼로 찍어내고 금도끼로 다듬어 초가삼간을 짓고 살고싶다고 소원하군 하였다.하다면 오늘날에는 보름달이 궁궐같은 살림집들에서 행복한 삶을 누리는 우리 인민들을 보며 자기의 소원을 말하고있지 않을가?
#보름달,#살림집",,,,,"['https://pbs.twimg.com/media/E9EH-RzVoAYdxPw?format=jpg&name=small', 'https://pbs.twimg.com/media/E9EH-SuVoAMU4Mh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9EH-TxUcAs5lkj?format=jpg&name=360x360']",https://twitter.com/koreanation615/status/1427935377784852488
올~인 이제 이낙연으로!,@jmh9114,2021-08-29T09:53:27.000Z,"올~인 이제 이낙연으로!
@jmh9114
·
Aug 29","김영춘, 언론법 강행에 반대..""빈대잡으려다 초가삼간 태워"" | 다음 뉴스 https://news.v.daum.net/v/20210829181521367… 
언중법  국민대다수찬성인데  반대하는의원나리들은 무슨이유임? 조.중.동 이무서워서?
김영춘, 언론법 강행에 반대..""빈대잡으려다 초가삼간 태워""
(서울=연합뉴스) 윤지현 기자 = 김영춘 전 해양수산부 장관이 더불어민주당의 언론중재법 강행 처리 방침에 대해 ""빈대 잡으려다 초가삼간 다 태우는 것""이라며 우려를 표했다. 4·7 부산시장 보궐선거에서 민주당 후보로 나섰다 낙선한 김 전 장관은 28일 페이스북에서 ""민주당 안을 일방적으로 처리해버리면 어쩔 수 없이 민주주의의 문제가 제기될 수밖에 없다""며
news.v.daum.net
1",,,,1,['https://pbs.twimg.com/card_img/1434470486927286272/harVuxs_?format=jpg&name=small'],https://twitter.com/jmh9114/status/1431917906883854342
푸른곰,@purengom,2021-08-13T23:33:07.000Z,"푸른곰
@purengom
·
Aug 13","떠오르는건 기계적으로 캡쳐해서 올리는 불법 업로드를 막아보려고 수를 쓴거 같은데 빈대 잡으려고 초가삼간 태운다는 말을 이럴때 쓰지 어따 쓰나 싶군.
마사토끼
@masatokki
 · Aug 12
어떻게좀 해줘.....어떻게든 할수없다면 구버전이라도 계속 쓸수있게 해줘....
10
3",,,10,3,"['https://pbs.twimg.com/profile_images/627062858136731648/IfquL-F__mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1426013536984076288/pu/img/xKQrDBHT0Lp8BGDl.jpg']",https://twitter.com/purengom/status/1426325979316719617
11월까지 접속x 이비,@Jamil__kanojo,2021-08-01T09:55:25.000Z,"11월까지 접속x 이비
@Jamil__kanojo
·
Aug 1","@탐라
드림컾 같이잇는데 벌레나오면(...대충 바퀴벌레가튼,)잡는쪽 누구임
아니면 둘다 도망치나요

재아가 잡습니다(쟈밀쥰내꼬라봄
빨리 처리하지 않으면 쟈밀놈이 초가삼간 다 태워먹을거니까… 

 후… 근데 방금 뭐로 잡은거지?
 그냥 근처에 있던… 선배 연금술 교과서요.
 키사마아아아
8",🐍 🕷 🐍,,,8,[],https://twitter.com/Jamil__kanojo/status/1421771542036324356
어~흥!,@longnps,2021-08-29T10:51:43.000Z,"어~흥!
@longnps
·
Aug 29","김영춘, 언론법 강행에 반대..""빈대잡으려다 초가삼간 태워"" | 다음 뉴스 https://news.v.daum.net/v/20210829181521367… 당장 통과해도 니들만 잘 하면 어떤문제도 없다. 당신 같이해서는 할 수 있는 게 아무것도 없다. 국짐당은 대안도 없이 방해만 하려고 하기 때문이다. 국회의원 좋은 소리만 듣고 잘하겠다.
김영춘, 언론법 강행에 반대..""빈대잡으려다 초가삼간 태워""
(서울=연합뉴스) 윤지현 기자 = 김영춘 전 해양수산부 장관이 더불어민주당의 언론중재법 강행 처리 방침에 대해 ""빈대 잡으려다 초가삼간 다 태우는 것""이라며 우려를 표했다. 4·7 부산시장 보궐선거에서 민주당 후보로 나섰다 낙선한 김 전 장관은 28일 페이스북에서 ""민주당 안을 일방적으로 처리해버리면 어쩔 수 없이 민주주의의 문제가 제기될 수밖에 없다""며
news.v.daum.net",,,,,['https://pbs.twimg.com/card_img/1434470486927286272/harVuxs_?format=jpg&name=small'],https://twitter.com/longnps/status/1431932572100030465
🖒감자깡.勳,@kamjakkang20,2021-08-05T12:52:26.000Z,"🖒감자깡.勳
@kamjakkang20
·
Aug 5","문재인 대통령이 재조산하 하시면 뭐하나.
정권 내주면 말아멱는거 한순간인데.
윤석열, 최재형 하는거 봐라.  한달도 안걸리겠드라.

정권 내 주고 5년 내내 대통령 욕해봤자 쓸데 없는거.

최악은 막아야 될거 아닌가.
추미애는 그런 취지로 말 한거지.
빈대잡자고 초가삼간 태우지는 말자.
4
3",🌝 🌕 👍,,4,3,[],https://twitter.com/kamjakkang20/status/1423265640500973574
재이,@Dreaming_Jae_E,2021-08-01T16:53:27.000Z,"재이
@Dreaming_Jae_E
·
Aug 1","이안이 이대로 이 집을 태우자는 말을 할듯
재이: 와 박기볼래 잡자고 초가삼간 다 태우는 동방대륙 클라스
재이
@Dreaming_Jae_E
 · Aug 1
@@@탐라 드림컾 같이잇는데 벌레나오면(...대충 바퀴벌레가튼,)잡는쪽 누구임 아니면 둘다 도망치나요

요재: 재이 거미마냥 벽에 붙어서 거의 우는데 요한이 잡아줌..

이재: 걍 둘 다 집 버리고 나감 
박기볼래야 이 집 너 가져 하고
Show this thread",,,,,['https://pbs.twimg.com/profile_images/1420687822470586368/GdchJa2L_mini.jpg'],https://twitter.com/Dreaming_Jae_E/status/1421876741417553928
이트,@Itgoeslike_,2021-08-02T16:08:45.000Z,"이트
@Itgoeslike_
·
Aug 2","아니 졸부새끼들 할 줄 아는건 없고 있는건 돈밖에 없어서 이런 개병신같은 초가삼간 플랫폼 만들어놓고 사람만 우겨넣으면
4
5",,,4,5,[],https://twitter.com/Itgoeslike_/status/1422227882932244480
요이땅,@melonjambakery,2021-08-21T01:00:14.000Z,"요이땅
@melonjambakery
·
Aug 20",글쓰자마자는 뿌서진 초가삼간임...,,,,,[],https://twitter.com/melonjambakery/status/1428884616908214274
후래,@wninflix,2021-08-13T15:48:05.000Z,"후래
@wninflix
·
Aug 13","왤케… 다 망해버린 게 보고 싶지
빈대 잡다 초가삼간 다 태운 관계 원해
1",,,,1,[],https://twitter.com/wninflix/status/1426208947212410888
숭,@S_oong_2,2021-08-07T05:25:26.000Z,"숭
@S_oong_2
·
Aug 6","강권주 장규아한테 요리 두번 해줫다간 초가삼간 다날라가것네
3",,,,3,[],https://twitter.com/S_oong_2/status/1423877924491382787
요이땅,@melonjambakery,2021-08-18T12:42:06.000Z,"요이땅
@melonjambakery
·
Aug 18",ㅋㅋㅋㅋㅋ 썰풀다가... 초가삼간 불타는줄 모르고...,,,,,[],https://twitter.com/melonjambakery/status/1427974082713186313
순두부,@leadertofu8,2021-08-25T07:14:01.000Z,"순두부
@leadertofu8
·
Aug 25",빈대 잡으려다 초가삼간 다 태워먹는 케이큐,🤍,,,,[],https://twitter.com/leadertofu8/status/1430428233867030535
✦미쿠리(•̀ㅂ•́)و✦,@MIKURI_0826,2021-08-22T09:49:22.000Z,"✦미쿠리(•̀ㅂ•́)و✦
@MIKURI_0826
·
Aug 22","ㅁㅈ요 초가삼간 다 털린다고요 내 그림 특징 뭐 별로 잇지도 않은데ㅜ
1",,,,1,[],https://twitter.com/MIKURI_0826/status/1429380163934973955
욘,@dlawndus04,2021-08-29T03:42:16.000Z,"욘
@dlawndus04
·
Aug 28","빈대 하나에 초가삼간 태운다? 이 속담 타밀어로도 있대서 빈대 무서워하는건 만국공통이구나 싶었다 그나저나 울집에 빈대있으면 어카냐
1",,,,1,[],https://twitter.com/dlawndus04/status/1431824495665303552
아이사 오너 이고 황제,@TKTKLLLL_,2021-08-19T16:03:47.000Z,"아이사 오너 이고 황제
@TKTKLLLL_
·
Aug 19","시데레우스로 모기자비ㅣ
=빈대잡다 초가삼간태우기
3
5",,,3,5,[],https://twitter.com/TKTKLLLL_/status/1428387227478855682
구니,@DIzzine_SS,2021-08-02T10:47:23.000Z,"구니
@DIzzine_SS
·
Aug 2","잘했어ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 저번주에 이어서 신기하다 나같으면 그래 다 부셔라 부셔~~~와~~~~(짝짝짝)벼룩 잡는다고 초가삼간 태울 인간이 여기 잇네~~~~(짝짝짝)
2",,,,2,[],https://twitter.com/DIzzine_SS/status/1422147008194695171
핑핑이 R 언제사지,@pxxgping205,2021-08-30T01:43:54.000Z,"핑핑이 R 언제사지
@pxxgping205
·
Aug 29","포카는 이쁜거만 모을려고했는데 이러다간 초가삼간 다털리게 생김 그냥 최차애만 모아야하나
1
1",,1,,1,[],https://twitter.com/pxxgping205/status/1432157093830676482
NSP통신,@nsppress,2021-08-20T06:09:20.000Z,"NSP통신
@nsppress
·
Aug 19","‘마통한도 대폭축소, 빈대 잡으려다 초가삼간 태워’ 국민청원 등장(금융/증권)
‘마통한도 대폭축소, 빈대 잡으려다 초가삼간 태워’ 국민청원 등장(금융/증권) - NSP통신
신용대출 한도를 연봉수준 이하로 줄이라고 요청한 것을 두고 금융소비자들이 분통을 터트리고 있다. 20일 청와대 국민청원 게시판에는 ‘신용대출, 마이너스 통장의 한도를 대폭 줄인다는 금융위의 권고 철회해 주시기 바랍니다’라는 제목의 청원이 올라왔다. 청원인은 “신용대출과 마이너스 통장 한도 축소를 보고 경악을 금치 못했다”며 “금융위의 입장에서 대출총량에 대
nspna.com",,,,,['https://pbs.twimg.com/card_img/1441391450680266757/U3qrfWVB?format=jpg&name=240x240'],https://twitter.com/nsppress/status/1428600014478086151
한한하고우는하니즈,@gkslwm,2021-08-30T14:25:54.000Z,"한한하고우는하니즈
@gkslwm
·
Aug 30","요즘 밤에 쌀쌀하다고 밤마다 장작넣는건 아니겠지...?
그러나 초가삼간 다 태운다 
ㅈㄱ 듣고 있냐? 
너 말야 듕국
너너너너
1",💪,,,1,[],https://twitter.com/gkslwm/status/1432348857690591233
Nosa Kang,@naturkang,2021-08-30T10:41:05.000Z,"Nosa Kang
@naturkang
·
Aug 30","#언론중재법 으로써 #민주당 은 #민주주의 를 포기하려 하는가?  ""빈대 잡으러 초가삼간 다 태운다.""",,,,,[],https://twitter.com/naturkang/status/1432292281168510985
