UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
세레나,@Summer_Serena_,2021-08-02T04:23:52.000Z,"세레나
@Summer_Serena_
·
8월 2일","#열럼입맛찾기프로젝트

브루클린더버거조인트 가로수길점

지인의 추천으로 가보게 된 버거집!! 분위기도 미국스럽게 좋고! 패티도 맛있고 디저트로 시킬 수 있는 아이스크림도 맛있어서 좋았어
1
5",👑 😄 😄,,1,5,['https://pbs.twimg.com/media/E7wjY0ZUcAIbIKp?format=jpg&name=small'],https://twitter.com/Summer_Serena_/status/1422050494281785348
치곤,@clrhsWkd,2021-08-01T04:30:45.000Z,"치곤
@clrhsWkd
·
8월 1일","박카마 기다리면서 오늘도 브루클린더버거조인트 콩이랑 병마니 포카를 오늘 두고와서 공포 생기기 전에 들고다녓던 자급자족 포카로 대체함 ...
3",😍,,,3,['https://pbs.twimg.com/media/E7rbW8ZVUAASuXE?format=jpg&name=small'],https://twitter.com/clrhsWkd/status/1421689834922405889
라부,@martyr4lh,2021-08-23T05:25:38.000Z,"라부
@martyr4lh
·
8월 23일","#이_거맛있어_협
브루클린 더 버거 조인트 가로수길점

어제 동윤이가 추천해준곳! 친구가 애플스토어 갈 일이 있어서 간 김에 먹고왔징 체리 어쩌구 음료 시켯는데 마싯드라
3",📍 😋 〰 😎,,,3,['https://pbs.twimg.com/media/E9c66EtVcAURfMw?format=jpg&name=small'],https://twitter.com/martyr4lh/status/1429676183193481219
𝙨𝙪𝙢𝙢𝙚𝙧,@summer105_,2021-08-25T07:09:52.000Z,"𝙨𝙪𝙢𝙢𝙚𝙧
@summer105_
·
8월 25일","브루클린 더버거 조인트
3
5",,,3,5,"['https://pbs.twimg.com/media/E9nl7nmUUAUigWj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9nl7nkUUAEfJQw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9nl7njUUAEPtsa?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9nl7ntVUAUhwbr?format=jpg&name=360x360']",https://twitter.com/summer105_/status/1430427186876452867
로원,@Ro1_mcu,2021-08-30T06:46:22.000Z,"로원
@Ro1_mcu
·
8월 30일","시사회 전에 브루클린더버거조인트 이촌점에서 먹을려고 했는데ㅋㅋㅋㅋㅋ ㅅㅂ
2",🌷,,,2,[],https://twitter.com/Ro1_mcu/status/1432233214022602756
ᴊᴏʟɪᴇ,@Sj0shua2,2021-08-12T14:28:23.000Z,"ᴊᴏʟɪᴇ
@Sj0shua2
·
8월 12일","오늘 먹은 미국맛 버거 
가로수길 - 브루클린 더 버거 조인트
#조슈아_먹어보슈아 ❤︎
2
1",🍔 🥤 ❕,,2,1,"['https://pbs.twimg.com/media/E8mNolaVUAcHio1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8mNolXVIBE2PZd?format=jpg&name=360x360']",https://twitter.com/Sj0shua2/status/1425826504458477577
짱유세,@endbtp2,2021-08-13T04:08:44.000Z,"짱유세
@endbtp2
·
8월 13일","나랑 브루클린더버거조인트갈사람
수제버거집같애
햄버거는 맛있으니까 히히
이름 뭐로하지
@rnehrrP8289
 · 8월 13일
브루클린더버거조인트(7,800~)
미즈 컨테이너(12,000~)
카츠젠(7,000~)
멘야 하나비(9,000~)
아비꼬(6,500~)
고봉삼계탕(12,000~)
강강술래(8,000~)
봉피양(13,000~)
무월(11,000~)
리화쿵부
마마스(7,800~)
뉴오리진(음료 4,600~/디저트 3,600~)
그 근처 맛집들이에요! twitter.com/bbddmmjj/statu…
2",,,,2,['https://pbs.twimg.com/profile_images/1426019253644271619/pryp22_2_mini.jpg'],https://twitter.com/endbtp2/status/1426032951532285954
탕,@sugartowngrl,2021-08-06T12:05:41.000Z,"탕
@sugartowngrl
·
8월 6일","나는 뭔가에 꽂히면 언제나 그 순간의 느낌대로 그냥 질릴때까지 먹는 타입인데 최근의 thing은 버르게리따와 코울슬로야 주변에 브루클린더버거조인트가 있는 분들 코울슬로는 꼭 시도해보세욥 아주 적당한 산미로 절인 양배추와 크리미한 마요 조합이 너무 기분 조은 맛
2",,,,2,[],https://twitter.com/sugartowngrl/status/1423616262622515201
달달🄱🅄🅃🅃🄴🅁,@I_say_ssaem,2021-08-24T11:18:22.000Z,"달달🄱🅄🅃🅃🄴🅁
@I_say_ssaem
·
8월 24일","브루클린더버거조인트 라고 썼더니
입에 침이 고이는데
먹은지 너므 오래대서ㅠㅠ
무슨 맛인지 안 떠올라ㅠㅠㅠㅠㅠㅠㅠ",🌳 🐥,,,,[],https://twitter.com/I_say_ssaem/status/1430127339946483716
샷,@D__E__N__Y,2021-08-26T08:17:05.000Z,"샷
@D__E__N__Y
·
8월 26일","브루클린더버거조인트 저번에 궁이가 추천해준 곳이엇나???
1",,1,,,[],https://twitter.com/D__E__N__Y/status/1430806493582925831
여름,@sumx2ertime,2021-08-11T08:59:59.000Z,"여름
@sumx2ertime
·
8월 11일",브루클린더버거조인트 먹고싶음,,,,,[],https://twitter.com/sumx2ertime/status/1425381469539631106
감Zㅑ,@Gam_zIA,2021-08-16T03:00:02.000Z,"감Zㅑ
@Gam_zIA
·
8월 16일","브루클린더버거조인트 모든 버거 맛보기!
1",,1,,,[],https://twitter.com/Gam_zIA/status/1427102827034202118
