UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
물물이단 단장 물물쓰 오딜리아𝓐,@mulmuls_othilia,2021-08-02T19:47:55.000Z,"물물이단 단장 물물쓰 오딜리아𝓐
@mulmuls_othilia
·
Aug 2","흐린 저녁의 커피테이블

원두: 콘삭 헤이즐넛
커피도구: 킨토 카라페 드립세트
잔: 게이또 임페리얼&마블 커피잔

흐린 날씨에 헤이즐넛이 당겨서 저녁에 커피 한 잔

#물물홈카페
3",🐾 💜 😋,,,3,['https://pbs.twimg.com/media/E7z24dnVEAEAIvV?format=jpg&name=900x900'],https://twitter.com/mulmuls_othilia/status/1422283036578570244
토끼,@eifuwiebi45,2021-08-08T01:04:22.000Z,"토끼
@eifuwiebi45
·
Aug 7","전 오늘 홍대생카를 돌려갑니당
아쉽게도 캐랜은 못보지만 생카라도 만족을 하려고 해요!! 혹시 나중에 볼수있으면 꼬옥 보고싶어요 우리 트친님들 맨처음 익커피갑니당
2
8",❄ 💛 😊 😎,2,,8,['https://pbs.twimg.com/media/E8OvQNSUYAMun8Z?format=jpg&name=900x900'],https://twitter.com/eifuwiebi45/status/1424174615408955398
ᙅ⩬ 힝,@8991_TK,2021-08-11T06:04:36.000Z,"ᙅ⩬ 힝
@8991_TK
·
Aug 10","카라쨩... 커피타조
1",,,,1,[],https://twitter.com/8991_TK/status/1425337335105822722
ᐢ..ᐢ냥냥펀치^•ﻌ•^,@NYANGx2_punch,2021-08-02T08:46:22.000Z,"ᐢ..ᐢ냥냥펀치^•ﻌ•^
@NYANGx2_punch
·
Aug 2","꽃시장 휴가로 카라 대신 하얀폼폼으로 순수터끼의 라팜팜맞이 준비

(feat. 포돌이 사주는 별다방 커피 치얼스)

#RAPAMPAMwithGOLCHA #골든차일드_컴백에_심장이_라팜팜 #GoldenChild  #골든차일드  #RaPamPam  #라팜팜  #GAME_CHANGER
2
7",🤍,,2,7,['https://pbs.twimg.com/media/E7xfd2ZUcAAziiW?format=jpg&name=small'],https://twitter.com/NYANGx2_punch/status/1422116554683031557
세모나,@saysaymona90,2021-08-07T02:33:25.000Z,"세모나
@saysaymona90
·
Aug 6",안돼겠다 멀린 뽑으면 커피 깊카라도 쏴야지.....,,,,,[],https://twitter.com/saysaymona90/status/1423834638217211907
치치,@ciciceah_,2021-08-03T11:23:03.000Z,"치치
@ciciceah_
·
Aug 3","커피가쓴걸뭐어카라고시럽넣어서먹어라
1
2",,1,,2,[],https://twitter.com/ciciceah_/status/1422518370843303938
ꞤⱯⱮ𝐈𝐘𝐔,@Namiyu_Boricha,2021-08-27T16:57:17.000Z,"ꞤⱯⱮ𝐈𝐘𝐔
@Namiyu_Boricha
·
Aug 27","#자캐의_커피_취향
아카라이 :
블랙. 각설탕 하나, 크림 1 티스푼.
1
1",🦾 🤖 ☄,1,,1,[],https://twitter.com/Namiyu_Boricha/status/1431299794731896833
나랑 개츠비 커 뛸래 ? 싯구,@SIT9U1118,2021-08-11T14:39:40.000Z,"나랑 개츠비 커 뛸래 ? 싯구
@SIT9U1118
·
Aug 11","밀크티도 카페인이었어 바가바가나노빡대가리나노 커피또밀크티닷카라 바본가
5",,,,5,[],https://twitter.com/SIT9U1118/status/1425466956367290378
,@yGGhT3hGh9YFpQi,2021-08-10T08:07:21.000Z,"@yGGhT3hGh9YFpQi
·
Aug 10",오쉬발 생각없이 메가커피 앱 들어갔더니 7일남은 쿠폰 있었네 얏호 카라마끼 사러 갈거당~,🥥,,,,[],https://twitter.com/yGGhT3hGh9YFpQi/status/1425005837852975104
엔지니어(전 차가운 사담계),@Engineerjavan,2021-08-04T07:08:55.000Z,"엔지니어(전 차가운 사담계)
@Engineerjavan
·
Aug 4","#자캐는_홍차파_or_커피파

뮤노즈 ""나는 홍차구만, 무엇보다 커피의 쓴맛은 그다지 좋아하지 않아.""

카라논 ""둘다 별로, 마실꺼면 탄산음료쪽이 더 나아.""

라이온 하트 ""그... 저는... 둘다 별로에요... 그냥 물이 좋아요...""",,,,,[],https://twitter.com/Engineerjavan/status/1422816805370826755
PAVE @相互フォロー 맞팔 F4F followback 100%,PAVE @相互フォロー 맞팔 F4F followback 100%,2021-08-30T03:18:21.000Z,"PAVE @相互フォロー 맞팔 F4F followback 100%
@mabenoge
·
Aug 29","흥천면 초록색 쿨링티 청찹장 태안꽃 커피존 키즈카 코트도 태명조 케이팦 첫차가 차전차 타워링 찔찔이 처리자 촌티녀 찰기장 컴온요 카라향 차수리 채묘틀 태화길 칼라핀 토지인 초록펜 충도길 천소매 탑티켓 최진용 톱스타 탑원단 경기도 FOLLOW
YXLR",,,,,[],https://twitter.com/mabenoge/status/1432180863685599235
roasterK,@roasteryK,2021-08-28T04:39:58.000Z,"roasterK
@roasteryK
·
Aug 27","만약 당신이 네임 밸류에 얽매이지 않는 로스터라면, 볼리비아 카라나비는 꼭 볶아봐라. 한마디로 커피의 완성형에 가깝다. 다만 볼리비아는 맛으로 등급을 구분하니, 싼 맛에 A등급 사서 볶았다가 욕하지는 말고... 최소 AA등급부터가 진짜다.",,,,,[],https://twitter.com/roasteryK/status/1431476628756959236
스짱,@sz0353,2021-08-24T13:09:53.000Z,"스짱
@sz0353
·
Aug 24","ㅇ0ㅇ! 가끔 했던 생각인데 역시 커피체리(씨를 감싼 외부 과육)를 이용하려는 시도는 계속 있어왔구나
카스카라라는 이름으로 차를 만들기도 한다네
1",,,,1,[],https://twitter.com/sz0353/status/1430155400498728965
19話狂,@nhafori,2021-08-13T04:15:55.000Z,"19話狂
@nhafori
·
Aug 12","그거같애 초등생 쭈시에게 예쁜 모양 식빵주고 나머지 바스카라보고 많이 먹으라고 부스러기까지 모아서 줄듯
선생님 ㅠㅠ!! 이러고 징징거려도 양호이치 그저 커피만 후루룩 마시는중
1
2",🌻,,1,2,[],https://twitter.com/nhafori/status/1426034758102835200
블랙벨트마미,@mariannacho,2021-08-10T06:27:56.000Z,"블랙벨트마미
@mariannacho
·
Aug 9","일곱명이 음료 주문하는데 일곱잔 각각 다르게 시키는 우리팀. 커피는 아아와 콜드브루로 나뉘고, 라떼는 아카라, 아바라, 녹차라떼까지 다양. 주문하면서 까페에 좀 미안했음
2
1",😑,2,,1,[],https://twitter.com/mariannacho/status/1424980818330460162
