UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Fan HQ,@FanHQ,2021-08-30T16:22:54.000Z,"Fan HQ
@FanHQ
·
8월 31일","Tony Oliva is slinging ink at the #mntwins booth at the #mnstatefair! Stop by our booth in the grandstand & pick up a baseball to get signed.
1
5
57",,1,5,57,['https://pbs.twimg.com/media/E-DUeEKXoAMGv7F?format=jpg&name=small'],https://twitter.com/FanHQ/status/1432378304351383552
madi oliva,@madi_oliva,2021-08-29T20:28:49.000Z,"madi oliva
@madi_oliva
·
8월 30일","posting because i’m cute
3
23",,,3,23,"['https://pbs.twimg.com/media/E9_DKxeVcAEtsDL?format=jpg&name=small', 'https://pbs.twimg.com/media/E9_DKxdUUAAOTan?format=jpg&name=small']",https://twitter.com/madi_oliva/status/1432077801994153986
NCCAA,@TheNCCAA,2021-08-30T18:35:33.000Z,"NCCAA
@TheNCCAA
·
8월 31일","Congratulations to Nahomi Oliva of Southwestern Christian University, DI Women’s #NCCAASoccer (Offensive) Student-Athlete of the Week! #PlayForHim https://the-n.cc/2UYkHCX
7
13",,,7,13,['https://pbs.twimg.com/media/E-Dyvx8XoAkM7TD?format=jpg&name=small'],https://twitter.com/TheNCCAA/status/1432411684468047881
56 Cigars & Books,@brucemilstein,2021-08-30T00:04:07.000Z,"56 Cigars & Books
@brucemilstein
·
8월 30일","First up an Oliva Serie V Nub
37",,,,37,['https://pbs.twimg.com/media/E9_0b-JXoBAv8LG?format=jpg&name=small'],https://twitter.com/brucemilstein/status/1432131984093024256
Shakil Ahmed,@shakila91163724,2021-08-29T13:01:24.000Z,"Shakil Ahmed
@shakila91163724
·
8월 29일","#EMPOWERRR was on 

The show was just GREAT. Everybody gave their all & every match delivered.

It was lovely to see NWA, AEW, AAA & IMPACT working together.

Mickie's vision was marvelous.
@topropesquishy
 @melissax1125
 @wolfkingvillian
 @JD_Oliva
 @slick2099
GIF
1
3
16",🔥 🔥 🔥 💥 😍 🌟 🌟 🌟 🌟 🌟,1,3,16,['https://pbs.twimg.com/tweet_video_thumb/E99cwg9VkAEZxO6.jpg'],https://twitter.com/shakila91163724/status/1431965205588627463
Casa Lettori,@CasaLettori,2021-08-29T06:46:38.000Z,"Casa Lettori
@CasaLettori
·
8월 29일","In Sicilia ancora oggi è profondamente radicata anche la tradizione di lasciare essiccare i pomodorini di Pachino per poi conservarli in olio di oliva

#GastronomiaNelMondo a #CasaLettori
3
12
26",,3,12,26,"['https://pbs.twimg.com/media/E98G_JvXsAUZl37?format=jpg&name=small', 'https://pbs.twimg.com/media/E98G_UgXMAMChFU?format=jpg&name=small']",https://twitter.com/CasaLettori/status/1431870893970571269
Verde Aquelarre,@verdeaquelarre,2021-08-30T01:29:23.000Z,"Verde Aquelarre
@verdeaquelarre
·
8월 30일","¡Oro para México!
¡Monica Oliva Rodriguez supera el record mundial y es la mas rapida en su categiria! 
Con esta medalla, México acumula 100 medallas de oro
39
256",,,39,256,['https://pbs.twimg.com/media/E-AH58AXEAUA2rU?format=jpg&name=small'],https://twitter.com/verdeaquelarre/status/1432153442953404423
Q'hubo TV Oficial,@Qhubotvoficial,2021-08-29T18:02:22.000Z,"Q'hubo TV Oficial
@Qhubotvoficial
·
8월 30일","#QhuboTV | ¡SELLADA LA UNIDAD TOTAL! Así fue el efusivo abrazo entre Papi a la Orden y Mauricio Oliva en la gran concentración cachureca que se celebró en #Choluteca.
5
10
28",,5,10,28,"['https://pbs.twimg.com/media/E9-hpq0WQAAtDL1?format=jpg&name=small', 'https://pbs.twimg.com/media/E9-hppsWUAIB8ZE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9-hpqwWYAIm4zQ?format=jpg&name=360x360']",https://twitter.com/Qhubotvoficial/status/1432040946846347266
Tradi Católico,@TradiCatolico,2021-08-30T11:00:07.000Z,"Tradi Católico
@TradiCatolico
·
8월 30일","30 AGOSTO - SANTA ROSA DE LIMA 

Nacida en Lima, Perú, en 1586, casi un siglo después del descubrimiento del Nuevo Mundo, Isabel Flores de Oliva es la primera flor de santidad producida por América.
2
26
63",,2,26,63,['https://pbs.twimg.com/media/E-CKl42WUBIZnYF?format=jpg&name=900x900'],https://twitter.com/TradiCatolico/status/1432297070380060680
MARCELA PEREZ PAZ,@MarcelaErcia,2021-08-29T23:29:22.000Z,"MARCELA PEREZ PAZ
@MarcelaErcia
·
8월 30일","#MarceTeAyuda
@marieladesonora
@WinWithMeBert
 
@RiverPlate_2020
@ArleinQ
@ortizmedical
@CelsoKristen
@edixon_teran21
@Pedrinellimass1
@marzella007
@MariposaAdriQba
 
@Reme874
@oliva_yanez
13
14
31",🕉 🐉 ♎ ⚖ 🍒 🌈 🍒 🌈 🍒 🌈 🍒 🔮 🌈 🍒 🌈 🍒 🌈 🍒 🌈 🧵 🧵 🧵 🧵 🧵 🧵 🧵 🧵 🧵 🧵 🧵 🧵,13,14,31,['https://pbs.twimg.com/media/E9_seDcWEAYAqrG?format=jpg&name=small'],https://twitter.com/MarcelaErcia/status/1432123238541316104
