UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Ezequiel,@zekezekeze,2021-08-13T19:06:58.000Z,"Ezequiel
@zekezekeze
·
8월 14일"," @norabar
 1
9",👇 👇,,1,9,['https://pbs.twimg.com/media/E8sW_ZXWQAgPVPe?format=jpg&name=small'],https://twitter.com/zekezekeze/status/1426259000534917120
Bodeguita Ithur,@BodeguitaIthur,2021-08-20T15:48:42.000Z,"Bodeguita Ithur
@BodeguitaIthur
·
8월 21일"," Breaking news 
Le damos una mano a 
@norabar
 en la divulgación científica
5
18",📢 📢,,5,18,['https://pbs.twimg.com/media/E9Psv6SWYAoevp_?format=jpg&name=small'],https://twitter.com/BodeguitaIthur/status/1428745818731958275
Nicolás Feierherd,@flaicaster,2021-08-04T15:42:20.000Z,"Nicolás Feierherd
@flaicaster
·
8월 5일","los científicos más locos del mundo. cc 
@norabar
2
4",,,2,4,['https://pbs.twimg.com/media/E79RwGFWYAEQkrX?format=jpg&name=900x900'],https://twitter.com/flaicaster/status/1422946010955927556
Fede,@Fedwr,2021-08-29T20:47:49.000Z,"Fede
@Fedwr
·
8월 30일","Curva de casos en Argentina actualizada con los reportes diarios de #COVID19argentina al 29/8 diseñada por 
@TotinFraire
.
@norabar
 @jorgeluisaliaga
 @infomapache
 @Andrea_Gentil
.
1
16
33",,1,16,33,"['https://pbs.twimg.com/media/E9_Hd-CX0AUvf2R?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9_Hd-KWUAEPhHK?format=jpg&name=360x360']",https://twitter.com/Fedwr/status/1432082584511655938
Alicia Dickenstein,@ADickenstein,2021-08-20T18:23:14.000Z,"Alicia Dickenstein
@ADickenstein
·
8월 21일","Muy interesante: miércoles 15/8, 18 hs: ""Alimentos, la tecnología detrás de lo que comemos"", con Noemí Zaritzky, Alfredo Calvelo y Sergio Britos. Modera 
@norabar
 Organiza 
@AncefnA
, con apoyo del C3 y 
@ciencia_ar
. Por el canal de youtube del Centro Cultural de la Ciencia
5
11",,,5,11,['https://pbs.twimg.com/media/E9QP6uyWQAYLQpP?format=jpg&name=small'],https://twitter.com/ADickenstein/status/1428784707777482753
Ga,@VioletaAzulada5,2021-08-04T19:39:44.000Z,"Ga
@VioletaAzulada5
·
8월 5일","Yo quiero la muñequitx de 
@norabar
  @ernestorr
  @mmbarrionuevo
 @LibertadDoctora
  y 
@AndrealebuPJ
  entre otras para armarnos un seleccionado nacional! Qué opinan compañeres? 
15
11
118",✌ 💕,15,11,118,['https://pbs.twimg.com/media/E7-IMIvXMAAbcmO?format=jpg&name=small'],https://twitter.com/VioletaAzulada5/status/1423005751950422025
Mujeres Con Ciencia,@mujerconciencia,2021-08-08T07:40:02.000Z,"Mujeres Con Ciencia
@mujerconciencia
·
8월 8일","#HaceUnAño ""Diez preguntas que la ciencia (todavía) no puede contestar""
Un libro de 
@norabar
Diez preguntas que la ciencia (todavía) no puede contestar - Mujeres con ciencia
Diez preguntas que la ciencia (todavía) no puede contestar. Nora Bär. Hallazgos científicos. Incógnitas. Historia de la ciencia occidental.
mujeresconciencia.com
3
4",,,3,4,[],https://twitter.com/mujerconciencia/status/1424274184918667266
Distintas Latitudes,@DLatitudes,2021-08-30T21:11:43.000Z,"Distintas Latitudes
@DLatitudes
·
8월 31일","Conversatorios del Foro #CovidYMásAllá 

 ¿Un nuevo horizonte para el periodismo científico a partir de la pandemia? 

Una charla con 
@norabar
, 
@andre_biernath
@ceciliarosen
, Gema Revuelta y 
@FlorBallarino
Registro aquí https://docs.google.com/forms/d/e/1FAIpQLSeXUarefyNJq-rTq5ST2C_2eL9l19uUI40dx167W_MDhUS39A/viewform…
3
6",🚀 🌅 🧪 👇,,3,6,"['https://pbs.twimg.com/media/E-EWe6tXIAk3ijC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-EWe9WWEAYS5w7?format=png&name=360x360']",https://twitter.com/DLatitudes/status/1432450987160178691
El Groncho y la Dama,@decabeza2s,2021-08-04T14:59:40.000Z,"El Groncho y la Dama
@decabeza2s
·
8월 4일","Hola, 
@norabar
, vengo acá a recordarte lo que escribiste meses atrás. Ahora, a punto de hacernos combinar vacunas porque no hay segunda de Sputnik ni para las putas de Alberto. Vas a pedir perdón o no?
1
2",,,1,2,['https://pbs.twimg.com/media/E79H0ITWQAYPGY2?format=png&name=small'],https://twitter.com/decabeza2s/status/1422935272069771272
Dyvulgativa,@Dyvulgativa,2021-08-02T01:45:43.000Z,"Dyvulgativa
@Dyvulgativa
·
8월 2일","Por la misma razón que se abandonó la búsqueda del éter o del flogisto...

Recontraten a 
@norabar
 y dejen de hacer papelones.
LA NACION
@LANACION
 · 8월 2일
Enigma prehistórico: por qué la ciencia decidió abandonar la búsqueda del eslabón perdido https://bit.ly/3lipoCv
10
16
190",,10,16,190,"['https://pbs.twimg.com/profile_images/1335758212277145603/UmOv10VQ_mini.jpg', 'https://pbs.twimg.com/media/E7v8ngZX0AABkyA?format=png&name=small']",https://twitter.com/Dyvulgativa/status/1422010690815025153
Bestiari,@Bestiario123,2021-08-04T15:19:09.000Z,"Bestiari
@Bestiario123
·
8월 5일","Pocas cuentas en tuiter en estos  momentos y desde hace mas de un año son tan valiosas y además interesantes como la de 
@norabar
8
40
452",🔅,8,40,452,[],https://twitter.com/Bestiario123/status/1422940177765474307
Gonzalo Perez,@gonzaeperez,2021-08-30T12:28:58.000Z,"Gonzalo Perez
@gonzaeperez
·
8월 30일","Vacunemos a todos los pacientes post-infarto de miocardio contra influenza
Reduce los eventos cardiovasculares en un 28%
Estudio IAMI 
#ESCCongress 
@ESCardioNews
 
@MarianaLestelle
 @mariofitzm
 @ValeriaRoman
 @adribaran
 @norabar
 @JTartaglione
 @drclaudiosalud
 @DrJorgeBombau
Ezequiel Zaidel
@EzequielZaidel
 · 8월 30일
#ESCCongress
이 스레드 보기
2
34
53",,2,34,53,"['https://pbs.twimg.com/profile_images/1184189337665232898/ozWDZpLN_mini.jpg', 'https://pbs.twimg.com/media/E-Cbjh1XEAAwufe?format=jpg&name=small']",https://twitter.com/gonzaeperez/status/1432319433821855754
aprieto los dientes miro a los dementes,@ottomaddox2,2021-08-14T02:23:45.000Z,"aprieto los dientes miro a los dementes
@ottomaddox2
·
8월 14일","un minuto de silencio por 
@norabar
1
1
5",,1,1,5,[],https://twitter.com/ottomaddox2/status/1426368919447777281
