UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
다다茶茶,@chacha_tealover,2021-08-21T04:12:09.000Z,"다다茶茶
@chacha_tealover
·
8월 21일","뼈다귀해장국
8",🫖 🌿 🧡,,,8,['https://pbs.twimg.com/media/E9SW6IkVIAAKQFo?format=jpg&name=small'],https://twitter.com/chacha_tealover/status/1428932912284520450
,@octo_gum,2021-08-11T09:25:01.000Z,"@octo_gum
·
8월 11일","진심 븨틱 초반에 뭐해먹고 산거임... 저 와꾸의 리더를 데리고 5년동안 섹시를 안했다고요????? 뼈다귀 없는 뼈다귀 해장국
724
478",🐙,,724,478,[],https://twitter.com/octo_gum/status/1425387771649089536
보름아범 곰토로,@Gomtoro_life,2021-08-22T11:06:03.000Z,"보름아범 곰토로
@Gomtoro_life
·
8월 22일","소꿉놀이 중 만든 내 음식인데 보름이가 이건 뭐냐고 물어봐서 공룡뼈다귀해장국이라고 일여줬다.
임형 친구들은 맛나게 먹는 중.
1
2",,1,,2,"['https://pbs.twimg.com/media/E9Y_OUPVEAsShQu?format=jpg&name=small', 'https://pbs.twimg.com/media/E9Y_O_7UYAQpK3A?format=jpg&name=small']",https://twitter.com/Gomtoro_life/status/1429399461873078273
밥꾸,@eateatgood,2021-08-08T09:44:43.000Z,"밥꾸
@eateatgood
·
8월 8일","진천동 이을감자탕

뼈다귀해장국

JMT... 진짜 맛있음... 양도많고 밥3그릇 먹으려다 참았다. 재구매의사 깍두기 더 달라고하면 더주시고 최애 감자탕집이 되었다고한다. 어머니도 좋아하셨다.
4
7",🍽 🍔 😋 😋 ✔ ⭕,,4,7,"['https://pbs.twimg.com/media/E8QmWhQUcAIDSkI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8QmXICVoAAbWXD?format=jpg&name=360x360']",https://twitter.com/eateatgood/status/1424305564830470149
야화첩에 부랄걸어,@Daehyung_Yi_0,2021-08-08T08:33:34.000Z,"야화첩에 부랄걸어
@Daehyung_Yi_0
·
8월 8일","백영찬 이 미친놈 프사 도랏나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ으데 뼈다귀해장국 해놓너 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2
29",,2,,29,['https://pbs.twimg.com/media/E8QWE4bUUAMsFFz?format=jpg&name=small'],https://twitter.com/Daehyung_Yi_0/status/1424287659296399360
nieel,@nieel275,2021-08-14T13:52:02.000Z,"nieel
@nieel275
·
8월 14일","돼지 갈비
보쌈
치킨
등갈비 or 쪽갈비
닭갈비
뼈다귀 해장국
1",,1,,,[],https://twitter.com/nieel275/status/1426542130135109641
동결 춉,@adcatchoup,2021-08-02T05:08:52.000Z,"동결 춉
@adcatchoup
·
8월 2일","ㅅㅂ내가기껏 여덟시간금식하고 검진받으러왓더니 휴진이래 아우울해ㅠ뼈다귀해장국이나먹으러가야지
1",❄,,,1,[],https://twitter.com/adcatchoup/status/1422061815962292229
이삐 raie1MyUniverse,@raie110,2021-08-06T11:04:50.000Z,"이삐 raie1MyUniverse
@raie110
·
8월 6일","배고프다. 아직 집은 십분은 더 가야 내리는데,, 양평해장국집가서 시래기 몇개만 먹었더니.. 뼈다귀해장국인줄 알고 주문했다 선지와 내장에 놀라 같이 간 사람한테 다 건져주고 시래기만 먹는데 냄새가 집 가서 고기 먹자..

#MTVHottest BTS
@BTS_twt
 (8/23 6PM KST)
GIF
5
4",☘ 🪐 😢,,5,4,['https://pbs.twimg.com/tweet_video_thumb/E8GleB8VIAIHibn.jpg'],https://twitter.com/raie110/status/1423600951311540228
앛츄,@ahyun_juju,2021-08-11T16:23:48.000Z,"앛츄
@ahyun_juju
·
8월 12일","기왕이면 순대국밥보다는 뼈다귀해장국을 시켰으면 좋겠어요....
1",🤧,1,,,[],https://twitter.com/ahyun_juju/status/1425493162160795649
"우주, 혼자 사는 삶 시작",@woojoo_living,2021-08-27T16:47:49.000Z,"우주, 혼자 사는 삶 시작
@woojoo_living
·
8월 28일","아침으로 뭘 먹을까 자면서 고민을 하고 있다. 배가 살짝 출출하지만 6시 이후 금식루틴을 잘 지켜야 급하게 찐 살이 급하게 빠진다구…내일 아침은 뼈다귀해장국이다. 세일하는 레토르트를 드디어 먹는군!
1",,,,1,[],https://twitter.com/woojoo_living/status/1431297411909963777
지숩,@nctdream77,2021-08-24T09:25:43.000Z,"지숩
@nctdream77
·
8월 24일","지성샷
뼈다귀 해장국  ◠‿◠
2
13",,2,,13,['https://pbs.twimg.com/media/E9i7cAiVoAA4o4u?format=jpg&name=small'],https://twitter.com/nctdream77/status/1430098989395767296
찌오,@zzigrung_muduck,2021-08-24T11:06:57.000Z,"찌오
@zzigrung_muduck
·
8월 24일","뼈다귀해장국에 돌솥밥 햅삐
2
1
12",🦆 🥰,2,1,12,['https://pbs.twimg.com/media/E9jSm91UYAgifPM?format=jpg&name=900x900'],https://twitter.com/zzigrung_muduck/status/1430124466722332672
다다茶茶,@chacha_tealover,2021-08-21T03:00:18.000Z,"다다茶茶
@chacha_tealover
·
8월 21일","뼈다귀해장국 시켰다 ㅋㅋㅋㅋ
4",🫖 🌿,,,4,[],https://twitter.com/chacha_tealover/status/1428914832355385349
,@kki____bbang_,2021-08-24T15:28:43.000Z,"@kki____bbang_
·
8월 25일",해뼈.??뼈다귀해장국이야?,🍞,,,,[],https://twitter.com/kki____bbang_/status/1430190342033141762
추석 트친소~시아,@siasia_0216,2021-08-27T12:06:12.000Z,"추석 트친소~시아
@siasia_0216
·
8월 27일",와 뼈다귀해장국 존맛,,,,,[],https://twitter.com/siasia_0216/status/1431226540872765453
소릴,@_Aloth_,2021-08-23T11:25:27.000Z,"소릴
@_Aloth_
·
8월 23일",집에 밥 있는데 못 참고 뼈다귀 해장국 시켜버렸다. 이게 다 광마회귀 돼지통뼈 먹방 때문임,,,,,[],https://twitter.com/_Aloth_/status/1429766732604788737
다다茶茶,@chacha_tealover,2021-08-16T04:07:06.000Z,"다다茶茶
@chacha_tealover
·
8월 16일","갑자기 뼈다귀해장국 땡겨
5",🫖 🌿,,,5,[],https://twitter.com/chacha_tealover/status/1427119701432291328
퀸몸오,@momo_k_here,2021-08-01T02:59:49.000Z,"퀸몸오
@momo_k_here
·
8월 1일","감자탕 먹고싶은데 시키면 분명 남길거같아서 뼈다귀해장국시킴 ㅜㅇㅜ
1",,,,1,[],https://twitter.com/momo_k_here/status/1421666953249247232
연어몽,@Mongnyam,2021-08-05T10:17:12.000Z,"연어몽
@Mongnyam
·
8월 5일","오늘 저녁은 뼈다귀 해장국,,
3",🐺 😉,,,3,[],https://twitter.com/Mongnyam/status/1423226574816518148
/라니냐,@rlsfk108,2021-08-26T03:23:39.000Z,"/라니냐
@rlsfk108
·
8월 26일","뼈다귀 해장국, 뼈해장국, 감자탕... 제일 가까운곳 사진도 별로 안뜨고 장사하는거 같지가 않아...
1",💕,,,1,[],https://twitter.com/rlsfk108/status/1430732648003956737
말개떡,@S0ngThan,2021-08-17T10:10:55.000Z,"말개떡
@S0ngThan
·
8월 17일","뼈다귀해장국 먹고싶어
하지만 힘들다고
먹고싳은거 다 먹으면
난..영원히 근육휴먼ㅇ을 못하겠지
2",🍡,,,2,[],https://twitter.com/S0ngThan/status/1427573648974442499
샤로,@zl_sharo,2021-08-08T15:34:27.000Z,"샤로
@zl_sharo
·
8월 9일","아 그냥 집 들어오는게 아니라 뜨끈뜨끈 뼈다귀해장국 야식으로 먹고 들어왔어야 했다
2",💕,2,,,[],https://twitter.com/zl_sharo/status/1424393575811272712
퓐뉴,@Pwin2new,2021-08-15T15:50:39.000Z,"퓐뉴
@Pwin2new
·
8월 16일","뼈다귀 해장국........ 뼈 슥슥 발라서..... 고추냉이 푼 간장에 콕 찍어먹고.. 흰밥 한숟갈.. 그리고 김치한숟갈... 그렇게 반그릇 정도 먹다가.. 국 안에 남은 뼈 전부 고기 발라서.. 남은 밥 국물에 말아버리고.. 후루룹 찹찹.. 깍두기 하나..........
1",,,,1,[],https://twitter.com/Pwin2new/status/1426934369902424071
김노인,@JDKDJ000514,2021-08-26T03:59:57.000Z,"김노인
@JDKDJ000514
·
8월 26일","님들아 맛점해 난 뼈다귀 해장국 머그러가
1",,1,,,[],https://twitter.com/JDKDJ000514/status/1430741781109305344
Sayama,@lastm2704,2021-08-28T15:21:08.000Z,"Sayama
@lastm2704
·
8월 29일",내일 아침은 뼈다귀해장국 먹어야겠다,,,,,[],https://twitter.com/lastm2704/status/1431637985687080962
파랑,@119fri_,2021-08-28T17:14:43.000Z,"파랑
@119fri_
·
8월 29일",내일은 뼈다귀해장국 머그고싶은디,🦄 🔥,,,,[],https://twitter.com/119fri_/status/1431666566513381376
HE2YO,@HE2YO,2021-08-28T10:24:17.000Z,"HE2YO
@HE2YO
·
8월 28일",점심엔 소머리국밥 저녁엔 뼈다귀해장국,,,,,[],https://twitter.com/HE2YO/status/1431563279940210691
𝕭𝖆𝖑𝖑𝖆𝕹𝖆𝖗,@Alpons__,2021-08-17T09:01:22.000Z,"𝕭𝖆𝖑𝖑𝖆𝕹𝖆𝖗
@Alpons__
·
8월 17일","지은이랑 덕캐타치랑 밤새서 놀고 새벽에 해장국집 들어가서 뜨끈하게 뼈다귀 해장국 들깨가루 넣고 깍두기 석박지랑 오물오물 대면서 후루룩 짭짭 하는거 보고십어 흐아앙
1",,,,1,[],https://twitter.com/Alpons__/status/1427556144692695042
넛트,@DoItNow_night,2021-08-25T10:07:54.000Z,"넛트
@DoItNow_night
·
8월 25일","저 첫날엔 그래도 샐러드 먹었거든요? 저녁엔 비록 뼈다귀 해장국을 먹었고 이틀차에는 점심으로 너무 안 받아서 그냥 샐러드+버섯수프 먹고, 저녁으로도 그냥 아이스티만 마셨지만, 아니 그래도 사흘차에 치킨은 좀 그랬나?
1
1
1",,1,1,1,[],https://twitter.com/DoItNow_night/status/1430471991073538052
봄나무,@springtree0208,2021-08-23T13:21:27.000Z,"봄나무
@springtree0208
·
8월 23일","또 트윈터뷰 밸런스게임
저 회사는 뭐 창의성이 없음? 저게 싫다는 말이 아니라 시발 다른 새로운 컨텐츠도 ""꾸준히"" 내주고 이어주면 니들이 사골이 뭐야 50년 전통 뼈다귀해장국을 끓여도 옳다구나 하고 사발째로 들이켜줄 팬들인데
2",🌸,,,2,[],https://twitter.com/springtree0208/status/1429795924667113472
Coz,@lQvingQ,2021-08-29T15:32:54.000Z,"Coz
@lQvingQ
·
8월 30일","심지어 그 음식이 뼈다귀해장국이라 죽고싶어요
왜 하필 그런 메뉴를?
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기",,,,,[],https://twitter.com/lQvingQ/status/1432003333267476483
