UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
보리,@bori_108,2021-08-14T09:18:18.000Z,"보리
@bori_108
·
Aug 14","“네게…… 일생을 주겠다.”
“약속하셨습니다. 대장군의 말은 천금과 같고…….”
“어떤 전쟁이든 승리하지요. ”
살파랑 (殺破狼) 3권-下 (완결) | Priest, 시시 저
#살파랑
2
1
9",,2,1,9,"['https://pbs.twimg.com/media/E8vZ0kvVEAI8M2a?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8vZ1oiVgAYW7Tv?format=jpg&name=small', 'https://pbs.twimg.com/media/E8vZ1JuVcAU-fRy?format=jpg&name=small', 'https://pbs.twimg.com/media/E8vZ2N3VUAEjAIs?format=jpg&name=small']",https://twitter.com/bori_108/status/1426473244677132290
11시 반 와인,@tang_h_mabi,2021-08-06T05:23:28.000Z,"11시 반 와인
@tang_h_mabi
·
Aug 5","천금..가튼..믿음과..
바래지않는..용기..로...채우네..
☾𖤐 𝙰𝙽𝚆𝙰
@ANyway4WhAtever
 · Mar 18, 2019
치매 걸리면 10-20대 때 들었던 노래를 부른다고....

천둥 번개여 휘몰아쳐라
거친 마초들 땀냄새 흥건하고 숨이 막혀 허벅지 탄탄한 짐승
Knock, knock, knock. 그렇게 끝났지!
상투스, 도미니, 키리에, 엘레이손

치매 걸리면 큰일 나겠는데요
Show this thread
7
1",❗ ❗ 💥 💗 🎉 💥 ❗ ❗,,7,1,['https://pbs.twimg.com/profile_images/1319475243346317312/xiR5aU4u_mini.jpg'],https://twitter.com/tang_h_mabi/status/1423515042322927620
𝗐𝖺𝗍𝖼𝗁,@alldaywatching,2021-08-25T08:59:22.000Z,"𝗐𝖺𝗍𝖼𝗁
@alldaywatching
·
Aug 25","천금같은블로킹
1",,,,1,[],https://twitter.com/alldaywatching/status/1430454744313597960
Marin과 작은컴퓨터 ,@Marin36974528,2021-08-10T11:51:22.000Z,"Marin과 작은컴퓨터 
@Marin36974528
·
Aug 10","★천금같은 기회★절대 놓치지 말아요★
은창아 어디갔어
@where_ech
 · Aug 4
(회색도시)
유상일이 지옥에 가서 벌어지는 짧은 이야기를 그린 
회지입니다. 

본편 22p 
후기,축전,일러스트 포함 9p로 
총 31p입니다.

아주 짧은 샘플이지만 아래 포스타입을 참고 해주세요.

샘플확인:https://whereareyou-ech-citymist.postype.com/post/10402005

입금폼:http://witchform.com/deposit_form/97763…
Show this thread
1",,,,1,['https://pbs.twimg.com/profile_images/1417532674118361089/fPb-O9AV_mini.jpg'],https://twitter.com/Marin36974528/status/1425062212301852674
삼성라이온즈 뉴스,@SSLIONSGOV9,2021-08-07T05:25:01.000Z,"삼성라이온즈 뉴스
@SSLIONSGOV9
·
Aug 6","[영상] 천금같은 도루에 득점까지! 박해민 활약으로 5-5 동점 (출처 : SBS | 네이버 스포츠) http://naver.me/Gz5KlhvL
9
4",,,9,4,[],https://twitter.com/SSLIONSGOV9/status/1423877821978476549
행동대장,@Daejaaang,2021-08-29T14:31:35.000Z,"행동대장
@Daejaaang
·
Aug 29","사실 나 절세천금 20화까지 봄
1
2",🔨,1,,2,[],https://twitter.com/Daejaaang/status/1431987901995241472
만세,@wangxiao810,2021-08-25T06:30:19.000Z,"만세
@wangxiao810
·
Aug 24","아….???!????? 샘 화가이신ㄱㅓ죠…? 직업이시고 그림으로 일억천금 버시는분이시죠?
왕원구
@wxddgg
 · Aug 23
공부하기싫어서시작했다가
오..차라리공부하는게낫겠는데생각한그림
샤오짠
Show this thread
1
2",,1,,2,"['https://pbs.twimg.com/profile_images/1418641033525534721/EYCzN3Qn_mini.jpg', 'https://pbs.twimg.com/media/E9dTC59UUAMk1hB?format=jpg&name=small']",https://twitter.com/wangxiao810/status/1430417233872703491
릴리,@Lisblancccc,2021-08-06T08:20:23.000Z,"릴리
@Lisblancccc
·
Aug 6","트친을잘사귄다는것...
'천금보다 소중한 가치'
1
11",,,1,11,[],https://twitter.com/Lisblancccc/status/1423559563966521346
전구 (사망꾼),@qlnq_mol6,2021-08-10T11:49:40.000Z,"전구 (사망꾼)
@qlnq_mol6
·
Aug 10","얘들아... 3시간 쫌 넘게 남았어
1상일 신의 회지를 실물소장?!
천금같은기회... 왔을 때 잡아야 한다......
은창아 어디갔어
@where_ech
 · Aug 4
(회색도시)
유상일이 지옥에 가서 벌어지는 짧은 이야기를 그린 
회지입니다. 

본편 22p 
후기,축전,일러스트 포함 9p로 
총 31p입니다.

아주 짧은 샘플이지만 아래 포스타입을 참고 해주세요.

샘플확인:https://whereareyou-ech-citymist.postype.com/post/10402005

입금폼:http://witchform.com/deposit_form/97763…
Show this thread
2",,,,2,['https://pbs.twimg.com/profile_images/1417532674118361089/fPb-O9AV_mini.jpg'],https://twitter.com/qlnq_mol6/status/1425061783006420992
M4A5G3E1N4T5A,@Wandava,2021-08-29T17:26:03.000Z,"M4A5G3E1N4T5A
@Wandava
·
Aug 29","[S코어북] '데 헤아가 구했다' 맨유, 그린우드 천금골 더해 울버햄튼 1-0 제압 (출처 : STN 스포츠 | 네이버 스포츠) http://naver.me/xM2pE3Oz",,,,,[],https://twitter.com/Wandava/status/1432031806312706053
M4A5G3E1N4T5A,@Wandava,2021-08-28T11:52:28.000Z,"M4A5G3E1N4T5A
@Wandava
·
Aug 28","'보어 천금 결승타' LG, 키움 꺾고 50승 고지…3연승 질주 [MD리뷰] (출처 : 마이데일리 | 네이버 스포츠) http://naver.me/Ft8RC3wI",,,,,[],https://twitter.com/Wandava/status/1431585472388554752
