UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
킨홀,@kings_holic,2021-08-08T16:49:58.000Z,"킨홀
@kings_holic
·
Aug 8",킹캐슬 카페 활동은 밤에하는구먼..,,,,,[],https://twitter.com/kings_holic/status/1424412581112860679
와키,@whaki_jw,2021-08-26T09:38:16.000Z,"와키
@whaki_jw
·
Aug 26","울 천재님이 만들어주신 지도보고! 이번주에 양정원이랑 종캐슬이 간 카페 갈예정^__^
오브
@LOVERSCLUB0420
 · Aug 19
엔진이라면 꼭 가봐야 할 곳
장소를 모아봤어요 !
ㅤㅤ
✧*(> ” ” <)✧*
 °* ( =’o'= )  *°
  *ﾟ-(,,)-(,,)- *ﾟ
ㅤㅤ
http://naver.me/FRDx0PqZ
장소는 계속 추가 될 예정이랍니다 
더 추가해야 할 장소가 있다면 디엠주세요 !
1
1",🐯 📍 📍 ☺,1,,1,"['https://pbs.twimg.com/profile_images/1420745797335871503/YdKBept__mini.jpg', 'https://pbs.twimg.com/media/E9Jg66VUcAc3FCf?format=jpg&name=small', 'https://pbs.twimg.com/media/E9Jg67iVUAEZSSZ?format=jpg&name=360x360']",https://twitter.com/whaki_jw/status/1430826920757788672
즉,@halfmidair,2021-08-16T03:47:06.000Z,"즉
@halfmidair
·
Aug 15","ㅋㅋㅋㅋㅋㅋ 겨울에 카페에서 사람들이 스카이캐슬봤어? 스카이캐슬봤어? 이래서… 너무 신기하고 좋아 보였댔는데 한달 뒤 정확히 그 카페에서 사람들이 극한직업봤어? 극한직업봤어? 이래서 이럴 수가 있나 어떻게 이럴 수도 있구나 싶었대요
1
1",,,1,1,[],https://twitter.com/halfmidair/status/1427114669810937860
baaaaaam,@lantian0031,2021-08-24T05:37:16.000Z,"baaaaaam
@lantian0031
·
Aug 23","스카가 스터디카페라는 걸 지금 알았어 스카이캐슬인줄..
1
6",,1,,6,[],https://twitter.com/lantian0031/status/1430041496510615554
SkyLorD,@SkyLorD33510048,2021-08-10T11:13:50.000Z,"SkyLorD
@SkyLorD33510048
·
Aug 10","복날 원기회복은 캐슬 크래프트 닭 !!!
http://naver.me/xNdKFQBd
출처 : 캐슬크래프트 | 네이버 카페 
실시간 PVP전략 모바일게임 캐슬 크래프트 원기회복 이벤트 진행중!
사전예약과 함께 다양한 혜택을 미리 챙기세요!
#캐슬크래프트 #모바일게임 #실시간전략 #원기회복이벤트",,,,,[],https://twitter.com/SkyLorD33510048/status/1425052767098314754
박종운,@pjw8851ex,2021-08-24T02:36:45.000Z,"박종운
@pjw8851ex
·
Aug 23","부산 수영구용달이사 남천동 센템비스타동원 아파트에서-부산연제구 연산동롯데캐슬골드포레로 연제구원룸이사,수영구이삿짐센터,수영구용달,수영구원룸이사/광안동,수영동,민락동,망미동 (출처 : 부산용달 | 네이버 카페) http://naver.me/x5L77pTA",,,,,[],https://twitter.com/pjw8851ex/status/1429996068918370311
Xbox News for Koreans - 네이버 Xbox 정보 카페,@KoreaXboxnews,2021-08-04T15:11:40.000Z,"Xbox News for Koreans - 네이버 Xbox 정보 카페
@KoreaXboxnews
·
Aug 4","신작 출시

캐슬 오브 픽셀 스컬즈 DX (Castle of Pixel Skulls DX) - 2021.08.04. (출처 : XBOX 정보 카페 | 네이버 카페) http://naver.me/FEJakjKS 

개발 Josep Monzonis Hernandez
퍼블리셔 2Awesome Partners 
@2AwesomeStudio
 

레트로 스타일 플랫포머

https://microsoft.com/ko-kr/p/castle-of-pixel-skulls-dx/9PD2FV3NHPDW…
2
2",,2,,2,['https://pbs.twimg.com/media/E79KsjLVIAIqzBh?format=jpg&name=small'],https://twitter.com/KoreaXboxnews/status/1422938292597657605
사하,@SHAHARA_D_,2021-08-16T15:40:00.000Z,"사하
@SHAHARA_D_
·
Aug 16","오늘 ㅇㄷㅎ배우님 에 나오셨다길래 혹시 쌉리마 얘기 나올려나 해서듣는데 스캐 핫할당시에 어디 카페만가면 사람들이 다 ""스카이캐슬봤어? 스카이캐슬봤어?""하고 있어서 작품은 못봤지만 사랑받는 작품이란 뭘까 싶고 부러우셨다고... 근데 나도 당시에 아 도대체 스카이캐슬이 뭔데 하면서 안봄
1",🍈,1,,,[],https://twitter.com/SHAHARA_D_/status/1427294076517249025
선불폰팅O5O4-O965-O965 폰팅 폰섹 잠자리 불륜 야한 선불폰팅,,2021-08-16T06:43:08.000Z,"선불폰팅O5O4-O965-O965 폰팅 폰섹 잠자리 불륜 야한 선불폰팅
·
Aug 15","폰팅 수원선불폰팅 제주챗 용산성인쉼터 속초선불폰팅 부산북구맘 군산폰섹어플 고서면섹파찾기 불국동애인 김유정역출장카페 서초구청역낙지볶음 인쇄박스 머글 경남청 매리트 송년회 이윤철 해학적 쉐딩 다함께 명기란 산서성 진접고 캐슬빌

 프로필 클릭",🌶 🌶 ✊,,,,[],https://twitter.com/kifezizeti/status/1427158970272305154
PIVE @相互フォロバ 맞팔 F4F followback 100%,PIVE @相互フォロバ 맞팔 F4F followback 100%,2021-08-27T02:33:14.000Z,"PIVE @相互フォロバ 맞팔 F4F followback 100%
@jeqikobove
·
Aug 26","화성강단 완주떡학원 목포베어캐슬 수원영통업소용선반 리다 물인 삼항 말룽 다녀 뷰뷰 기웃 슈화 말듯 수계 부천원미구마블화분판매 신곡동크리스마스트리 구성 핸드북 미용카페 유상무카페 전원주택시공 소량현수막제작
영업관리전문
어플광고
바이럴마케팅성공사례
F4F",,,,,[],https://twitter.com/jeqikobove/status/1431082347529707520
