UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
.썰창고.,@ssulVL,2021-08-09T14:10:51.000Z,".썰창고.
@ssulVL
·
8월 9일","아니 근데 김수현이 이마만큼이나 노빠꾸로 말했는데 도대체 얼마나 더 진심으로 말해야 정다온이 진심으로 받아주는거임…?

내가 봤을때는 둘이 마주 앉아서 가운데에 촛불키고 진실게임 해도 정다온이 진심 아니라고 생각할듯
75
106",,,75,106,"['https://pbs.twimg.com/media/E8Ws3JrUYAENy6A?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Ws3JrVkAkTuhi?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Ws3KHUYAYarI6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Ws3LOVEAAX46j?format=jpg&name=360x360']",https://twitter.com/ssulVL/status/1424734926075695109
sj,@kosooooo,2021-08-26T00:13:21.000Z,"sj
@kosooooo
·
8월 26일","모닥불 피워놓고 마주 앉아서~~~
9
35",,,9,35,"['https://pbs.twimg.com/media/E9rQMzsVcAU2XrB?format=jpg&name=small', 'https://pbs.twimg.com/media/E9rQM9kVUAIhTKB?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9rQNHmUUAAyKJe?format=jpg&name=360x360']",https://twitter.com/kosooooo/status/1430684757877092353
,@hello_ateez,2021-08-25T05:05:35.000Z,"@hello_ateez
·
8월 25일","넘 현기증나
앤써 티키타카 파트 
녹음도 불러다 같이 하고 
뮤비도 마주 앉아 찍고
퓨아리 '진짜'다..
1
6
12",♦ ♦,1,6,12,"['https://pbs.twimg.com/media/E9nJfq-XoAEJIdb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9nJf7dXEAEZEG9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9nJgDUWUAI4ugn?format=jpg&name=360x360']",https://twitter.com/hello_ateez/status/1430395910358450182
ever,@everjjkpjm,2021-08-25T23:11:21.000Z,"ever
@everjjkpjm
·
8월 26일","무릎맞대고 마주앉아서 한사람만 찍지
GIF
131
670",,,131,670,['https://pbs.twimg.com/tweet_video_thumb/E9rB9qjVcAgUiJm.jpg'],https://twitter.com/everjjkpjm/status/1430669154827137029
Garfield,@Garfieldchem,2021-08-04T01:55:39.000Z,"Garfield
@Garfieldchem
·
8월 4일","“촛불 정신은 혁명이 아니다. 국민이 지난해 총선에서 180석을 만들어 준 것은 혁명을 하라고 만들어 준 것이 아니다.""
“만약 정부가 정신을 못 차린다든지, 공직기강이 해이해지면 언제든지 채찍을 들 생각”

문화일보랑 마주앉아 이런 소리나 내뱉는 여당 원내대표...
<파워인터뷰>윤호중 ""180석은 헌법틀 안에서 개혁하란 뜻..103석 정당 인정하고 국회 운영해야""
■ 윤호중 더불어민주당 원내대표“18개 상임위장 왜 나눠 갖냐는 지지층들 생각 동의 안해 촛불 정신은 혁명하란게 아냐… 상임위장 독점 옳지 않아 강성 지지자들 양념 아닌 주체…익명성 탓 강한표현 우려” “언론중재법 개정안 이달 처리”… 입법 독주 강행 의사 “헌법 위배되는 부분 있으면 심사때 충분히 수용 가능” 인터뷰 = 유병권 정치부장 윤호중 더불어민주당
news.v.daum.net
1
13
10",,1,13,10,['https://pbs.twimg.com/card_img/1440834402439745539/UxWlFCgw?format=jpg&name=small'],https://twitter.com/Garfieldchem/status/1422737969413197827
별밤,@starrynight1108,2021-08-28T14:06:17.000Z,"별밤
@starrynight1108
·
8월 28일","둘이 헤어지고 오랜만에 만났어. 얼마 전에 우연히 마주쳐서, 그냥 조만간 커피 마시자 했거든.
근데 막상 마주 앉아도 아무렇지 않잖아. 와. 우리 좀 어른 같다. 하면서 킥킥 웃고.
근데 집에 가려고 밖으로 나오니, 그제야 실감이 나. 이제 어디로 가는지 궁금해도 물을 수가 없잖아.

-조심히 가
1
31
206",,1,31,206,"['https://pbs.twimg.com/media/E94iBXeUUAIQIWM?format=jpg&name=small', 'https://pbs.twimg.com/media/E94iBXpVIAkZtyM?format=jpg&name=small']",https://twitter.com/starrynight1108/status/1431619146723180545
nope,@_Untitled_xxx,2021-08-20T20:05:31.000Z,"nope
@_Untitled_xxx
·
8월 21일","요즘엔 섹스 말고
그냥..
마주 앉아서 술한잔 하면서 
일상얘기 야한얘기 고민상담 같은
편하게대화 할수있는 상대방이 있었으면 좋을거같아
#섹트 #일탈 

근데 결국 그러다가 섹스하겟지 ㅅㅂ
1
8",😉,1,,8,"['https://pbs.twimg.com/media/E9QnhI8UcAM8nZ1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9QnhI9UcAAH0Lq?format=jpg&name=small']",https://twitter.com/_Untitled_xxx/status/1428810447612878849
리비,@9898livi,2021-08-13T16:13:51.000Z,"리비
@9898livi
·
8월 14일","고딩 둘 용돈 받은 날 스터디카페 가서 큰맘 먹고 룸(5만원) 잡음 둘이 마주앉아서 책 펼치구.. 김 앞에 요구르트 짱 큰 거에 빨대 꼽아 놔 주는 박 상상 1페이지 풀구 고개 들었다가 눈 마주치면 빵 터지구.. 한참 웃다가 우리 진짜 공부해야 한다며 고개 숙이는데 오 분 지나면 또 똑같구 그런 성홍
GIF
1
12
43",,1,12,43,['https://pbs.twimg.com/tweet_video_thumb/E8rvWJaUcA8ACkE.jpg'],https://twitter.com/9898livi/status/1426215432600526850
늘푸른소나무,@nulpuleunsonamu,2021-08-23T17:54:20.000Z,"늘푸른소나무
@nulpuleunsonamu
·
8월 24일","[#송가인]

너와 마주 앉아 입 맞춰 부르던
노랫소릴 기억합니다

함께 걸었던 이곳에 홀로이
그대 이름 불러봅니다

외롭지 마요 다시 아프지 마요
이렇게 내 마음에 살아가요

너와 마주 앉아 입 맞춰 부르던
노랫소릴 기억합니다

#SONGGAIN  #내마음의사진
 https://youtu.be/10FUS59b2C0
4
10",🔗,,4,10,['https://pbs.twimg.com/ext_tw_video_thumb/1429864360420134930/pu/img/A3aatkMRMwHQ_Oy8.jpg'],https://twitter.com/nulpuleunsonamu/status/1429864596756570112
라라,@xxulaxla,2021-08-06T14:57:14.000Z,"라라
@xxulaxla
·
8월 6일","부잣집 아들래미 과외 해주는 김여주 선생.. 아들 좀 잘 부탁한다는 어머니 말씀에 걱정 마시라고 들어선 방에 떡하니 들어앉은 귀에는 주렁주렁 피어싱에 머리는 빨강 민고딩. 한숨 포옥 쉬고 마주 앉아서,

- 윥기라고 했나? 일단 염색부터 할까.
""...네, 뭐. 누나가 그러라고 하시면요.""
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
2
17",,1,2,17,[],https://twitter.com/xxulaxla/status/1423659436346802177
