UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
sarah@ganbaranai.,sarah@ganbaranai.,2021-08-15T06:52:47.000Z,"sarah@ganbaranai.
@winocm
·
8월 15일","That aged like fine wine. Thanks COVID: Your Connection Company and your HDMI cables.
10
6
58",,10,6,58,['https://pbs.twimg.com/media/E80CI31VgAgl1Cl?format=jpg&name=medium'],https://twitter.com/winocm/status/1426799011114094596
PunkAndNewWave,@NewWaveAndPunk,2021-08-25T07:51:43.000Z,"PunkAndNewWave
@NewWaveAndPunk
·
8월 25일","""I saw her today at the reception
A glass of wine in her hand
I knew she would meet her connection
At her feet was her footloose man...""
3
11
83",,3,11,83,['https://pbs.twimg.com/media/E9nvhunXoAIus3N?format=jpg&name=360x360'],https://twitter.com/NewWaveAndPunk/status/1430437721361760257
daniel,@bozwollox,2021-08-07T12:18:49.000Z,"daniel
@bozwollox
·
8월 7일","Bought a few of these when they were on offer at Wine Connection. Decent. Big fan of Italian reds
1",,,,1,['https://pbs.twimg.com/media/E8MACcLUUAgfy_s?format=jpg&name=small'],https://twitter.com/bozwollox/status/1423981957147365379
Reenee,@reenee3501,2021-08-29T17:14:40.000Z,"Reenee
@reenee3501
·
8월 30일","Really Amazon I don’t fully see the connection.
Automatic wine opener and essential oils. They are playing me.  
1
3",,1,,3,['https://pbs.twimg.com/media/E9-Wu5HXMAAAJ15?format=jpg&name=medium'],https://twitter.com/reenee3501/status/1432028942945423367
amfm.org.uk,@amfmldn,2021-08-09T16:06:36.000Z,"amfm.org.uk
@amfmldn
·
8월 10일","From this week in 1989 here's Gordon G and Funky B on Laser 94 plus ads for an all-dayer at the Spurs Wine Bar and The Caribbean Restaurant's new delivery service. Laser (no connection with any others) took over 94FM right after Kiss vacated the frequency to apply for a licence.
1
4
10",,1,4,10,['https://pbs.twimg.com/ext_tw_video_thumb/1424762912846008323/pu/img/AJUaOn2BupWRqgv5.jpg'],https://twitter.com/amfmldn/status/1424764055839985674
Christine Ho Younghusband,@ChristineYH,2021-08-06T05:52:03.000Z,"Christine Ho Younghusband
@ChristineYH
·
8월 6일","Could not decide again. This time it’s Tim Hortons. I took a detour and visited friends who were driving through Prince George. Soooo… I had a glass of wine too. Gah. I love human connection.  Soooo good.  Now I’m watching Somebody Feed Phil.” #dowhatyoulove
8",❤ 🥰,,,8,"['https://pbs.twimg.com/media/E8Fd7AoXEAAZBdN?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Fd7FVWYAAcGsn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Fd7GDX0AIvugb?format=jpg&name=360x360']",https://twitter.com/ChristineYH/status/1423522234258182149
Lexelle de Charmaine,@lexelledextjluv,2021-08-02T08:36:18.000Z,"Lexelle de Charmaine
@lexelledextjluv
·
8월 2일","I'm at Wine Connection in Singapore
Lexelle | Wine Connection
Get out. Explore. Download Swarm and live your life more checked in.
swarmapp.com",,,,,['https://pbs.twimg.com/card_img/1436857348451045377/Q6NicxQm?format=png&name=240x240'],https://twitter.com/lexelledextjluv/status/1422114019477970944
The Bitcoin Prophet,@GORT1Z,2021-08-24T03:08:23.000Z,"The Bitcoin Prophet
@GORT1Z
·
8월 24일","Wonder if you have any connection to this wine company  being ur last name isn’t that common if so Ull Nvr leave  Least not for a up an coming trader smdh  #ANSWERTheCall #BareWITNESS
1",💔 🥺,,1,,['https://pbs.twimg.com/media/E9hlFKnVEAQlHiw?format=jpg&name=small'],https://twitter.com/GORT1Z/status/1430004027673120790
Alliance Française de Bhopal-Indore,@AFBHOPAL,2021-08-18T15:56:03.000Z,"Alliance Française de Bhopal-Indore
@AFBHOPAL
·
8월 19일","For our 4th session of Francophone Connection, we will welcome Tess Duteil. A French wine-merchant. Tess has been working as a Sommelier and is a specialist of natural wine. Get to understand, what a natural wine is and why this is so relevant nowadays. #drinklocalthinkglobal
5",,,,5,['https://pbs.twimg.com/media/E9FbQF7XMAwW_eg?format=jpg&name=small'],https://twitter.com/AFBHOPAL/status/1428022893074649088
hiremaid.com.sg,@HIREMAIDEA,2021-08-03T15:53:08.000Z,"hiremaid.com.sg
@HIREMAIDEA
·
8월 4일",3 Aug 2021 Onward: Wine Connection Free 1-year Club Membership Promotion http://dlvr.it/S4ybMv,,,,,[],https://twitter.com/HIREMAIDEA/status/1422586341263433733
Wendy Klik,@WendyKlik,2021-08-14T15:31:00.000Z,"Wendy Klik
@WendyKlik
·
8월 15일","I paired my clay fermented wine with a dish that was traditionally made in a clay vessel called a Tian.  I liked that connection.  #WinePW You can read about the pairing and get the recipe for the Eggplant and Tomato Tian at https://adayinthelifeonthefarm.blogspot.com/2021/08/tomato-and-eggplant-tian-paired-with.html…
1
1
3",,1,1,3,['https://pbs.twimg.com/media/E8tPthAXMAU5Zc1?format=jpg&name=small'],https://twitter.com/WendyKlik/status/1426567035505479684
Kevin Hancock,@jemcokevin,2021-08-13T10:08:22.000Z,"Kevin Hancock
@jemcokevin
·
8월 13일","New business network launched today. First event is a supper at 
@bedfordlodge
 on 30th September. £40 for a set meal and wine. Focus is on building connections whilst enjoying great venues with good food and wine. Let me know if you want to be on the invite list.
1
3
7",,1,3,7,['https://pbs.twimg.com/media/E8qa1yOXMAMPJi6?format=jpg&name=small'],https://twitter.com/jemcokevin/status/1426123454751903747
hiremaid.com.sg,@HIREMAIDEA,2021-08-10T12:34:40.000Z,"hiremaid.com.sg
@HIREMAIDEA
·
8월 10일",10-15 Aug 2021: Wine Connection 2 Bottles Of Saint Emilion Grand Cru Promotion http://dlvr.it/S5N9hN,,,,,[],https://twitter.com/HIREMAIDEA/status/1425073110093467650
