UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
아세틸렌 램프,@acetyleneyakuza,2021-08-30T06:27:19.000Z,"아세틸렌 램프
@acetyleneyakuza
·
8월 30일","나고시 이직한번안햇는데
갈때가됏지..
중국에서돈만이버세요 

가지마..
9
7",,,9,7,['https://pbs.twimg.com/media/E-BMIC_VkAM4Zme?format=png&name=small'],https://twitter.com/acetyleneyakuza/status/1432228421774364680
투게더(together),@son5959,2021-08-27T23:01:27.000Z,"투게더(together)
@son5959
·
8월 28일","현재 경기도 곳간을 관리하는 공직자이기에 변호사 수임료가 개인돈으로 들어갔는지 공금이 1원이라도 들어가지 않았는지 이 부분은 투명하게 공개를 해야한다.
이게 사생활이라며 가볍게 퉁치고 갈 일인가?
1
357
322",,1,357,322,[],https://twitter.com/son5959/status/1431391436235182083
daki /,@daki_info,2021-08-26T00:13:18.000Z,"daki /
@daki_info
·
8월 26일","그런데 내가 지금까지 살면서 보니까...무리해서라도 돈을 버는 방법이 있으면 결국 가난한 사람들은 그걸 할 수밖에 없는 상황에 내몰려...그러니까 몸을 갈지 않아도 충분히 먹고살 수 있도록 노동환경과 소득의 최저선을 높여야해...
4.8천
2.6천",🌴,,4.8천,2.6천,[],https://twitter.com/daki_info/status/1430684742953758720
유래,@youryurae,2021-08-13T11:37:34.000Z,"유래
@youryurae
·
8월 13일","별거 아닌 소식..~~ 드디어 제가 돈벌러 갈 곳이 확정되었습니다 하하 ◠‿◠
사랑하는 일상계칭구들 덕분에 공부하면서도 덜 외롭게 보낼 수 있었어 다들 고마우이,, 앞으로도 꼬옥 오래오래 함께해주기 약속 ! !
9
24",💝,9,,24,['https://pbs.twimg.com/media/E8qwI8xVcAQkREF?format=jpg&name=small'],https://twitter.com/youryurae/status/1426145902188666884
지지님 먼지 먼지지,@ZIZI__U,2021-08-16T07:06:09.000Z,"지지님 먼지 먼지지
@ZIZI__U
·
8월 16일","자본주의 직원 주세요 회사 입사도 회사측에서 했는데 이런 미친 회사 내가 갈 것 같습니까?! 하고 돈 보자마자 입사 확정해버리기
4
12",,,4,12,['https://pbs.twimg.com/media/E85OyW9VEAY8Sdg?format=jpg&name=small'],https://twitter.com/ZIZI__U/status/1427164761234436096
배고픈 늑대처럼^^,@freelancin,2021-08-11T15:11:05.000Z,"배고픈 늑대처럼^^
@freelancin
·
8월 12일","https://news.v.daum.net/v/20210811211947003…
이선균에게 8만원 덜주고 그 돈 합쳐 16만원으로 송강호 집 고쳐주자는게  이재명은 그렇게 이해가 안갈까? 빌 게이츠가 8만원 안준다고 세금 안 내겠냐?
미국은  선별지급 했는데 부자들 조세저항이 더 높아졌다는 소식 없던데? 
#이재명_송강호_이선균_기본소득_8만원
이재명 vs 이낙연 '살얼음' 토론..'기생충' 논쟁은 백미
더불어민주당 유력 대권주자인 이재명 경기도지사와 이낙연 전 민주당 대표가 '살얼음'식 토론을 벌였다. '네거티브'(비방) 자제 선언을 의식한 듯 외교·안보 분야 정책 질의에 집중하면서도 이 전 대표의 '동북아 균형자론' 비판 논란, 이 지사의 '사드(THAAD·고고도미사일방어체계)' 말바꾸기 논란 등을 두고 날카로운 질문을 던졌다. 한일 관계 해법과 한미연
news.v.daum.net
17
12",,,17,12,['https://pbs.twimg.com/card_img/1441275939275436043/Tlv5wJXC?format=jpg&name=small'],https://twitter.com/freelancin/status/1425474862781370371
아1랜the 2ㅎㅖ참차미,@charm_yeonmu,2021-08-05T01:39:44.000Z,"아1랜the 2ㅎㅖ참차미
@charm_yeonmu
·
8월 5일","응응....내가 돈벌어갈게....피아노한대 사갈게...응응...
1
13",➡,1,,13,"['https://pbs.twimg.com/media/E7_alnVVUAII2Kx?format=jpg&name=small', 'https://pbs.twimg.com/media/E7_alwNUYAMWwa2?format=jpg&name=small']",https://twitter.com/charm_yeonmu/status/1423096351278067712
jarrettist,@jarrettist,2021-08-27T04:52:57.000Z,"jarrettist
@jarrettist
·
8월 27일","이명박이가 갈켜준대로 나도 재단 하나 세워서 거기다 돈 짱박겠다는 개소리 잘 들었습니다~~~ 수사나 받으세요 ㅆㅂ
1
2",,,1,2,['https://pbs.twimg.com/media/E9xZpXEUcAIA-EU?format=jpg&name=small'],https://twitter.com/jarrettist/status/1431117508602327045
큰★짱,@jh4151,2021-08-22T08:07:08.000Z,"큰★짱
@jh4151
·
8월 22일","韓 과학자들, 제3세계 식수난 해결 '청신호' 켰다 https://news.v.daum.net/v/20210822125137587… 대한민국이 세계의 중심에서 보다 나은 삶을 풍요롭게 만들어 갈것.지금의 위상을 계속 이어가기 위해서는 더욱 국민이 깨어 있어야 하고 돈과 권력에 환장한 친일수구꼴통집단 반드시 걸러나가 미래가 보장된다는 사실을.
韓 과학자들, 제3세계 식수난 해결 '청신호' 켰다
[아시아경제 김봉수 기자] 한국 과학자들이 극심한 식수난을 겪고 있는 아프리카, 중동 등의 국가들에게 희소식을 전했다. 태양열을 이용하기 때문에 전기 공급이 필요없는데다, 3D로 값 싸고 빨리 만들고 효율도 90%로 높은 해수 담수화 장치를 개발한 것이다. 울산과학기술원(UNIST)은 태양열로 바닷물을 증류해 먹는 물로 바꿔내는 새로운 해수 담수화 장치를
news.v.daum.net
7
8",,,7,8,['https://pbs.twimg.com/card_img/1442110502545821696/DkHiBDEa?format=jpg&name=small'],https://twitter.com/jh4151/status/1429354438364258305
달곰,@Candy_Lune,2021-08-16T12:50:50.000Z,"달곰
@Candy_Lune
·
8월 16일","떠돈다. 갈 곳 없는 자들, 저마다의 이야기가 호텔 안을 부유하다가 누군가의 기억 속에 뒤엉킨 형태로 남아 아직도 원한을 쏟으려 누군가를 찾아 머무르다, 결국에는 사랑에 부딪혀 조용히 다시 떠나가는. 그건 모두 '나'의 이야기.  

[대불호텔의 유령, 강화길] #달책방
1
5
23",🌙,1,5,23,['https://pbs.twimg.com/media/E86drWtUUAEjlYZ?format=jpg&name=small'],https://twitter.com/Candy_Lune/status/1427251503304085515
