UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
All Elite Wrestling on TNT,@AEWonTNT,2021-08-30T23:30:03.000Z,"All Elite Wrestling on TNT
@AEWonTNT
·
8월 31일","The fact that not only is this a real photo, but that 
@CMPunk
 wrestles in Chicago in six days is unbelievable.
50
685
7.5천",,50,685,7.5천,['https://pbs.twimg.com/media/E-E2PW9XEAIYCj7?format=jpg&name=small'],https://twitter.com/AEWonTNT/status/1432485799258464259
kostas ❀ // ia dont unf,@scoochamoochiee,2021-08-30T22:50:29.000Z,"kostas ❀ // ia dont unf
@scoochamoochiee
·
8월 31일","my lesbian aunt from chicago
1
5
45",,1,5,45,['https://pbs.twimg.com/media/E-EtL-XX0AkbX1G?format=jpg&name=small'],https://twitter.com/scoochamoochiee/status/1432475843599773728
Alderman Matt Martin,@AldMattMartin,2021-08-30T21:42:19.000Z,"Alderman Matt Martin
@AldMattMartin
·
8월 31일","Chicago stands ready to welcome Afghan refugees.
9
31
208",,9,31,208,['https://pbs.twimg.com/media/E-EdlPAX0AcYyTf?format=jpg&name=small'],https://twitter.com/AldMattMartin/status/1432458685712936964
Creation Entertainment,@CreationEnt,2021-08-30T22:47:42.000Z,"Creation Entertainment
@CreationEnt
·
8월 31일","Unfortunately, Ian Somerhalder is unable to attend The Vampire Diaries/Originals Reunion Conventions in New Jersey (September 24-26, 2021) and Chicago (October 15-17, 2021). Although we will miss Ian, we are pleased to welcome Daniel Gillies (""Elijah Mikaelson"") to New Jersey.
25
50
305",,25,50,305,['https://pbs.twimg.com/media/E-EsjKRWUAMbJ5W?format=jpg&name=small'],https://twitter.com/CreationEnt/status/1432475140034637824
Windy City Ballyhoo,@WCBallyoo,2021-08-30T23:13:51.000Z,"Windy City Ballyhoo
@WCBallyoo
·
8월 31일","The ultra-cool Touchez Pas au Grisbi (1954) first screened in #Chicago (simply as Grisbi) as part of a French crime film double with A Kiss for a Killer at the Monroe Theatre—a depository of gleefully unpredictable doubles— on June 14, 1960. #French #crime #cinema #1960s #film
2
5
14",,2,5,14,['https://pbs.twimg.com/media/E-EyiA3WEAgj1Ov?format=jpg&name=small'],https://twitter.com/WCBallyoo/status/1432481722491449344
Sophiejoy,@Sophiejoyvip,2021-08-30T23:26:07.000Z,"Sophiejoy
@Sophiejoyvip
·
8월 31일","North Carolina charleston 31 to the 3 chicago 3 to the 6 las vegas 6 to the 12 san francisco 12 till the 15
7
76",,,7,76,['https://pbs.twimg.com/media/E-E1SnnWQAMTKbW?format=jpg&name=small'],https://twitter.com/Sophiejoyvip/status/1432484808039534593
QStation,@QStationMedia,2021-08-30T23:19:08.000Z,"QStation
@QStationMedia
·
8월 31일","ATSF 562 • San Bernardino CA • 01/27/93

A Santa Fe piggyback train, most likely the 891 (Los Angeles CA to Chicago IL) has just made a crew change in San Bernardino and it once again moving east.

Photo by Craig Walker.
1
8
61",,1,8,61,['https://pbs.twimg.com/media/E-Ezq6mXoAAEUWE?format=jpg&name=small'],https://twitter.com/QStationMedia/status/1432483052056363012
444 ⁷,@WanjaNjama,2021-08-30T23:47:43.000Z,"444 ⁷
@WanjaNjama
·
8월 31일","Chicago summer '21 video dump 
0:12
380 조회수
1
9
28",💫 🧡,1,9,28,[],https://twitter.com/WanjaNjama/status/1432490244394426378
QStation,@QStationMedia,2021-08-30T23:00:00.000Z,"QStation
@QStationMedia
·
8월 31일","ATSF 519 - a GE B40-8W - rests between assignments at Santa Fe's Corwith Yard in Chicago, Illinois in February 1991.

Photo by Barry Byington, Sr.
5
67",,,5,67,['https://pbs.twimg.com/media/E96VtnaX0AMS5Mw?format=jpg&name=small'],https://twitter.com/QStationMedia/status/1432478236747853829
Block Club Chicago,@BlockClubCHI,2021-08-30T22:30:10.000Z,"Block Club Chicago
@BlockClubCHI
·
8월 31일","A Chicago cop grabbed a Black woman as she walked her dog in Lincoln Park this weekend. It's under investigation.

""This was an obvious case of racial profiling,"" the woman's attorney said. https://buff.ly/3sWQGzY
6
16
48",,6,16,48,['https://pbs.twimg.com/media/E-EoiP6WUAQwfmc?format=jpg&name=small'],https://twitter.com/BlockClubCHI/status/1432470728402776072
