UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
고뤵(바쁨!),@114255__,2021-08-03T19:11:04.000Z,"고뤵(바쁨!)
@114255__
·
Aug 3","아 ㅠ 진자루 부채질 빙추 낙서스디
1
145
542",😭,1,145,542,['https://pbs.twimg.com/media/E744CaXVEAIwRy4?format=png&name=small'],https://twitter.com/114255__/status/1422636151421034499
온도,@ondo_jh,2021-08-27T02:02:44.000Z,"온도
@ondo_jh
·
Aug 26","진자루
51
80",,,51,80,['https://pbs.twimg.com/media/E9wy0vSVIAE0hl3?format=jpg&name=900x900'],https://twitter.com/ondo_jh/status/1431074672838262785
노우,@l_loved_daigo,2021-08-09T17:20:50.000Z,"노우
@l_loved_daigo
·
Aug 9","미네는...진자루.....상체만 깠는디..
1
5
11",,1,5,11,['https://pbs.twimg.com/media/E8XYWOoUYAAp4zC?format=jpg&name=small'],https://twitter.com/l_loved_daigo/status/1424782736749830155
학구,@_oldmanzzang,2021-08-24T13:54:25.000Z,"학구
@_oldmanzzang
·
Aug 24","이날 만이 이뻣네 진자루 ,,
2
11",,,2,11,"['https://pbs.twimg.com/media/E9j48hgX0Bk7weH?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9j48hkXoAsvGk5?format=jpg&name=small']",https://twitter.com/_oldmanzzang/status/1430166610115969041
김픽스,@plzfixxxme,2021-08-30T15:37:07.000Z,"김픽스
@plzfixxxme
·
Aug 30","#섹트 #일탈 진자루 오랜만이죠 으앙
4
1
259",,4,1,259,"['https://pbs.twimg.com/media/E-DJ_mhUYAUh077?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-DJ_mgVIAA3hiz?format=jpg&name=360x360']",https://twitter.com/plzfixxxme/status/1432366781553778693
됴,@u__u528,2021-08-28T01:53:02.000Z,"됴
@u__u528
·
Aug 27","진자루 명반,,,
The following media includes potentially sensitive content. Change settings
View
1
4",,1,,4,[],https://twitter.com/u__u528/status/1431434616942985217
됴,@Day_7109,2021-08-19T05:03:02.000Z,"됴
@Day_7109
·
Aug 18","인장용으로 쪼매 그려봤는데 토끼 겁나귀엽다 진자루,,
1
3",,1,,3,"['https://pbs.twimg.com/media/E9IPYLpUUAAb_4D?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9IPYVXVcAQzvaQ?format=png&name=360x360']",https://twitter.com/Day_7109/status/1428220944682606595
시백,@missxyback,2021-08-10T09:20:32.000Z,"시백
@missxyback
·
Aug 10","오늘은 진자루 #앙마사냥 
4
1
28",🧸 😈 💕,4,1,28,['https://pbs.twimg.com/media/E8a0ALBUcAIVkQz?format=jpg&name=small'],https://twitter.com/missxyback/status/1425024254341304322
김멜몽,@KMM_1_234,2021-08-25T11:09:23.000Z,"김멜몽
@KMM_1_234
·
Aug 25","노바라 디오라마 왤케 이뻐 진자루..
1
4",,1,,4,['https://pbs.twimg.com/media/E9ocw3pUYAY63AS?format=jpg&name=small'],https://twitter.com/KMM_1_234/status/1430487465656156161
정입분,@eve_jungoh,2021-08-07T04:08:38.000Z,"정입분
@eve_jungoh
·
Aug 6","머야 멈머까짘ㅋㅋㅋㅋㅋ 넘 귀여워 진자루 러브 셔츠 입힌것봐 ㅜㅜㅋㅋㅋㅋ
9",,,,9,['https://pbs.twimg.com/media/E8KP2dGVkAE9SQq?format=jpg&name=900x900'],https://twitter.com/eve_jungoh/status/1423858599953002505
