UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
SHOWCHAMPION,@showchampion1,2021-08-11T01:50:50.000Z,"SHOWCHAMPION
@showchampion1
·
8월 11일","아쉬워 #벌써_12시 .......?
무슨 소리지. 아직 11시도 안됐는데요 (불만)(불만)
정말 한시라도 빨리...
시간이 흘렀으면 하는 바람이 아주 큰데요...
오늘 <입덕 LIVE>의 주인공!
천재만재 퍼포먼스킹 
펜타곤 #키노 왕자님을 만날 수 있는 날
잠시 후 5시 #쇼챔피언 놓치면.... (절레)(절레)
143
2.5천
9.1천",😞 ❤,143,2.5천,9.1천,"['https://pbs.twimg.com/media/E8eWpTxVoAIRnCa?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8eWqIKUUAk85UN?format=jpg&name=360x360']",https://twitter.com/showchampion1/status/1425273470405922818
초초,@Cho_JKH,2021-08-20T03:02:00.000Z,"초초
@Cho_JKH
·
8월 20일","#8월20일_12시_정경호_회상_많관부
아악
5
9",🏖,,5,9,['https://pbs.twimg.com/media/E9M9Q-dUUAAuwj3?format=jpg&name=small'],https://twitter.com/Cho_JKH/status/1428552872761778181
오리,@oooo_leee,2021-08-20T01:58:25.000Z,"오리
@oooo_leee
·
8월 20일","#8월20일_12시_정경호_회상_많관부 
노래하는! 귀여운! 정경호! 많관부!
8
12",,,8,12,['https://pbs.twimg.com/media/E9MutatVEAMuU3V?format=jpg&name=small'],https://twitter.com/oooo_leee/status/1428536869587881991
엠삐,@kim_actorfan,2021-08-20T01:24:27.000Z,"엠삐
@kim_actorfan
·
8월 20일","#8월20일_12시_정경호_회상_많관부 
노래하는 정경호 많이 들어주세요
GIF
17
42",❤,,17,42,['https://pbs.twimg.com/tweet_video_thumb/E9Mm51rVcAEabHF.jpg'],https://twitter.com/kim_actorfan/status/1428528323093688326
"민서의 노래, 들어보실래요?",@listento_Minseo,2021-08-09T01:50:08.000Z,"민서의 노래, 들어보실래요?
@listento_Minseo
·
8월 9일","민서, 라디 프로듀싱 싱글 '화풀어' 가창…오늘(9일) 발매

오늘 PM12시에 발매 됩니다.
많이 들어 주세요

https://xportsnews.com/?ac=article_view&entry_id=1458778…

#민서 #MINSEO #라디 #화풀어 #8월9일 #12시 #발매 #싱글
5
4",🙏 📎,,5,4,['https://pbs.twimg.com/media/E8UDU7iUcAMf3bp?format=jpg&name=small'],https://twitter.com/listento_Minseo/status/1424548520644595712
생,@syoungs_,2021-08-20T03:19:34.000Z,"생
@syoungs_
·
8월 20일","#8월20일_12시_정경호_회상_많관부 
많관부 많사부
3
4",🏷 ✨ ✨,,3,4,[],https://twitter.com/syoungs_/status/1428557291133886472
ㅌㅊㅅ 어라,@JsGh2631,2021-08-20T07:40:21.000Z,"ㅌㅊㅅ 어라
@JsGh2631
·
8월 20일","#8월20일_12시_정경호_회상_많관부
툭툭 던지는 고런 느낌에 음색 미쳤다 진짜… 많관부 많관부 많관부
3",🏖,,,3,['https://pbs.twimg.com/media/E9N8-UqVgAICnrf?format=jpg&name=small'],https://twitter.com/JsGh2631/status/1428622920742432770
엠삐,@kim_actorfan,2021-08-20T02:29:17.000Z,"엠삐
@kim_actorfan
·
8월 20일","#8월20일_12시_정경호_회상_많관부
30분 뒤에 나오는 정경호-회상 많관부
3
2",🙏,,3,2,[],https://twitter.com/kim_actorfan/status/1428544637615022081
뉴뉴냔,@Jstar_Ygaeng,2021-08-19T13:21:48.000Z,"뉴뉴냔
@Jstar_Ygaeng
·
8월 19일","#8월20일_12시_정경호_회상_많관부

오.. 좋은 해시가
1
1
8",💤,1,1,8,[],https://twitter.com/Jstar_Ygaeng/status/1428346462664937473
둉,@do_804_,2021-08-19T16:23:50.000Z,"둉
@do_804_
·
8월 20일","#8월20일_12시_정경호_회상_많관부
기대 된다..
1
1",❄,,1,1,[],https://twitter.com/do_804_/status/1428392271221706753
골든차일드 음원 총공팀,@GolCha_music,2021-08-16T03:08:44.000Z,"골든차일드 음원 총공팀
@GolCha_music
·
8월 16일","(월)

#멈출수_없어_라팜팜을_향한_열정_12시
스트리밍 이벤트 언제나 진행중

지니 차 트 아 웃

스트리밍체크한번할까요
19
32",🎵 🎵 ↗ ☑,,19,32,[],https://twitter.com/GolCha_music/status/1427105012673507330
눙,@ikpiwingom,2021-08-19T14:04:18.000Z,"눙
@ikpiwingom
·
8월 19일","#8월20일_12시_정경호_회상_많관부
헐랭방구느낌표 해시 있네 다들 많관부부탁드려요느낌표하트
1
3",,,1,3,[],https://twitter.com/ikpiwingom/status/1428357158475747333
보리,@star_BARIEY,2021-08-20T00:38:56.000Z,"보리
@star_BARIEY
·
8월 20일","#8월20일_12시_정경호_회상_많관부 
이게서동요가아니라진짜라니
4",,,,4,[],https://twitter.com/star_BARIEY/status/1428516868101312512
뉴뉴냔,@Jstar_Ygaeng,2021-08-19T15:06:45.000Z,"뉴뉴냔
@Jstar_Ygaeng
·
8월 20일","#8월20일_12시_정경호_회상_많관부 
갱 회상 드디어 나온다 오 대박
#우리_주난이도_쓰러질줄_알아
갱 회상 나오는 기념으로 한번 쓰러트려주세요
#우리_주난이도_울줄알아

아 이 반대였던가 몰라 총공을 해본적이 있어야지
2
6",💤,,2,6,[],https://twitter.com/Jstar_Ygaeng/status/1428372873521946628
완자,@CS212_,2021-08-19T14:16:41.000Z,"완자
@CS212_
·
8월 19일","회상노래진짜좋거든요?
 #8월20일_12시_정경호_회상_많관부
근데그걸정경호가부른다네요안들으시면헌법제어쩌구에위반됩니다
2
8",,,2,8,[],https://twitter.com/CS212_/status/1428360275380498444
J(메인트 확인),@KjwJkh8342831,2021-08-19T13:58:19.000Z,"J(메인트 확인)
@KjwJkh8342831
·
8월 19일","#8월20일_12시_정경호_회상_많관부
 갱 다른 오슷도 좋은 거 많으니까... 소중한 사람, 꿈은 어디에, 그대 떠나 없는 거리, 부산에 가면 등등 
Everyday 진짜 좋은 거 많으니까 같이 들어주세요
9",⭐,,,9,[],https://twitter.com/KjwJkh8342831/status/1428355649377767424
{모래알 1기}라온,@forkyungho_,2021-08-20T02:29:16.000Z,"{모래알 1기}라온
@forkyungho_
·
8월 20일","#8월20일_12시_정경호_회상_많관부
이제이제 얼마 남지 않았오오오오
기대기대
2
1",,,2,1,[],https://twitter.com/forkyungho_/status/1428544633806622731
율하진,@zmxncbv__0208,2021-08-06T14:52:15.000Z,"율하진
@zmxncbv__0208
·
8월 6일","#12시_존버
히히헤헤낄낄깔깔",,,,,[],https://twitter.com/zmxncbv__0208/status/1423658180790210567
(10/6까지)연서,@wisedoctor0831,2021-08-20T03:03:05.000Z,"(10/6까지)연서
@wisedoctor0831
·
8월 20일","진짜 너무 좋다
#8월20일_12시_정경호_회상_많관부
1
1",❄ 💙,,1,1,[],https://twitter.com/wisedoctor0831/status/1428553143843840003
박하삿탕,@BaK_23_,2021-08-20T03:45:25.000Z,"박하삿탕
@BaK_23_
·
8월 20일","회상한번만들어주면안되나진짜진짜
#8월20일_12시_정경호_회상_많관부
진짜좋은데진짜진짜좋은데좀들어주면안되나
2",,,,2,[],https://twitter.com/BaK_23_/status/1428563797556428800
ㅃㅏㅇ,@BBANG_831,2021-08-19T14:09:23.000Z,"ㅃㅏㅇ
@BBANG_831
·
8월 19일","#8월20일_12시_정경호_회상_많관부
노래 짱 잘부른다~ 내일까지 나오면 구구즈 다불럿다~~ 정경호 이왕에 한개 더 내자!#서동요
1
2",,,1,2,[],https://twitter.com/BBANG_831/status/1428358437822373903
해적,@pirat3cs,2021-08-20T03:47:47.000Z,"해적
@pirat3cs
·
8월 20일","#8월20일_12시_정경호_회상_많관부
노래짱조아요 많관부.. 한번 들으면 열번듣게됨",,,,,[],https://twitter.com/pirat3cs/status/1428564391633383432
こっこ,@0205yj,2021-08-12T03:34:44.000Z,"こっこ
@0205yj
·
8월 12일","12시 34분 Nothing Better (Sung by TVXQ!) https://youtu.be/uzdZoiEFhsc 
@YouTube
より
12시 34분 Nothing Better (Sung by TVXQ!)
Provided to YouTube by SM Entertainment12시 34분 Nothing Better (Sung by TVXQ!) · SMTOWN12시 34분 Nothing Better (From '09 SUMMER SMTOWN')℗ SM EntertainmentRelea...
youtube.com
1",🎈,,,1,['https://pbs.twimg.com/card_img/1441042956103090176/k57VZgqP?format=jpg&name=240x240'],https://twitter.com/0205yj/status/1425662008486076421
xpsdl1010,@xpsdl1010,2021-08-29T15:17:02.000Z,"xpsdl1010
@xpsdl1010
·
8월 30일","BEAST - '12시 30분 (12:30)' (Official Music Video) https://youtu.be/oCmMbil5wCY via 
@YouTube
BEAST - '12시 30분 (12:30)' (Official Music Video)
BEAST - '12시 30분 (12:30)' (Official Music Video)
youtube.com",,,,,['https://pbs.twimg.com/card_img/1438502660131282952/2tQkfABh?format=jpg&name=240x240'],https://twitter.com/xpsdl1010/status/1431999338406809607
