UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
박도하,@16MjcJSzXtt3dGI,2021-08-18T09:38:09.000Z,"박도하
@16MjcJSzXtt3dGI
·
Aug 18","보이차는 다이어트와 비염, 콜레스테롤 수치를 낮추는데 도움이 된다. 양귀비도 기름 진 고기를 먹고 나면 꼭 보이차를 찾았다고 한다. 숙취해소에도 좋아 홍콩에선 사업상 술을 마신 후에는 보이차 카페에 들면 보이차를 마신다고 한다. 보이차에 심신을 달램은 참 좋은 일이다.
5",,,,5,['https://pbs.twimg.com/media/E9EEwVPVkAQ4PKh?format=jpg&name=small'],https://twitter.com/16MjcJSzXtt3dGI/status/1427927791803125761
먹부심충족자,@food_and_drink1,2021-08-25T02:53:54.000Z,"먹부심충족자
@food_and_drink1
·
Aug 24","63. 강화도- 카페 희와래
논뷰가 이쁜 카페. 비건으로 즐길 수 있는 디저트음식들과 직접로스팅한 커피까지.
마당에 잔디밭까지있어서 야외에서 마셔도 참 좋은곳. 무엇보다 논뷰가 너무이뻐서 영상으로^^ 한달에 한번은 가는 듯. 아이들과 혹은 연인끼리 가면 좋아요~
12
58",,,12,58,['https://pbs.twimg.com/ext_tw_video_thumb/1430362715164344320/pu/img/spt2zEVMbdKZIlTy.jpg'],https://twitter.com/food_and_drink1/status/1430362772320096258
까망,@ggamaang131,2021-08-19T02:27:48.000Z,"까망
@ggamaang131
·
Aug 18","#미연아듣고있니
미연아 좋은 아침이야 오늘은 아침부터 날씨가 참 좋다 그치? 카페 왔는데 주문하려고 어플 켰더니 이런 문구가 써있더라구. 오늘도 행복하라는 문장 보자마자 미연이가 떠올랐어 우리 오늘도 행복하자 미연아 좋은 하루 즐거운 하루 보내길 바라! 오늘도 많이 사랑해",☀ ☺ 🥰 💚 💚,,,,['https://pbs.twimg.com/media/E9Hr2SKVUAAUqBz?format=jpg&name=small'],https://twitter.com/ggamaang131/status/1428181878591221763
tin,@Bureokjam6,2021-08-12T12:46:23.000Z,"tin
@Bureokjam6
·
Aug 12","애정하는 카페가 생긴다는 건 참 기분 좋은 일이야 내 최애 바에 이은… 최애 카페 시그니처 라떼가 참 맛있음 인절미 아인슈페너 너낌 완전 꼬숩달달
1
19",🥰 😋,1,,19,['https://pbs.twimg.com/media/E8l2S2fVkAIcKIA?format=jpg&name=small'],https://twitter.com/Bureokjam6/status/1425800834680426498
들장미,@espio0027,2021-08-19T03:31:12.000Z,"들장미
@espio0027
·
Aug 18","풀 멍 때리기 참 좋은 정원 컨셉 카페 5 | 다음 뉴스
풀 멍 때리기 참 좋은 정원 컨셉 카페 5
길어지는 코시국에 지난한 재택근무와 줌 수업으로 가슴이 콱 막히는 것 같다. 이 답답함 어디 가서 풀고 싶건만 역시나 코로나 때문에 그마저도 제한적이다. 바다와 산으로 떠나서 자연 정기 듬뿍 충전하고 돌아오고 싶지만 그게 어렵다면 도심 속에서 풀 멍 때리는 건 어떨까? 그래서 코스모가 준비했다. 초록 초록 마음이 싱그러워지는 풀들을 보면서 힐링하기 딱 좋은
news.v.daum.net",,,,,[],https://twitter.com/espio0027/status/1428197831114776594
고미,@mong_____129,2021-08-28T11:18:35.000Z,"고미
@mong_____129
·
Aug 28","커피한잔 때리고 멍때릴겸 산책하기 참 좋죠...... 아무렇게나 즐비한 카페들도 다 적당히 괜찮을것만 같아서 그걸로도 괜찮은
방랑자의 정원
@wanderer_garden
 · Aug 28
아 오늘 망원 합정 상수쪽 생각이 계속나 일단 집 나가면 가파른 하산코스 밟고 버스 타고 지하철 타고 그러고 돌아다닐건데 거기서 뭐 할 것도 없잖아? 허리만 아프고 결국 지쳐서 똑같은 코스 반대로 타고 가파른 등산코스로 마무리하는 귀가일텐데 왜 자꾸 이래
Show this thread
1
4",,,1,4,['https://pbs.twimg.com/profile_images/1400717749828001792/rrS1rPtJ_mini.jpg'],https://twitter.com/mong_____129/status/1431576942336098304
ㅅㅅ,@cooksook,2021-08-04T08:03:21.000Z,"ㅅㅅ
@cooksook
·
Aug 4",잘놀고 있는데 컨디션은 왜 이렇게 안좋은 거야. 생각지도 못한 두통에 오전은 날려먹고 오후엔 좀 움직여보자- 나왔는데 안좋네 어지러워 안좋아. 와중에 옆동네 식물 카페 여기 참 좋다-,,,,,"['https://pbs.twimg.com/media/E77oyioVUAAKULL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E77oyipUYAA6dGM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E77oyilVcAUilf2?format=jpg&name=360x360']",https://twitter.com/cooksook/status/1422830505091731456
심 순애,@purelove_is,2021-08-08T01:20:29.000Z,"심 순애
@purelove_is
·
Aug 7","남편은 나에게 당신은 말투가 참 다정하고 좋아라고 말한다
다만 흠이 있다면 코딱지와 방귀라고 ㅋㅋㅋㅋ 저번에 트친님 카페가서 화장실도 들렸는데 내가 눈도 나쁘고 어두워서 코딱지 있는거 집에와서 알게됨 
2
1
9",😭 😭,2,1,9,[],https://twitter.com/purelove_is/status/1424178668700536834
미끄,@mystiqqqque,2021-08-17T05:18:10.000Z,"미끄
@mystiqqqque
·
Aug 16","김부각 완판시킬만한게 그의 미각 참미각이란 말이져… 밍픽 카페 지인이랑 몇군데 가봤는데 다 맛있었고.. 지인도 반응 좋았고.. 무엇보다 일관된 취향이 있었음ㅋㅋ

1. 무적권 베이커리류가 맛있는 카페일것
2. 인더스트리얼보단 앤틱, 우드, 따뜻한 느낌 인테리어

밍픽은 ㄹㅇ 소신픽이란 말임..
1
60
113",,1,60,113,[],https://twitter.com/mystiqqqque/status/1427499973625610240
랑,@exileforatz,2021-08-08T04:41:59.000Z,"랑
@exileforatz
·
Aug 7",아침 배구로 눈물 찔끔 흘리고 뒹굴다가 밥 먹고 설거지 및 청소기 하고 나오니까 딱 알맞게 흐린 날씨 카페에 앉아 있으니까 섹후땡 메들리 나오고요 어쩔 수 없이 참 좋네 잠시간은 누릴게여,,,,,[],https://twitter.com/exileforatz/status/1424229377865252864
