UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
하정말미치겠군,@H0LYM0LY_SPIRIT,2021-08-26T11:38:05.000Z,"하정말미치겠군
@H0LYM0LY_SPIRIT
·
8월 26일","제목: 비너스에탄생
113
91",,,113,91,"['https://pbs.twimg.com/media/E9ts7C4VIAED21A?format=jpg&name=small', 'https://pbs.twimg.com/media/E9ts7C0VEAcm18C?format=jpg&name=small']",https://twitter.com/H0LYM0LY_SPIRIT/status/1430857073667969030
취향,@loverdramas,2021-08-29T03:09:37.000Z,"취향
@loverdramas
·
8월 29일","공진 비너스 윤혜진
82
99",,,82,99,"['https://pbs.twimg.com/media/E97VTz8VcAQMdOe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97VT8AUcAYLwM6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97VT2qUcAE0wCG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97VUIcVUAQvNaW?format=jpg&name=360x360']",https://twitter.com/loverdramas/status/1431816278230978560
GirlsGeneration Bot,@snsdstagram85,2021-08-07T14:26:33.000Z,"GirlsGeneration Bot
@snsdstagram85
·
8월 7일","[210807 INSTAGRAM] barbara_venus_

난 비너스라고해????
.
????????
#비너스 #개스타그램
 https://snsdstagram.com/barbara_venus_/p/CSRsYrABGsy… #SNSD #GirlsGeneration
182
299",,,182,299,['https://pbs.twimg.com/media/E8MdRn_UcAMwoy-?format=jpg&name=small'],https://twitter.com/snsdstagram85/status/1424014101961838600
42,@Saanranghae,2021-08-24T06:07:02.000Z,"42
@Saanranghae
·
8월 24일","비너스                         아르테미스
헤라                             아프로디테
22
26",,,22,26,"['https://pbs.twimg.com/media/E9iN-ZJVUAA22IM?format=jpg&name=small', 'https://pbs.twimg.com/media/E9iN-XUVcAAVhOp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9iN-W0VkAMkNnZ?format=jpg&name=small', 'https://pbs.twimg.com/media/E9iN-XpVgAMxABc?format=jpg&name=360x360']",https://twitter.com/Saanranghae/status/1430048989177548800
Blu_ya,@chayap16,2021-08-22T02:52:08.000Z,"Blu_ya
@chayap16
·
8월 22일","[오 마이 비너스 OST] 김태우 & 벤 - Darling U MV https://youtu.be/dpPL9b6mC14 ผ่าน 
@YouTube
Happy Sunday everyone  
#Bangkok 
#Thailand 
#COVID19 
#LockDown
3
7
44",🌺 💦 💦,3,7,44,"['https://pbs.twimg.com/media/E9XOA5DUcAE3BlA?format=jpg&name=small', 'https://pbs.twimg.com/media/E9XOA5iVgAA5KAX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9XOA6IVIAMRYHY?format=jpg&name=360x360']",https://twitter.com/chayap16/status/1429275166496890885
유무,@sf_yumu,2021-08-06T06:12:12.000Z,"유무
@sf_yumu
·
8월 6일","얘들아...
비너스가..
움직인다...
45
63",,,45,63,['https://pbs.twimg.com/ext_tw_video_thumb/1423527235277914113/pu/img/xIAJrTeuVe5e2sjg.jpg'],https://twitter.com/sf_yumu/status/1423527305788289026
T68S,@T_6_8_SHINE,2021-08-17T12:58:20.000Z,"T68S
@T_6_8_SHINE
·
8월 17일","슈봇을 처음 부팅할때 이랬을것같다

세상에서 가장 아름다운 로봇의 탄생
비너스의 탄생
1
23
66",,1,23,66,"['https://pbs.twimg.com/media/E8_o-s5VkAEVSxF?format=jpg&name=small', 'https://pbs.twimg.com/media/E8_o-8-UUAAnhkm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8_o_NBVEAEqnfx?format=jpg&name=360x360']",https://twitter.com/T_6_8_SHINE/status/1427615781940916225
골무새,@jjPiL66VLjFlS32,2021-08-13T10:06:52.000Z,"골무새
@jjPiL66VLjFlS32
·
8월 13일","진짜 불사신의 비너스다 (ㅈㅅ합니다)
3
12",,,3,12,['https://pbs.twimg.com/media/E8qbYCRVcAAsLwi?format=jpg&name=small'],https://twitter.com/jjPiL66VLjFlS32/status/1426123078195552256
벽구,@byeok99999,2021-08-14T12:11:57.000Z,"벽구
@byeok99999
·
8월 14일","헬겔비너스보다가 이거보니까 마음이 따스해져
GIF
1
13",,1,,13,['https://pbs.twimg.com/tweet_video_thumb/E8wBirYVcAEb8lP.jpg'],https://twitter.com/byeok99999/status/1426516944946024451
아잠만,@oladobby_chu,2021-08-15T16:02:37.000Z,"아잠만
@oladobby_chu
·
8월 16일","에로스는 오직, 어머니 비너스의 품에 안겨야만 잠을 잤다. 그런 어리광쟁이 신을 찰나 청년으로 키워낸 이가 있으니. 가슴 안쪽으로 나비가 움트는 감정. 어리석은 에로스는 제 화살에 사랑을 깨닫고 매일 밤낮 그리운 얼굴을 열망한다. 아아, 나의 프시케야. 나의 작은 나비야. 

프시케밀X에로스콥
10
4",🌈 🍓 ❤ 🍒,,10,4,"['https://pbs.twimg.com/media/E81_-F9UUAEGxSU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E81_-F_VcAof7rv?format=jpg&name=360x360']",https://twitter.com/oladobby_chu/status/1426937379328200705
