UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
✽온,@loto_25,2021-08-27T23:00:07.000Z,"✽온
@loto_25
·
8월 28일","오 완전 귀여워요ㅠㅠ 13번 박정아 선수 ㅠㅠㅠ
취미하는 랖
@hobbyist_RAF
 · 8월 25일
김연경 주장 국대 유니폼 십자수 브로치 완성!!

다년간의 배구만화 덕질로 자체 굿즈 생산이 가능하다는 것을 너무 늦게 깨달았다..ㅎ

RT추첨 연경주장 유니폼(색상랜덤)
인용RT 원하는 선수 번호와 색상 남기면 커스텀해서!

보내드리겠습니다~ 만드는 기간 꽤 걸려요.

#여자배구 #김연경
이 스레드 보기",,,,,"['https://pbs.twimg.com/profile_images/1241991542178340864/0_g6yTeV_mini.jpg', 'https://pbs.twimg.com/media/E9ojEh5VUAcpOyD?format=jpg&name=small', 'https://pbs.twimg.com/media/E9ojEh3UUAcb13y?format=jpg&name=360x360']",https://twitter.com/loto_25/status/1431391100904693760
롯토,@loto_dd,2021-08-30T20:50:04.000Z,"롯토
@loto_dd
·
8월 31일",ㅈㄴ 싸이코적임,,,,,[],https://twitter.com/loto_dd/status/1432445537819639810
롯토,@loto_dd,2021-08-30T20:57:44.000Z,"롯토
@loto_dd
·
8월 31일",빡치는데 인용은 뭐임?????  저런 영상을 다수가 볼 수 있는  인터넷에  올린다<<  그 영향력이 어케 될지 모름??????????????,,,,,[],https://twitter.com/loto_dd/status/1432447469502169091
SinizadeCommissionsOpen,@Samandriade,2021-08-27T15:53:21.000Z,"SinizadeCommissionsOpen
@Samandriade
·
8월 28일","Nami, Tama and Loto
i'm so glad my baby has loved ones now 
#leagueoflegendsart #League_of_Legends #ArtofLegends #Nami
24
739
2.9천",✨ ✨ ☺ ❤,24,739,2.9천,['https://pbs.twimg.com/media/E9zwbFYXIAER6g3?format=jpg&name=900x900'],https://twitter.com/Samandriade/status/1431283701594431497
Fei Nomnomnom #ThankYouMiura 278/300,@Fei_Nominus,2021-08-29T11:19:22.000Z,"Fei Nomnomnom #ThankYouMiura 278/300
@Fei_Nominus
·
8월 29일","Baby is sorta done. Just gonna look for some red paint later so i can remove the stickers on the binders. Love this little kit. Also Bonus Loto #plamo #gunpla
5
12
68",🐉,5,12,68,"['https://pbs.twimg.com/media/E99FYZ-XoAUqJA9?format=jpg&name=small', 'https://pbs.twimg.com/media/E99FZjBWUAMIDlS?format=jpg&name=small', 'https://pbs.twimg.com/media/E99FZC2WUAQsip5?format=jpg&name=small', 'https://pbs.twimg.com/media/E99FaCOXMAA1AK-?format=jpg&name=small']",https://twitter.com/Fei_Nominus/status/1431939528097472516
Plugboats,@Plugboats,2021-08-30T17:31:45.000Z,"Plugboats
@Plugboats
·
8월 31일","This is the 3rd year 
@marinevision
 has competed in the 
@LOTO_Shootout
, 3rd  year setting a record - double the speed of the 1st record! e-boats are coming on fast!  Congratulations! #electricboat #eboats #EVs #emobility #speed
Electric boat speed record set at Lake of The Ozarks Shootout - Plugboats
A Vision Marine Technologies Bruce 22 equipped with the company's E-Motion 180e engine set the new electric boat speed record for the famed Lake of the Ozarks
plugboats.com
6
10",,,6,10,['https://pbs.twimg.com/card_img/1440021438468087815/r10yh4E6?format=jpg&name=small'],https://twitter.com/Plugboats/status/1432395630173904898
Simon Attwood #IStandWithKenLoach,@SimonAttwood,2021-08-30T09:52:20.000Z,"Simon Attwood #IStandWithKenLoach
@SimonAttwood
·
8월 30일","Dear 
@EHRC
 , Your recent report on 
@UKLabour
 found only 1 thing unlawful; the leaders office involvement & interference in disciplinary cases (relating to the LOTO office enquiring why 
@ken4london
 case was taking so long). So when are you going to recommend Starmer is prosecuted?
5
13",,,5,13,[],https://twitter.com/SimonAttwood/status/1432280014637129729
NIL| نیل,@its_Loto,2021-08-30T13:15:08.000Z,"NIL| نیل
@its_Loto
·
8월 30일","رو گیتارم نقاشی کشیدممممم

لطفا منشن و فیو یادتون نره:))) 
#ريتويت 
#ريتوييت_لطفا 
#هل_بدین
60
23
237",🥲 🌻,60,23,237,"['https://pbs.twimg.com/media/E-CpTL_WEAM9wdS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CpaKbWEAE9U3Y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CpZHZXMAUUixs?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-Cpe0CXIAAzGX4?format=jpg&name=medium']",https://twitter.com/its_Loto/status/1432331049611284485
Visita Corea,@VisitaCorea,2021-08-30T01:00:01.000Z,"Visita Corea
@VisitaCorea
·
8월 30일","#FotoCorea

Flores de loto en el templo Suseonsa 

#Sancheong #VisitaCorea en línea 

 Foto de Travel Holic
2
26
155",🌿 🌸 🌳 📸,2,26,155,['https://pbs.twimg.com/media/E93tPaZVIAIYZ8_?format=jpg&name=small'],https://twitter.com/VisitaCorea/status/1432146050316267522
Rouge Maths,@MathsRouge,2021-08-28T06:38:23.000Z,"Rouge Maths
@MathsRouge
·
8월 28일","#BlanquerDemission fait gagner jusqu'à 57 euros net à la moitié des enseignants...
Les quelques chanceux de cette super prime se sentent comme les gagnants du LOTO !

Le ministère indique prévoir un accompagnement psychologique et fiscal pour ces gros gagnants...
#Clopinettes
2
36
72",,2,36,72,['https://pbs.twimg.com/media/E927VLcWUAM-RK5?format=jpg&name=small'],https://twitter.com/MathsRouge/status/1431506431329583110
