UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
참빱댁,@Guamolip1,2021-08-29T04:55:16.000Z,"참빱댁
@Guamolip1
·
8월 29일","#멘션_온_자빱유니버스_등장인물_그리기
그리다보니 이전이랑 비슷한 그림체가 되었고,,

빱이랑 같이 밤새면서 그렸어유~ 물론 제가 더 일찍 잠 빱이 지금은 자겠지...
2
149
259",,2,149,259,['https://pbs.twimg.com/media/E97tgA6UcAEfafy?format=jpg&name=small'],https://twitter.com/Guamolip1/status/1431842868964966402
찐 황금콘,@KcongpaX,2021-08-28T15:25:23.000Z,"찐 황금콘
@KcongpaX
·
8월 29일","김자빱 심야방송 메이플 합니다
176
220",,,176,220,['https://pbs.twimg.com/media/E940HJsVcAwj0o8?format=png&name=small'],https://twitter.com/KcongpaX/status/1431639055041589249
마약콘수수댁,@forppapcorn,2021-08-29T04:58:37.000Z,"마약콘수수댁
@forppapcorn
·
8월 29일","낫호텔 퀴즈방 웃겼던 부분

사후세계 돌멩이 먹는 빱
1
181
214",,1,181,214,['https://pbs.twimg.com/ext_tw_video_thumb/1431843640339427332/pu/img/p-yaWT8HmtM38CmI.jpg'],https://twitter.com/forppapcorn/status/1431843708559761412
남궁 상추,@Lettuce_Corn,2021-08-30T07:51:33.000Z,"남궁 상추
@Lettuce_Corn
·
8월 30일","빱이 
35
88",🐰,,35,88,"['https://pbs.twimg.com/media/E-BfbI1UYAQI1zc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BfbpMVUAEZJGB?format=jpg&name=360x360']",https://twitter.com/Lettuce_Corn/status/1432249618075578375
참빱댁,@Guamolip1,2021-08-29T19:14:16.000Z,"참빱댁
@Guamolip1
·
8월 30일","빱아..난 먼저 잔다.....
2
42",,,2,42,['https://pbs.twimg.com/media/E9-yGsuUUAMiFsO?format=jpg&name=small'],https://twitter.com/Guamolip1/status/1432059039509217284
슉. 슈슉. 레알타,@Realta_maidin,2021-08-27T15:11:42.000Z,"슉. 슈슉. 레알타
@Realta_maidin
·
8월 28일","크롬바스 50퍼 솔플해서 깼습니다
글기 조빱이내~
1
12",,1,,12,['https://pbs.twimg.com/media/E9zmpybUcAIQvcI?format=jpg&name=small'],https://twitter.com/Realta_maidin/status/1431273223715393542
부장,@boss6758_,2021-08-28T16:20:48.000Z,"부장
@boss6758_
·
8월 29일","28일 빱이 방송 오늘 자고 일어나서 색 헤야지
16",,,,16,['https://pbs.twimg.com/media/E95AuR7VcAY2XXS?format=png&name=900x900'],https://twitter.com/boss6758_/status/1431652998812372998
리밋𝒍𝒊𝒎𝒊𝒕,@lRobbie_lim,2021-08-29T22:43:59.000Z,"리밋𝒍𝒊𝒎𝒊𝒕
@lRobbie_lim
·
8월 30일","아침빱 학교에서 누워서 먹기
5",🍡 🍡,,,5,['https://pbs.twimg.com/media/E9_iGVtVUAEF4F4?format=jpg&name=small'],https://twitter.com/lRobbie_lim/status/1432111818193862656
저화질의 성진,@LQ_BOBSJ,2021-08-27T17:16:51.000Z,"저화질의 성진
@LQ_BOBSJ
·
8월 28일","한입거리 주먹빱
9
47",,,9,47,"['https://pbs.twimg.com/media/E90EDSvVgAcM98b?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E90EDTLVcAUz_dL?format=jpg&name=360x360']",https://twitter.com/LQ_BOBSJ/status/1431304716013608963
까꼬댁,@corn_kkakko,2021-08-29T13:34:54.000Z,"까꼬댁
@corn_kkakko
·
8월 29일","#멘션_온_자빱유니버스_등장인물_그리기
빱라3이곡길   서리사막독고루미  우정리복수
자매꽃새우강  투정리그림자   서리사막류도롱
서리사막미연개 토깽뎐박달곰  빱라2나왕눈

감사합니다!!
1
12
22",🍿,1,12,22,['https://pbs.twimg.com/media/E99kbnGVcAAndeu?format=jpg&name=small'],https://twitter.com/corn_kkakko/status/1431973637930717186
랜프댁,@Lp_ppapcorn,2021-08-30T00:53:35.000Z,"랜프댁
@Lp_ppapcorn
·
8월 30일","연습장에 가득한 빱ㅋㅋㅋㅋ
9",,,,9,['https://pbs.twimg.com/media/E9__xTkUcAADuTu?format=jpg&name=small'],https://twitter.com/Lp_ppapcorn/status/1432144435165368326
홍,@Honglohe,2021-08-28T20:07:27.000Z,"홍
@Honglohe
·
8월 29일","최근... 자빱tv를 보기 시작...
우리 빱이... 우산좀 씌워주세요....

#우정리 #우정리2 #투정리
138
284",,,138,284,['https://pbs.twimg.com/media/E950nqHVcAA9PIA?format=jpg&name=900x900'],https://twitter.com/Honglohe/status/1431710039652192256
밎제댁,@corncorn_MJJ,2021-08-29T06:52:49.000Z,"밎제댁
@corncorn_MJJ
·
8월 29일","헐 진짜 뭐에요?? 사실 이 세상 모든 사람도 기계도 콘이었던 거지 역시 월드 페이머스 서터리머 김자빱
다인
@Dain0220
 · 8월 29일
?
이 스레드 보기
1
30
23",🌊 🍿 🥝 🥝 🐰 🍿,1,30,23,"['https://pbs.twimg.com/ext_tw_video_thumb/1431872436077666305/pu/img/Lv9-WMgRff5V4USx.jpg', 'https://pbs.twimg.com/profile_images/1442091966137729033/-7Gh_sV8_mini.jpg', 'https://pbs.twimg.com/media/E956AzQUcAAa_rV?format=jpg&name=240x240']",https://twitter.com/corncorn_MJJ/status/1431872448144760834
