UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
lololol,@coco_078,2021-08-05T05:44:18.000Z,"lololol
@coco_078
·
8월 5일","투모로우바이투게더 앨범 양도합니다
포카 없고 포카 제외 다른 구성품 있습니다

제시해주세요
이터니티 앨범에는 특전 파우치도 있습니다

투바투 앨범
스타 매직 이터니티 블루아워
Star magic eternity blue hour",,,,,"['https://pbs.twimg.com/media/E8ASjqXVEAMeiy4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ASjqYUUAAnBBJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ASjqXUUAA03pb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ASjqqVkAEQjP5?format=jpg&name=360x360']",https://twitter.com/coco_078/status/1423157895873515523
Cee,@kingbQquinn,2021-08-27T01:53:09.000Z,"Cee
@kingbQquinn
·
8월 27일","I’m late which is not shoelace, but, Happy International Dog day!!! From my besties blue & coco
2
7",🦢 ❤,2,,7,['https://pbs.twimg.com/media/E9wwob3WQAI807Z?format=jpg&name=medium'],https://twitter.com/kingbQquinn/status/1431072258085302273
Coco船四家/Isla,@Coco_PSO2_ship4,2021-08-17T15:20:37.000Z,"Coco船四家/Isla
@Coco_PSO2_ship4
·
8월 18일","#メンテの日なのでssを貼る 
#PSO2NGS
#船四家SS
「red_limbo//blue_topia」
12
43",,,12,43,"['https://pbs.twimg.com/media/E9AJQ1ZVcAUr_Ro?format=jpg&name=small', 'https://pbs.twimg.com/media/E9AJRpQVUAgIYF6?format=jpg&name=small']",https://twitter.com/Coco_PSO2_ship4/status/1427651588227698693
Dom(V-artist) | Fuck,@dominolamia,2021-08-11T03:19:30.000Z,"Dom(V-artist) | Fuck
@dominolamia
·
8월 11일","☆When Kanata finally got the blue axolotl.☆

(Maybe Coco was asleep then 草)

#かなたーと #桐生会FOREVER
6
38",🥓,,6,38,['https://pbs.twimg.com/media/E8eq9raX0AAfZes?format=jpg&name=small'],https://twitter.com/dominolamia/status/1425295785961349126
Polka Dot Wedding,@polkadotbride,2021-08-05T04:04:09.000Z,"Polka Dot Wedding
@polkadotbride
·
8월 5일","A little bit of magic for you today! From Life of Coco comes a delicious and beautiful Blue Magic Smoothie Bowl DIY Tutorial! Check it out now on Polka Dot Made! https://polkadb.com/3lto53H
1
1",,,1,1,['https://pbs.twimg.com/media/E7_7pFDXsAUQovN?format=jpg&name=small'],https://twitter.com/polkadotbride/status/1423132692342837248
Meliana,@melianach,2021-08-29T13:31:52.000Z,"Meliana
@melianach
·
8월 29일","Blue pea flowers + rock sugar boiled them.
Add ice cube and nata de coco.
#feelingblue
1
20",,,1,20,['https://pbs.twimg.com/ext_tw_video_thumb/1431972835040186371/pu/img/oF0v50Sk-eNjz7ia.jpg'],https://twitter.com/melianach/status/1431972873816600579
Mouse Madness Podcast,@MouseMadnessPod,2021-08-16T15:51:37.000Z,"Mouse Madness Podcast
@MouseMadnessPod
·
8월 17일","It was basically impossible but we’ve crowned a winner of the Most Visually Beautiful Pixar Sequence bracket 

Also:
- EVE did chemtrails 
- Imagineering a Coco attraction 
- Does Pixar just sell the color blue? 

: https://cutt.ly/Beauty2i
: https://cutt.ly/Beauty2s
1
2",👑 ✈ 🧠 🟦 🍎 🟢,1,,2,['https://pbs.twimg.com/media/E87HDoMWQAI3eLs?format=jpg&name=small'],https://twitter.com/MouseMadnessPod/status/1427296999984992264
SalsaMexico,@salsamexico,2021-08-20T10:25:12.000Z,"SalsaMexico
@salsamexico
·
8월 20일",Coco Blue Salsa Band - Crying Moon en http://salsamexico.com #salsamexico #salsaparatodos,,,,,[],https://twitter.com/salsamexico/status/1428664407446507523
Dr.Gaming,@MrGaming3590,2021-08-29T19:37:58.000Z,"Dr.Gaming
@MrGaming3590
·
8월 30일","Hey 
@King_Games
 question is there anything we can ask about disco coco the blue one or 
@MattiasRosquist
 @CrashOnTheRun
 is there more skins are coming soon for the next update
1
1
4",🌙 🦖 🎃 👻 🍬,1,1,4,"['https://pbs.twimg.com/media/E9-3g90VQAAJthv?format=jpg&name=small', 'https://pbs.twimg.com/media/E9-3hAEUYAE4xL4?format=jpg&name=small']",https://twitter.com/MrGaming3590/status/1432065006116478978
RIH Clyde,@BigMoney_Dank,2021-08-18T09:03:46.000Z,"RIH Clyde
@BigMoney_Dank
·
8월 18일","Today should be fun 34 shades of blue for my girl COCO. Happy birthday sus
1",❤ ❤,,,1,[],https://twitter.com/BigMoney_Dank/status/1427919136940822529
