UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
𝑨𝑵𝑮,@8_ang_21,2021-08-05T15:21:24.000Z,"𝑨𝑵𝑮
@8_ang_21
·
Aug 5","210805 #이승윤

https://bit.ly/3iqVavb

어디 카페인지 알려주세요... plz
GIF
1
43
85",,1,43,85,[],https://twitter.com/8_ang_21/status/1423303129416704006
으노,@euno_o2,2021-08-01T06:06:07.000Z,"으노
@euno_o2
·
Jul 31","어제 오늘 카페에서 아먼훗 나오는게 
여기서 이마 짚으면 저 과몰입녀인거 티나나요
ㄴ님 주문 받으셔야죠
GIF
1
14",,1,,14,['https://pbs.twimg.com/tweet_video_thumb/E7rxDkzVEAcF9KJ.jpg'],https://twitter.com/euno_o2/status/1421713836600528901
앙구리,@Ang_guri,2021-08-14T13:45:49.000Z,"앙구리
@Ang_guri
·
Aug 14","갓기맬렁 잘귀탱 내시끼 쥰쥰이 
생일파티 첫날 다녀옴
쥰쥰이 퍼스널컬러와 찰떡인 파랑파랑 예쁜카페 너무좋았고 친절하신 스텝분들도 넘좋았음
이곳에 오신,오실 모든분들이 쥰이와함께
행복하시길
#잔잔한_파도로부터_퍼지는_너라는_바다
4
23",💙 💙,,4,23,"['https://pbs.twimg.com/media/E8wXDleVoAUDO2h?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8wXEnlVkAQThxP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8wXEJSVEAI46vW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8wXFHbVUAQ9EtH?format=jpg&name=small']",https://twitter.com/Ang_guri/status/1426540565810741253
도힝러버 잉앵웅,@sing_ing_ang_,2021-08-01T06:58:08.000Z,"도힝러버 잉앵웅
@sing_ing_ang_
·
Jul 31","카페에 왓답니.....너무 예쁘고 왕조아
2
2",,2,,2,['https://pbs.twimg.com/media/E7r9G0-VcAUunwj?format=jpg&name=small'],https://twitter.com/sing_ing_ang_/status/1421726928457793537
텐마 미츠루 전시회&생일 카페,@0907_MITSURU,2021-08-26T16:03:46.000Z,"텐마 미츠루 전시회&생일 카페
@0907_MITSURU
·
Aug 26","미츠루 생일 카페 이벤트 특전을 공개합니다!
생일 특전은 코스터와 투명포카 입니다.
코스터는 앙창님(
@mandu_ang
), 포토카드는 개안님(
@kaian_ang
)이 협력해 주셨습니다.
선통판 특전인 그립톡은 차남님(
@en_chanam
),
이벤트 상품인 아크릴 키링은 치로님(
@cheeserolly
)께서 협력해주셨습니다!
The following media includes potentially sensitive content. Change settings
View
1
65
40",💙 💙,1,65,40,[],https://twitter.com/0907_MITSURU/status/1430923937454575618
죱,@Ang_jaehyun,2021-08-07T04:51:23.000Z,"죱
@Ang_jaehyun
·
Aug 6","#영훈이_생일이_베일제스트
꽃가게에서 진행하는 생일카페는 처음이라 엄청 기대하고갔는데 아기자기 영훈이로 꾸며져있는 꽃집이 너무너무 예뻤어요⸝⸝ʚ̴̶̷̆ ̯ʚ̴̶̷̆⸝⸝ 컵홀더 들고가던 것보다 꽃을 들고 가니까 기분이 더 좋더라구요ㅎㅎ날 좋은 영훈이 생일 하루 전에 잘다녀갑니다!!♡
The following media includes potentially sensitive content. Change settings
View
1
2",,,1,2,[],https://twitter.com/Ang_jaehyun/status/1423869354609823745
slow 망고 메트확인,@m_ang_o_27,2021-08-23T15:12:11.000Z,"slow 망고 메트확인
@m_ang_o_27
·
Aug 23","오늘 카페갔다온거 올릴려고햇는데 깜빡함
3
1",,3,,1,['https://pbs.twimg.com/media/E9fBKFnVEAAy-A5?format=jpg&name=small'],https://twitter.com/m_ang_o_27/status/1429823790289096706
여름,@D_ANG__,2021-08-29T11:48:49.000Z,"여름
@D_ANG__
·
Aug 29","나랑 5주년 카페 갈 사람 가진 건 없지만 나 꽤 재밋는데
4",,4,,,[],https://twitter.com/D_ANG__/status/1431946938501382150
여름,@D_ANG__,2021-08-29T13:48:32.000Z,"여름
@D_ANG__
·
Aug 29","5주년 카페 어떻게든 갈 건데 가서 만날 사람 나 깅들 보고싶은ㅁ
5",🥺,5,,,[],https://twitter.com/D_ANG__/status/1431977068888150028
비앙,@bi_ang_,2021-08-10T16:22:00.000Z,"비앙
@bi_ang_
·
Aug 10",나만 못 가지 나만 나만 생일 카페 못 가지!!!!!!,,,,,[],https://twitter.com/bi_ang_/status/1425130320613937154
