UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
전국미코테협회장,@ik_myeong14,2021-08-08T01:49:53.000Z,"전국미코테협회장
@ik_myeong14
·
Aug 7","rt이벤
8/15(일) 당발

알티만 눌러주시면 여름 시원하게 보내시라고 스벅 아이스 카페라떼 드립니다!!! 여자배구의 세계4위를 많이많이 축하해주세요!! 팀 코리아 니가 내 별이다..☆

트친한정 장르한정 여자한정
722
35",🌠 ❌ ❌ ⭕,,722,35,['https://pbs.twimg.com/media/E8O5rMlVgAQj_nZ?format=jpg&name=900x900'],https://twitter.com/ik_myeong14/status/1424186068358680577
김말복,@malbokkkk,2021-08-24T11:27:24.000Z,"김말복
@malbokkkk
·
Aug 24","아기 햇살
아기 복숭아
아기 치즈볼
아기 부라타치즈
아기 골든볼
아기 카페라떼
281
236",,,281,236,['https://pbs.twimg.com/ext_tw_video_thumb/1430129566224244739/pu/img/4Ov-I_CC400oDrey.jpg'],https://twitter.com/malbokkkk/status/1430129611153674243
현생 사는 중인 루키,@rookie_ym,2021-08-15T15:22:47.000Z,"현생 사는 중인 루키
@rookie_ym
·
Aug 15","오늘은 송건희 배우님의 생일  
송건희 배우님의 차기작(특히 무대기작)을 기다리면서 RT해주신 분들 중 추첨을 통해 
스타벅스 카페라떼를 드립니다!
(양도계, 이벤트 계정 제외)
당발은 17일 새벽에 하겠습니다 

배우님의 생일을 함께 축하해주세요 
1
236
7",❄ 😭 💖 🎂 🌟 🌟 ❤ ❤,1,236,7,"['https://pbs.twimg.com/media/E8123GIUUAAZh34?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8123c7VIAE2X2f?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8123RbVUAEQs2J?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8123neVIAYO5lT?format=jpg&name=360x360']",https://twitter.com/rookie_ym/status/1426927356795506692
th,@su77su777,2021-08-12T09:44:55.000Z,"th
@su77su777
·
Aug 12","우유폼을 올린 블루멜로우시럽을 첨가한 카페라떼와 수의사 히루가미!(+강아지!)
5
50",,,5,50,['https://pbs.twimg.com/media/E8lMxMhVIAgPycw?format=jpg&name=900x900'],https://twitter.com/su77su777/status/1425755167442423815
선,@how_can_i_shine,2021-08-07T15:05:22.000Z,"선
@how_can_i_shine
·
Aug 7","#倪妮0808生日快乐

#RT추첨

귀엽고 사랑스럽고 멋있고 암튼 지구에서 좋은 수식어는 다 붙은 우리 언니 생일 8/8 을 맞아 이벤트 진행합니다!
당첨 되신 분에게 스벅 카페라떼를 드립미다
울언니 많사부 많사부

#倪妮 #니니 
#倪妮0808生日快乐

장르 한정 X
당발은 8/10 화
1
128
19",🔥 🔥 💕 🌸 🌸 ❣ ❣,1,128,19,"['https://pbs.twimg.com/media/E8MmJYkVgAAStXY?format=jpg&name=small', 'https://pbs.twimg.com/media/E8MmJYzVoAMP5ca?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8MmJYwUcAgLyAS?format=jpg&name=small', 'https://pbs.twimg.com/media/E8MmJbEUcAEuGXD?format=jpg&name=360x360']",https://twitter.com/how_can_i_shine/status/1424023869942206474
윈드,@SaeraLucy_love,2021-08-10T09:02:44.000Z,"윈드
@SaeraLucy_love
·
Aug 10","여러분 모두 맛저 하세요~!!
저는 벌써 저녁 호로록 먹고 카페에 왔네요
이건 제가 좋아하는 카페라떼!
1
8",☺,1,,8,['https://pbs.twimg.com/media/E8av7XuVkAEkGUO?format=jpg&name=medium'],https://twitter.com/SaeraLucy_love/status/1425019773696450565
피죽상어,@pichilguap,2021-08-30T06:55:43.000Z,"피죽상어
@pichilguap
·
Aug 29","귀여우신 사장님!! 『 네 ◡̈ 』 
그리고 최고예 카페라떼!!
12",,,,12,['https://pbs.twimg.com/media/E-BSpwqUYAEpGQS?format=jpg&name=small'],https://twitter.com/pichilguap/status/1432235565861117952
유미주의,@Yumismm,2021-08-13T00:38:36.000Z,"유미주의
@Yumismm
·
Aug 12","오늘은 두유로 카페라떼. 
뒤에 선물받은 가방. 너무 이쁘지 않나요? 샤넬 아니고 채널? ㅎㅎㅎㅎㅎㅎㅎ
2
29",,2,,29,['https://pbs.twimg.com/media/E8oZUISVUAM67y9?format=jpg&name=small'],https://twitter.com/Yumismm/status/1425980068644282373
쥬쁘,@jepeux_0825,2021-08-26T02:44:19.000Z,"쥬쁘
@jepeux_0825
·
Aug 25","#우리의_빛나는_일곱가지_색
#짱시티드림_5주년_가보자고
드림날 제맘대로 하루 더 연장되었습니다 예 그렇게 되었습니다 현생에 치여 쌓인 일 밤새 처리하고 나서 카페인도 수혈할 겸 생카 다녀왔습니다 잠 한숨도 못잤는데 드림 보니까 눈이 번쩍 뜨이더군요 카페라떼 먹었는데 커피도 존맛이었음
1
1
9",,1,1,9,"['https://pbs.twimg.com/media/E9ryvmvUUAc64Gu?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ryvmuUUAIuV9q?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ryvmtUYAIifex?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9ryvmyVEAAmq5q?format=jpg&name=360x360']",https://twitter.com/jepeux_0825/status/1430722749631066116
Nemo,@Nemguri,2021-08-19T12:00:59.000Z,"Nemo
@Nemguri
·
Aug 19","카페라떼는 원래 마시는 건데
3
3",,,3,3,['https://pbs.twimg.com/media/E9JvBPbVkAUPP2s?format=jpg&name=small'],https://twitter.com/Nemguri/status/1428326124094836741
Rin,@R1NTHERFORD,2021-08-15T01:13:32.000Z,"Rin
@R1NTHERFORD
·
Aug 14","어우 피곤해 
개피곤한데 밥 먹을 시간은 없어서 빈속에 아몬드브리즈 카페라떼 냅다 들이붓기
4",👻,,,4,['https://pbs.twimg.com/media/E8y0fJVVcAAaX3T?format=jpg&name=small'],https://twitter.com/R1NTHERFORD/status/1426713634437144580
일리걸's,@bozogae777,2021-08-28T10:32:52.000Z,"일리걸's
@bozogae777
·
Aug 28","다이소
몽블랑 
카페라떼
3
16",,3,,16,['https://pbs.twimg.com/media/E93xKv7VUAQDa3E?format=jpg&name=small'],https://twitter.com/bozogae777/status/1431565439222497286
이디야알바생,@cafe_noye,2021-08-27T04:03:36.000Z,"이디야알바생
@cafe_noye
·
Aug 26","하.....아침부터 잠이 안깨서 이러다가 일하면서 또 사고 한번 치겠다싶어서 긴장타고 있었는데 사고는 손님이 쳐주셨네........연유카페라떼 엑스트라사이즈를 테이블바닥에 거하게 쏟으셔가지고 대걸레질만 빨아서 3번을 했는데도 끈적거린다...................
설거지도 못해서 밀렸어 너무힘들다
1
13",,,1,13,['https://pbs.twimg.com/media/E9xOfpJUYAQ01gr?format=jpg&name=small'],https://twitter.com/cafe_noye/status/1431105089884745730
아무튼 김레노,@Blackhornreno,2021-08-26T10:09:01.000Z,"아무튼 김레노
@Blackhornreno
·
Aug 26","아무래도 카페라떼를 좀 이쁘게 처리하는 편이죠
2
15",,2,,15,['https://pbs.twimg.com/media/E9tYid_VgAArnj1?format=jpg&name=900x900'],https://twitter.com/Blackhornreno/status/1430834661064777729
독..살..마녀,@poison_witch__,2021-08-26T13:27:45.000Z,"독..살..마녀
@poison_witch__
·
Aug 26","오늘 잇엇던일..

 x4 왁자지껄 등장
나: 어서오세요
: 너 뭐마실래? 일단 아메리카노
나: 아메리카노 뜨거운거요?
:라떼
나: 카페라떼 뜨거운거요?
:뜨거운거
:나도 라떼. 차가운거.
나: 카페라떼 차가운거 하나, 따뜻한거 하나요?
:뜨거운건 안시켰는데?
6
819
288",,6,819,288,[],https://twitter.com/poison_witch__/status/1430884673874399232
곱,@Oujihyunjini,2021-08-10T07:23:26.000Z,"곱
@Oujihyunjini
·
Aug 10","카페라떼가 좋아 아이스아메리카노가 좋아?
난…. 그냥 너가 조와ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
The following media includes potentially sensitive content. Change settings
View
From 
보통날
7
11",🍀,,7,11,[],https://twitter.com/Oujihyunjini/status/1424994784255430659
秋嘇𓆱,@cooker_libre,2021-08-27T15:06:39.000Z,"秋嘇𓆱
@cooker_libre
·
Aug 27","계속 먹이면 아아메다 카페라떼다
아포카토 고맙다 하긴 할 것.
산호비sanhobi
@sanhobi2
 · Aug 27
한순간 이걸보고 내 눈을 의심함
Show this thread
4
5",😷,,4,5,"['https://pbs.twimg.com/profile_images/1403358870378991619/im9Unf8A_mini.jpg', 'https://pbs.twimg.com/media/E9yd2qzVkAQqlY5?format=jpg&name=medium']",https://twitter.com/cooker_libre/status/1431271948856692741
