UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
가족을 찾는 은후,@hds_silverafter,2021-08-19T13:14:01.000Z,"가족을 찾는 은후
@hds_silverafter
·
8월 19일","산채기 교육 증말 쉽곤 할 수 없지만 가족이 만나려면 거쳐야 하는 과정이래서 은후 증말 열시미 하고 이써 평생가족이야 우리 꼭 만나자 #가족찾는은후
GIF
1
89
100",🌟 🌟,1,89,100,[],https://twitter.com/hds_silverafter/status/1428344503656587267
한지영,@hjyvoice,2021-08-26T00:30:54.000Z,"한지영
@hjyvoice
·
8월 26일","남자가 여자 죽이면, 산채로 암매장해도 겨우 35년,
여자가 죽이면 무기징역. 
한남민국 사법부에 상식이란 없다.
누적되는 여남차별 판결에 온국민이 조소하고 분노하고 있다는 것을 직시하시라.
3
3.4천
913",,3,3.4천,913,['https://pbs.twimg.com/media/E9rUN36UUAkKG9m?format=jpg&name=small'],https://twitter.com/hjyvoice/status/1430689171476082688
오리너굴,@platypupu,2021-08-14T12:08:09.000Z,"오리너굴
@platypupu
·
8월 14일","할리퀸새우
암수 한쌍이 같이 불가사리를 산채로 뜯어 먹으며 오손도손 살아 간다.
1
411
678",,1,411,678,"['https://pbs.twimg.com/media/E8wAt2AUUAIVgun?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8wAuiQVcBAAjop?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8wAuLOVIAAl1UL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8wAuwaVcAMQCxr?format=jpg&name=360x360']",https://twitter.com/platypupu/status/1426515987772305409
생강 Ginger,@ginger_saengang,2021-08-28T16:16:08.000Z,"생강 Ginger
@ginger_saengang
·
8월 29일","아침 밥 건사료+습식 비빔 한 그릇 뚝딱하고 방울토마토도 하나 먹고 보상으로(?) 넥스가드 스펙트라 먹고(???) 산채기 다녀와서 우다다 머신 된 신나개
1
11
80",,1,11,80,['https://pbs.twimg.com/media/E94_vrVWUAM__LE?format=jpg&name=small'],https://twitter.com/ginger_saengang/status/1431651826869415942
냠,@wlsdnrdhQk,2021-08-09T18:39:13.000Z,"냠
@wlsdnrdhQk
·
8월 10일","나 산채할래요
20
38",,,20,38,['https://pbs.twimg.com/ext_tw_video_thumb/1424802423814574118/pu/img/BTNjBeSvFRYFiJhx.jpg'],https://twitter.com/wlsdnrdhQk/status/1424802464218304533
코아,@with_coa_gureum,2021-08-06T02:04:54.000Z,"코아
@with_coa_gureum
·
8월 6일","생일자랑 아침 산채기 떵강아지 뭐했다구 벌써 열두살인지~~ 언니가 아주그냥 깜짝깜짝 놀라지,,,, 나에게는 영원히 아가강쥐일 울 애기 생일 축하해 언니가 세상에서 제일 많이 사랑해 우리 몸 건강 마음 건강 잘 챙기자
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
15
21
90",🧸 🌿 🌿 🎉 ❤,15,21,90,[],https://twitter.com/with_coa_gureum/status/1423465071326289923
한드봄,@gksemB,2021-08-26T12:19:22.000Z,"한드봄
@gksemB
·
8월 26일","#슬기로운의사생활시즌2 10화

밴드이름 산채비빔밥으로 바꿔 걍ㅋㅋㅋㅋㅋㅋㅌㅋㅌㅌㅋㅋ
29
35",,,29,35,['https://pbs.twimg.com/ext_tw_video_thumb/1430866971386544132/pu/img/A2zSfj-271Ve8xF-.jpg'],https://twitter.com/gksemB/status/1430867463005036546
가족을 찾는 은후,@hds_silverafter,2021-08-25T11:31:33.000Z,"가족을 찾는 은후
@hds_silverafter
·
8월 25일","누굴 위한 산채기인가… 3시간 짜리 산채기 멈찰에 싱고하고 싶어…
3
17",🌟 🌟,,3,17,['https://pbs.twimg.com/media/E9oh07_VUAIwjss?format=jpg&name=small'],https://twitter.com/hds_silverafter/status/1430493042180431884
오리너구리,@youhoooll,2021-08-01T00:30:11.000Z,"오리너구리
@youhoooll
·
8월 1일","산채기갔다가 에어컨 틀어놓은 집 와서 밥 먹고 식후땡 간식 먹어서 기분이 죠은 모닝부장
1
13",,1,,13,['https://pbs.twimg.com/media/E7qkTo8UcAYnPgR?format=jpg&name=small'],https://twitter.com/youhoooll/status/1421629295823187968
펭귄,@boxpg3,2021-08-01T01:59:58.000Z,"펭귄
@boxpg3
·
8월 1일","미국에서는 ㅇㅂㅇ.....강을 헤엄치는 연어가 산채로 익어간다고 한다....냉수성어종이라 더위에 더 민감하게 반응하는듯....진짜....지구의 임계점은 이미.....넘었고.....지금 약간 유언장 작성타임같은 느낌이 든다......
[이슈톡] 미국 폭염에 산 채로 익어가는 연어 떼 (2021.07.29/뉴스투데이/MBC)
산란을 위해 강으로 돌아온 북미 연어들이 폭염으로 죽어가고 있다는데요. 네 번째 키워드는 ""폭염에 ""살이 익었어요"" 연어도 만신창이""입니다.https://imnews.imbc.com/replay/2021/nwtoday/article/6289864_34943.html#폭염 #연어 #산란
youtube.com
24
9",,,24,9,['https://pbs.twimg.com/card_img/1441752766985031684/tQP7Qc_9?format=jpg&name=240x240'],https://twitter.com/boxpg3/status/1421651890572435458
