UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
좌좌,@SH0TDNmlGiIIx59,2021-08-23T15:49:01.000Z,"좌좌
@SH0TDNmlGiIIx59
·
8월 24일","이즈마코
247
647",,,247,647,['https://pbs.twimg.com/media/E9fJaRwVcAMRuR1?format=jpg&name=small'],https://twitter.com/SH0TDNmlGiIIx59/status/1429833060455837703
une deux trois,@hyo1234_,2021-08-23T19:31:54.000Z,"une deux trois
@hyo1234_
·
8월 24일","이즈마코이즈
2
680
1.7천",,2,680,1.7천,"['https://pbs.twimg.com/media/E9f8md9VkAAA_HE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9f8md7VUAAEHgz?format=jpg&name=small']",https://twitter.com/hyo1234_/status/1429889152967856160
일반인,@yX7XOuR5ktz2nmy,2021-08-29T12:50:06.000Z,"일반인
@yX7XOuR5ktz2nmy
·
8월 29일","마지마코
2
189
453",,2,189,453,['https://pbs.twimg.com/media/E99ZvNZUUAYiTZQ?format=jpg&name=small'],https://twitter.com/yX7XOuR5ktz2nmy/status/1431962363897417733
삥,@gntmBB,2021-08-30T06:43:43.000Z,"삥
@gntmBB
·
8월 30일","스냅스 키링무료라길래 
은혼 키링도안 포타 소액유료배포해용~

#RT 해주신 한분께 원하는 키링 만들어서 보내드려요!

소요공주 쇼군 야마자키 타마 삿짱 미츠바 츠쿠요 이쿠마츠 타마코 오보로 무츠 사다하루 추가했어요!
 
https://posty.pe/ssh32wo
2
1천
683",👇 👇,2,1천,683,"['https://pbs.twimg.com/media/E-BP4XkVQAcYDrs?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BP4XjUcAMC77U?format=jpg&name=360x360']",https://twitter.com/gntmBB/status/1432232548982083590
쪼라,@jjora____,2021-08-27T11:38:51.000Z,"쪼라
@jjora____
·
8월 27일","마코안즈
62
141",,,62,141,['https://pbs.twimg.com/media/E9y2r5CVgAQ6Ief?format=jpg&name=small'],https://twitter.com/jjora____/status/1431219654370889736
yuuchu,@p_kachu_,2021-08-29T06:32:27.000Z,"yuuchu
@p_kachu_
·
8월 29일","백마코떼

#FFXIV #cosplay
1
9
82",🍒,1,9,82,"['https://pbs.twimg.com/media/E98Dp8WVUAgzcT6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98DjiOVgAAGaVU?format=jpg&name=360x360']",https://twitter.com/p_kachu_/status/1431867323766358024
열심히 옷만드는 시레기씨,@xordl5959,2021-08-25T08:28:47.000Z,"열심히 옷만드는 시레기씨
@xordl5959
·
8월 25일","쿠마코 전용스탠드가 필요한 이유.. 
최대한 낮춰놓은건데도 공중부양하다니..
2
16",🤔 🤔 😱 😱 😱,2,,16,['https://pbs.twimg.com/media/E9n4AMPVcAITNjk?format=jpg&name=small'],https://twitter.com/xordl5959/status/1430447048743034882
반卍옘卍,@danda_0408_,2021-08-25T13:06:00.000Z,"반卍옘卍
@danda_0408_
·
8월 25일","마코모 선행~! 태그흔적은 마음 제외 다 잡아용
3
6
15",❄,3,6,15,['https://pbs.twimg.com/media/E9o3dI-VEAUpUOn?format=jpg&name=small'],https://twitter.com/danda_0408_/status/1430516813574512641
서리 ,@iyJ8v3BPMubgYgq,2021-08-21T07:39:05.000Z,"서리 
@iyJ8v3BPMubgYgq
·
8월 21일","점점 귀찮은티나는거 개웃긴다
# 앤캐가_있는_자캐들이_앤캐없이_한_방에_전부_모이게_된다면
민서랑 규호랑 키같은거 넘웃김 
그와중에 마코 혼자 일본인이라 뭔소린지 못알아듣는중
6
15",,6,,15,['https://pbs.twimg.com/media/E9TGQk9VIAQdXVn?format=jpg&name=small'],https://twitter.com/iyJ8v3BPMubgYgq/status/1428984990088318978
짱 ㅅr쿠파면 우린 모두 칀긔^^,@mazidesukazzang,2021-08-25T05:20:00.000Z,"짱 ㅅr쿠파면 우린 모두 칀긔^^
@mazidesukazzang
·
8월 25일","가성비 쿠쿠마코 이메 :)
1
26
43",🔪 🧨 🗡 🔨 💢 💣 💥 ⚔ 🚬,1,26,43,['https://pbs.twimg.com/media/E9nMy7BVgAA7JFl?format=jpg&name=small'],https://twitter.com/mazidesukazzang/status/1430399540285239296
KKE,@kke_24,2021-08-28T14:12:48.000Z,"KKE
@kke_24
·
8월 28일","아니....? 너무 심하게 귀여움....쿠마코~~!!!!
2
1
26",😭 😭 😭 😭 😭 😭 😭 😭 😭 😭,2,1,26,"['https://pbs.twimg.com/media/E94jg2zVEAYO6Ne?format=jpg&name=small', 'https://pbs.twimg.com/media/E94jg2yVkAYoRdj?format=jpg&name=small']",https://twitter.com/kke_24/status/1431620785383231492
두짜,@doojja07,2021-08-19T17:10:49.000Z,"두짜
@doojja07
·
8월 20일","아니 벌써 20일이 됐는지 몰랐네요;;;시간 넘 빠르게 흐르는듯ㅋㅋㅋ

배연금 7화!! 마코에서 보실 수 있어요!! 이번화도 잘 부탁드립니다!
https://mcomics.co.kr/contents?idx=8403…
1
29
69",,1,29,69,['https://pbs.twimg.com/media/E9K1u3NVkAcd2gb?format=jpg&name=small'],https://twitter.com/doojja07/status/1428404094360702977
또미,@ppomsopu,2021-08-26T04:43:54.000Z,"또미
@ppomsopu
·
8월 26일","쿠마코쨩♡♡
2
12",,2,,12,['https://pbs.twimg.com/media/E9sOINuVIAAkGe9?format=jpg&name=small'],https://twitter.com/ppomsopu/status/1430752843812638724
(출입)금지,@_tobogi_,2021-08-27T04:40:33.000Z,"(출입)금지
@_tobogi_
·
8월 27일","씨 마코랑 또키
1
10",,,1,10,"['https://pbs.twimg.com/media/E9xW8poVEAEJtCE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9xW838VUAgzAmw?format=jpg&name=360x360']",https://twitter.com/_tobogi_/status/1431114387746476035
처볶음,@ennedori,2021-08-30T17:09:59.000Z,"처볶음
@ennedori
·
8월 31일","내가 마코에게 바라는것 : 전체구매/선택구매기능, 전용앱 출시

마코가 내놓은것 : 바로가기 아이콘 생성
2
12",,,2,12,['https://pbs.twimg.com/media/E-DfJ6PVIAQChEN?format=jpg&name=small'],https://twitter.com/ennedori/status/1432390153557798918
제리,@jarry__,2021-08-30T04:12:35.000Z,"제리
@jarry__
·
8월 30일","마코와와플..
1
2
20",🐭,1,2,20,['https://pbs.twimg.com/media/E-AtUDZUYAE6fja?format=jpg&name=small'],https://twitter.com/jarry__/status/1432194512965623808
루토,@RUTO_0307,2021-08-21T05:42:37.000Z,"루토
@RUTO_0307
·
8월 21일","새로산마코안구 너무이쁘다 
1
14",❤ ❤,1,,14,['https://pbs.twimg.com/media/E9SrnaPVkAA2Mcg?format=jpg&name=small'],https://twitter.com/RUTO_0307/status/1428955678094200832
로앤,@try0528911,2021-08-29T07:18:51.000Z,"로앤
@try0528911
·
8월 29일","나애 마코 안구
6",,,,6,['https://pbs.twimg.com/media/E98OXBHUcAEiRpb?format=jpg&name=small'],https://twitter.com/try0528911/status/1431879001589510153
임마,@izmaco_,2021-08-28T05:09:14.000Z,"임마
@izmaco_
·
8월 28일","이즈마코…올리기…
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
10
35",,1,10,35,[],https://twitter.com/izmaco_/status/1431483994000945152
의류(ℝ𝕪𝕦),@Shine_Yoon_,2021-08-29T14:10:33.000Z,"의류(ℝ𝕪𝕦)
@Shine_Yoon_
·
8월 29일","메이드 마코짱… 그냥 예전에 천장박치기 할걸… …
미안해 …마코짱…
2",,,,2,['https://pbs.twimg.com/media/E99slp8UcAAO7K1?format=jpg&name=small'],https://twitter.com/Shine_Yoon_/status/1431982606657019904
우치야마 코우키 정보봇,@ucchi_info_kor,2021-08-25T22:24:56.000Z,"우치야마 코우키 정보봇
@ucchi_info_kor
·
8월 26일"," 기사 공개 

★━━━━━━━━━━━━━━━━━┓
┃ 우치야마코우키씨의 마이리스트 공개중!┃
┗━━━━━━━━━━━━━━━━━★

성우 우치야마 코우키씨의 Netflix를 즐기는 법이나, 선호작품, 앞으로 보고 싶은 작품 등을 소개

기사는 여기서
https://filmaga.filmarks.com/articles/126452/…
9
15",✨ 📝 📝 ✨ 🎉 🔻,,9,15,"['https://pbs.twimg.com/media/E9q3W_zVoAIxxdB?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9q3YBrUYAIIYXB?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9q3XiMUUAAQSqO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9q3Yk1UYAA4xy9?format=jpg&name=360x360']",https://twitter.com/ucchi_info_kor/status/1430657472549687305
트~친소~ 김량령,@Makoto_umma2m,2021-08-29T12:15:38.000Z,"트~친소~ 김량령
@Makoto_umma2m
·
8월 29일","#앙스타_트친소
#앙스타트친소

마코토 오시 이즈마코 메인으로 오로지 >>>이즈마코<<<만 하는 계정입니다! 성우분들 얘기도 가끔 있을 예정이에요! 2즈륹과 2ずmi타컾은 죄송하지만 받지 않을게요... 이즈마코 하시는 분들이나 여러 오시 분들과 친해지고 싶어요ㅠㅠ
10
13",🙏 🙏 💕,,10,13,[],https://twitter.com/Makoto_umma2m/status/1431953690630311937
