UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
니언,@Coffee_N_Velvet,2021-08-30T23:05:54.000Z,"니언
@Coffee_N_Velvet
·
8월 31일","웰모닝
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
110
391",💝 💙,,110,391,[],https://twitter.com/Coffee_N_Velvet/status/1432479720466092037
옆동네 지마,@HJM_coffee,2021-08-30T23:09:56.000Z,"옆동네 지마
@HJM_coffee
·
8월 31일",삼촌은 안 부어도 못생겼어.....(팩트),,,,,[],https://twitter.com/HJM_coffee/status/1432480736993550336
에클레어,@Eclairs_coffee,2021-08-30T22:49:02.000Z,"에클레어
@Eclairs_coffee
·
8월 31일","오늘만 버티면 내일은 학교 안간다...!
2",,,,2,[],https://twitter.com/Eclairs_coffee/status/1432475478250582017
커피,@Coffee_0___,2021-08-30T23:05:33.000Z,"커피
@Coffee_0___
·
8월 31일","기력 없다 하면 쓰리커 해보세요 기력이 남아 돔
왜인지 나는 모르겠음
2",☕,,,2,[],https://twitter.com/Coffee_0___/status/1432479635170684929
에클레어,@Eclairs_coffee,2021-08-30T23:16:05.000Z,"에클레어
@Eclairs_coffee
·
8월 31일","오늘 모의고사 보시는 분들이 꽤 있넹... 모두 화이팅 하셔요!!
7",💪,,,7,[],https://twitter.com/Eclairs_coffee/status/1432482286016942082
에클레어,@Eclairs_coffee,2021-08-30T22:49:51.000Z,"에클레어
@Eclairs_coffee
·
8월 31일",어제 왜인지 엄청 피곤했다...잠을 많이 못잔건 맞는데...,👀,,,,[],https://twitter.com/Eclairs_coffee/status/1432475681842028548
curt,@akaCurt,2021-08-30T23:20:39.000Z,"curt
@akaCurt
·
8월 31일","#doge #hold coffee too
1
4
24",,1,4,24,['https://pbs.twimg.com/media/E-E0FjuVcAEntSq?format=jpg&name=small'],https://twitter.com/akaCurt/status/1432483434115461123
Nick Raschke,@R101Nick,2021-08-30T23:17:04.000Z,"Nick Raschke
@R101Nick
·
8월 31일","Good morning. Just took this. One of our local Kookaburras. 
Time for a second coffee.
13
30
285",,13,30,285,['https://pbs.twimg.com/media/E-EzQOjUcAYjDfo?format=jpg&name=small'],https://twitter.com/R101Nick/status/1432482531870326788
Gigi♡◡̈,@hellooohallyu,2021-08-30T23:14:02.000Z,"Gigi♡◡̈
@hellooohallyu
·
8월 31일","Berlin Bin doing things his way. Taking some time for a sun-kissed coffee + smoke break and a bit of music as he enjoys the city.
#HyunBin #현빈
2
11
65",🖤 ❤ 💛,2,11,65,"['https://pbs.twimg.com/media/E-EyiYBX0AQvuVy?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-EyiYAXEAATcfd?format=jpg&name=360x360']",https://twitter.com/hellooohallyu/status/1432481768679038976
Coffee ℗⁷,@COFFEE_thereal,2021-08-30T23:50:29.000Z,"Coffee ℗⁷
@COFFEE_thereal
·
8월 31일","We should discuss this. This look, this kind of smile Jimin has when he sees Namjoon. It's so endearing. 
5
32",☕ 🥺 🥺 🥺 🥺 🥺 🥺 🥺 🥺 🥺 🥺 🥺 🥺 🥺 🥺,,5,32,"['https://pbs.twimg.com/media/E-E66V7X0AEeXKN?format=jpg&name=small', 'https://pbs.twimg.com/media/E-E66u2XEAQrbda?format=jpg&name=small']",https://twitter.com/COFFEE_thereal/status/1432490941785518084
more normal,@abjecteating,2021-08-30T23:44:48.000Z,"more normal
@abjecteating
·
8월 31일","weetbix and milk + black coffee
19",,,,19,['https://pbs.twimg.com/media/E-E5nWaUUAAUk6w?format=jpg&name=small'],https://twitter.com/abjecteating/status/1432489512072925184
