UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
백,@dmj_baek,2021-08-12T10:01:27.000Z,"백
@dmj_baek
·
Aug 12","아현이 포토카드 나눔합니다. 이 트윗을 알티 해주시면 이따 오후 8시에 알티추첨기 돌리겠습니다. 친구친구와만 나누려 소량 뽑았는데 그렇게 소량으로 뽑은 포토카드의 수보다 제 친구친구의 수가 적은 것 같아요...(˘̩̩̩ε˘̩ƪ) 참고로 나눔 받으실 분께는 운송료 부담 부탁드릴게요.
1
372
71",,1,372,71,['https://pbs.twimg.com/media/E8lQjP1VgAceSdz?format=jpg&name=small'],https://twitter.com/dmj_baek/status/1425759327516651521
늉,@k_uu1y99,2021-08-18T13:03:15.000Z,"늉
@k_uu1y99
·
Aug 18","요친구 친구들한테 인기많아서 조금 의외였던..
2
9
114",,2,9,114,"['https://pbs.twimg.com/media/E9EzslkVgAAS8aq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9EzszSUcAUkEZk?format=jpg&name=360x360']",https://twitter.com/k_uu1y99/status/1427979403812769795
거부기여름,@_wjddn_219_,2021-08-21T15:59:43.000Z,"거부기여름
@_wjddn_219_
·
Aug 21","#시즈니_트친소
정프에 올팬인 나랑 친구해•••
친구그거하자고
나랑하자친구
친구나랑해
1
19",,,1,19,"['https://pbs.twimg.com/media/E9U42-GUcAAjUUm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9U43KNVEAcdQEe?format=jpg&name=360x360']",https://twitter.com/_wjddn_219_/status/1429110979309178882
담당찐따,@nozzinddazone,2021-08-06T11:15:48.000Z,"담당찐따
@nozzinddazone
·
Aug 6","얘들아이거봐 팔로잉 팔로워 친구친구 야~
1
7",,,1,7,['https://pbs.twimg.com/media/E8GoByeVUAsnPHx?format=jpg&name=small'],https://twitter.com/nozzinddazone/status/1423603709246808068
하사오멜른,@hameln_new,2021-08-21T11:11:45.000Z,"하사오멜른
@hameln_new
·
Aug 21","어릴 때 친구네 가족이랑 우리집 같이 외식 갔을 때 나랑 내동생 친구 친구동생 이렇게 한테이블 쓰고 다른 테이블은 부모님들끼리 썼단 말임. 근데 내동생이랑 친구동생은 입도 짧고 완전 애기들이였어서 고기 두점 먹고 여기서 노는데, 나랑 내친구는 한참 먹짱걸 찍을 때라 둘이서 갈비 8인분 먹음
1
3",,1,,3,['https://pbs.twimg.com/media/E9T28p5VEAAF0Ln?format=jpg&name=small'],https://twitter.com/hameln_new/status/1429038510321803265
댁,@ppap_iru,2021-08-17T14:39:03.000Z,"댁
@ppap_iru
·
Aug 17","솔직히 크라임씬 / 여고추리반 / 방탈출(현실) 이거 중 뭐 하나라도 좋아하면 빱이 영상 취향에 맞는다고 봐.. 
일단 그게 나예요. 그리고 주변에 빱며든 친구/친구의 지인들 보면 다 저런 공통점을 가지고있음..
1
248
253",☁,1,248,253,[],https://twitter.com/ppap_iru/status/1427641126849294346
과제하기싫다,@Kwaje_Sireo,2021-08-14T18:14:05.000Z,"과제하기싫다
@Kwaje_Sireo
·
Aug 14","내가 찍은 친구                          친구가 찍은 나
1
9
28",,1,9,28,"['https://pbs.twimg.com/media/E8xUe7rUUAUo33N?format=jpg&name=small', 'https://pbs.twimg.com/media/E8xUfIpVoAQvyJ-?format=jpg&name=360x360']",https://twitter.com/Kwaje_Sireo/status/1426608077948604417
쿠쿠,@KUKU_hase,2021-08-16T07:15:22.000Z,"쿠쿠
@KUKU_hase
·
Aug 16","친구...!
친구구나....!!! 
2",😭 😭,,,2,['https://pbs.twimg.com/media/E85Q5SLVkAIFdTs?format=jpg&name=small'],https://twitter.com/KUKU_hase/status/1427167080298663942
유댕정,@GangJua_922,2021-08-20T06:27:29.000Z,"유댕정
@GangJua_922
·
Aug 19","친구칭구친구친구
3",,,,3,['https://pbs.twimg.com/media/E9NsSiDUYAEl2_-?format=jpg&name=small'],https://twitter.com/GangJua_922/status/1428604582792368131
貪,@TAM030,2021-08-29T02:14:39.000Z,"貪
@TAM030
·
Aug 28","코드아나 친구... 친구 ㅠ..
1
6",,1,,6,[],https://twitter.com/TAM030/status/1431802447731650560
