UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
나나나,@adorablebambi,2021-08-30T13:53:47.000Z,"나나나
@adorablebambi
·
8월 30일","뾰족귀 버전 도령도련
바다도 못가고 책장에서..뒤늦은 여름나기

메이크업 : 지햇님(
@love_BBangDDuk
)
바디 : 니니멀(
@ninimal_
) 니니바디
의상 : 지아님(
@by_ZiA_
) 수영복

#지햇님 #미니주 #오덕팜
1
4
12",💙 💦,1,4,12,['https://pbs.twimg.com/media/E-CyVzAVQA8IDGZ?format=jpg&name=small'],https://twitter.com/adorablebambi/status/1432340777523298307
지아˚･*｡.⋆ ･ ༘ ✴︎,@Zia_56_1_27,2021-08-30T08:06:32.000Z,"지아˚･*｡.⋆ ･ ༘ ✴︎
@Zia_56_1_27
·
8월 30일","백현시
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
5",💙 🖤 🤍,,,5,[],https://twitter.com/Zia_56_1_27/status/1432253388041822209
ㅈ ㅣㅇ ㅏ,@ZIA_voice_bot,2021-08-30T15:06:00.000Z,"ㅈ ㅣㅇ ㅏ
@ZIA_voice_bot
·
8월 31일",모두 잘자요.으흐흐흐흐흐흐흣. Good Night!!!!!,,,,,[],https://twitter.com/ZIA_voice_bot/status/1432358952839225348
ㅈ ㅣㅇ ㅏ,@ZIA_voice_bot,2021-08-30T21:19:27.000Z,"ㅈ ㅣㅇ ㅏ
@ZIA_voice_bot
·
8월 31일",심심하네..으흐흐흐흐흐흐흐,,,,,[],https://twitter.com/ZIA_voice_bot/status/1432452932209762306
ㅈ ㅣㅇ ㅏ,@ZIA_voice_bot,2021-08-30T16:48:29.000Z,"ㅈ ㅣㅇ ㅏ
@ZIA_voice_bot
·
8월 31일",다들 뭐하세요~~~~?,,,,,[],https://twitter.com/ZIA_voice_bot/status/1432384743228674049
shygirl,@itzme_ako,2021-08-30T09:30:52.000Z,"shygirl
@itzme_ako
·
8월 30일","DongYan combi  #endlesslove 

Maria Letizia “Zia”
Jose Sixto “Ziggy” IV 
Marian Rivera x Dingdong Dantes
7
28",💞,,7,28,['https://pbs.twimg.com/media/E-B2KcuVEAEexkM?format=jpg&name=small'],https://twitter.com/itzme_ako/status/1432274611463467013
Wardah,@zia_wardah,2021-08-30T21:49:59.000Z,"Wardah
@zia_wardah
·
8월 31일","The beat is so on point new song  on repeat in my play list #WhyNotMeriJaan must listen 
3
4
42",💙 ❤ 💯,3,4,42,['https://pbs.twimg.com/media/E-EfVYDXMAIvwK3?format=jpg&name=small'],https://twitter.com/zia_wardah/status/1432460616749494273
Israr Ahmed Hashmi,@IamIsrarHashmi,2021-08-30T06:20:27.000Z,"Israr Ahmed Hashmi
@IamIsrarHashmi
·
8월 30일","I miss the times of the old #NationalT20Cup. Being a Lahori, my favorite was Lahore Lions and what a team it was!

Nasir Jamshed, Ahmad Shahzad, Umar & Kamran Akmal, Mohammad Hafeez, Aizaz Cheema, Adnan Rasool, Abdul Razzaq, M Yousuf & Zia-ul-Haq.

Stadiums used to be jam-packed.
46
57
721",,46,57,721,[],https://twitter.com/IamIsrarHashmi/status/1432226691464761346
News18,@CNNnews18,2021-08-30T15:24:58.000Z,"News18
@CNNnews18
·
8월 31일","#AfghanistanCrisis – It’s really sad to see the dirty politics being played by the US government, one of the largest democracies in the world: Zia Rasuli (Afghanistan Evacuee) tells 
@AnchorAnandN
 on #TheRightStand.
4
3
19",,4,3,19,['https://pbs.twimg.com/media/E-DG__IXoAY7f9I.jpg'],https://twitter.com/CNNnews18/status/1432363725361717248
Maryam Zia Baloch,@MerryBaloch,2021-08-30T16:35:24.000Z,"Maryam Zia Baloch
@MerryBaloch
·
8월 31일","My name is Maryam Zia Baloch. I stand by #MudassarNaaru, #ZakirMajeed #ShabirBaloch #DrDeenMohd and all other disappeared persons. I demand their immediate and safe release.

#FindNaarualive 
#EndEnforcedDisappearances 
#Bringbackallmissingpersons
Hamid Mir
@HamidMirPAK
 · 8월 31일
My name is Hamid Mir. I stand by #MudassarNaaru and all other disappeared persons. I demand their immediate and safe release. 

#FindNaaruAlive #EndEnforcedDisappearances #HumanRights #Pakistan
3
14
51",,3,14,51,['https://pbs.twimg.com/profile_images/1151556274364067847/C71zAsVy_mini.png'],https://twitter.com/MerryBaloch/status/1432381450704261128
♡ bb ♡ •̀ᴥ•́,@babyb0nes_,2021-08-30T16:22:53.000Z,"♡ bb ♡ •̀ᴥ•́
@babyb0nes_
·
8월 31일","zia is a snitch
RIP Neji
@aprettyPR
 · 8월 29일
Who did it?
이 스레드 보기
0:36
451.7만 조회수
1
24",😭 🥺,,1,24,['https://pbs.twimg.com/profile_images/1426814103419506691/o8xlACkp_mini.jpg'],https://twitter.com/babyb0nes_/status/1432378300488290308
Raj Ahluwalia,@RajAhluwalia9,2021-08-30T22:14:08.000Z,"Raj Ahluwalia
@RajAhluwalia9
·
8월 31일","Pakistan in 1973, gave birth to proxies, terrorism, jihad, islamo fascism, radical Islam and spread ideology across M East & continents, primarily initiated by Zia-ul-Huk, after loosing each war with #India .Pak army/ISI carried it since, costing millions lives
#SanctionPakistan
Chris Alexander
@calxandr
 · 8월 30일
The Taliban have been ISI mercenaries since 1993.

They fought Afghans for 28 years, US/NATO for twenty.

GHQ timed this invasion to kick off right after the Doha agreement's deadline for US withdrawal.

#SanctionPakistan
15
38",,,15,38,['https://pbs.twimg.com/profile_images/812148125297180672/kdm9A8Su_mini.jpg'],https://twitter.com/RajAhluwalia9/status/1432466693658320896
baby eyed baby,@fupashorts,2021-08-30T22:47:04.000Z,"baby eyed baby
@fupashorts
·
8월 31일","Damn Zia is a snitch
RIP Neji
@aprettyPR
 · 8월 29일
Who did it?
이 스레드 보기
2
1
22",🥺,2,1,22,"['https://pbs.twimg.com/profile_images/1426814103419506691/o8xlACkp_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1431991466021335044/pu/img/cI3X9cI39IYh9U1z.jpg']",https://twitter.com/fupashorts/status/1432474980734939141
L E A,@_MissLeandra,2021-08-29T17:07:56.000Z,"L E A
@_MissLeandra
·
8월 30일","Zia fighting for her life and Storm is like, “If…I…don’t…make…eye…contact…and…move…in…slow…motion…she…won’t…see…me…” 
RIP Neji
@aprettyPR
 · 8월 29일
Who did it?
이 스레드 보기
2
12
18",😭 😭 🥺,2,12,18,"['https://pbs.twimg.com/profile_images/1426814103419506691/o8xlACkp_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1431991466021335044/pu/img/cI3X9cI39IYh9U1z.jpg']",https://twitter.com/_MissLeandra/status/1432027247284822019
Princess of Peace,@Luminary_Wings,2021-08-30T01:07:42.000Z,"Princess of Peace
@Luminary_Wings
·
8월 30일","Zia wasted no time to snitch 
RIP Neji
@aprettyPR
 · 8월 29일
Who did it?
이 스레드 보기
1
1
14",😂 🥺,1,1,14,"['https://pbs.twimg.com/profile_images/1426814103419506691/o8xlACkp_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1431991466021335044/pu/img/cI3X9cI39IYh9U1z.jpg']",https://twitter.com/Luminary_Wings/status/1432147987837325317
ari,@reginadeicessi,2021-08-29T16:05:49.000Z,"ari
@reginadeicessi
·
8월 30일","IN UN MONDO GIUSTO LA ZIA ZIZZI LE HA DETTO CHI SONO LE CESSE
7
185",,,7,185,['https://pbs.twimg.com/media/E9-G-XkXEA4-0Fp?format=jpg&name=small'],https://twitter.com/reginadeicessi/status/1432011616170741760
Muantea Chinzah,@MuanteaChinzah,2021-08-30T09:21:48.000Z,"Muantea Chinzah
@MuanteaChinzah
·
8월 30일","Mizoram Statictical handbook 2020 an tlangzarh ta. Lawngtlai dist decadal growth % khi en la. Chakma pun chak zia a lang chiang asin!
6
4
47",,6,4,47,['https://pbs.twimg.com/media/E-B0F8hVcAAgp6Z?format=jpg&name=medium'],https://twitter.com/MuanteaChinzah/status/1432272329963282436
