UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
동대문과 더불어 장경태,@jktjj,2021-08-06T04:23:00.000Z,"동대문과 더불어 장경태
@jktjj
·
8월 6일","[국민의힘 가두리는 윤석열 후보가 '쩍벌'하기엔 좁았나]

윤석열 후보의 변덕에 국민의힘이 바람 잘 날이 없다.

국민의힘 당 행사에 윤석열 후보가 불참했다. 당대표 없이 입당하더니 당대표 주재 행사에 참여하지도 않았다.
2
8
10",,2,8,10,['https://pbs.twimg.com/media/E8FJiXrVkAkq9Ft?format=png&name=small'],https://twitter.com/jktjj/status/1423499827812257795
영사행쑈¹³ PTD,@JKJM58131108,2021-08-03T04:33:37.000Z,"영사행쑈¹³ PTD
@JKJM58131108
·
8월 3일","가두리집착광공 하뚜안에 가두는거봨ㅋㅋㅋㅋㅋ
3
75
311",🧈 🧈 🧈 🧈,3,75,311,['https://pbs.twimg.com/ext_tw_video_thumb/1422414042082201602/pu/img/qYDspVHGiS89AX6b.jpg'],https://twitter.com/JKJM58131108/status/1422415333332328448
james bond,@james_bond_nj,2021-08-06T10:10:16.000Z,"james bond
@james_bond_nj
·
8월 6일","멧돼지와 돼지가 함께 어울릴 수 없다고 표현하면 간단할 것을 뭐 어렵게 가두리 양식장으로 비교를 하니.
2
5",,,2,5,['https://pbs.twimg.com/media/E8GZBIIX0AEsHA8?format=jpg&name=small'],https://twitter.com/james_bond_nj/status/1423587218967384065
박겨울,@Winter_0001_,2021-08-23T20:12:52.000Z,"박겨울
@Winter_0001_
·
8월 24일","가두리 양식장 on
2
5",,2,,5,['https://pbs.twimg.com/ext_tw_video_thumb/1429899266621788202/pu/img/8_98AIhGNLVB9oW8.jpg'],https://twitter.com/Winter_0001_/status/1429899461669507093
Korea Facts (Breaking News),@daknews10,2021-08-11T02:56:28.000Z,"Korea Facts (Breaking News)
@daknews10
·
8월 11일","입당시켜 가두리에 가둬놓고,
낼름낼름 윤십원 살점뜯어먹는 이준석 ㅋㅋㅋ

이준석, 친윤 정진석 겨냥 ""후보곁 하이에나 없어야"" 직격 |
이준석, 친윤 정진석 겨냥 ""후보곁 하이에나 없어야"" 직격
[헤럴드경제=나은정 기자] 이준석 국민의힘 대표가 11일 당내 대표적인 친윤석열계 인사로 꼽히는 5선 정진석 의원을 사실상 ‘하이에나’에 비유하며 또 정면충돌했다. 이 대표는 이날 정 의원이 버락 오바마 전 미국 대통령의 저서 ‘약속의 땅’ 속 구절을 인용해 “남을 내리누르는게 아니라 떠받쳐 올려야 힘을 기를 수 있다”며 자신을 에둘러 비판한 것을 두고 “
news.v.daum.net
3
25
22",,3,25,22,['https://pbs.twimg.com/card_img/1442052632017727492/0EPH7dVE?format=jpg&name=small'],https://twitter.com/daknews10/status/1425289988002836482
𝙨𝙪𝙢𝙢𝙚𝙧𝙙𝙖𝙮𝙨_,@summerdays_here,2021-08-04T13:15:08.000Z,"𝙨𝙪𝙢𝙢𝙚𝙧𝙙𝙖𝙮𝙨_
@summerdays_here
·
8월 4일","하.,, 어처구니.,, 이런 가두리양식 완전 내 스탈이야 ㅜㅠㅜㅠㅜㅜㅠㅜ 넘무 좋다 어떡하냐 

#정국 #지민 #JUNGKOOK #JIMIN
꾸달
 님의
4
21",☁ 🪐 🎥 💕 🐰 🐥,,4,21,['https://pbs.twimg.com/ext_tw_video_thumb/1422896819802034176/pu/img/wLzy1W_DEHtGErbC.jpg'],https://twitter.com/summerdays_here/status/1422908965537468420
소소바람,@SsSsOoOo_wish,2021-08-10T11:39:02.000Z,"소소바람
@SsSsOoOo_wish
·
8월 10일",태경이가 부른 노래도 가두리횟집 OST요. 근데 영상은 이분들 나오시는 우웅우웅2 이군요... (어머니 멈춰!,,,,,['https://pbs.twimg.com/media/E8bTtPvUYAQSvJ8?format=jpg&name=small'],https://twitter.com/SsSsOoOo_wish/status/1425059108701368324
양지와그늘,@sks4147,2021-08-06T23:19:50.000Z,"양지와그늘
@sks4147
·
8월 7일","오만·개무시·뜬구름..윤석열·최재형 '맹폭', 與 아닌 野서 나왔다https://news.v.daum.net/v/20210807063239142… 
'환영식'은 끝..野 주자들 '경쟁모드' 돌입
당 행사 연속 불참에..""간판 필요해 왔나""
尹·崔, 일단 '무대응' 모드..""진심 닿을 것""

""니들 둘은 가두리 양식장에 갖혔다니까?
언제든 건지면 요리감~!""
오만·개무시·뜬구름..윤석열·최재형 '맹폭', 與 아닌 野서 나왔다[정치쫌!]
[헤럴드경제=이원율 기자] 환영식은 끝났다. 이제 실전이다. 국민의힘 대권주자들이 당의 대선 경선버스에 탄 윤석열 전 검찰총장과 최재형 전 감사원장에게 거듭 견제구를 던지고 있다. ‘검증’의 목적과 함께, 주목도가 높은 두 사람을 때리면서 존재감을 키우려는 의도도 있는 것으로 분석된다. 원희룡 제주지사는 지난 6일 TBS 라디오에서 윤 전 총장과 최 전
news.v.daum.net
2
3",,,2,3,['https://pbs.twimg.com/card_img/1442256999643705353/xiSWIvPC?format=jpg&name=small'],https://twitter.com/sks4147/status/1423785918536683528
서울의소리 Voice of Seoul,@amnseoul,2021-08-12T01:48:38.000Z,"서울의소리 Voice of Seoul
@amnseoul
·
8월 12일","가두리양식장 된 국당, 어물전 망신은 누가 시킬까?
[서울의소리] 가두리양식장 된 국당, 어물전 망신은 누가 시킬까?
 국당의 내분이 고조되는 가운데 ‘수족관당, 어물전당, 가두리양식장당’ 등 국당을 조롱하는 말이 쏟아지고 있다. 이준석 대표가 당 대선 후보들을 모아 봉사활동을 하며 자신의 존재감을 드러내려 했으나 윤
amn.kr
2
18
47",,2,18,47,[],https://twitter.com/amnseoul/status/1425635306489880579
存在&時間 Being and Time,@Beingandtime27,2021-08-26T04:51:51.000Z,"存在&時間 Being and Time
@Beingandtime27
·
8월 26일","이낙연 지지율이 내려가도 추미애 지지율이 안 올라가고, 엉뚱하게 윤석열 지지율이 올라가는 것은

지금 여론조사기관이 관리하는 가두리 양식장안에서의 물고기 성향조사이기 때문일 듯 싶다. 

박용진 지지율 나오는 것도 가두리 양식장안에 초반부터 몇마리는 박용진 물고기로 세팅?
2
19
36",,2,19,36,[],https://twitter.com/Beingandtime27/status/1430754843522519041
