UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
파도,@wave_w_wy_,2021-08-11T06:31:25.000Z,"파도
@wave_w_wy_
·
8월 11일","엔비 때 다들 jwy한테 시선고정
14
19",,,14,19,"['https://pbs.twimg.com/media/E8fW4tOVEAMYpsu?format=jpg&name=small', 'https://pbs.twimg.com/media/E8fW49yVkA8UQdZ?format=jpg&name=small']",https://twitter.com/wave_w_wy_/status/1425344083506073602
리,@pilejang,2021-08-30T18:29:10.000Z,"리
@pilejang
·
8월 31일","장빠 평생 버튼.... 엔비우영 앙콘우영
11
33",,,11,33,"['https://pbs.twimg.com/media/E-DxXdRVcAEBHB2?format=jpg&name=small', 'https://pbs.twimg.com/media/E-DxXpeUcAEmsLX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-DxX__UcAMhKpz?format=jpg&name=360x360']",https://twitter.com/pilejang/status/1432410078464806912
윰,@yoom_loa,2021-08-06T08:48:05.000Z,"윰
@yoom_loa
·
8월 6일","하 공감 엔비스카 혼자 쓰나
46
19",,,46,19,['https://pbs.twimg.com/media/E8GGN6OVEAUADp_?format=jpg&name=small'],https://twitter.com/yoom_loa/status/1423566535658901505
앨블,@Yeullz,2021-08-20T11:21:28.000Z,"앨블
@Yeullz
·
8월 20일","니밉 하면 결국에는 엔비로 마무리됨ㅜㅠㅠㅠㅠㅠㅠㅜㅠㅠㅠ
6
17",,,6,17,"['https://pbs.twimg.com/media/E9OvlTIVoAALoaC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9OvlTGUUAEtu65?format=jpg&name=small', 'https://pbs.twimg.com/media/E9OvlTHVoAQdUE7?format=jpg&name=small']",https://twitter.com/Yeullz/status/1428678567139811328
Koyashaka,@S_MaYu_no,2021-08-28T14:39:57.000Z,"Koyashaka
@S_MaYu_no
·
8월 28일","김엔비
9
61",,,9,61,['https://pbs.twimg.com/media/E94ptwtUUAcsMyx?format=jpg&name=small'],https://twitter.com/S_MaYu_no/status/1431627617438863365
비텔겜계,@vtz_newleaf,2021-08-14T13:23:19.000Z,"비텔겜계
@vtz_newleaf
·
8월 14일","개오졌다진짜
엔비지옥잘가
2
5",,,2,5,['https://pbs.twimg.com/ext_tw_video_thumb/1426534836479488009/pu/img/H1RznGmL82omuvdt.jpg'],https://twitter.com/vtz_newleaf/status/1426534902028066824
고수,@mackerelms,2021-08-13T07:38:12.000Z,"고수
@mackerelms
·
8월 13일","페잉리퀘로 강연 엔비~
1
1
8",,1,1,8,['https://pbs.twimg.com/media/E8p5UkLUYA4w1vA?format=jpg&name=small'],https://twitter.com/mackerelms/status/1426085663242289154
Cloud9.C9,@Cloud_9_C9,2021-08-12T11:05:11.000Z,"Cloud9.C9
@Cloud_9_C9
·
8월 12일","엔비님 ㄷㄷ
4",,,,4,['https://pbs.twimg.com/media/E8lfIVXVEAwcZ1s?format=jpg&name=small'],https://twitter.com/Cloud_9_C9/status/1425775365327265799
엔비,@Cookie_nb,2021-08-23T12:44:06.000Z,"엔비
@Cookie_nb
·
8월 23일","#쿠키런_트친소

엔비입니다. 닉이랑 인장 보고 예상하셨겠지만 알파런조 매우 좋아합니다. 나머지 아이들도 골고루 좋아하고 설정, 캐해 과몰입러라 올캐러 썰 풀기 매우 좋아합니다. 무해합니다. 탐라에 들여주십쇼.
1
12
34",💚 💜,1,12,34,"['https://pbs.twimg.com/media/E9efQdUVUAAlC5K?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9efQ5nVUAkZuj3?format=jpg&name=small', 'https://pbs.twimg.com/media/E9efQuDUYAEaRpB?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9efRLzVEBEsa3F?format=jpg&name=360x360']",https://twitter.com/Cookie_nb/status/1429786527106625544
누나,@175X171,2021-08-18T05:36:55.000Z,"누나
@175X171
·
8월 18일","옛날에 유리하기는 했는데 너무 옛날이기도하고 얼굴이..그래..ㅎㅁㅎ... 다시 하고싶어 엔비..ㅠㅁㅠ카나데해주세요....폐촬영하러가자...
18",🎀,,,18,"['https://pbs.twimg.com/media/E9DNhvJUYAYZerl?format=jpg&name=small', 'https://pbs.twimg.com/media/E9DNhvIVkAUgK27?format=jpg&name=small']",https://twitter.com/175X171/status/1427867083644162052
유네찌,@yun2zzi_Cz1d,2021-08-05T04:06:00.000Z,"유네찌
@yun2zzi_Cz1d
·
8월 5일","210804 도유 Douyu #Clid #클리드 
소리가 도서관 앰비언스마냥 울리길래 채팅으로 한번 쳤을 뿐인데 비디디는 ""엔비는 지하 1층에 있잖아"" 라스칼은 ""소리에게돈?"" ""앰뷸런스?""
근데 ""구라핑~구라핑~"" 땜에 배로 창피했음
알고보니 저만 그렇게 들리는 거였던..의도치 않은 구라핑 죄송해요 김태민씨
1
10
17",,1,10,17,['https://pbs.twimg.com/ext_tw_video_thumb/1423133037781348353/pu/img/eIW_6l48AMUjkpxK.jpg'],https://twitter.com/yun2zzi_Cz1d/status/1423133158820614148
심바~ ^^,@SIMBA430,2021-08-09T13:37:48.000Z,"심바~ ^^
@SIMBA430
·
8월 9일","제 입덕계기 에요..... 전 진짜로 저런 눈빛을 처음 봤습니다.... 엔비우영...... 후....
펨펜
@Jibbaegaletlqkf
 · 8월 9일
나진짜궁금한게잇어..
다들 입덕계기 어떻게되신가요...인용으로 달아주시면 아주아주 감사하겠습니다..
저는 아이돌 안무영상에 대해 뭐 발표할 게 있어서 십만십 안무영상을 보다가 빠져버렸습니다..
네 그 부항자국 그거요
1
1
8",,1,1,8,"['https://pbs.twimg.com/ext_tw_video_thumb/1424726506694004738/pu/img/8VEJTNfuBW65ptpb.jpg', 'https://pbs.twimg.com/profile_images/1358040166619750400/w0IjH1B8_mini.jpg']",https://twitter.com/SIMBA430/status/1424726608749891590
갓생사는중,@TW_kking,2021-08-30T12:40:30.000Z,"갓생사는중
@TW_kking
·
8월 30일","내 안에 엔비 있다
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
20",,1,,20,[],https://twitter.com/TW_kking/status/1432322332970741760
RORICON,@roricon,2021-08-28T12:05:32.000Z,"RORICON
@roricon
·
8월 28일","https://flatpanelshd.com/news.php?subaction=showfull&id=1630053358… 안드로이드 기반으로 엔비댜 쉴드만한 성능의 셋톱이 없는데... 신제품은 나올것 같진 않고..  참 애매한 문제.
Nvidia will skip Android 10 but Shield 'development is still full steam ahead'
Shield is still running Android 9 from 2018
flatpanelshd.com
1
2
6",,1,2,6,['https://pbs.twimg.com/card_img/1441236370182209537/YAueMMxc?format=jpg&name=small'],https://twitter.com/roricon/status/1431588760156717062
(메인트r..t..)츠유ツユ,@riko____01,2021-08-29T07:18:51.000Z,"(메인트r..t..)츠유ツユ
@riko____01
·
8월 29일","#10rt_노래부르기

엔비베이비 부를 예정
3
11
3",✨,3,11,3,[],https://twitter.com/riko____01/status/1431878998884192259
아소,@ensarang,2021-08-22T14:43:56.000Z,"아소
@ensarang
·
8월 22일","엔비 미즈키 표정변화 보면서 힐링하기..
5
9",,,5,9,['https://pbs.twimg.com/media/E9Zw96lUcAwVHER?format=jpg&name=small'],https://twitter.com/ensarang/status/1429454294441287691
언젠가 서정민갑,@bandobyul,2021-08-21T07:07:03.000Z,"언젠가 서정민갑
@bandobyul
·
8월 21일","아, 엔비 ㅠㅠ https://youtube.com/watch?v=F500P6gwCX4…
3",,,,3,[],https://twitter.com/bandobyul/status/1428976929529491458
비&눈물,@rainytears_kjh,2021-08-21T07:20:26.000Z,"비&눈물
@rainytears_kjh
·
8월 21일","미친 엔비 근본곡 나왔음
2
1",,,2,1,[],https://twitter.com/rainytears_kjh/status/1428980295382953985
XylitoLdrink,@XylitoLdrink,2021-08-21T07:38:03.000Z,"XylitoLdrink
@XylitoLdrink
·
8월 21일","라디오헤드 보면서 크립 생각하는 관객
엔비 보면서 웜룸 생각하는 관객
.....
3
5",,,3,5,[],https://twitter.com/XylitoLdrink/status/1428984731052363776
긤곰꺙,@kumb042,2021-08-25T14:23:27.000Z,"긤곰꺙
@kumb042
·
8월 25일","아~~~~~ 저거 거울이네잉 엔비님이시네
엔비
@envy_DZNK
 · 8월 25일
한 분 더 보이네요,, twitter.com/kumb042/status…
1
1",❤ ❤ ❤ ❤ ♦,,1,1,['https://pbs.twimg.com/profile_images/1431241481931554818/4F0Wq293_mini.jpg'],https://twitter.com/kumb042/status/1430536304480067587
민하카도 𝕄𝕚𝕟𝕙𝕒𝕔𝕒𝕕𝕠,@minha_cado,2021-08-20T11:03:25.000Z,"민하카도 𝕄𝕚𝕟𝕙𝕒𝕔𝕒𝕕𝕠
@minha_cado
·
8월 20일","엔엔비아 밈 만들거임
1
8",☮,1,,8,[],https://twitter.com/minha_cado/status/1428674025429954567
쳴,@_Ch_eL,2021-08-14T12:21:15.000Z,"쳴
@_Ch_eL
·
8월 14일","단조로운 일상 속 한 줌의 재미를 원하신다면 엔비 씨한테 사이드체스트를 외쳐보세요.
2
1",,,2,1,[],https://twitter.com/_Ch_eL/status/1426519282666541060
고소,@soap_prsk,2021-08-22T10:49:03.000Z,"고소
@soap_prsk
·
8월 22일","엔비만오조오억번듣는중
2",,,,2,[],https://twitter.com/soap_prsk/status/1429395185801207816
