UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
김영훈,@OW8YZBhma3DbDOv,2019-08-24T13:52:11.000Z,"김영훈
@OW8YZBhma3DbDOv
·
2019년 8월 24일",79네 수육국밥&철판 신불당파크점,,,,,['https://pbs.twimg.com/media/ECvWQCEUUAAeYqz?format=jpg&name=900x900'],https://twitter.com/OW8YZBhma3DbDOv/status/1165260518795276291
레나,@renasoap,2017-08-23T16:50:04.000Z,"레나
@renasoap
·
2017년 8월 24일",79네 수육국밥과 보쌈 http://renasoap.blog.me/221080821364,,,,,[],https://twitter.com/renasoap/status/900399753581674497
경둥나무맘,@woosj090709,2019-07-09T10:04:05.000Z,"경둥나무맘
@woosj090709
·
2019년 7월 9일",주방보조 및 설거지 10시~10시「79네수육국밥&보쌈」T010-7667-5666: 주방보조 및 설거지 10시~10시 주1회휴무 4대보험적용 급여230만 중앙탑면 기업도시내 「79네수육국밥&보쌈」  http://dlvr.it/R84CY6,,,,,[],https://twitter.com/woosj090709/status/1148533272583872512
러블리한지혜,@mgr2178,2018-11-14T10:37:03.000Z,"러블리한지혜
@mgr2178
·
2018년 11월 14일","79네 수육국밥&철판 안중점 안중버스터미널 맞은편 대현프라자 2층 입점 OPEN 
http://naver.me/xItB1OFn
출처: 와이드광고나라 | 네이버 포스트",,,,,[],https://twitter.com/mgr2178/status/1062655643524321280
아일랜드,@island71,2020-10-15T11:12:20.000Z,"아일랜드
@island71
·
2020년 10월 15일","I'm at 79네수육국밥&철판 충북혁신도시점 in 음성군, 충청북도
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기",,,,,[],https://twitter.com/island71/status/1316698415808622593
하하하,@hadongguk7,2017-08-14T01:51:12.000Z,"하하하
@hadongguk7
·
2017년 8월 14일","[ #Tistory ] 향남 2지구 맛집 79네 수육국밥&철판 추천
향남 2지구 맛집 79네 수육국밥&철판 추천
화성 향남에 위치한 79네 수육국밥은 제가 두번째로 방문한 곳 중에 하나입니다. 저는 제 입맛에 안맞는 곳은 다시는 가지 않는데 꽤 괜찮은 돼지국밥 집 중에 하나입니다. 직원들도 상당히 친절하고요. 돼지고기..
hadongguk7.tistory.com",,,,,[],https://twitter.com/hadongguk7/status/896912054203719680
빼짝마를곰,@gomdream77,2017-11-25T23:35:26.000Z,"빼짝마를곰
@gomdream77
·
2017년 11월 26일","맛있을 지도 천안시 국밥 수육국밥 맛지도 천안 순대국밥 수육보쌈  맛있을지도 시즌3 김경식의 맛있을 투어 24회 79네수육국밥 
http://matjarang.tistory.com/3436",,,,,[],https://twitter.com/gomdream77/status/934566226495340544
노하우팁,@knowhowtip,2016-09-30T10:57:50.000Z,"노하우팁
@knowhowtip
·
2016년 9월 30일",<송탄 진하고 정직한맛 수육국밥> - 티티키 송탄에는 햄버거 부대찌개 짬뽕등 맛집이있지만 수육국밥을 맛볼수있는곳이다 출장소근처이다 롯데시네마 맞은편이다 정확히 79네 수육국밥과보쌈이다 제법 손님이 많다 젊… http://bit.ly/2dc3NHP,,,,,[],https://twitter.com/knowhowtip/status/781810277188796416
𝘾𝙃𝙓𝙓𝙕,@ChxxzBrxxd,2021-02-26T14:31:48.000Z,"𝘾𝙃𝙓𝙓𝙕
@ChxxzBrxxd
·
2월 26일","@BANRI_ATM
 님에게 보내는 답글
엇 보낸줄 알앗는데...장산 황장군 돼지국밥집입니다...륜섭님의..입맛에 맞았으면 좋겟습ㄴ니다.....
1
1",,1,,1,[],https://twitter.com/ChxxzBrxxd/status/1365308587854032902
卍 륜섭リュン 卍,@BANRI_ATM,2021-02-27T22:47:33.000Z,"卍 륜섭リュン 卍
@BANRI_ATM
·
2월 28일",헉헉 북마크해두고 담에 장산갈일있으면 꼭 먹어보겟ㅆ습니다^^^^ 센텀에도 돼지국밥집 추천드릴게요... 벡스코촬영하실일 있으시면 뒷풀이로 (가까워서) 추천드려요^^b 79네수육국밥 입니다 일단 비린내안나고 깔끔해서 좋더라구요,☠ 👍 👍,,,,[],https://twitter.com/BANRI_ATM/status/1365795736181305344
