UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
cignature,@cignature_J9,2021-08-01T10:03:08.000Z,"cignature
@cignature_J9
·
8월 1일","내 친구 도도야 생일축하해
너가 있어서 요즘 너무 행복해
앞으로 100번 더 생일축하해줄게
알러뷰 도도

#시그니처 #cignature #세미 #Semi
22
305
1천",💙 😆 🦦 😻,22,305,1천,"['https://pbs.twimg.com/media/E7sncXaVkAQaLVe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7sncXaUUA4a3qu?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E7sncXbUcAgmBeB?format=jpg&name=360x360']",https://twitter.com/cignature_J9/status/1421773484351320072
얼레벌레앙타블,@Angbri17,2021-08-30T07:33:43.000Z,"얼레벌레앙타블
@Angbri17
·
8월 30일","도도야 가방안에 모 들었어?
23
71",,,23,71,"['https://pbs.twimg.com/media/E-BbWexVcAATe6H?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BbWytVcAICMWP?format=jpg&name=360x360']",https://twitter.com/Angbri17/status/1432245131579637761
다크쁘붕2,@BDarkpb,2021-08-28T23:02:27.000Z,"다크쁘붕2
@BDarkpb
·
8월 29일","도도야! 생일축하해!
#브레이브걸스 #bravegirls #은지 #eunji #도도 #dodo #도도야생일축하해 #도도_간식길만걷자
#도도_귀엽다개
#말없이그냥짖기만해요
#도도데이
1
6
17",,1,6,17,['https://pbs.twimg.com/media/E96cvtwVQAI0B-5?format=jpg&name=small'],https://twitter.com/BDarkpb/status/1431754077977804803
세,@myssunalee,2021-08-29T00:16:03.000Z,"세
@myssunalee
·
8월 29일","도도야 생일축하해
1
9
31",❤,1,9,31,['https://pbs.twimg.com/media/E96tlkxVUAEIWlm?format=jpg&name=small'],https://twitter.com/myssunalee/status/1431772601055989760
말미,@sssssulove,2021-08-05T09:39:15.000Z,"말미
@sssssulove
·
8월 5일","도도야!!!!!!!!
메트 콜북 입금진행 중/채코볼
 님의
1
1",🎗,,1,1,['https://pbs.twimg.com/ext_tw_video_thumb/1423106254579257344/pu/img/qZzXDCMv-UvgKNFG.jpg'],https://twitter.com/sssssulove/status/1423217022951825409
pixie,@ihangyulie,2021-08-21T07:29:12.000Z,"pixie
@ihangyulie
·
8월 21일","도도야 같이 치킨 먹자 
#남도현과_대화해보세요",⚡,,,,['https://pbs.twimg.com/media/E9TD_PaVUAkan5c?format=jpg&name=small'],https://twitter.com/ihangyulie/status/1428982504367685636
yedampie,@yedampie,2021-08-02T11:15:44.000Z,"yedampie
@yedampie
·
8월 2일","도도야 ㅠㅠ 고생했어 
1",♥,,,1,['https://pbs.twimg.com/media/E7yBp2uVcAMWFXv?format=jpg&name=small'],https://twitter.com/yedampie/status/1422154143037202435
,@renebaessi,2021-08-21T07:26:56.000Z,"@renebaessi
·
8월 21일","도도야 look at this
#남도현과_대화해보세요",💜,,,,"['https://pbs.twimg.com/media/E9TDe0tVoAE6pOE?format=jpg&name=small', 'https://pbs.twimg.com/media/E9TDff8UUAAtUah?format=jpg&name=360x360']",https://twitter.com/renebaessi/status/1428981930733686785
정대만,@flareman_bg,2021-08-28T16:21:36.000Z,"정대만
@flareman_bg
·
8월 29일","오늘은 도도의 생일 입니다.
다들 도도 생일을 축하해주세요!!

늘 은지 곁에서 기쁨을 주는 도도야!!
생일을 진심으로 축하해!
앞으로도 오랜 시간 은지 곁에서 행복하자!!
#홍은지 #도도 #생일 #Bravegirls 
#Fearless #피어레스
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
14
20",,1,14,20,[],https://twitter.com/flareman_bg/status/1431653202336751617
저쩌라고,@CY5EI10EMdOmKZL,2021-08-29T00:43:01.000Z,"저쩌라고
@CY5EI10EMdOmKZL
·
8월 29일","#브레이브걸스 #BraveGirls #피어레스 #FEARLESS

도도야 생일축하해 우리도도 너무 귀여워서 키보드  쳤더니 키보드가 다 뿌셔졌자나 뿌애애앵 사랑해 홍도도
3
13",🥳 👊 👊 👊 🤣 🌈 🌈,,3,13,"['https://pbs.twimg.com/media/E96zwuHVkAQpiaw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E96zw8nVUAAB5Dr?format=jpg&name=small']",https://twitter.com/CY5EI10EMdOmKZL/status/1431779387087544326
