UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
교호//트친소,@gyoho711,2021-08-08T13:33:38.000Z,"교호//트친소
@gyoho711
·
Aug 8","#탐넘_트친소
팔로잉수.. 불편해 
딱 5명만.. 저랑 트친해요..
대충 오너캐 이브 데리고 살고 잇는 
05년생입니당
흔적다보고 딱 5명 채우고 내릴게요..

천우님/치하님/둡우님/천우님
1
86
79",,1,86,79,"['https://pbs.twimg.com/media/E8Rav60VkAMil87?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8RawUuVoAM-E9V?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8RawDwVgAYsfy-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8RawfcVIA8WU0W?format=jpg&name=360x360']",https://twitter.com/gyoho711/status/1424363172987768843
기력소진된늉뉴,@nyuuuung_416,2021-08-30T18:23:25.000Z,"기력소진된늉뉴
@nyuuuung_416
·
Aug 30","진짜자기싫어서그린뻘낙서만화
합숙가기 전 천우명 이야기
사실..졸려서 얼레벌레 마무리 해버린....
2
7
11",😇 🌥,2,7,11,"['https://pbs.twimg.com/media/E-DwDFtVUAc2s5d?format=jpg&name=small', 'https://pbs.twimg.com/media/E-DwDlzVUAcbKTh?format=jpg&name=small', 'https://pbs.twimg.com/media/E-DwDUdVIAEZeni?format=jpg&name=small', 'https://pbs.twimg.com/media/E-DwD5XUUAQkGJJ?format=jpg&name=small']",https://twitter.com/nyuuuung_416/status/1432408633774465026
에테,@aete0417,2021-08-09T15:28:00.000Z,"에테
@aete0417
·
Aug 9","쫀밤…! 쫀꿈꾸셔요….!!

천우님da 헤헤 오늘 데려왓어요… 현대동양풍…. 에 낳을 와기… 예쁘다…
19",💕,,,19,"['https://pbs.twimg.com/media/E8W-hRlVEAIczzJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8W-hRlVUAANr5a?format=jpg&name=360x360']",https://twitter.com/aete0417/status/1424754343836749829
김루마,@7im9m_,2021-08-24T23:46:18.000Z,"김루마
@7im9m_
·
Aug 24","백린천희
유호천희
사마천희
하륜천희
천우천희
혈선천희
2p천희
맛있다
1
5",,,1,5,['https://pbs.twimg.com/media/E9mAafgVkAEyRIT?format=jpg&name=900x900'],https://twitter.com/7im9m_/status/1430315560114417666
나으리,@GM_danna__,2021-08-21T17:45:13.000Z,"나으리
@GM_danna__
·
Aug 21","#마고천우 

누가 배경 예쁘게 꾸며줬으면 좋겠다. 여천우 달라진거 > 머리가 4cm 자람
6",,,,6,['https://pbs.twimg.com/media/E9VRAMFVUAMayOu?format=jpg&name=900x900'],https://twitter.com/GM_danna__/status/1429137529001824256
김자반,@kim_javan,2021-08-26T03:38:48.000Z,"김자반
@kim_javan
·
Aug 25","우리 천우,,, 캥거루 같고 막,,,,,,
1
7",,1,,7,"['https://pbs.twimg.com/media/E9r_NvCVkAYgsnr?format=jpg&name=small', 'https://pbs.twimg.com/media/E9r_ObMVcAgj71-?format=jpg&name=360x360']",https://twitter.com/kim_javan/status/1430736461897158656
공백랑,@gong_bakk,2021-08-26T03:34:30.000Z,"공백랑
@gong_bakk
·
Aug 25","음.......
이 아찌가 천우명......
.....음....
6",,,,6,['https://pbs.twimg.com/media/E9r-PoRVoAAFUAJ?format=jpg&name=small'],https://twitter.com/gong_bakk/status/1430735378328166403
熙熙_mty,@tianyu_xixi,2021-08-12T05:46:05.000Z,"熙熙_mty
@tianyu_xixi
·
Aug 11","마천우ー첫 무대극이라니!  그것도 기생충각색이라니 ㅜㅠ 가고싶다 ㅜㅠ 가도 못알아듣지만 가서 연기하는거 보고싶다 ㅜㅠ
#마천우 #馬天宇 #马天宇 #RayMa #matianyu
2
8
15",,2,8,15,"['https://pbs.twimg.com/media/E8kWFqWVoAUtwzi?format=jpg&name=small', 'https://pbs.twimg.com/media/E8kWFqWVkAQPXo6?format=jpg&name=small']",https://twitter.com/tianyu_xixi/status/1425695059811340296
𝒜𝒯𝒪 。,@Ato_Twilight,2021-08-03T02:17:31.000Z,"𝒜𝒯𝒪 。
@Ato_Twilight
·
Aug 2","아침에 천우님이 그려주신 츠유 한 번 더 보기...
1
7",🤍 🖤 ♥,1,,7,['https://pbs.twimg.com/media/E71QDUrVcAIggiA?format=jpg&name=small'],https://twitter.com/Ato_Twilight/status/1422381082134024194
도톨소협,@mado_zhffk,2021-08-14T00:19:11.000Z,"도톨소협
@mado_zhffk
·
Aug 13","의형제 밤빵굽기
천우가 제일 귀엽게 나왔어
5
18",🔥 🔥,,5,18,['https://pbs.twimg.com/media/E8tedZ4UcAU34Sk?format=jpg&name=900x900'],https://twitter.com/mado_zhffk/status/1426337569848008704
