UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
노른자,@Egg_is_yellow,2021-08-02T12:31:04.000Z,"노른자
@Egg_is_yellow
·
8월 2일","가리비가 구교환씨였
11
8",,,11,8,['https://pbs.twimg.com/media/E7yS5aGUYAIMRyX?format=jpg&name=small'],https://twitter.com/Egg_is_yellow/status/1422173099147989003
메인트 Roache,@roache_0614,2021-08-19T04:17:17.000Z,"메인트 Roache
@roache_0614
·
8월 19일","가리비 뺏기고 명언 들음
2
5",🐸,,2,5,"['https://pbs.twimg.com/media/E9IE5qJVgAcXPRe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9IE5_ZVEAAdams?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9IE50xVoAU-YfQ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9IE6H9VcAQOHaU?format=jpg&name=360x360']",https://twitter.com/roache_0614/status/1428209430131187716
앵두,@292929292929s2,2021-08-10T12:56:12.000Z,"앵두
@292929292929s2
·
8월 10일","집에 산만큼 쌓인 미역
가리비가 다드셧답니다
언급그만해주세요
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
20
28",,,20,28,[],https://twitter.com/292929292929s2/status/1425078527527821312
디디,@mull_over_,2021-08-20T14:59:14.000Z,"디디
@mull_over_
·
8월 20일","방금 잡은 가리비, 나한테 주게...
65
41",,,65,41,['https://pbs.twimg.com/media/E9PhbTHVEAIAl_n?format=jpg&name=small'],https://twitter.com/mull_over_/status/1428733370565943301
Ageha47,@ageha47,2021-08-21T08:20:32.000Z,"Ageha47
@ageha47
·
8월 21일","가리비 3만원어치 사와서 이렇게 먹는 거 진짜 너무 맛있다!! 물없이 냄비에 찐 다음 아무 양념 없이 맛난 올리브오일만 살짝 뿌려 먹는 것 진짜 벅찬 맛이다 흑
1
155
466",,1,155,466,"['https://pbs.twimg.com/media/E9TPwJfUcAIFv-n?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9TPwJbVUAcSKn2?format=jpg&name=360x360']",https://twitter.com/ageha47/status/1428995419963420673
밥꾸,@eateatgood,2021-08-17T22:52:40.000Z,"밥꾸
@eateatgood
·
8월 18일","가리비바질페스토파스타 망고주스 스테이크

파스타 미친맛...존맛...
3
37
37",🍽 🍔 😋,3,37,37,"['https://pbs.twimg.com/media/E9BxACqVcAUmNxf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9BxAndUUAE4_Z6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9BxBL8UUAIKvnn?format=jpg&name=360x360']",https://twitter.com/eateatgood/status/1427765350192402437
your best.S.,@9960002,2021-08-10T04:13:21.000Z,"your best.S.
@9960002
·
8월 10일","코로나 잠잠해지먼 다시 가고 싶은 부산.
그 중에서 부산 기장 해운대해물칼국수.어떻게 칼국수집 뷰가 이러냐! 여기 비치바 해도 근사하겠다!생각한 곳.바다가 그냥 바로 탁! 손대면 닿을 거리.근데 또 칼국수도 맛있고(가리비 추가하세요)여기 땡초파전 진짜 야채튀김이예요.진짜 바삭하고 고소해!
1
576
998",,1,576,998,"['https://pbs.twimg.com/media/E8ZtrowVcAA__z2?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Ztro2VIAQEJpe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Ztro0VkAIcdCT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ZtroyVoAUiRVE?format=jpg&name=360x360']",https://twitter.com/9960002/status/1424946948277104644
킹스톤,@sws060700,2021-08-14T10:11:12.000Z,"킹스톤
@sws060700
·
8월 14일","오늘 구입한 해산물.
광어,전어,산낚지,가리비,소라,관자,대합,오징어,고등어,빨간고기,가재미,새우,갈치,조기. 이상.
6
7
36",,6,7,36,"['https://pbs.twimg.com/media/E8vl6THVIAEss6z?format=jpg&name=small', 'https://pbs.twimg.com/media/E8vl8Q2VIAAiBzg?format=jpg&name=small', 'https://pbs.twimg.com/media/E8vl7FEUUAIvi2L?format=jpg&name=small', 'https://pbs.twimg.com/media/E8vl9laVcAIfDYO?format=jpg&name=small']",https://twitter.com/sws060700/status/1426486557754597384
새우로얄뉴로얄,@0424__cute,2021-08-18T09:19:09.000Z,"새우로얄뉴로얄
@0424__cute
·
8월 18일","가리비 귀엽지
1
1
6",,1,1,6,"['https://pbs.twimg.com/media/E9EAZ6FUcAY8slM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9EAaH5VIAc5QNT?format=jpg&name=small']",https://twitter.com/0424__cute/status/1427923007574401026
땃지_커미션,@donttogeme,2021-08-29T12:01:50.000Z,"땃지_커미션
@donttogeme
·
8월 29일","근황 가리비 메이드 초안 :D
8",,,,8,['https://pbs.twimg.com/media/E99PIOgUUAEaAeA?format=jpg&name=small'],https://twitter.com/donttogeme/status/1431950215485952005
남건우 진심녀 | 03별,@byeol_03_C,2021-08-30T12:44:38.000Z,"남건우 진심녀 | 03별
@byeol_03_C
·
8월 30일","중딩가리비 원큐
0:29
97 조회수
1
2
8",,1,2,8,[],https://twitter.com/byeol_03_C/status/1432323373837668361
