UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
유입금 (INsertcoin),@comeonin_gold,2021-08-21T15:07:28.000Z,"유입금 (INsertcoin)
@comeonin_gold
·
8월 22일",그리고 순살치킨은 빠삭마켓 더빠삭스파이시 순살치킨 > 다리살이구요 엄청 짜구 은은하게 매콤이라고 생각햇는데 친구들은 맵다고햇어요. 에어프라이어 190도 20분(취향껏 더 구워두댐 최대 25분) 이게머냐면 여긴 이제 제 글계정이 아니라 쩝쩝박사계정... 미래에 이거보고 장볼것,,,,,[],https://twitter.com/comeonin_gold/status/1429097830241603586
고독계,@gobongii,2021-08-03T02:14:22.000Z,"고독계
@gobongii
·
8월 3일","비빔냉면에 살얼음동동뜨ㅔ윤육수넣어서 숯불갈비랑같이먹고싶고, 빠삭하고고소한후라이드치킨에 눈꽃치즈시즈닝이뿌려진모듬감자튀김도먹고싶다",,,,,[],https://twitter.com/gobongii/status/1422380292745011200
oɥƃuoǝʎɯ ,@MH_de_C,2021-08-04T16:31:17.000Z,"oɥƃuoǝʎɯ 
@MH_de_C
·
8월 5일","빠삭한 후라이드치킨먹고싶어
1
3",,1,,3,[],https://twitter.com/MH_de_C/status/1422958326871072770
레미,@trumanblanky,2021-08-16T17:42:45.000Z,"레미
@trumanblanky
·
8월 17일","빠삭한 치킨 먹고싶음 딱 두 조각만
1",,,,1,[],https://twitter.com/trumanblanky/status/1427324967432065025
예민,@Yeah_min_6,2021-08-10T13:22:13.000Z,"예민
@Yeah_min_6
·
8월 10일","근데 튀김옷 빠삭한 치킨도 맛잇음
1",,1,,,[],https://twitter.com/Yeah_min_6/status/1425085074723069960
핀주,@rmjjoax3x,2021-08-20T14:12:47.000Z,"핀주
@rmjjoax3x
·
8월 20일","트친 만나면 먹고 싶은 것

양파&홀스래디쉬를 올린 연어초밥
마라탕 (안 먹어봐서 잘 먹는 사람이랑 도전해보고 싶음)
후라이드 치킨 졸라 빠삭한 거
예쁜 카페 음료
떡튀순
콘서트장에서 먹는 라면
1
4",,1,,4,[],https://twitter.com/rmjjoax3x/status/1428721679383990279
려차공쥬,@Fuckcha_,2021-08-05T07:16:29.000Z,"려차공쥬
@Fuckcha_
·
8월 5일","흐아앙 ㅜㅜ
치킨 땡겨 미치겟네
빠삭한 양념 치킨．．． 
편의점에 파는 스모크 닭다리도 땡겨
나갔다 오기 귀찮은데
1",,,,1,[],https://twitter.com/Fuckcha_/status/1423181097991499776
와들,@waddlewaddlewa,2021-08-16T10:22:43.000Z,"와들
@waddlewaddlewa
·
8월 16일","얘들아

눅치(눅눅한 치킨) .
에프(에어프라이어)에 온몇(온도 몇에)얼돌(얼마나 돌려야) 빠치(빠삭한 치킨)됨?
1
1",,1,,1,[],https://twitter.com/waddlewaddlewa/status/1427214231816925187
무좍좍,@Moojwack,2021-08-19T12:38:07.000Z,"무좍좍
@Moojwack
·
8월 19일","얘들아 넘넘 당연한 말이겠지만 버팔로윙이랑 치킨무랑 먹으면 넘넘 맛있어 .. 꼬옥 먹어주면 되,,
아 그리고 소세지 에어프라이기에 돌리면 겉은 빠삭 속은 탱탱한 소세지가 된다..? 난 소세지 펑 터진.. 그런거 좋아해서 칼집 안넣고 돌렸어! 하아 .. 소세지 세개만 넣었는데 더넣을걸..
9",,,,9,[],https://twitter.com/Moojwack/status/1428335468169502724
갈매,@9a11m,2021-08-18T03:56:25.000Z,"갈매
@9a11m
·
8월 18일","어린이바라 납치해서 뜨끈한 탕에 러쉬밤 풀어서 15분 넣고 때 박박 밀어준다음에 트리트먼트 2분 할동안 양치도 해주고 폼클렝징도 해주고(거품망으로) 머리 빠삭 말린다음에 두꺼운이불에 돌돌말고 에어컨 23.5도로해서 치킨 시켜주고 썬더일레븐 틀고 같이 보고싶다
1
2",,1,,2,[],https://twitter.com/9a11m/status/1427841788518170626
영윤,@lNSTAGS,2021-08-12T16:58:49.000Z,"영윤
@lNSTAGS
·
8월 13일","호랑이치킨 저는 별루였습니다. 알마치가 훨 맛있었음!!!
호랑이치킨 너무 이도저도 아닌 맛이어서 맘에 안들었어요
알마치는 걍 빠삭해서 입천장 다까지고 마늘간장에다 푹찍어 먹으면 기…

다음은 질문 상자에
영윤의 질문함입니다
질문/답변은 여기
peing.net
1",,1,,,['https://pbs.twimg.com/card_img/1439293267787620353/SAxIhWEq?format=jpg&name=small'],https://twitter.com/lNSTAGS/status/1425864360975421442
빈이.,@baddr2mcuzdr2m,2021-08-28T18:58:07.000Z,"빈이.
@baddr2mcuzdr2m
·
8월 29일","나 빠삭한 것도 진짜 좋아하는데 눅눅한 것도 좋아해.. 파닭 다음 날 먹으면 파 눅눅 해지고 소스 다 먹어서 눅눅해진 치킨.. 마싯서
1",,,,1,[],https://twitter.com/baddr2mcuzdr2m/status/1431692588260626435
숭늉,@noonagasorry,2021-08-09T01:53:41.000Z,"숭늉
@noonagasorry
·
8월 9일",22살쯤 치킨집에서 동갑알바생으로 만나 나는 이미 6달일해서 전체적으로 빠삭하고 갓들어온 상역이 일가르쳐주다가 눈맞고십다.. 다른건 다 나한테 이거머야 저거어케해 물어보면서 내가 500잔옮기거나 다쓴생맥통 갈때마다 지가 호다닥와서 번쩍번쩍들고가고 난 짭..머야 하고속으로는 키스갈김,💔,,,,[],https://twitter.com/noonagasorry/status/1424549412823441411
