UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
서누,@seonwoo_s,2021-08-14T05:49:34.000Z,"서누
@seonwoo_s
·
8월 14일","엘빈 과로썰
4
375
1.9천",😪,4,375,1.9천,"['https://pbs.twimg.com/media/E8uovfnUUAwl3ku?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8uov2uVcAI3pxo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8uoy0wUUAAAyd-?format=jpg&name=360x360']",https://twitter.com/seonwoo_s/status/1426420715666825218
동전,@Levi_5252,2021-08-07T11:17:43.000Z,"동전
@Levi_5252
·
8월 7일","에루리 이번에 나온 일러스트로 합작했습니다!!!!! ㅠㅠ 
엘빈 : 예수님(@ ilove_hela) 리바이: 동전 
예수님 엘빈 보세요 정말 너무 잘생겼어요 ㅠㅠㅠ하.... 볼 붉은 거봐...넘 사랑스럽네요 이번일러 정말 너무 좋아요 ㅠㅠㅠ 에루리합쉬다!!! 예수님 고생 많으셧어요!!!
8
147
960",❤ ❤,8,147,960,['https://pbs.twimg.com/media/E8LxZLXUUAQCvI7?format=jpg&name=small'],https://twitter.com/Levi_5252/status/1423966578643640323
미블,@Midnight_Blo,2021-08-13T01:03:33.000Z,"미블
@Midnight_Blo
·
8월 13일","새로운 에루리 단편 소설을 포타에 업로드 했습니다. 공식에서 나온 교복을 보고 그냥 넘어갈 수 없죠. 하루에 두 시간 자고 공부하는 모범생 엘빈과 동네에서 알아주는 양아치 리바이가 나옵니다. 항상 그렇듯 위 쓰린 19금 매운맛입니다. 

https://posty.pe/obd8km

#에루리
2
3",😭 ⚠,,2,3,"['https://pbs.twimg.com/media/E8ofBljUUAEeAVD?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ofBxvVoAoePUp?format=jpg&name=360x360']",https://twitter.com/Midnight_Blo/status/1425986349484576775
은 태,@et_AOT,2021-08-10T23:55:32.000Z,"은 태
@et_AOT
·
8월 11일","쑥맥아닌 쑥맥 학생회장 엘빈
55
358",🎗,,55,358,['https://pbs.twimg.com/media/E8d8Rs9VkAU_urS?format=jpg&name=small'],https://twitter.com/et_AOT/status/1425244453594296324
마시멜로,@mamelu_aot,2021-08-09T09:48:20.000Z,"마시멜로
@mamelu_aot
·
8월 9일","립녀랑 엘빈 낙서
1
3
20",,1,3,20,['https://pbs.twimg.com/media/E8Vwxp1UYAkqX0z?format=jpg&name=small'],https://twitter.com/mamelu_aot/status/1424668860830019586
나에족굼한청소요정,@clfy__,2021-08-07T15:15:44.000Z,"나에족굼한청소요정
@clfy__
·
8월 8일","여러분들의 성원에 힘입어 바다엘빈 2탄을 만들어보았읍니다
7
3
28",👍,7,3,28,['https://pbs.twimg.com/media/E8MoiOLVkAUznf9?format=jpg&name=small'],https://twitter.com/clfy__/status/1424026479424278532
메이비,@may_be_1014,2021-08-13T11:05:24.000Z,"메이비
@may_be_1014
·
8월 13일","#진격의거인_트친소 ♡
#진격거_트친소 ♡
#투디_트친소 ♡
오랜 동결 기간 끝에 트친소를 열어보고자 합니다! 몇달간 자리를 비운 탓에 친한 트친이 없답니다..외로운 저를 가족으로 받아주세요 (´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥｀) 진격거/프세카 메인. 엘빈 유사 먹는걸 즐겨요...흔적 남기시면 무멘팔걸게요!
1
10
88",,1,10,88,"['https://pbs.twimg.com/media/E8qoxudVUAIf6OF?format=jpg&name=small', 'https://pbs.twimg.com/media/E8qoxueUUAAxlh7?format=jpg&name=360x360']",https://twitter.com/may_be_1014/status/1426137810172399620
두지,@D00_G__,2021-08-15T10:40:49.000Z,"두지
@D00_G__
·
8월 15일","신부퇴역군인 쟉한..
전쟁에서 리바이랑 엘빈 잃고 부상도 입고.. 고향 돌아왔는데도 방에만 틀어박혀 있다가 이대로는 안 되겠다 싶어서 대충 씻지도 않고 성당 왔는데 작클레가 관심 가지는 거
4
27
101",🔞,4,27,101,['https://pbs.twimg.com/media/E8018EdVIAAYZFD?format=png&name=small'],https://twitter.com/D00_G__/status/1426856398646771712
로그 아커만,@xxODIX,2021-08-13T04:05:24.000Z,"로그 아커만
@xxODIX
·
8월 13일","오모차랜드에서 샀는데 리바이 나오게해주세요시발제발요에렌엘빈리바이 셋 중 하나 아니면 바로 양도글올림
9",,,,9,['https://pbs.twimg.com/media/E8pIpF5UcAAHfOH?format=jpg&name=small'],https://twitter.com/xxODIX/status/1426032110666534916
김재구,@kimj9_open,2021-08-14T15:22:42.000Z,"김재구
@kimj9_open
·
8월 15일","공시 준비하는 새파란 엘빈과 뒷자리 장수생 리바이
대환장 갤러리
@bighwanjang1
 · 8월 9일
일상속의 작은 카페
1
5
15",,1,5,15,"['https://pbs.twimg.com/profile_images/1377788434870202370/WRLz9Nqz_mini.jpg', 'https://pbs.twimg.com/media/E8VB80oUUAE6Fgc?format=jpg&name=900x900']",https://twitter.com/kimj9_open/status/1426564947656417290
