UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
미레이유,@lazy_tripper,2021-08-29T04:58:08.000Z,"미레이유
@lazy_tripper
·
Aug 28","전골 끓여 먹기 좋은 날씨다. 채소랑 큼지막한 김치만두 먼저 먹고, 칼국수 끓여서 호로록.",,,,,"['https://pbs.twimg.com/media/E97sLEeUYAIbCn3?format=jpg&name=small', 'https://pbs.twimg.com/media/E97sLElVcAgCTGX?format=jpg&name=small']",https://twitter.com/lazy_tripper/status/1431843588736913408
개미,@m__furo,2021-08-04T14:27:51.000Z,"개미
@m__furo
·
Aug 4","똑같은 비빔면이어도 채소랑 같이 먹어야 한대요 
비빔면을 채소와 함께 먹어야 하는 이유??? [채식에 대한 오해와 진실_KBS_20210623 방송]
비빔면을 채소와 함께 먹어야 하는 이유??? [채식에 대한 오해와 진실_KBS_20210623 방송]
■ 국내 최초 건강&의학 프로그램 [생로병사의 비밀] 공식 채널 ■ ‘구독’ 버튼 누르고 공유해 주세요! ■ 매주 수요일밤 10시 KBS 1TV 본방송 ● YOUTUBE – https://is.gd/hKutl0● FACEBOOK – https://www.facebook.com/Kh...
youtube.com
3",,,,3,[],https://twitter.com/m__furo/status/1422927267420803074
순빡,@_soon125,2021-08-30T09:03:59.000Z,"순빡
@_soon125
·
Aug 30","하 잠시만....... 질문요
삼겹살 먹을때 온리저스트고기만 먹을수잇는건가요 아님 쌈장기름장까진 허용인가요 쌈채소랑 밥은요 된찌까진 안바라는데 인간적으로 상추는 줘야지.. 글고 떡볶이에 떡만 잇는거임 아님 오뎅이랑 소세지도 잇는거임 나 진짜 ㅈㄴ 고민됨
1",,,1,,['https://pbs.twimg.com/media/E-BwA3vVEAITgXK?format=jpg&name=medium'],https://twitter.com/_soon125/status/1432267846067785728
갱생 현,@hhyun_0,2021-08-18T22:34:40.000Z,"갱생 현
@hhyun_0
·
Aug 18","근대 채소랑 야채랑 차이점이머야?
2
1",,2,,1,[],https://twitter.com/hhyun_0/status/1428123208952078337
,@Aloe_cookie_,2021-08-15T09:40:45.000Z,"@Aloe_cookie_
·
Aug 15","채소랑 고기, 치즈 듬뿍 든 거로...
2",🛠,,,2,[],https://twitter.com/Aloe_cookie_/status/1426841283016859651
파도,@yes_iloveyou_03,2021-08-28T10:54:57.000Z,"파도
@yes_iloveyou_03
·
Aug 28","어이 우리 채소랑 트친해
The following media includes potentially sensitive content. Change settings
View
1
2",🦋,1,,2,[],https://twitter.com/yes_iloveyou_03/status/1431570996620791811
딱콩,@ykhqkqh,2021-08-28T15:43:31.000Z,"딱콩
@ykhqkqh
·
Aug 28","와 나 채소랑 트친 일년함 대~박
젤오래된듯
왜냐면 딱콩이라는 이름 쓰기 시작햇을때
알계인장에 빡친 표시잇던 첫 계정 팟을때
트친 2600 2700 ㅋㅋ……이럴때
첫 몬베베트친이채소엿음
3
1
2",,3,1,2,[],https://twitter.com/ykhqkqh/status/1431643617714532354
단,@Dan_2751,2021-08-28T16:22:37.000Z,"단
@Dan_2751
·
Aug 28","우리 아기 채소랑 아기 고기 생일이구나ㅠ 아구아구
2",,,,2,[],https://twitter.com/Dan_2751/status/1431653455462998024
후루룩구루룩 훅끼,@krrrhooky,2021-08-14T09:04:37.000Z,"후루룩구루룩 훅끼
@krrrhooky
·
Aug 14","채소랑 과일 사고싶었는데 
담주에 이사라 그냥 돈까스 사왔다
다 비워 ㅠ
1
15",,1,,15,[],https://twitter.com/krrrhooky/status/1426469800918740993
레쿠,@leemx_6234,2021-08-21T11:34:44.000Z,"레쿠
@leemx_6234
·
Aug 21",채소랑 야채랑 다른거아니에요???????????,,,,,[],https://twitter.com/leemx_6234/status/1429044295198117894
혁부,@0724DW,2021-08-04T05:39:42.000Z,"혁부
@0724DW
·
Aug 3","상혁아 제철 채소랑 과일 먹으란다
보조 오하아사
@oneului_unse
 · Aug 3
5.사자자리 (7/23~8/22)

컨디션이 좋습니다. 에너지가 솟구치는 것을 느낄 수 있을 것 같아요. 제철 채소와 과일을 많이 먹으면 굿.

럭키 컬러:오렌지색
행운의 열쇠:스트레칭

금전운 
연애운 
학업운 
건강운 
Show this thread",🦁 💸 💸 💸 💸 💘 💘 💘 📝 📝 📝 🏋 🏋 🏋 🏋 🏋,,,,['https://pbs.twimg.com/profile_images/1342959400902770688/jrB2Wi35_mini.jpg'],https://twitter.com/0724DW/status/1422794352665923590
푸들걸,@imapoodlegal,2021-08-28T11:28:21.000Z,"푸들걸
@imapoodlegal
·
Aug 28","아삭아삭한 거 먹고싶어서
채소랑 과일 사러 나갔다가
정신차려보니까 아이스크림이랑 나초랑 치토스를 데려왔네
4",,,,4,[],https://twitter.com/imapoodlegal/status/1431579401414606848
ILSA,@1414IL_SA,2021-08-24T14:34:10.000Z,"ILSA
@1414IL_SA
·
Aug 24","오.... 브로콜리가 냉동채소였구나.. 유용유용..ㅠㅠㅠ  냉장고에 채소랑 우유 좀 쟁여놔야겠다. 치즈도
1",,,,1,[],https://twitter.com/1414IL_SA/status/1430176613342322698
책지,@Ba_Cl2,2021-08-23T03:37:13.000Z,"책지
@Ba_Cl2
·
Aug 22",맞다. 야채랑 채소랑 뭐가 달라?,,,,,[],https://twitter.com/Ba_Cl2/status/1429648898193203207
투게더호두맛,@rulrutw,2021-08-26T02:21:56.000Z,"투게더호두맛
@rulrutw
·
Aug 25","소스가 새콤달콤해요.
고기랑 면만 있었담 누린내가 날 수 있는데
채소랑 새콤소스가 잘 어울려서 누린내를 잡아줘요
투게더호두맛
@rulrutw
 · Aug 25
직원분: 찍어먹어도 돼고 부어먹어도 됀다

나: (닥치고 찍)
Show this thread
1",,,,1,"['https://pbs.twimg.com/profile_images/1440854416928620555/C9B1g73Z_mini.jpg', 'https://pbs.twimg.com/media/E9rsCKMVcAQGICi?format=jpg&name=small']",https://twitter.com/rulrutw/status/1430717115225448454
무소식이희소식이다!포기란x기다림이주는미학안상미티비마시멜로테스트를572일간참은여자,,2021-08-30T14:27:03.000Z,"무소식이희소식이다!포기란x기다림이주는미학안상미티비마시멜로테스트를572일간참은여자
·
Aug 30","그러고보면 토마토파스타도 채소랑면이다 우와
2",🍂,,,2,[],https://twitter.com/fiveguysstealer/status/1432349149362409482
메인트지넹:3,@_jiNeng_,2021-08-13T10:12:28.000Z,"메인트지넹:3
@_jiNeng_
·
Aug 13",채소랑 과일 비싸서 그런거 아닌가,🍒,,,,[],https://twitter.com/_jiNeng_/status/1426124485472579585
