UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
៖...,@eeeeunggg,2021-08-29T17:55:58.000Z,"៖...
@eeeeunggg
·
8월 30일","앙큼빌런
209
220",,,209,220,"['https://pbs.twimg.com/media/E9-gLalVUAAb-A8?format=jpg&name=small', 'https://pbs.twimg.com/media/E9-gLapUcAAsK1r?format=jpg&name=small']",https://twitter.com/eeeeunggg/status/1432039336464191489
비화,@bi_wha,2021-08-29T11:43:58.000Z,"비화
@bi_wha
·
8월 29일","warning 유혈주의
빌런데쿠
73
180",⚠ ⚠ 🩸,,73,180,"['https://pbs.twimg.com/media/E99LCcBVgAQ_u56?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99LCw8VgAMF-GV?format=jpg&name=360x360']",https://twitter.com/bi_wha/status/1431945720735535104
하얀각설탕,@sugar_busan,2021-08-30T03:07:42.000Z,"하얀각설탕
@sugar_busan
·
8월 30일","이재명하고 관련만 되면 모든 것이
비상식적이고 비정상적으로 돌아간다

이재명 혼자 치외법권인 곳에 놓여있는 것
같은 착각마저 들 지경이다

일개 개인 한명이 이렇게 사회전체에
악영향을 미치는 것이 어떻게 가능한가?

결단코 현대 대한민국 최악의 빌런은
이재명이다
38
45",,,38,45,['https://pbs.twimg.com/media/E-AeT8wVEAIR1Po?format=png&name=small'],https://twitter.com/sugar_busan/status/1432178182803779590
PEANUT / 피넛,@peanutbox,2021-08-30T11:54:06.000Z,"PEANUT / 피넛
@peanutbox
·
8월 30일","빌런각성 차민석

#불가항력그대
1
44
164",,1,44,164,['https://pbs.twimg.com/media/E-CW3iYVUAAwspm?format=jpg&name=900x900'],https://twitter.com/peanutbox/status/1432310656150097921
혜조,@Hyejo_iswaiting,2021-08-30T12:45:39.000Z,"혜조
@Hyejo_iswaiting
·
8월 30일","겜인생 4년차 만난 띠동갑 빌런.. 타래로 풉니다.... 존나... 좆같을 수 잇으니까....... 잠시 뮤트해도 좋습니다......... ㅋㅋㅋㅋㅋㅋ...
첫 시작은 2017년 즈음.. 오버워치 제대로 시작하고 첨으로 겜친들도 사귀면서 인게임 접속하면 항상 자주 겜을 돌리는 친구들이 생겼음.. S도 그중 하나였고
1
13
27",,1,13,27,['https://pbs.twimg.com/media/E-CipwWVUAAn1xa?format=jpg&name=small'],https://twitter.com/Hyejo_iswaiting/status/1432323628679319562
𝙒𝙊𝙊𝙎𝘼𝙉𝙄,@Woosani_0710,2021-08-29T05:47:17.000Z,"𝙒𝙊𝙊𝙎𝘼𝙉𝙄
@Woosani_0710
·
8월 29일","약간 이런 느낌 좋아하는 여성
매력적인 빌런....이랄까?

'Why so serious?'
2
6
12",,2,6,12,['https://pbs.twimg.com/media/E975ZwoVgAQgzt8?format=jpg&name=small'],https://twitter.com/Woosani_0710/status/1431855955344388098
궁지,@gungzzi,2021-08-30T13:34:53.000Z,"궁지
@gungzzi
·
8월 30일","이 사진 진짜 빌런 토니같아 이때 아저씨 눈에 멍까지 들어서 더 그럼... 어벤져스한테 니네가 뭘 지키고 있냐고 꼽주는 것같음...
15
50",,,15,50,"['https://pbs.twimg.com/media/E-CuA8vUYAUDoch?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-CuBKrUYAM_W_z?format=jpg&name=small']",https://twitter.com/gungzzi/status/1432336018955403266
목이,@mogibusut,2021-08-30T04:01:10.000Z,"목이
@mogibusut
·
8월 30일","빌런님이 캡쳐해주셔서 올려봐요 500팔 감사합니다~!
18",😆 ❤,,,18,['https://pbs.twimg.com/media/E-Aqs5RVgAMDEg4?format=jpg&name=small'],https://twitter.com/mogibusut/status/1432191640555249668
𝔹𝕖𝕝𝕝𝕪/메인트 확인,@belly__4311,2021-08-30T03:22:23.000Z,"𝔹𝕖𝕝𝕝𝕪/메인트 확인
@belly__4311
·
8월 30일","#될리가_없으니_저질러보자 
30rt되면은 
뜰팁 빌런au 만들어 올게요!!
굿
(전신으로)
1
36
13",☁ 😉,1,36,13,['https://pbs.twimg.com/media/E-Ah0-WVEAs1JRW?format=jpg&name=small'],https://twitter.com/belly__4311/status/1432181879747211270
9월9일 소금병,@tldhdlqkdl6,2021-08-30T07:01:37.000Z,"9월9일 소금병
@tldhdlqkdl6
·
8월 30일","욘쨩 이런 저런 이유로 빌런인편
2
1
16",,2,1,16,['https://pbs.twimg.com/media/E-BT_3cVkAAehVd?format=jpg&name=900x900'],https://twitter.com/tldhdlqkdl6/status/1432237051395538945
트친소 김뚕고,@ttyonggo2,2021-08-29T16:18:00.000Z,"트친소 김뚕고
@ttyonggo2
·
8월 30일","내 안의 빌뎈은 이거냐 이거냐 너무나도 많이 고민하고 있음왼쪽은 방금 그냥 휘갈걌긴한데

왼쪽이 무개성자의적흑화빌런이고
오른쪽이 진흙개성타의적흑화빌런

이라고 생각중임
5
17",,5,,17,"['https://pbs.twimg.com/media/E9-JwV_VgAMms8L?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9-JwxrVEAYJdrw?format=jpg&name=360x360']",https://twitter.com/ttyonggo2/status/1432014680927604742
,@nonickname_up,2021-08-29T05:46:09.000Z,"@nonickname_up
·
8월 29일","좀잇다가 빌런님이 스트라리사 박사의..... ㅁ그.. 뭐더라? 즐거운 식사를 위한 레시피? 를 데려다줍니다
1
11",👻,1,,11,['https://pbs.twimg.com/media/E975Cn9VcAcerIR?format=jpg&name=900x900'],https://twitter.com/nonickname_up/status/1431855674057584642
강파치,@gT6cn6yU5JTE707,2021-08-29T16:07:07.000Z,"강파치
@gT6cn6yU5JTE707
·
8월 30일","헬멧충 느낌표빌런 리현준이 엄맙니다, 흔적다잡아요
#너희좀친해졌니 #빙탄지간커
8
25",🔞,,8,25,"['https://pbs.twimg.com/media/E9-HQ4oUUAEXk6g?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9-HRN_VIAgJheZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9-HRClVQAEmxIL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9-HRYmUUAgXs75?format=jpg&name=360x360']",https://twitter.com/gT6cn6yU5JTE707/status/1432011941585637377
로팜,@loIopam,2021-08-30T15:38:32.000Z,"로팜
@loIopam
·
8월 31일","근데 나는 토르1때 로키보다 어벤로키가 더 안쓰러움 토르1땐 정말 상처받은 어린애같아서 마음아픈데 어벤때는 영화내내 키킼거리며 빌런웃음 짓지만 아직도 제대로 치유되지 않은 상처들을 자기 혼자 꽁꽁 숨기는 것같아서 더 마음이 찢어짐
7
19",,,7,19,"['https://pbs.twimg.com/media/E-DKUQNVQAEqx0d?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-DKUSbUcAMLiiS?format=jpg&name=360x360']",https://twitter.com/loIopam/status/1432367139457880069
핑구,@MC_Pingu__,2021-08-30T03:18:39.000Z,"핑구
@MC_Pingu__
·
8월 30일","오너 빌런화
1
16",,,1,16,['https://pbs.twimg.com/media/E-Ag-TMUcAIM2Qn?format=jpg&name=900x900'],https://twitter.com/MC_Pingu__/status/1432180938692128773
싱싱,@ksingsing,2021-08-30T00:35:16.000Z,"싱싱
@ksingsing
·
8월 30일","눈알요정 이쪽도임
아니근뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
먼 공포게임 메인빌런같아 ㅅㅂㅋㅋㅋ
19",🍑 🌱,,,19,['https://pbs.twimg.com/media/E9_7lJvVkAI2qxk?format=jpg&name=small'],https://twitter.com/ksingsing/status/1432139824694054913
n년 전 오늘의 규훈,@time_to_GH,2021-08-30T15:00:12.000Z,"n년 전 오늘의 규훈
@time_to_GH
·
8월 31일","200831 오드 서울
#규훈 #jigyu

빌런 커플 같네... https://twitter.com/199611221122_/status/1168154182055940098/video/1…
20
77",,,20,77,[],https://twitter.com/time_to_GH/status/1432357492898492416
땅콩,@pea_nut_00,2021-08-30T00:29:07.000Z,"땅콩
@pea_nut_00
·
8월 30일","디즈ㄴi세상에서 빌런 모셔온것같움 톡하이두짱이다와
1
19",,,1,19,['https://pbs.twimg.com/media/E9_6K4lVEAUL4Ix?format=jpg&name=small'],https://twitter.com/pea_nut_00/status/1432138277239152641
세가완낫,@7sani7,2021-08-30T09:29:10.000Z,"세가완낫
@7sani7
·
8월 30일","내 상상 속 빌런 최삱 너낌...

돈을 그딴 허접한 곳에 넣어두니깐 나한테 털리는거자나~ 안 그랭?? 난 잘못없다~??

할 것 같음...
GIF
10
43",,,10,43,['https://pbs.twimg.com/tweet_video_thumb/E-B1pcTUYAADSEl.jpg'],https://twitter.com/7sani7/status/1432274185598869504
cinema96,@nielcinema96,2021-08-30T12:52:23.000Z,"cinema96
@nielcinema96
·
8월 30일","유니버스 강다니엘 영화제 EP.26
빌런어워즈 < 양들의침묵-한니발 >
#강다니엘 #KangDaniel 
@konnect_danielk
1
51
141",,1,51,141,['https://pbs.twimg.com/media/E-CkSnGVIAYTR_h?format=jpg&name=900x900'],https://twitter.com/nielcinema96/status/1432325324331577349
