UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
럽,@livereallyfast,2021-08-26T08:20:33.000Z,"럽
@livereallyfast
·
8월 26일","레전드 과식.ᐟ.ᐟ.ᐟ.ᐟ
떡볶이 먹을 때 중국당면 1,000원어치 추가했는데 15줄은 주신 듯··· 배불러서 다 못 먹었지만 그래도 카페는 가야 하니 기프티콘 털어서 설빙 먹음
1
3",🤤,1,,3,"['https://pbs.twimg.com/media/E9s_tezVoAAtwGp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9s_tewVgAosG6I?format=jpg&name=360x360']",https://twitter.com/livereallyfast/status/1430807364324655107
크림,@cherrycream0115,2021-08-04T00:09:02.000Z,"크림
@cherrycream0115
·
8월 4일","굿모닝
출근길 등교길 화이팅
배구 응원하러 가야겠다

형원이 굿모닝 아침부터 찾아왔어 예쁘게♡
3
7",🐢 🐢 ☺ 🐢 🔥 🍒,,3,7,['https://pbs.twimg.com/media/E758PVjUcAchQAI?format=jpg&name=small'],https://twitter.com/cherrycream0115/status/1422711136944726019
꾹이럽,@koogie_luv,2021-08-12T10:36:27.000Z,"꾹이럽
@koogie_luv
·
8월 12일","1위랑 대략 
6,000,000표 차이 나니까...
10000표(10만원)쿠폰이 600개...
60,000,000원이 있어야
역전 가능인가여?
로또 사러 가야겠당...
1
1",🐰 😅,1,,1,"['https://pbs.twimg.com/media/E8lYjueVcAY5HdM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8lYj_YVoAM6v8v?format=jpg&name=small']",https://twitter.com/koogie_luv/status/1425768134959529986
겨울정원 처돌이,@forwintergarden,2021-08-25T01:27:15.000Z,"겨울정원 처돌이
@forwintergarden
·
8월 25일","아니 신현빈 검색하는데 기사 제목보고 진짜 뿜었닼ㅋㅋㅋㅋㅋㅋㅋ 기절이요?????? 아니 아무리 그래도 기절까지는ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 기절하면 클나요,, 율제병원 삐용삐용 가야되는거 아냐?
15
92",,,15,92,"['https://pbs.twimg.com/media/E9mXhWlVEAAKzew?format=jpg&name=small', 'https://pbs.twimg.com/media/E9mXhqnVcAUVcB_?format=jpg&name=small']",https://twitter.com/forwintergarden/status/1430340964468600832
이청산 초록영감,@babonews,2021-08-24T01:59:27.000Z,"이청산 초록영감
@babonews
·
8월 24일","민주당에서는 앞으로 인재 영입같은 기계적인 인물충원은 하지 말아야 한다. 영입된 인물들 면면을 보면 민주당에 관심이라도 있었을까 하는 생각이 들고, 오직 의원직을 거져 얻으려는 자들 뿐이었다. 오직 당을 사랑하고 당에 헌신하는 사람들로 가야 한다.
16
17",,,16,17,[],https://twitter.com/babonews/status/1429986683550724096
우짤래미/메트 맘찍이나 알티,@sksmsdusvm,2021-08-13T07:23:06.000Z,"우짤래미/메트 맘찍이나 알티
@sksmsdusvm
·
8월 13일","다들 휴치원 가래서 휴치원 가야겟다...
2",,,,2,[],https://twitter.com/sksmsdusvm/status/1426081866474430469
링고,@myringo_,2021-08-26T02:59:21.000Z,"링고
@myringo_
·
8월 26일","아싸 덕분에 한 30만 원 벌은 셈이니 뱅드림 콘서트나 가야겠다
1
7",🍊,1,,7,[],https://twitter.com/myringo_/status/1430726530569703424
데쓰(반동결,@oioioioiaae2,2021-08-04T04:50:58.000Z,"데쓰(반동결
@oioioioiaae2
·
8월 4일","졸리다 하ㅏㄱ원 가야된다ㅡㄴ게 졸라 싫어 그냥 자고시ㅠ어
1
3",,1,,3,[],https://twitter.com/oioioioiaae2/status/1422782088931987464
양석형,@YSH__bear,2021-08-23T13:05:49.000Z,"양석형
@YSH__bear
·
8월 23일","이익준은 시끄럽고
김준완은 팩트쟁이라 무섭고
안정원은... 영 그렇고오.
송화느은... 바빠보이고.

말할사람이 없네. 
절이나 가야겠다아.
4
15",,4,,15,[],https://twitter.com/YSH__bear/status/1429791988757372929
욤깅,@yomyan0,2021-08-26T07:15:51.000Z,"욤깅
@yomyan0
·
8월 26일","17000원...돈이 없다 모으고나년 침구랑 가야갰다
sero
@serodozer
 · 8월 25일
카페루시드 

…
퍼먹으면 안에 또 푸딩이 한바가지 들어있는 ‘진짜’푸딩빙수",🍮,,,,"['https://pbs.twimg.com/profile_images/1287553880058863618/a4wNbFU2_mini.jpg', 'https://pbs.twimg.com/media/E9pKP11UcAc-1J1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9pKP11UUAI1PtX?format=jpg&name=360x360']",https://twitter.com/yomyan0/status/1430791081906503681
소금,@amugeonadahaeyo,2021-08-02T02:38:29.000Z,"소금
@amugeonadahaeyo
·
8월 2일",소공원 가야겟다,,,,,[],https://twitter.com/amugeonadahaeyo/status/1422023973722746884
BTSWWH,@han_erina,2021-08-11T16:21:06.000Z,"BTSWWH
@han_erina
·
8월 12일","율제병원 입원 가야겠다ㅠㅠ 
얼굴보고 완치될듯
@CHADOLBBAKI
 · 8월 11일
그리고
이 스레드 보기",💜 💜 😍 😝 🐳 🌙,,,,"['https://pbs.twimg.com/profile_images/1430380627774238727/inJrHtyv_mini.jpg', 'https://pbs.twimg.com/media/E8hAzGfVkAY0azK?format=jpg&name=small']",https://twitter.com/han_erina/status/1425492483106959360
김현숙(미카엘라),@sena77kim,2021-08-20T05:39:52.000Z,"김현숙(미카엘라)
@sena77kim
·
8월 20일","아무레도 나는 전주로가야쓰것다!
시립도서관을 이리해놓을수있다니
내스무살 추억속 덕진공원연꽃들도
여전하려나?전주는 내고향과도같
다 전생이 있다면 딱 그곳어디서
생을살았음직하다.이름만으로도
설레는곳.전주 소식 고맙습니다.
자작나무(全州 김훈)
@longtake2000
 · 8월 20일
임금피크로 급여가 쭐은 만큼 근무시간도 쭐었다
금욜 오후는 사무실에 있으면 민망하다
전주시립 꽃심도서관 왔는데
놀랠 노짜다
1, 2층 터진 로비 인테리어가 황홀하고 코너에 카페가 있어 커피향이 구수하다
목아지를 뒤로 팍! 꺽어 12단 書浪을 올려다보다가
정기간행물 쇼파에서 깜빡깜빡 조는中
1",,,,1,"['https://pbs.twimg.com/profile_images/1215572098988425218/2o5NsYHK_mini.jpg', 'https://pbs.twimg.com/media/E9NTVgcVEAAGNWv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9NTXA1UUAMGDtb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9NTV9zUYAYbvcd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9NTX24UcAcsm0a?format=jpg&name=360x360']",https://twitter.com/sena77kim/status/1428592598852116483
포비,@icyyyyy__,2021-08-02T12:33:28.000Z,"포비
@icyyyyy__
·
8월 2일","삼천 원 빌렸다 모구모구 두 개 사 가야짛ㅎㅎ
6",,,,6,[],https://twitter.com/icyyyyy__/status/1422173702372823042
시들한 도롱이벌레,@dfdf0909,2021-08-15T01:30:11.000Z,"시들한 도롱이벌레
@dfdf0909
·
8월 15일","짜릿하다 진짜 데칼은 길원모아서 가야겠다 공팟 쒯~
1",💦,,,1,[],https://twitter.com/dfdf0909/status/1426717823947005952
(휴식중) UL&SHYU ✽.｡.:*・ﾟ,@el_ittu,2021-08-30T05:39:18.000Z,"(휴식중) UL&SHYU ✽.｡.:*・ﾟ
@el_ittu
·
8월 30일","비염 점 심해진거 같은데 오늘은 화상병원 가구 이비인후과는 내일 가야겠다…
4",,,,4,[],https://twitter.com/el_ittu/status/1432216334897582081
이트,@_Itewh,2021-08-15T05:58:57.000Z,"이트
@_Itewh
·
8월 15일","헐 이거 약간 레디 플레이어 원 같은 영환가? 보러 가야겟다
별~을 좋아하는 표도기
@pyodogi
 · 8월 14일
프리가이 짧은평
게임세계를 다룬 영화는 수없이 많지만,이처럼 게임 세계에(심지어는 너드로 쉽게그려지는 스트리머에게도) 경의와 애정, 선의를 지닌 작품은 처음입니다.
게임과 현실을(덧붙여 영화도) 동등한 세계로 생각하고 아끼며 충실하게 연출한 매력적인 작품입니다.
놓치지마세요.",🎬,,,,"['https://pbs.twimg.com/profile_images/1177090405940125696/bZXqZZbT_mini.jpg', 'https://pbs.twimg.com/media/E8uak_EVgAM0nA7?format=jpg&name=900x900']",https://twitter.com/_Itewh/status/1426785463231156225
비,@rrrrrain1,2021-08-04T09:17:55.000Z,"비
@rrrrrain1
·
8월 4일","왠지 온라인 요가 몇번만 하고 쨀 듯 ㅠ 소통도 다른 쌤들에 비해 부족하고 특히 끝나고 최종적인 피드백이 없음.. 돈 버린 셈 치고 차라리 다담주부터 요가원 가야겟다ㅜ 백신 언제 맞냐고
6",,,,6,[],https://twitter.com/rrrrrain1/status/1422849270349123586
아뮤,@YuXSepoa2ikxuqc,2021-08-28T14:39:26.000Z,"아뮤
@YuXSepoa2ikxuqc
·
8월 28일","다케온 훈련장 10라 
시안 3스가 치명타 터지면 내 풀피+풀보호막 샬롯(부계)이 원콤나는구나
샬롯키워서 가야겠다

다행이 이김
1",,,,1,[],https://twitter.com/YuXSepoa2ikxuqc/status/1431627489734889472
멩트귀미션빕비녀사,@MsR_Public,2021-08-05T15:55:43.000Z,"멩트귀미션빕비녀사
@MsR_Public
·
8월 6일","아오모르갯다나졸려서자야겟어내일병원가야되다들굿나잇
1",♥,,,1,[],https://twitter.com/MsR_Public/status/1423311763945127948
Mang,@mangmyang,2021-08-19T12:33:58.000Z,"Mang
@mangmyang
·
8월 19일",계속이러면 토욜에 뱡원가야겟다,,,,,[],https://twitter.com/mangmyang/status/1428334425389993988
쥬라기공원,@jyu_99u1,2021-08-28T05:41:44.000Z,"쥬라기공원
@jyu_99u1
·
8월 28일","밤에는 월정교나 동궁과월지(안압지-표 구매)를 가보셔요
대릉원도 그렇고 9시전에 가야 들어갈수잇숩다
1
1",,,1,1,[],https://twitter.com/jyu_99u1/status/1431492174022000648
!문신사! 이권,@Lee_gwon_711,2021-08-24T09:50:03.000Z,"!문신사! 이권
@Lee_gwon_711
·
8월 24일","수요일은 병원 쉬니까.. 하루만 더 버티고 정병원가야겠다. 식이장애맞는것같에ㅠ
1
2",,1,,2,[],https://twitter.com/Lee_gwon_711/status/1430105111280316420
