UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
띠귿,@Lee_DDi,2021-08-14T15:12:24.000Z,"띠귿
@Lee_DDi
·
8월 15일","드디어 밤에 잔다 여러분 무나잇
1
2",💛 💛,1,,2,['https://pbs.twimg.com/media/E8wq5eNVIAM7da0?format=jpg&name=240x240'],https://twitter.com/Lee_DDi/status/1426562354054004739
린네,@rinne951005,2021-08-07T09:49:16.000Z,"린네
@rinne951005
·
8월 7일","존잘님들 앤솔이 드디어~! 
밤마다 계속 읽을 예정
13",😍 ❤,,,13,"['https://pbs.twimg.com/media/E8LdzNzUUAEVtLc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Ldz-tVcAAyunv?format=jpg&name=360x360']",https://twitter.com/rinne951005/status/1423944320629886981
Nightmare ( 일일봇),@StarBM3,2021-08-04T13:23:56.000Z,"Nightmare ( 일일봇)
@StarBM3
·
8월 4일","*그의 말을 듣곤.
*벽시계를 땅에 내려친다.
*와장창!!!!!!!
*벽시계는 우렁찬 소리와 함께 망가진다
*그가 드디어 밤이라고 인정했다!!!
*편-안
1",⭐,,1,,['https://pbs.twimg.com/media/E78yLcKVgAs16Lr?format=jpg&name=small'],https://twitter.com/StarBM3/status/1422911181694459904
피츠,@pheeeetz,2021-08-28T18:53:24.000Z,"피츠
@pheeeetz
·
8월 29일","드디어밤을달리다마스-타했습니다 후훟,훗
랄까, 29레벨.. 춋또 쉽잖아?wwwww
1",,,1,,['https://pbs.twimg.com/media/E95jvWDUUAAFnEj?format=jpg&name=small'],https://twitter.com/pheeeetz/status/1431691403667509248
고구마부인,@goguma_wife,2021-08-04T15:48:49.000Z,"고구마부인
@goguma_wife
·
8월 5일","드디어 밤에 드디어
안양운동장형 잉여킴
@luxon51
 · 8월 5일
올림픽 공식에도 스케줄 업데이트됨. 
배구 여자부 4강 한국-브라질 금요일 밤 9시.
https://olympics.com/tokyo-2020/olympic-games/en/results/volleyball/bracket-women.htm…
이 스레드 보기
2",,,,2,"['https://pbs.twimg.com/profile_images/448767714845130752/mTzajzI7_mini.jpeg', 'https://pbs.twimg.com/media/E79OXbxVgAQkU-L?format=jpg&name=small']",https://twitter.com/goguma_wife/status/1422947639541129224
샌드위치,@SandWich_544,2021-08-05T00:49:22.000Z,"샌드위치
@SandWich_544
·
8월 5일","드디어... 밤에 잤어 ㅠㅠㅠ
7
12",,7,,12,[],https://twitter.com/SandWich_544/status/1423083674719776771
솔로,@solo_1119,2021-08-03T21:10:07.000Z,"솔로
@solo_1119
·
8월 4일","미쳤다 미쳤다미쳤다 드디어 밤에 자고 새벽 6시에 깨기 성공 미쳤다
3",,,,3,[],https://twitter.com/solo_1119/status/1422666110512500737
:.･:๑Nuel๑:.･,@slqpsldk88,2021-08-04T09:49:28.000Z,":.･:๑Nuel๑:.･
@slqpsldk88
·
8월 4일",드디어 밤부엉이 몸계찾았다!!!!!!!!!,,,,,[],https://twitter.com/slqpsldk88/status/1422857207083782144
롱다미,@LongDami,2021-08-29T21:17:45.000Z,"롱다미
@LongDami
·
8월 30일","아 '-' 드디어 밤에 잠을잤다
1",,,,1,[],https://twitter.com/LongDami/status/1432090118987259904
DOTT,@twtrnumber2,2021-08-12T13:56:25.000Z,"DOTT
@twtrnumber2
·
8월 12일","야 오짬끓이기 드디어 밤에 떴네ㅠ
1",,,,1,[],https://twitter.com/twtrnumber2/status/1425818457455489043
로기,@malloc_gi2,2021-08-17T13:31:01.000Z,"로기
@malloc_gi2
·
8월 17일","드디어 밤 산책이 선선해서 기분좋아지기 시작
2
1
10",,2,1,10,[],https://twitter.com/malloc_gi2/status/1427624003817066508
욧느,@6minp,2021-08-08T17:26:42.000Z,"욧느
@6minp
·
8월 9일",드디어 밤에 시원하구만 나이스!!!,,,,,[],https://twitter.com/6minp/status/1424421827191791619
,@Eggbread8975,2021-08-06T18:05:59.000Z,"@Eggbread8975
·
8월 7일",흐아아 드디어 밤을 새는것인그!!!,🍳,,,,[],https://twitter.com/Eggbread8975/status/1423706935824556034
Lei Tavis,@lei_tavis__bott,2021-08-20T18:51:03.000Z,"Lei Tavis
@lei_tavis__bott
·
8월 21일","드디어, 밤이 끝나는구나.",,,,,[],https://twitter.com/lei_tavis__bott/status/1428791706518970383
slow 쭌오리,@June_duck200102,2021-08-12T09:07:31.000Z,"slow 쭌오리
@June_duck200102
·
8월 12일","문특 ㅠㅠ 드디어 밤규도 똥밟았네 ㅠ
1",,1,,,[],https://twitter.com/June_duck200102/status/1425745756036616193
V그거 2/11/16뭉실,@moong_new,2021-08-23T21:04:08.000Z,"V그거 2/11/16뭉실
@moong_new
·
8월 24일","일찍 일어나기 어려운 자, 드디어 밤을 새다
1
1",🌙 ☀ 🌙 👉,1,,1,[],https://twitter.com/moong_new/status/1429912363449208832
덤 ✿,@DMM_FFXIV,2021-08-25T07:36:24.000Z,"덤 ✿
@DMM_FFXIV
·
8월 25일","나 드디어 14 심해맵들에 익숙해진 거 같아... 드디어... 밤에도 큰 타격없이 올 수 있게 됐다
1",,,,1,[],https://twitter.com/DMM_FFXIV/status/1430433864770486272
규시깅!!,@finalgyusik,2021-08-15T17:10:49.000Z,"규시깅!!
@finalgyusik
·
8월 16일",어떡해..?나갑자기감격스러움..우리아기의노래가왓군아.드디어밤깅이활동이왓구나..,😍 😍 😍,,,,[],https://twitter.com/finalgyusik/status/1426954542931877895
파고,@sjjy_pg,2021-08-14T14:19:46.000Z,"파고
@sjjy_pg
·
8월 14일",와 드디어 밤이 지나갔네,🦈,,,,[],https://twitter.com/sjjy_pg/status/1426549108911734785
김식뽀@,김식뽀@,2021-08-22T22:01:38.000Z,"김식뽀@
@alleycat_meow_
·
8월 23일","아 드디어 밤에 자고 낮에 일어낫다...
낮밤을 되찾앗다 유후 4~6번은 깬듯....끄아앵..
1",,,,1,[],https://twitter.com/alleycat_meow_/status/1429564445211070467
초스,@CS07553259,2021-08-03T01:54:41.000Z,"초스
@CS07553259
·
8월 3일","드디어 밤에 잘수있다(그동안 낮밤 바꼈음)
1",,1,,,[],https://twitter.com/CS07553259/status/1422375336453435394
범이,@shinefreaks525,2021-08-18T14:41:40.000Z,"범이
@shinefreaks525
·
8월 18일","드디어 밤이 버블 100자 쓸 수 있는데ㅠㅠ
1",,,,1,[],https://twitter.com/shinefreaks525/status/1428004174600433665
lovenoodle.zip,@myluv_4,2021-08-06T17:50:25.000Z,"lovenoodle.zip
@myluv_4
·
8월 7일",입추매직 드디어 밤에 에어컨 안 틀고 창문열고 자요 조상님 최고,,,,,[],https://twitter.com/myluv_4/status/1423703018185191426
인뉴애,@lvthmall_mx,2021-08-03T13:23:21.000Z,"인뉴애
@lvthmall_mx
·
8월 3일","나 드디어 밤님 책 삿어
아 정말 단한번도 선착 놓쳐본적이없는아시아상위권긴밤팬인 내가.. 이번엔 왜늦엇냐면... 입금 당일날 저녁에 밥먹고 설거지하다가 왼손엄지를 숭덩덩 해가지고... 그날 진짜 나 엄지 잃는줄 알앗잖니 정말 정신업엇어
그치만 어쨋든 저에게도 민쳉책 잇으니까 이제.. 갠찬아
8
13",,8,,13,[],https://twitter.com/lvthmall_mx/status/1422548647061823492
녹슨고철,@_oldiron1127,2021-08-26T15:39:04.000Z,"녹슨고철
@_oldiron1127
·
8월 27일","오늘은 드디어 밤에 잘수 있다
2",,,,2,[],https://twitter.com/_oldiron1127/status/1430917720686546952
