UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
EXODUS : 탈출,@exokplayinmoon,2021-08-15T15:03:37.000Z,"EXODUS : 탈출
@exokplayinmoon
·
8월 16일","《EXODUS: 탈출》

1943.08.15 ; total lunar Eclipse

하나의 하늘에서 땅들이 일렬의 행을 낳는 날, 《황금향, 엘도라도 El Dorado》를 찾아 탈출하십시오.

위 실험은 엑소 세계관과 연결됩니다.
0:02
2.2만 조회수
1
1.3천
830",,1,1.3천,830,[],https://twitter.com/exokplayinmoon/status/1426922533375250434
MINAKO,@DARC_SEO,2021-08-08T12:06:36.000Z,"MINAKO
@DARC_SEO
·
8월 8일","엘도라도
3
13",⭐ 🌙,,3,13,['https://pbs.twimg.com/media/E8RG0QWVkAYO84B?format=jpg&name=small'],https://twitter.com/DARC_SEO/status/1424341269703131136
이녈,@in_yeol,2021-08-04T14:04:17.000Z,"이녈
@in_yeol
·
8월 4일","엘도라도....(˘̩̩̩ε˘̩ƪ)
3
6",,,3,6,['https://pbs.twimg.com/media/E787aDjVkA4_yv5?format=jpg&name=small'],https://twitter.com/in_yeol/status/1422921333038456835
하와이로 바캉스를 떠나자!,@HAWAI_Vacance,2021-08-24T11:05:20.000Z,"하와이로 바캉스를 떠나자!
@HAWAI_Vacance
·
8월 24일","[넬 네르하 엘도라도, 스텔라 루이스]
친구와 여행 올 때에는 신경쓸게 많죠. 좋은 여행 되세요!
7
7",,,7,7,['https://pbs.twimg.com/media/E9jSItbUYAMuJfn?format=jpg&name=small'],https://twitter.com/HAWAI_Vacance/status/1430124058977267721
거래계,@jiso1205,2021-08-30T05:07:24.000Z,"거래계
@jiso1205
·
8월 30일","엑소 굿즈 양도해요

1. 나따봄님 슈토리 가방
운미포 13000원(원가18000원)
2. 핀란드님 엘도라도 키링
운미포 12000원(원가 14000원)
You can buy Korean bank accounts with Korean addresses!
Shipping cost not included

#엑소키링
#시우민파우치",,,,,"['https://pbs.twimg.com/media/Et39zEiVEAI33Ph?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Et39zawUUAQMaOL?format=jpg&name=360x360']",https://twitter.com/jiso1205/status/1432208309222711303
체셔,@MAYB_KH,2021-08-04T15:34:47.000Z,"체셔
@MAYB_KH
·
8월 5일","언제 와도 기분 조와지는 엘도라도 관광 명소 비교적(…) 최근에 손 댄 곳이라서 마음에 들어 애플이랑 바네사 둘 다 집에 있길래 오랜만에 인사햇음
2",🐹 🐺,,,2,"['https://pbs.twimg.com/media/E79QHvcVcAc3qws?format=jpg&name=small', 'https://pbs.twimg.com/media/E79QHxHVEAAbgAf?format=jpg&name=small']",https://twitter.com/MAYB_KH/status/1422944107958177797
심우동,@SimWooDong,2021-08-22T09:24:57.000Z,"심우동
@SimWooDong
·
8월 22일","아파트 그거슨 엘도라도
2",,,,2,['https://pbs.twimg.com/media/E9YoFgxVEAsmxKc?format=jpg&name=small'],https://twitter.com/SimWooDong/status/1429374018017239044
TR 쥬쥬,@YJ_ranger,2021-08-10T03:58:57.000Z,"TR 쥬쥬
@YJ_ranger
·
8월 10일","2021. 07. 31. / 08. 09.

『황금도시의 사랑』
w. 딩 / gm. 쥬쥬

분과회 『엘도라도』
PC1 「방종에 대하여」 다브란
PC2 「탐욕에 대하여」 파르바그
PC3 「질투에 대하여」 카타흐
1",,1,,,['https://pbs.twimg.com/media/E8ZqYImVcAIwFNH?format=jpg&name=small'],https://twitter.com/YJ_ranger/status/1424943324352245760
엔 젤,@yun_luv_0408,2021-08-13T16:49:47.000Z,"엔 젤
@yun_luv_0408
·
8월 14일","엓 단콘이든 찬열 솔콘이든 엘도라도 좀 주세요 .... 저걸 한손에 돌리는 사람 어딨냐고 .... 나 개발린다고 ... 여기 걍 사막 속 오아시스 그냥 엘도라도 유토피아
간장종지
 님의
4
5",🍒,,4,5,['https://pbs.twimg.com/ext_tw_video_thumb/961128757649174528/pu/img/SecjPSxE6tdBAF_P.jpg'],https://twitter.com/yun_luv_0408/status/1426224474928549890
엘도라도 - Eldorado Team,@eldorado_team,2021-08-07T14:30:58.000Z,"엘도라도 - Eldorado Team
@eldorado_team
·
8월 7일","Xperience Changer 참가자 모집

참여 방법
SNS 바이오 링크에서 다운받은 지원서 작성 후 이메일 제출 
인스타그램 
@eldorado
.team 
트위터 
@eldorado_team
 
이메일 eldoradofficial@gmail.com

#SWOP #엘도라도
1
24
18",👀 👀 ☑,1,24,18,"['https://pbs.twimg.com/media/E8MeP3xVIAMiMQU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8MeP4sUUAQGwHQ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8MeP4QVoAQGfQK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8MeP5HVgAMekvf?format=jpg&name=360x360']",https://twitter.com/eldorado_team/status/1424015211728556039
