UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
사티쉬 네하,@Neha_cook,2021-08-11T08:59:46.000Z,"사티쉬 네하
@Neha_cook
·
8월 11일",커피도 빈 속에 먹는거 아니야. 초콜렛은 밥도아니잖아! 밥을 먹으라니까?,,,,,[],https://twitter.com/Neha_cook/status/1425381415869288451
전기수,@TNR_ENT,2021-08-21T22:06:48.000Z,"전기수
@TNR_ENT
·
8월 22일","차유'진이면 달고나커피 기계 없이도 만들었겠지...
달고나커피 만들어서 야작하는 김래'빈 주기
4",,,,4,[],https://twitter.com/TNR_ENT/status/1429203357030182912
뽑았음,@Golden_Yangpun,2021-08-05T05:34:53.000Z,"뽑았음
@Golden_Yangpun
·
8월 5일",아니...들어봐 내가오늘 1타임이 좀 빨리시잓하는대신 사이에 50분정도빈단말야 그래서 그때 잠깐내려가서 커피를사올라햇거든..  ..근데 한명 시간깜빡하셔서 끝나기 40분전에오심...  이거근데 1시간반수업이라 나 쉬는시간도 자리정리할시간도없이 얘 잡고 다음탐까지 풀로 4시간수업해야됨ㅋㅋ,⬅ 🌻 🌻,,,,[],https://twitter.com/Golden_Yangpun/status/1423155529325686784
빵나,@p6nrrr,2021-08-19T12:14:49.000Z,"빵나
@p6nrrr
·
8월 19일",커피 시키고 싶은데 빈 속에 마시긴 좀 그렇고 밥도 시켜야하나,🥺,,,,[],https://twitter.com/p6nrrr/status/1428329605987852292
깨꽁이 키우는 사람,@MUI_mui_0217,2021-08-03T10:33:52.000Z,"깨꽁이 키우는 사람
@MUI_mui_0217
·
8월 3일","나 일할때도 존나귀여운 애기들 가끔 옴ㅋㅋ 우리가 커피가 좀 비싼 대신에 다 마시고 빈잔 가져오면 리필 해준단말야 근데 어른가족들이 마신거 애기가 쭈뼛쭈뼛 들고와서 이거 리필해주세요 하는데 귀여움ㅋㅋ
ᎷᏆN
@bonheur_0h
 · 8월 2일
오늘 일하는데 7살정도로 보이는 아가가 와서 조심스럽게 질문이 있댄다 
들어보니 자기도 아메리카노 살 수 있냐고 ..어머니 심부름인데요오.. 
귀여워죽겠음..!!!!!!!! 
술처럼 어른만 살 수 있을거라 생각하는지 
내가 귀여워서 잠깐 멈칫한 순간에 급하게 어머니 심부름이라고 덧붙였다
1
2",🐸,1,,2,['https://pbs.twimg.com/profile_images/1375718031771328514/rgXXtJfh_mini.jpg'],https://twitter.com/MUI_mui_0217/status/1422505993154404365
보늬,@donnguriiiii,2021-08-04T14:10:52.000Z,"보늬
@donnguriiiii
·
8월 4일","승여나 피자 맛잇니
나는 빈 속에 커피 갈기다 너 보구 배고파져서 식빵 꺼냇어 욕하는 거 아니야",,,,,[],https://twitter.com/donnguriiiii/status/1422922991235567625
당신의.,@your_lovermind,2021-08-04T14:55:54.000Z,"당신의.
@your_lovermind
·
8월 4일","아앗, 바... 밤이 늦었네요! (시선을 피한다) 그, 저, 저도 얼른 잘테니까요...! 네, 얼른 주무세요... (끄덕) ㅍ, 푹 쉬시길 바랄게요...! ㅡ 츠키미야 후유카, 빈 커피 캔들을 치우며.",,,,,[],https://twitter.com/your_lovermind/status/1422934324375035905
(커미션 X) プロMASA,@MASALOR1,2021-08-17T06:00:13.000Z,"(커미션 X) プロMASA
@MASALOR1
·
8월 17일","사실 저도 산미 높은 커피는 취향 아님
미안 헤세드 나는 맥심이나 마시련다 바닐라빈 파우더랑 우유 넣어서 아바라 해먹으니 맛좋더라 야
8",,,,8,[],https://twitter.com/MASALOR1/status/1427510555955273729
쇼걸영상,@Club665C,2021-08-03T13:14:10.000Z,"쇼걸영상
@Club665C
·
8월 3일","애인대행FD
스튜어디스ID
애인wh
오늘의흔녀dU
입지분석wv
임실군uR
오프후기EW
박보검Bl
담배Ux
제습PB
레몬수제청PF
삼양동조건만남fs
커피xG
설이HA
김은옥Qc
전하빈fV
50대만남어플fO
초대남eg
야탑맛집VB
겨울방학특강da",,,,,[],https://twitter.com/Club665C/status/1422546333337018371
올리뿌리 ~10/8,@_HepOLive_8753,2021-08-02T15:47:14.000Z,"올리뿌리 ~10/8
@_HepOLive_8753
·
8월 3일","이미 지인계는 빈센조계가 돼버렸음
프로필도 송미들기임
거기 출연배우들 차기작까지 싹 알아둠
굿즈 지포라이터 살라했는데 용돈 절반 바쳐야돼서 엄두도 못냄
드라마에서 7월 7일 견우처럼 돌아오겠다고 그래놓고 차기작 촬영장에다 진짜 칠석에 커피빙수차보냄 하... 과몰입을 어떻게안해?
4",❄,,,4,[],https://twitter.com/_HepOLive_8753/status/1422222466206683144
l,@olle_ll_olle,2021-08-06T22:50:33.000Z,"l
@olle_ll_olle
·
8월 7일",사과와 바당찌꾸리들 지저귐과 아침해와 가만가만 떠올랐다 사라지는 명동성당 들머리와 마카롱과 한라산과 아왜나무 붉은 열매와 쑥대낭과 지니야 TV 켜 줘와 중산간 쪽으로 멀어지는 버스와 텅 빈 정류장과 입추(立秋)와 주말이니 사람들 적은 당오름에 갈까봐와 커피와,,,,,[],https://twitter.com/olle_ll_olle/status/1423778548775473156
