UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
4차원/4次元,@4sachaone,2021-08-14T07:10:03.000Z,"4차원/4次元
@4sachaone
·
Aug 14","이브이 이로치 잡았다
넌 진화로 가자
6",,,,6,['https://pbs.twimg.com/media/E8u8fKxVUAUXrwP?format=jpg&name=900x900'],https://twitter.com/4sachaone/status/1426440967196794887
서울시 교통정보과,@seoultopis,2021-08-25T06:52:32.000Z,"서울시 교통정보과
@seoultopis
·
Aug 24","[15:52]  송파대로 (송파사거리 → 가락시장사거리) 5차로 화재 진화로 차단됩니다.
https://topis.seoul.go.kr/?accId=814690",,,,,['https://pbs.twimg.com/media/E9nh-pEVIAA0kLI?format=jpg&name=small'],https://twitter.com/seoultopis/status/1430422824712216576
토린,@R_Torin816,2021-08-30T11:30:54.000Z,"토린
@R_Torin816
·
Aug 30","집앞 pc방 불났나? 소방차가 많네. 
초기진화로 그나마 연기 많이 안나네.
1",,1,,,['https://pbs.twimg.com/media/E-CRoV_UYAM7mlh?format=jpg&name=900x900'],https://twitter.com/R_Torin816/status/1432304820866584578
츠쿠모 유우마,@Yuma_bot_kr,2021-08-15T05:03:05.000Z,"츠쿠모 유우마
@Yuma_bot_kr
·
Aug 14","난 [희망황 호프]로 오버레이 유닛을 재구축!! 엑시즈 체인지!! 나와라! 랭크 1 No.39! 희망의 빛이 진화로 나아가니! 전사일 적의 기억을 해방시킨 완전무결한 힘, [희망황 호프 루츠]!!",,,,,[],https://twitter.com/Yuma_bot_kr/status/1426771403135619073
가온,@Gaon__OAO,2021-08-24T07:29:55.000Z,"가온
@Gaon__OAO
·
Aug 24","아 서량이랑 동필이 나란히 앉아서 멍든데 달걀로 문댕문댕할거 생각하니까 너무 귀엽네 다 큰 애들인데… 계란 까먹고 삼매진화로 태워서 손 탁탁 털거까지 생각하니까 더 귀엽
1",,,1,,[],https://twitter.com/Gaon__OAO/status/1430069845756809218
망울,@somso_mangwoul,2021-08-24T11:56:36.000Z,"망울
@somso_mangwoul
·
Aug 24","삼매진화로 제모하는 청명ㅇ죄송합니다
ㅎㅓㄱ그러면 청명이 입으로 불뿜는 퍼포먼스도 할수잇는거에여?
사숙사형들 가암히 농땡이를피워??!??
사자후지르면서 입으로 불뿜는것두?
1
1
2",💮,1,1,2,[],https://twitter.com/somso_mangwoul/status/1430136958093651975
영단어봇_저그,@Voca_bot_Z,2021-08-05T06:50:39.000Z,"영단어봇_저그
@Voca_bot_Z
·
Aug 4","Ventral
(a)배쪽의(명사의 앞에서만 쓰인다)

오버로드의 수송기능 업그레이드 이름이 Ventral Sacs입니다. '배주머니 진화'로 번역되었지요.",,,,,[],https://twitter.com/Voca_bot_Z/status/1423174596249800710
마음 주는 알베도,@Heart_Albedo,2021-08-30T09:21:32.000Z,"마음 주는 알베도
@Heart_Albedo
·
Aug 30","성장에는 아픔이 수반되고 우리는 그걸 흔히 성장통이라고 불러. 성장은 곧 진화와 같지. 그리고 진화의 끝은 새로운 미래이거나 퇴화하는 것 둘 중 하나야. 나를 포함한 티바트의 모두가 이 성장통을 잘 이겨내 새로운 미래로 나아갔으면 좋겠네. 한 군집의 퇴화가 아닌 진화로 말이야.
1
19",,,1,19,[],https://twitter.com/Heart_Albedo/status/1432272263429066754
스티니는 라움을 조아해,@Stiny_for_commu,2021-08-18T16:40:14.000Z,"스티니는 라움을 조아해
@Stiny_for_commu
·
Aug 18","는 사실 나도 궁금해서 그려본 X맨얼굴이 잇긴한데요
진화로 인해 쓰고 있던 어미의 뼈는 일체화 어쩌구라고 도감이...!(삿대질
6",💀 🗡,,,6,[],https://twitter.com/Stiny_for_commu/status/1428034011729858564
DᵘᵍSᶤ,@ds1044_666,2021-08-09T01:34:34.000Z,"DᵘᵍSᶤ
@ds1044_666
·
Aug 8","미래에는 진화로 인해 상아없는 코끼리만 있는 시대가 올 것 같아..
1",,,1,,[],https://twitter.com/ds1044_666/status/1424544602921455620
sane,@konnajjba,2021-08-13T09:53:18.000Z,"sane
@konnajjba
·
Aug 13","죠르노 본인조차도 골익레의 능력을 다 모른다는점이 좋다
폴나레프도 실채레의 능력을 다 몰랐으니까...
주인의 컨트롤을 벗어난 스탠드...
그리고 레퀴엠상태가 되면(근데이걸 상태변화버프로 봐야하는거냐 진화로 봐야하는거냐) 자아가 엄청 뚜렷해지는것 같은데 골익레는 거의 죠르노보다도
1
1
2",,1,1,2,[],https://twitter.com/konnajjba/status/1426119663377813506
얘치,@yeah_chis,2021-08-29T08:02:54.000Z,"얘치
@yeah_chis
·
Aug 29","청명이랑 당보는 좋겠다... 술 취하도록 술마시고 아 습 더 마시고 싶은데; 하면 주도에 어긋나는 웅앵하면서도 삼매진화로 술독 태우고 당보는 암존이라 술 취하지도 않고 어어 2차 갑시다~ 하고 2차 갈거같음
1",,,,1,[],https://twitter.com/yeah_chis/status/1431890087885766656
금표,@mmmc_g_S2,2021-08-05T01:20:33.000Z,"금표
@mmmc_g_S2
·
Aug 4","당보랑 접문할 때마다 독기운 삼매진화로 태워버리고십다고 생각하는 청명ㅋ.ㅋ
1
3",,,1,3,[],https://twitter.com/mmmc_g_S2/status/1423091523063746561
𝕆𝕃𝕀𝕍𝔼,@Olive_169,2021-08-11T07:28:51.000Z,"𝕆𝕃𝕀𝕍𝔼
@Olive_169
·
Aug 11","나는 아니지만 ga성능 개좋게 붙여줘서 성능충인 오시들도 자기 최애한테 좋은 성능붙이려고 표넣는 사람 꽤 많을걸 근데 배포되고~ 성능도 배포급이고 이러면 인투에 들인 노력이 무슨 의미가 있었냐고 항의하는 건 이해하는데 그럼 상위 카드 오시들은요?? 내 최애는 성능하나인 상호진화로 끝난다고
1",,,,1,[],https://twitter.com/Olive_169/status/1425358537111216129
블루,@Spblue_b,2021-08-30T08:34:38.000Z,"블루
@Spblue_b
·
Aug 30","진화로 잊은 기술들은 하트비늘로 다시 배울 수 있어. 단, 유전기와 특전기는 안되니까 주의 또 주의!",,,,,[],https://twitter.com/Spblue_b/status/1432260458879225861
