UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
블래스,@comelaprimave,2021-08-30T08:30:45.000Z,"블래스
@comelaprimave
·
8월 30일","이재명 밑에 쓸만한 놈 한놈도 없던데 누굴 생각하고 쓴거냐?
1
43
32",,1,43,32,['https://pbs.twimg.com/media/E-BoaQIVEAI9N1A?format=jpg&name=small'],https://twitter.com/comelaprimave/status/1432259484030619649
겸미,@Kyeommi_,2021-08-30T14:58:51.000Z,"겸미
@Kyeommi_
·
8월 30일","ㅋ... 나 자려고 누우니까 백미도 누움...
귀여워죽겠어...
1
1
6",,1,1,6,['https://pbs.twimg.com/media/E-DBPOLVUAEvn9N?format=jpg&name=small'],https://twitter.com/Kyeommi_/status/1432357151121436678
,@zkxdkf,2021-08-30T09:00:35.000Z,"@zkxdkf
·
8월 30일","제주 옐로우돕
타마린드소스가 듬뿍 뿌려진 계란튀김은 한입 가득 넣으면 겉바속촉 스타터로 너무 좋았고, 마라누들은 차가운면이라 놀랐는데 고수, 오이가 소스랑 같이 잘어울렸다. 양고기는 특유의 향 가득이어서 맛있게 먹었다. 배불러도 하나 더 먹고 싶어서 시킨 고등어 이런생선요리너무좋아!
226
511",🍻 🥂 🤤,,226,511,"['https://pbs.twimg.com/media/E-BvLRuUUAQicVl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BvN29VIAU9Grv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BvMkaUYAMPJbb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-BvPGYVIAQKXGz?format=jpg&name=360x360']",https://twitter.com/zkxdkf/status/1432266989829980163
닌,@mabi_porinin,2021-08-29T14:29:23.000Z,"닌
@mabi_porinin
·
8월 29일","팬님도 누이님도 제껍니다
1
1
16",🐑 🐑 🐑 🐑,1,1,16,"['https://pbs.twimg.com/media/E99wt1eVcAQ4eGE?format=jpg&name=small', 'https://pbs.twimg.com/media/E99w0UUVkAAYjkw?format=jpg&name=small']",https://twitter.com/mabi_porinin/status/1431987348091203589
"주변인, 섬",@Heathen49,2021-08-30T23:09:16.000Z,"주변인, 섬
@Heathen49
·
8월 31일","한 때 캠핑카로 끌고 다녔던 차가 그레이스 봉고 9인승.
좌석을 뒤로 눕히면 네식구가 충분히 누울 수 있었고 날씨가 안 좋을 땐 라면박스를 시트 위에 깔고 삼겹살도 구워 먹고 라면도 끓여 먹고 재밌었지. 쇼바도 좋아서 방지턱이나 비포장 길도 편하게 다녔었던.
4
29",🌴,,4,29,['https://pbs.twimg.com/media/E-ExfB6VQAYU67s?format=jpg&name=small'],https://twitter.com/Heathen49/status/1432480567807787009
베리,@sunberry0411,2021-08-29T12:55:28.000Z,"베리
@sunberry0411
·
8월 29일","헐 선큐 페어댄스 아이디어는 다 솨누 거였구나 그럼 볼콕 후에 뺨 맞는 것도 쏴누 설정이었어?!
리쏠
 님의
1",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1431961002724106243/pu/img/qoFSnWvEQ9QiZb-U.jpg'],https://twitter.com/sunberry0411/status/1431963715348287489
새앙쥐,@mouse_niconi,2021-08-30T16:39:05.000Z,"새앙쥐
@mouse_niconi
·
8월 31일","왜 갑자기 19내한 추억팔이지요... 벌써 2년도 더 된 옛날이라서 그립네욤 고3 내신 시험기간이라서 좀 무리해서 갔었던 기억이..

대학가면 누마즈 성지순례도 하고 현지 직관도 가고 다음 내한도 가야겠다고 생각했는데 코로나때문에 재수까지 다 했는데 아무것도 진행되지 않고 있어서 슬프네유
2
1
19",🙂 🍭 📡,2,1,19,['https://pbs.twimg.com/media/E-DXjltVkAEVKcZ?format=png&name=small'],https://twitter.com/mouse_niconi/status/1432382374860361729
늦었지만 굿!,@SnowEd5500,2021-08-30T14:43:08.000Z,"늦었지만 굿!
@SnowEd5500
·
8월 30일","휴••• 결혽도 안 해줄거면서 그렇게 배를 까고 유혹하늬? (프라다 혀누의 충격이 가시지 않는 늦굿
5
43",,5,,43,['https://pbs.twimg.com/media/E-C9pEIXoAMozNT?format=jpg&name=small'],https://twitter.com/SnowEd5500/status/1432353198354825221
명주실,@yadekill,2021-08-30T02:19:34.000Z,"명주실
@yadekill
·
8월 30일","유기엱 닮았다는 이유로 어디서 햄 한마리 분양해온 쨩귡ㅋ 햄슷터가 쳇바퀴 돌릴 때마다 기엱이 형 달려~~~! 박수도 침.

진짜기엱 구석에서 뻘쭘하게 서있음. 햄슷터이름도 기엱이라서 가끔씩 누굴 부르는지 모르겠어.

 기엱아 밥먹자
 ?
 형 말구 작은기연이.
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
16
69",🐈 🐹 🐈,1,16,69,[],https://twitter.com/yadekill/status/1432166070912110595
4번 이낙연 태도가 본질이다!,@kihad,2021-08-30T11:31:17.000Z,"4번 이낙연 태도가 본질이다!
@kihad
·
8월 30일","문정부 내내 문프도 못누린 권력을 재명이가 다 누렸다. 
재명이사람 어디든 다 꽂았다. 
재명이하고픈 말 다 했다 ( 거짓말, 사기 조차) 
재명이 거부하면 고소 고발로 괴롭혔다. 
범죄도 무죄
민주당이 문프 쉴드치는 건 본 적이 없는데, 재명이 쉴드에 영혼을 갈아넣는다 
언론도 재명이만 찬양한다
8
4",💎,,8,4,[],https://twitter.com/kihad/status/1432304914508627968
9/19 생일 유담뽀스,@UDAMMMMM,2021-08-30T06:12:18.000Z,"9/19 생일 유담뽀스
@UDAMMMMM
·
8월 30일","저도 후누도 이번건 엎을까 생각했는데 
제가 찾아가기 전에 직접 오셔서 
미안하다고 한마디라도 하신다면 사과받아드리겠습니다
9/19 생일 유담뽀스
@UDAMMMMM
 · 8월 30일
본인 행동은 본인이 
잘 아실거라생각합니다
디엠으로 오셔서 사과해주세요 twitter.com/UDAMMMMM/statu…
5
6
4",💕 💕,5,6,4,['https://pbs.twimg.com/profile_images/1438291515202228232/Vo0Y20oH_mini.jpg'],https://twitter.com/UDAMMMMM/status/1432224639044915200
브케인𝐿𝑖𝑙𝑦,@S_Lilyee_2,2021-08-30T14:12:33.000Z,"브케인𝐿𝑖𝑙𝑦
@S_Lilyee_2
·
8월 30일","정작 도누는 혜성에 충전 안해놔서 수녀님이 훔친 혜성 쐈지만.
4",🍹,,,4,[],https://twitter.com/S_Lilyee_2/status/1432345500879974414
세예,@tpdP_717,2021-08-29T15:54:20.000Z,"세예
@tpdP_717
·
8월 30일","운전하는 워누도 좋고 침대방 보면서 방음 체크해주는 세심한 워누도 좋고 재밌게 레고하는 워누도 좋아 어떡해 그냥 너무 좋다.. 인더숲에서만이 아니라 평소에도 종종 푹 쉬면서 힐링만 가득한 삶을 살아줘
2
3",🤍,2,,3,[],https://twitter.com/tpdP_717/status/1432008724927762437
몰루-아카이브!,@Triple_3T,2021-08-30T14:44:22.000Z,"몰루-아카이브!
@Triple_3T
·
8월 30일","내   컴퓨  터 누   가해  킹했어    로그인도  안되 지롱
1
3
6",😷,1,3,6,[],https://twitter.com/Triple_3T/status/1432353507248525313
(골카스포) 나왔다치타타ㅂ,@citatapbaby,2021-08-30T04:52:04.000Z,"(골카스포) 나왔다치타타ㅂ
@citatapbaby
·
8월 30일","나도 히지카타처럼 생기고 싶다 이누도만 안 붙으면 되겠지
5",,,,5,[],https://twitter.com/citatapbaby/status/1432204448118489091
군청 群靑,@ultramarine404,2021-08-30T15:00:23.000Z,"군청 群靑
@ultramarine404
·
8월 31일","시퍼런 츄리닝 바지 잘 어울리는 것도
앞치마 매고 교자 빚는데 짱 귀여운 것도
정장차림으로 그네에 앉아 있어도 위화감 제로인 것도
꽃 사이에 숨어 누굴 훔쳐보는 것도
어색한 얼굴로 면사포 속에 둘러싸여 있는 것도
나름 호기롭게 비장하게 옷벗는 것도
어쩜 그렇게 너답냐 요시무라 타카오야
2
6",,,2,6,[],https://twitter.com/ultramarine404/status/1432357539379748867
재인,@127arrived,2021-08-29T15:13:45.000Z,"재인
@127arrived
·
8월 30일","누군진 몰라도 이번에 127 담당으로 단단히 변태같은 분이 오신거 같다.. 아주 좋은 의미로다가
11
40",,,11,40,[],https://twitter.com/127arrived/status/1431998513936691209
코튼⁷⁷,@_cotton_k,2021-08-29T23:31:56.000Z,"코튼⁷⁷
@_cotton_k
·
8월 30일","배부른 파업???.....
병원 식비 한끼 1400원 내는데
한달에 식비로 1400원 나갈까 말까다...
밥 당연히 못먹고? 환자 Voiding은 챙겨도 근무시간 동안 정작 자기 소변 한번도 못 누고 일하다가 방광염 걸렸다는 내 주위 간호사들은 그럼 그대로 일하는게 맞다는 건가?
이게 맞는건가?
사여산..
@bestsubhui
 · 8월 28일
@PublicStaticVo3 님에게 보내는 답글
국민의 권리로 파업자제 요청합니다.
제의료보험비 삼십여년째 내고 있구요.
다섯가족 생계를 책임집니다.
의사협회..
전공의협회.
보건의료노조 의료인들이 심심하면 자기들 밥그릇 쟁탈을 위해 파업하는데.
님들께 세금갖다바치는 
의료보험비가 아까워 죽겠어요..
배부른 파업 그만하소서.
1
1",,,1,1,['https://pbs.twimg.com/profile_images/1193446097693233152/WLFweVN__mini.jpg'],https://twitter.com/_cotton_k/status/1432123886276005890
푸리,@natsu_plz,2021-08-30T18:07:35.000Z,"푸리
@natsu_plz
·
8월 31일","가챠도 천장치고 누이도 천장쳐서 뽑게 생겼어요(இ﹏இ`｡) 한 오천엔 쓰면 스텝이 불쌍하다고 주겠지..
4",🍮,,,4,[],https://twitter.com/natsu_plz/status/1432404649156378625
육탄당,@SUGAR__GAGA,2021-08-29T05:51:47.000Z,"육탄당
@SUGAR__GAGA
·
8월 29일","물론 난 된장젤리에 대파젤리 고추도 넣으면서 광란의 대학원 생활을 보내는 엪라도 좋음. 씻었을 뿐이지 꾀죄죄한 모습으로 커피타는 두 쿠키. 에슾은 에스프레소 원액을 들이키고 라떼도 원액 들이킴.

에슾: 누ㄴ, 당신이 왜 그걸?
라떼: 너 하는 거 보고~. 으, 쓰긴 하다.
1
1
10",,1,1,10,[],https://twitter.com/SUGAR__GAGA/status/1431857091510030336
AB 엡,@abbi3759,2021-08-30T09:38:09.000Z,"AB 엡
@abbi3759
·
8월 30일","일본 마늘빵을 마늘빵이라고 해? 완전 신기하다
갈릭빵 이런 것도 아니고 마늘빵(마누루팡)
16
7",,,16,7,[],https://twitter.com/abbi3759/status/1432276446664282112
⁰⁴,@E3EXYUlOdpX2CVy,2021-08-29T16:52:47.000Z,"⁰⁴
@E3EXYUlOdpX2CVy
·
8월 30일","태굥이는 진짜 시누 놀리는 맛에 살듯
n년 연애하고 동거까지 해도 시누 놀리는 거 안 질릴 것 같고 시누도 여전히 놀리는 맛 있을 것 같애
진짜이커플에바다.. 난 걍 그집벽지가되고싶어
2
5",,,2,5,[],https://twitter.com/E3EXYUlOdpX2CVy/status/1432023436847583233
E. Guido Mista,@Gu1d0m13ta,2021-08-30T18:02:01.000Z,"E. Guido Mista
@Gu1d0m13ta
·
8월 31일","3초 지났다. (엄지 아래로 내림 ) You lost. 교육 잘 받으신 의사양반이 끝말잇기 하나를 못하네. 허이구야... 됐다! 난 억울해서 끝말잇기 잘하는 주인놈이나 찾아야 겠다. 내 미래의 주인놈은 공부도 잘하고 끝말잇기도 잘하고 누구랑은 다르게 인성도 좋겠지. 누! 구랑은 다르게 말이야.
2
2",👎,,2,2,[],https://twitter.com/Gu1d0m13ta/status/1432403247403343878
말랑말랑♬,@__Here_now,2021-08-29T18:13:25.000Z,"말랑말랑♬
@__Here_now
·
8월 30일","한 번도 누굴 먼저 좋아해본 적이나 짝사랑 해 본 적없는데
첫 눈에 반해본 적있고, 상대도 그래서 첫 날 키스하고 2번째 만나자마자 사겼던 적이 있다.
평생 다신 없겠지. 그렇게 서로 퍼즐맞듯 딱 눈이 맞아버리는 일은.
2
5",,2,,5,[],https://twitter.com/__Here_now/status/1432043727535542274
Merlarva,@Merlarva,2021-08-30T03:01:22.000Z,"Merlarva
@Merlarva
·
8월 30일","야마돌 때마다 헨신을 외치니 병신도 하고 기분도 누그러져서 좋네요
1",,,,1,[],https://twitter.com/Merlarva/status/1432176591363194889
피석,@hangul____,2021-08-29T15:33:09.000Z,"피석
@hangul____
·
8월 30일","댓겜. 이 썅놈들이 보상 끝까지 안줄게 보여서 더 열받아... 얘넨 왜 체제도 갖추지 않고 판을 벌여서 이 꼴을 만들어 안드서버를 갖출거면 제대로 된 틀을 만들던가 만약 그게 실패하면 후 처리라도 깔끔하게 해야지 씨발 뭔 보상도 누군 주고 누군 안주고 존나 장난하냐고
15",,,,15,[],https://twitter.com/hangul____/status/1432003394546192384
소누깡₊୭*ˈ,@tnpt1130,2021-08-30T04:38:38.000Z,"소누깡₊୭*ˈ
@tnpt1130
·
8월 30일","아니 땀 닦는 소누 보니까 생각난건데 대구도 더웠지만 극장 내부도 진짜 찜질방… 아니 다른 극장에 비해 너무너무너무 말도 안되게 더웠다ㅠㅠㅠㅠㅠㅠ 등에 육수가 그냥.. 냉면 끓여 먹을뻔… 소누도 아마 엄청 더웠을듯.. 거기다 긴바지였으니 ㄷㄷㄷ
1
13",,1,,13,[],https://twitter.com/tnpt1130/status/1432201068436283394
뮤즈,@helios_muze_,2021-08-30T07:04:33.000Z,"뮤즈
@helios_muze_
·
8월 30일","일 안하는 메이드 누이도 있어요
5
11",,,5,11,['https://pbs.twimg.com/media/E-BUrbhVcAEk8Rt?format=jpg&name=small'],https://twitter.com/helios_muze_/status/1432237790926819338
하마,@DTrbss,2021-08-30T12:03:02.000Z,"하마
@DTrbss
·
8월 30일","월급도 누군 적게 받고
누군 더 적게 받길
하마
@DTrbss
 · 8월 30일
헤어 좀 제발 제대로 했음 좋겠다 
머리길이가 누군 짧고 누군 길고",,,,,['https://pbs.twimg.com/profile_images/1432021006017650690/D7hm8OhR_mini.jpg'],https://twitter.com/DTrbss/status/1432312904884232203
(한동안구독계)신야근플레이어,@sinyagen0824,2021-08-30T06:53:55.000Z,"(한동안구독계)신야근플레이어
@sinyagen0824
·
8월 30일","탐라에 돌아다니던 조직물 잡아먹기
사자4명이랑 여령이까지 총 5명인 소수인원이고 조직보다는 비밀리에 감춰진 크루같은 느낌 
보통은 의뢰를 받아서 뭔갈 훔쳐올 때도, 누군갈 납치하기도 하지만 무작정 죽이지도 훔치지도 않고 나름의 엄격한 선이 있는(그렇다고 여령은 생각하는) 팀
1
7",,1,,7,[],https://twitter.com/sinyagen0824/status/1432235113673232388
얀,@Jan___01,2021-08-29T16:09:31.000Z,"얀
@Jan___01
·
8월 30일","나도 이래봬도 누울자리를 보고 다리를 뻗는다고.. 그래서 호루스 보고 울라하진 않잔아(당당) 왜냐면 호루스는 딱히 세트에게 잘못할 것 같지 않으므로.. 먼가 울 것 같은 짓을 하는 애들이 있어..츄릅
2",🤤,,,2,[],https://twitter.com/Jan___01/status/1432012548958679046
