UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
''사람 '' 메인트 이벤트,@sarom24,2021-08-03T09:58:33.000Z,"''사람 '' 메인트 이벤트
@sarom24
·
Aug 3","제 스타듀밸리 집이에요 멋있죠?
이번에 아기방이였던 곳 다시 꾸몄어요 펄풱하죠?
이런 자연풍 너무 좋아...작은 카페같은 느낌 너무 좋아
3
30",🍿 🥝 🚀,,3,30,['https://pbs.twimg.com/media/E725k5_UcAQuAk4?format=png&name=small'],https://twitter.com/sarom24/status/1422497107420737536
𝙨𝙞,@onnnonnnnonnn,2021-08-03T13:36:07.000Z,"𝙨𝙞
@onnnonnnnonnn
·
Aug 3","여러분들 카페같은곳에서
 이거 팔면 꼭 사드셔라
완전 짭짤달달 치즈맛에 겁나게 바삭해서 씹는맛도 있고 걍 존맛임 ㅠ 
난 점장님한테 대신주문해달라하게 집에 쟁여놓을라고
2
5",,,2,5,['https://pbs.twimg.com/media/E73rXk6XoAgESzd?format=jpg&name=medium'],https://twitter.com/onnnonnnnonnn/status/1422551858661396486
범용,@_versatile2,2021-08-11T05:38:22.000Z,"범용
@_versatile2
·
Aug 10","남들이 보면 반대인 것 같은데 회식자리 좋아하고 활동적인 거 좋아하는 E공 유팀장님이랑 회식도 밥먹고 카페에서 커피 한잔씩 사서 집 가는 게 좋은 임팀장 I수의 리맨물 켠꿍이 보고싶다.
1
60
260",,1,60,260,"['https://pbs.twimg.com/media/E8fKAOjVEAI9ftr?format=jpg&name=small', 'https://pbs.twimg.com/media/E8fKAOhUUAM2JHr?format=jpg&name=360x360']",https://twitter.com/_versatile2/status/1425330732893753348
김영구는 멜로디,@0909_0321,2021-08-03T11:10:16.000Z,"김영구는 멜로디
@0909_0321
·
Aug 3","#여기_도토리_성수 감자탕인데 처음 본 사람들과 맨손으로 뜯고 먹으면 낯가림 하나없이 친해질 수 있는 곳이에유 이름이 소문이 난 어쩌구 감자탕집인데 맛있어욧 볶음밥운 김치를 넣으면 존맛탱일 것 같은, 카페는 큐베이커라고 ^_^ 저 초록색 쿠키 초코쿠키 맛있고 크로와상 JMT 음료는 예,
9
27",💍 🤟 💙,,9,27,"['https://pbs.twimg.com/media/E73J_IDVoAUlfur?format=jpg&name=small', 'https://pbs.twimg.com/media/E73J_IEUYAMh-Ap?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E73J_IJVUAQuVk0?format=jpg&name=360x360']",https://twitter.com/0909_0321/status/1422515152558063617
롬둥,@romdoong2,2021-08-24T06:34:25.000Z,"롬둥
@romdoong2
·
Aug 23","#여기먹어볼새롬
#꿀깅아_여기_꿀발랐다

안국 <올모스트홈 아트선재센터점>

대나무가 울창한 숲 속에 들어온 듯한 느낌이 드는 너무 예쁜 한옥 카페
쑥차라떼가 이 집 시그니처라 그런지 너무 맛있었고 자두에이드도 넘 시원하고 맛있었어요 디저트에는 양갱같은 전통 간식도 있으니 같이 먹어보길!
4
8",,,4,8,"['https://pbs.twimg.com/media/E9iUOVcVEAExEbK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9iUOVfUYAgOU1m?format=jpg&name=360x360']",https://twitter.com/romdoong2/status/1430055881274576896
서빵,@SU_seobbang,2021-08-05T04:31:22.000Z,"서빵
@SU_seobbang
·
Aug 4","사샤 뭔가 사격도 잘할 거 같지 않나요?
앤이랑 말말이랑 사격카페 같은데에 가서 1등할거 같은데 생각해보니 미국에는 집에 총이 있네
2",,,,2,[],https://twitter.com/SU_seobbang/status/1423139544073871363
눈뽁딴,@YHQoqgoGh3kWDzc,2021-08-08T02:44:06.000Z,"눈뽁딴
@YHQoqgoGh3kWDzc
·
Aug 7","정재헌, 카페사장같은거 하면 좋겠어. 동네에 찌끄만 개인 카페. 테이블 꼴랑 2개.  실은 어디 재벌집, 숨겨진 자식인데 이래저래 사고를 많이 치고 다니는 탓에 얼마치 돈과 함께 집에서 손절당한거지. 사실 애초에 쓸모도 없는 자식이니 이쪽이나 저쪽이나 아쉬운건 없었슴.
1
16
21",,1,16,21,[],https://twitter.com/YHQoqgoGh3kWDzc/status/1424199712932974596
그대,@3E0lll___,2021-08-06T06:29:43.000Z,"그대
@3E0lll___
·
Aug 5","ㅁㅇㅎ 치약짜개 하니가 생각나는데 플라스팅 뚜껑 녹여서 만드는 어쩌고... 그런거 였으면 좋겠다는 생각이!
집 근처에 1.5°c...? 카페? 가 있는데 리폼제품이나 패트병 뚜껑 녹여서 만든 키링같은거 있고 커피컵은 이렇게 생겨서 더 신기한22
원래는 빨대없이 양 옆 구멍으로 마시는거래요!
1
2",,1,,2,['https://pbs.twimg.com/media/E8FmjLYVIAMHTQ9?format=jpg&name=small'],https://twitter.com/3E0lll___/status/1423531715226521606
야마 줫댐,@nyangman,2021-08-19T08:17:36.000Z,"야마 줫댐
@nyangman
·
Aug 19","외출 댕겨오면 힘든건 똑같긴한데,, 원래 카페같은 곳에서 앉아잇다 나오면 허리 좃나 아파서 절뚝거리며 집오는데 요즘엔 완존 멀쩡함
1",,,,1,[],https://twitter.com/nyangman/status/1428269907620208645
꒪⌓꒪,@SJ__819,2021-08-21T12:00:45.000Z,"꒪⌓꒪
@SJ__819
·
Aug 21","정말. 내집같은ㅎㅎ 카페씨스트
4일동안 방문해주신 분들 감사합니다!
아 그리고 폴라 감사링ㅋ
#파란하늘_흩날리던_예자매의_날
#Fallin_my_summer_YESIS
1
4",🥰 😁,,1,4,"['https://pbs.twimg.com/media/E9UB9nmVcAA5eYG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9UB9nlVkAEx6f4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9UB9njVkAQRsCh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9UCAI3VIAQpflv?format=jpg&name=360x360']",https://twitter.com/SJ__819/status/1429050842187927554
