UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
sojjuny88,@sojjuny88,2021-08-24T09:45:22.000Z,"sojjuny88
@sojjuny88
·
Aug 24","박서준 X 참다한 TVC
https://sojjuny88.tistory.com/130
확신의 신뢰상 ㅋㅋ
GIF
1
11
52",,1,11,52,[],https://twitter.com/sojjuny88/status/1430103933179990020
sojjuny88,@sojjuny88,2021-08-24T05:27:37.000Z,"sojjuny88
@sojjuny88
·
Aug 23","박서준 X 참다한 TV30초
홍삼 광고라 그런가 다큐보는줄 겁나 차분하네ㅋㅋㅋ
암튼  온에어 광고 추가ㅋㅋ 티비 자주봐야겠어
13
73",,,13,73,['https://pbs.twimg.com/ext_tw_video_thumb/1430038795278196743/pu/img/P0jhs8OhAkLvRsky.jpg'],https://twitter.com/sojjuny88/status/1430039067018682369
이애리,@38_0GCuU5xGBjZ6,2021-08-11T21:17:23.000Z,"이애리
@38_0GCuU5xGBjZ6
·
Aug 11","참다한 홍삼정 스페셜, 240g, 1개 https://link.coupang.com/re/AFFSDP?lptag=AF1369433&subid=easytweet&pageKey=4705095766&itemId=5931025561&vendorItemId=73229026526&traceid=V0-153-b848d48d8e081040… <파트너스 활동을 통해 수수료를 제공받을 수 있음>",,,,,['https://pbs.twimg.com/media/E8ihq_3VoAEnuQe?format=jpg&name=small'],https://twitter.com/38_0GCuU5xGBjZ6/status/1425567043101724675
˗ˋˏ 츠 ˎˊ˗,@pitchyourhead,2021-08-02T05:17:04.000Z,"˗ˋˏ 츠 ˎˊ˗
@pitchyourhead
·
Aug 1","순페 목소리 말랑해진 거 너무 웃김 어제는 쇳소리 섞인 목소리로 참다참다 한을 토하던데 오늘은 피크닉 온 사람마냥 농담하고 웃고 진심으로 정우영 놀리고 있음
80
7",,,80,7,[],https://twitter.com/pitchyourhead/status/1422063878985318400
Parkseojoon_Thailand,@Parkseojoon_Th,2021-08-24T05:37:01.000Z,"Parkseojoon_Thailand
@Parkseojoon_Th
·
Aug 23","홍삼은 먹는 것보다 흡수가 중요! 참다한홍삼 TVC (30s)

Chamdahan x PSJ 

#พัคซอจุน #ParkSeoJoon #ParkSeoJun #박서준 #パクソジュン #JEOMJUThailand #CFซอจุน
1
7
31",🤎,1,7,31,['https://pbs.twimg.com/ext_tw_video_thumb/1430041379749593089/pu/img/MvCyYgz5JZhjyrxb.jpg'],https://twitter.com/Parkseojoon_Th/status/1430041432463605764
ちぇりー,@chierixxx,2021-08-09T15:39:39.000Z,"ちぇりー
@chierixxx
·
Aug 9","きれいな指
https://shoppinglive.naver.com/livebridge/215948…
(cr: 참다한 홍삼)
5",,,,5,"['https://pbs.twimg.com/media/E8XBL1oUYAg11uz?format=jpg&name=small', 'https://pbs.twimg.com/media/E8XBMD3VgAc9eDn?format=jpg&name=360x360']",https://twitter.com/chierixxx/status/1424757272559771652
よっち ❥❥ PSJ 10th점주드림,@aqutan1216,2021-08-24T06:07:09.000Z,"よっち ❥❥ PSJ 10th점주드림
@aqutan1216
·
Aug 23","またまたCM来た
ブラックスーツ最高

紅参は食べることよりも吸収が重要！ 耐えハンホンサムTVC（30s）
https://youtu.be/jGLv9M6xHLY

#パクソジュン #parkseojun
#참다한 #박서준
16",✨ 💟 😍 💜 🔗,,,16,['https://pbs.twimg.com/ext_tw_video_thumb/1430048914447556615/pu/img/OxUDmIXLC4R5tpDP.jpg'],https://twitter.com/aqutan1216/status/1430049017656791048
Calico Jack,@Drunken_Jack_,2021-08-22T12:28:00.000Z,"Calico Jack
@Drunken_Jack_
·
Aug 22",나도 참다 참다 한 번 쥐어박는 게 다인데. 쯧.,,,,,[],https://twitter.com/Drunken_Jack_/status/1429420085970624514
빛바랜 감정,@In_my_mind_0,2021-08-17T19:00:14.000Z,"빛바랜 감정
@In_my_mind_0
·
Aug 17","내가 갑자기 화를 내는게 아니야.
참다 참다 한 마디 꺼낸거지
갑자기 그러는게 아니라고",,,,,[],https://twitter.com/In_my_mind_0/status/1427706854751182850
bets,@phabetdahouse,2021-08-24T05:26:35.000Z,"bets
@phabetdahouse
·
Aug 23","홍삼은 먹는 것보다 흡수가 중요! 참다한홍삼 TVC (30s) https://youtu.be/jGLv9M6xHLY ผ่าน 
@YouTube
 ล่าสุดขายโสมนะ
홍삼은 먹는 것보다 흡수가 중요! 참다한홍삼 TVC (30s)
#박서준 #참다한홍삼 #컴파운드K #컴파운드케이 #프레스티지다시 만난 참다한 X 박서준""홍삼은 먹는 것보다 흡수가 중요합니다""
youtube.com",,,,,[],https://twitter.com/phabetdahouse/status/1430038809127710724
parkgarfield,@9arfieId,2021-08-24T05:24:04.000Z,"parkgarfield
@9arfieId
·
Aug 23","홍삼은 먹는 것보다 흡수가 중요! 참다한홍삼 TVC (30s) https://youtu.be/jGLv9M6xHLY ผ่าน 
@YouTube
홍삼은 먹는 것보다 흡수가 중요! 참다한홍삼 TVC (30s)
#박서준 #참다한홍삼 #컴파운드K #컴파운드케이 #프레스티지다시 만난 참다한 X 박서준""홍삼은 먹는 것보다 흡수가 중요합니다""
youtube.com
1",,,,1,[],https://twitter.com/9arfieId/status/1430038175871762440
