UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
BL Korea,@BoysLove_Korea,2021-08-30T04:56:48.000Z,"BL Korea
@BoysLove_Korea
·
Aug 29","마이 스윗 디어 #MySweetDear 
- 10월 공개 예정

- 레스토랑 '로라 다이닝'의 신성한 주방을 침범한 천재 셰프 정우가 빈틈없는 완벽한 스타 셰프 도건을 무장해제 시키며 벌어지는 청춘 로맨스

- 연출 : 소준문
- 제작 : 스튜디오 윈썸, 콘텐츠몬스터
https://entertain.naver.com/read?oid=609&aid=0000484386…
1
305
515",,1,305,515,['https://pbs.twimg.com/media/E-A3MgLVQAIsovT?format=jpg&name=small'],https://twitter.com/BoysLove_Korea/status/1432205641158774787
수밖,@SU12345789,2021-08-29T17:40:07.000Z,"수밖
@SU12345789
·
Aug 29","여름청춘..낙서했던것들
267
1K",🍉 🍉,,267,1K,"['https://pbs.twimg.com/media/E9-cidLVcAU2TfN?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9-cjWXVQAE563h?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9-ci4hVIAImM4x?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9-cjsRVIAAn1iS?format=jpg&name=360x360']",https://twitter.com/SU12345789/status/1432035345911083011
2월의 해바라기는 파란을 이룬다,@H_Hschool,2021-08-29T14:41:38.000Z,"2월의 해바라기는 파란을 이룬다
@H_Hschool
·
Aug 29","영원히 이어지는 낮, 혹자는 이것이 지구 종말의 전조라고 이야기합니다.

약칭 영원종말 | TWT | 05 이상, 07 0.5차 | 글 그림 복합 | 일상, 스토리 | 간단신청서 | 한국 여름청춘 | 방송통신위원회 기준표 1111
1
110
21",🌻,1,110,21,['https://pbs.twimg.com/media/E99ztaMVkAEOTwt?format=jpg&name=small'],https://twitter.com/H_Hschool/status/1431990432787927042
홍,@Hong_ho_S2,2021-08-30T12:49:35.000Z,"홍
@Hong_ho_S2
·
Aug 30","집이없어 냅다 여름 청춘물로 만들어버리기….114화 보고 만들엇서요 그냥 눈만 깜빡임
4
283
521",,4,283,521,['https://pbs.twimg.com/ext_tw_video_thumb/1432324590412304388/pu/img/YMPwHVGfl1K4BZbY.jpg'],https://twitter.com/Hong_ho_S2/status/1432324621936644105
LISA BRASIL,@lalisabrasil,2021-08-30T21:30:00.000Z,"LISA BRASIL
@lalisabrasil
·
Aug 30"," | BRAND REPUTATION 

 Uma frase por tweet.
 Meta: 327 respostas

Frases:
블랙핑크 리사 메인댄서
블랙핑크 리사 블랙핑크
블랙핑크 리사 리리필름
블랙핑크 리사 춤
블랙핑크 리사 맥
블랙핑크 리사 셀린
블랙핑크 리사 프라다
블랙핑크 리사 청춘유니
+
블랙핑크 리사 #리사 #LISA
GIF
557
42
104",📊 📌 🎯,557,42,104,['https://pbs.twimg.com/tweet_video_thumb/E-ELsn9XIAI3xUR.jpg'],https://twitter.com/lalisabrasil/status/1432455587896438787
일상,@214_Daily,2021-08-30T09:40:59.000Z,"일상
@214_Daily
·
Aug 30","오늘도 정재현 구름 사랑 풍경 사랑 뽀이,,,
청춘미 소년미 작렬이야,,
4
30",,,4,30,"['https://pbs.twimg.com/media/E-B4eUFVIAUPaqD?format=jpg&name=small', 'https://pbs.twimg.com/media/E-B4esmVcAUyJkB?format=jpg&name=small']",https://twitter.com/214_Daily/status/1432277156122357760
낡고지친 빠빼…,@Tarp_HoneyS2,2021-08-30T09:16:20.000Z,"낡고지친 빠빼…
@Tarp_HoneyS2
·
Aug 30","이런 도전적인 색감? 많이 그리고십다 여름청춘이라던지 노을이라던지 숲이라던지 바다라던지 아무튼 그냥 다 그리고시픔
1
7",,,1,7,"['https://pbs.twimg.com/media/E-By1qkUUAMo3Qr?format=jpg&name=small', 'https://pbs.twimg.com/media/E-By1qlVgAET0qS?format=jpg&name=360x360']",https://twitter.com/Tarp_HoneyS2/status/1432270952629374977
피바라기,@pichilguap,2021-08-30T08:02:29.000Z,"피바라기
@pichilguap
·
Aug 30","한 때 가방에 이 트럼프 카드를 항상 소지하고 다니며 친구들과 카페에 착석한 뒤 씨익 웃으며 꺼내보이곤 했었져. 원카드? 훌라? 블랙잭! 이런 저런 걸하믄서 뉴뮤 재밌을 땐 24시 카페에서 철야카더의식했구요. 마치곤 따릉이 타고 집 가구 그랬었져.

아~ 즐거워야 청춘이져. 아픈 건 청춘이 아녀.
1
15",,1,,15,['https://pbs.twimg.com/media/E-Bh7tWVgAIIv0D?format=jpg&name=900x900'],https://twitter.com/pichilguap/status/1432252368935014404
지하토끼,@under_gr_rabbit,2021-08-30T14:11:07.000Z,"지하토끼
@under_gr_rabbit
·
Aug 30","#地縛少年花子くん
#지박소년_하나코군
저번 색지 너무 이뻤다 진짜 완전 일본 청춘 하이틴 그자체..
4
23",🐰,,4,23,['https://pbs.twimg.com/media/E-C2IGLVkAUwPPV?format=jpg&name=small'],https://twitter.com/under_gr_rabbit/status/1432345138550870017
이비,@numberV9,2021-08-30T13:24:42.000Z,"이비
@numberV9
·
Aug 30","청춘 라이온즈 보고 싶다.....
1
1
15",😖,1,1,15,['https://pbs.twimg.com/ext_tw_video_thumb/1432333366271963140/pu/img/0ioZUaWeJpjZaATA.jpg'],https://twitter.com/numberV9/status/1432333456076247051
짱미,@jjung9876,2021-08-29T17:19:19.000Z,"짱미
@jjung9876
·
Aug 29","위태롭게 난간에 기대서서 우리 도망갈까 라고 여상스럽게 말하는 도앵. (존나 섹시) 그러면 바닥에 걸터앉은 툥 한치의 고민도 없이 그래 도망가자. 라고 말해주는 위태롭고 방황하는 청춘들의 홍콩로맨스 용영 생각만해도 맛있다
The following media includes potentially sensitive content. Change settings
View
2
12",,,2,12,[],https://twitter.com/jjung9876/status/1432030114464681984
지구에 진심인 달님,@errday_oneus,2021-08-30T09:15:45.000Z,"지구에 진심인 달님
@errday_oneus
·
Aug 30","죽은 시인의 사회+교복+바다+청량

드디어 투문들에게도 청량청춘물이 왔다
0:13
808 views
16
28",,,16,28,[],https://twitter.com/errday_oneus/status/1432270808424927235
채널W,@chw_tv,2021-08-30T02:16:05.000Z,"채널W
@chw_tv
·
Aug 29","야간에 근무하는 응급의에 대한 엇갈리는 가치관
이를 바꾸기 위해 필요한 일은...

하루, 다나카 케이, 키시 유타, 키타무라 타쿠미, 오카자키 사에가 만들어가는 청춘 의학 드라마 <나이트 닥터>

8/31 (화) 밤 10시 제7화 방송 #채널W

 https://chw.co.kr/#/menu/drama.program.249…
1
30
47",▶,1,30,47,['https://pbs.twimg.com/ext_tw_video_thumb/1432164930296287232/pu/img/qskl8ccIPnl8ORQy.jpg'],https://twitter.com/chw_tv/status/1432165193140695041
버들,@beodeul_____,2021-08-30T12:43:26.000Z,"버들
@beodeul_____
·
Aug 30","스가는 무슨 더빙판 목소리도
청춘로맨스 남주 재질이야....
님 장르 잘못 찾아오신 것 같애요.....
The following media includes potentially sensitive content. Change settings
View
53
93",,,53,93,[],https://twitter.com/beodeul_____/status/1432323072103632896
꾸ྉ꾸행 나는나당원,@bts_jkmy,2021-08-30T00:46:33.000Z,"꾸ྉ꾸행 나는나당원
@bts_jkmy
·
Aug 29","후기 쓴 줄 알았더니 ㅠㅠ  빼먹

#젬스톤 
#안녕_내_청춘_정국아 
#찬란한_정국이의_25번째_생일을축하해
1
1
13",🧈 🤠 🐰,1,1,13,"['https://pbs.twimg.com/media/E9_-IqNUcAIjbGG?format=jpg&name=small', 'https://pbs.twimg.com/media/E9_-J5LVUAEpMV_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9_-JaUVQAURYi1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9_-KWfUcAY929Y?format=jpg&name=small']",https://twitter.com/bts_jkmy/status/1432142663164121089
OurR (아월),@OurR_Official,2021-08-30T03:30:00.000Z,"OurR (아월)
@OurR_Official
·
Aug 29","2021. 08. 29. SUN
청춘마이크 at 속초 조선제철소


#OurR #아월 #
#청춘마이크
1
5
15",® 🌊 🌊 🌊 💙,1,5,15,['https://pbs.twimg.com/media/E-Abu_JUUAIp9kG?format=jpg&name=small'],https://twitter.com/OurR_Official/status/1432183795508260865
