UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
쮸링,@sorisur_73,2021-08-11T13:32:29.000Z,"쮸링
@sorisur_73
·
8월 11일","정략결혼한 남편..
무심한듯 다정한 게 포인트이실듯..
처음엔 서로 감정없어서 
대화도 잘 안하고 각방까지 쓰는데..
악몽꾼날 무서워서 베개쥐고 
이 남자 방까지 가면.. 
눈 반쯤 뜬 얼굴로 
한숨 작게 쉬면서 팔벌려줌..
35
96
365",,35,96,365,"['https://pbs.twimg.com/media/E8g3PoMUYAM-ggs?format=jpg&name=small', 'https://pbs.twimg.com/media/E8g3PoLVoAIzZxa?format=jpg&name=small']",https://twitter.com/sorisur_73/status/1425450045172633601
이백이십볼트♡.,@220v_60Hz,2021-08-16T00:15:10.000Z,"이백이십볼트♡.
@220v_60Hz
·
8월 16일","형, 아무리 그래도 어떻게 각방 쓰자는 말이 나와?
1
7
63",,1,7,63,['https://pbs.twimg.com/media/E83wuEfVEAI1bY2?format=jpg&name=medium'],https://twitter.com/220v_60Hz/status/1427061333418147843
미음,@yourmgrl,2021-08-11T13:40:03.000Z,"미음
@yourmgrl
·
8월 11일","아부아
영두 킇ㅎ흥.. 핼로카보
                                      연두야 아빠도 각방이래..
각빠가 모야
                                      그런 게 있어..
                                      애기는 몰라도 돼..
아바도 한 잔 해..
                                       그래..
1
24
213",,1,24,213,"['https://pbs.twimg.com/media/E8g49jzVcAwUIB1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8g49jzVIAQ2PNd?format=jpg&name=360x360']",https://twitter.com/yourmgrl/status/1425451949378334725
콩잼,@to_lavaa,2021-08-10T13:51:23.000Z,"콩잼
@to_lavaa
·
8월 10일","랩진 겨론식

         검은머리가 파뿌리가댈때까지 둘이
        싸워도 각방은 쓰지말고 서로 이해햐주묜서
          백년해로 오키바리?? 

         넹!!                                                      넹!!
1
7
58",,1,7,58,['https://pbs.twimg.com/media/E8bx_6pWEAkSzMM?format=jpg&name=small'],https://twitter.com/to_lavaa/status/1425092416529338368
주유신,@Juyousin12,2021-08-09T17:57:44.000Z,"주유신
@Juyousin12
·
8월 10일","준저 육아물...
우는 아기 달래겠다고 온갖 손짓 발짓 다해가며 난리 부르스인 한... 뽀뽀 쪽쪽 해주고 웃긴 표정 지어주고 아기 달래느라 정신 없는데 옆에서 준준 그거 보고 웃겨서 크하핰ㅋㅋㅋㅋ형 얼굴이 그게 뭐얔ㅋㅋㅋㅋ 눈치 없이 말했다가 각방 일주일 처분 받으셨답니다
GIF
3
23",,,3,23,['https://pbs.twimg.com/tweet_video_thumb/E8XgkVpVkAIqo_x.jpg'],https://twitter.com/Juyousin12/status/1424792022087397376
플레어,@flarelovin,2021-08-11T14:31:27.000Z,"플레어
@flarelovin
·
8월 11일","부부 정쿱 빡빡싸우고 각방 쓴 다음날 먼저 퇴근한 최가 비번 바꿔놓음
늦은 윤이 노크하고 전화 두어 번 걸길래 꼴좋다^^ 하고 씹은 최...
근데 한참 동안 밖이 잠잠하다..?
뭐야? 어디 갔나? 하고 문 슬쩍 열어봤더니...
가방 던져놓고 이러고 있음
(윤: 방석이라도 좀 줘봐)
13
43",,,13,43,['https://pbs.twimg.com/media/E8hEwucVIAUnBNs?format=jpg&name=small'],https://twitter.com/flarelovin/status/1425464888164376580
롱군,@qwqwqw1203,2021-08-18T10:20:33.000Z,"롱군
@qwqwqw1203
·
8월 18일","오늘 미공이는 놀러나가고..나혼자 애들이랑 밥먹어야지..ㅠㅠ
#부부만남 #커플만남 #초보만남 #루나틱 #스왑 #각방 #한방 #레즈 #초대남 #무즐라 #DM환영
20
380",,20,,380,['https://pbs.twimg.com/media/E9EOdnnVoAcbOEq?format=jpg&name=small'],https://twitter.com/qwqwqw1203/status/1427938460908670982
트리동생 맹덕,@mangduck_boo,2021-08-18T12:54:35.000Z,"트리동생 맹덕
@mangduck_boo
·
8월 18일","각방은 첨이라.., 벽에 포스터 벅차오르내 ㅠ
4
4",❄,4,,4,['https://pbs.twimg.com/media/E9ExrM4UYAcz_0W?format=jpg&name=small'],https://twitter.com/mangduck_boo/status/1427977225123504129
불갈비,@GardenManyang,2021-08-23T16:24:45.000Z,"불갈비
@GardenManyang
·
8월 24일","""언제까지 각방쓸겁니까?
사람이 왔는데 쳐다도 안보고.
아니 그리고 나만 과거있어?
당신도 박정제랑 그런거...내가
말만 안했지 후...""

                                ""박정제가 우리 엄마냐?""

""권혁은 내 엄맙니까?""

                                            ""......""

"".....이동식씨?""
불갈비
@GardenManyang
 · 7월 14일
""너 권장모랑 얼레리꼴레리였냐?
아니 어떻게...하..""

                                     ""권장모가 누구에요?""

""권혁 장모님!!!""

                                    ""아 누구맘대로 장모래!""

""새끼야 지금 그게 문제가
아니잖아 야!!!""
12
26",,,12,26,"['https://pbs.twimg.com/media/E9fRxGJVkAIeLPo?format=jpg&name=small', 'https://pbs.twimg.com/media/E9fRxNpVgAMv0vG?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1422216553588662274/9yrIIzyS_mini.jpg', 'https://pbs.twimg.com/media/E6Q6ONdVEAAnoa_?format=jpg&name=120x120', 'https://pbs.twimg.com/media/E6Q6Oc5VgAsPUQh?format=jpg&name=120x120']",https://twitter.com/GardenManyang/status/1429842051936362496
.오선영,@VisualrisingSs,2021-08-26T16:08:13.000Z,".오선영
@VisualrisingSs
·
8월 27일","Q. 오늘 하루 종일 아무 것도 안 먹은 것 같은 남편, 어떻게 해야 할까요? 골라 주세요.
1. 때리기. 2. 스킨십 금지. 3. 각방 쓰기.
.한봉구
@Nightmare_HT
 · 8월 27일
@materia1ism_ 님에게 보내는 답글
(고개를 젓고는) 오늘 0끼
5
7",,5,,7,"['https://pbs.twimg.com/media/E9uqwVXUUAMb77J?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1420755512593768449/J8Lg-zn9_mini.jpg']",https://twitter.com/VisualrisingSs/status/1430925057711218691
