UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
밤밤ᴮᵀˢ₇,@Iridescent9595,2021-08-06T13:29:00.000Z,"밤밤ᴮᵀˢ₇
@Iridescent9595
·
8월 6일","[SCAN] BTS MEMORIES OF 2020

#BTS  
@BTS_twt
 

이때 융기가읍지만......까리했던무대
(융기자리 비어두고 한 마지막 엔딩)

+스캔오타이제안........
13
104",🌰 😭 😭 😭,,13,104,"['https://pbs.twimg.com/media/E8HGgwrVgAoPuxW?format=jpg&name=small', 'https://pbs.twimg.com/media/E8HGgwvVIAgvzwu?format=jpg&name=small']",https://twitter.com/Iridescent9595/status/1423637229843345415
(메트확인~) 젠,@Onez_zen,2021-08-22T16:43:06.000Z,"(메트확인~) 젠
@Onez_zen
·
8월 23일","제 시간표가 비어보이는 이유는...
시간 미지정 3학점 짜리 싸강이 존재하기 때문입니다...
그리고 저 월요일 공강 쩔어요
3
1",,3,,1,['https://pbs.twimg.com/media/E9aMYPyVcAASOxH?format=jpg&name=900x900'],https://twitter.com/Onez_zen/status/1429484282804785153
slow꿍미란,@purple_kkungs,2021-08-13T07:28:15.000Z,"slow꿍미란
@purple_kkungs
·
8월 13일","근데 이거 창귡이 뭐 물고 있는거에요..? 이가 빠졌을리는 없고.... 왜 이렇게 비어 보이지???
GIF
1",,1,,,['https://pbs.twimg.com/tweet_video_thumb/E8p3D7RVUAQ3k8u.jpg'],https://twitter.com/purple_kkungs/status/1426083160266186752
김재중의 재리아,@Bornfreeone_126,2021-08-14T10:39:08.000Z,"김재중의 재리아
@Bornfreeone_126
·
8월 14일","오늘 자리가 생각보다 마니 비어 있엇는데 재리아들 진짜 단1명도 자리이탈 안하고 본인자리에서 오빠보는거 보고 내가 너무 감동받음ㅜㅜㅠ
4
4",,,4,4,[],https://twitter.com/Bornfreeone_126/status/1426493586258882560
레빗,@3UNT0_,2021-08-07T18:27:54.000Z,"레빗
@3UNT0_
·
8월 8일",몸 내부가 텅 비어있거나 붉은 솜으로 가득 차있는 미카가 보고 싶다 예전에도 비스무리한 썰을 풀었던 것 같기는 한데..... 아무튼 보고 싶어 넘어져서 다쳤는데 그 부분이 천 뜯어진 것처럼 되어있거나 붉은 솜이 조금 튀어나오는 그런 거.......,,,,,[],https://twitter.com/3UNT0_/status/1424074838428188680
사집중,@lizk5014,2021-08-06T14:22:04.000Z,"사집중
@lizk5014
·
8월 6일","이달말부터 내년상반기까지 도서관 리모델링 한대서 가봤는데
도서관 서가가 텅텅비어있는겨
뭐지
하고보니까
지금 14권까지 빌릴수 있고
내년에 반납해도된대

그래서 나도 열네권가져왔지....",,,,,[],https://twitter.com/lizk5014/status/1423650585887207425
dee,@dee0333,2021-08-01T17:22:34.000Z,"dee
@dee0333
·
8월 2일","무언가 비어있던 한조각이 샵쓰리 보자마자 머리속에서 딱 맞아들어가는 느낌... 이전까진 보이지 않았던 풍경이 확 펼쳐지는... 그래 난 극장판을 못본게 아니라 샵쓰리 보고 극장판을 볼 기회를 얻은거야 시간을 돌려서 다시 둘 중 한 루트를 선택할 수 있다면 나는 극장판소녀가극레뷰스타라이트
5
9",,,5,9,[],https://twitter.com/dee0333/status/1421884071249006594
빠바에내가좋아하던치즈베이글이단종됐더라,@Ajjurago_jinjja,2021-08-14T00:10:49.000Z,"빠바에내가좋아하던치즈베이글이단종됐더라
@Ajjurago_jinjja
·
8월 14일","제어비어 말싸움 지는 이유

말재주가 나쁜가? no
슬픈 과거가 잇는가? no
대화하다가 트라우마스위치가 눌리는가? no
자기불신이 있는가? no
애정결핍이 있는가? no
열등감이 있는가? no
착한아이콤플렉스가 있는가? no
그 외 공격당하면 무너질 포인트가 있는가? no

...오너가 말빨이 딸리는가? yes
5",,,,5,[],https://twitter.com/Ajjurago_jinjja/status/1426335464705781761
로에,@bu1608,2021-08-20T08:34:19.000Z,"로에
@bu1608
·
8월 20일","하루가 어쩌다보니 비어서 남은 일처리를 어느정도 했다! 하루짜리 요양인데도 사업자 하나에 이것저것 많이 딸려와서 일이 많았네,,, 패드 악세사리들이 빨리 왔음 좋겠다",🎗,,,,[],https://twitter.com/bu1608/status/1428636500644663298
보통,@botong_dotori,2021-08-16T10:40:50.000Z,"보통
@botong_dotori
·
8월 16일","하아 4부 프리비어슬리 혼자 하다가 터덜터덜 트위터로 들아오는 인셍
1",,1,,,[],https://twitter.com/botong_dotori/status/1427218790304030729
샵TRPG(BS:더위),@SBR_TRPG,2021-08-21T08:14:14.000Z,"샵TRPG(BS:더위)
@SBR_TRPG
·
8월 21일","비어는디 울집 가족들 다 죽어나가있음
당연함...
비오면 건강 나가리 되는 사람과 백신 맞으신 부모님들임(후유증 오래가심)
1",🎲,,,1,[],https://twitter.com/SBR_TRPG/status/1428993837066686473
gmt,@sym07004500,2021-08-07T06:34:04.000Z,"gmt
@sym07004500
·
8월 7일","[마들에슾] _ 걱정

""당신을 너무 사랑해서 걱정입니다. 이러다 당신이 떠난다면 제 삶이 텅 비어버릴 것 같아서요.""

""내가 자넬 두고 떠날리 없지.""

""당신의 그 친절이 당신을 위험하게 만들것 같아서요.""

""...""
1
4
11",,1,4,11,[],https://twitter.com/sym07004500/status/1423895198812147715
예효휘,@daybreakforluna,2021-08-25T22:39:36.000Z,"예효휘
@daybreakforluna
·
8월 26일","(기억, 찾을 것이나 결국은 새로 쌓아야 한다. 어찌 되었든 감히 자신했다. 네가 나를 정말로, 찾아주었으니까. 어긋난 것 없었다. 마음 쓰리고 아픈 이유는 역시 내가 널 그리워해서, 그보다 네가 날 그리워했을까 봐. 비어버린 시간이, 이토록 아득히 아쉬워서. 그러니 더 이상 아플 이유 없었다.)",,,,,[],https://twitter.com/daybreakforluna/status/1430661165495898116
시미,@simi_9889,2021-08-17T04:50:50.000Z,"시미
@simi_9889
·
8월 17일","무더위 푹푹 찌는 날 나란히 아이스크림 물고 하교하는 청게가 보고 싶네..목적지는 그 날 비어있는 집. 목적은 일단 시험 공부인데 이룰 수 있을 리..오늘은 진짜 딴 짓 금지라고 서로 으름장 놓긴 했는데 그거 지키면 청게 아니지. 공부 시작한지 10분도 안 돼서 상 아래로 맨발 얽는 거 보고 싶다.
1
9",,1,,9,[],https://twitter.com/simi_9889/status/1427493097085100041
Agustina.D,@_M_DaYouN,2021-08-06T13:53:20.000Z,"Agustina.D
@_M_DaYouN
·
8월 6일","최근 며칠 사이에 계속 속이 조금만 비어도 쓰리고 아픈데 이거 그냥... 소화가 빨리 되는 그런 문제가 아닌 것 같고;;; 
약을 줄여서인지 스트레스성인지 모르겠다 최근에 변동사항이 너무 많아서 짚히는 것도 너무 많아...
하여간 내일부터는 배고픈 거로 생각하고 먹어서 해결해선 안 되겠다...ㅠ",,,,,[],https://twitter.com/_M_DaYouN/status/1423643353900404737
부냥,@bnbn_gaming,2021-08-27T09:00:01.000Z,"부냥
@bnbn_gaming
·
8월 27일","배에서 속 비어서 소리나는거 있자나
난 그러고 나서 나한테 시선이 쏠리는게 싫어
관심 주지 마세요...제가 먹고 싶엇으면 먹엇을 것임...안먹고 싶으니까  참고 잇는거임
1",,,,1,[],https://twitter.com/bnbn_gaming/status/1431179685065490435
