UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
자봉 / 워싱턴동포,@jabong101,2021-08-15T02:20:18.000Z,"자봉 / 워싱턴동포
@jabong101
·
Aug 14","검찰난동 주범 윤석열이 국민의 짐당에 들어가서까지  깽판치며 난동에 부리고 있다는 소식을 전합니다. 
대선 출마자들의 자질과 수준을 파악하려면 출마자들끼리 직접토론을 붙여야 하는데, 무식한 윤석열 혼자만이 직접 토론은  무조건  기피한다고 합니다. 

주인을 물던 × 입니다.
조심들 하세요.
22
20",,,22,20,"['https://pbs.twimg.com/media/E8zDw0hWUAEP8Z5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8zDxLrWQAA22Qe?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8zDxGYXsAQRIgn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8zDxbtXMAQy6Mm?format=jpg&name=360x360']",https://twitter.com/jabong101/status/1426730439599865864
왜구당박멸 (세월호참사)잊지않는다,@kmssung5,2021-08-25T23:42:51.000Z,"왜구당박멸 (세월호참사)잊지않는다
@kmssung5
·
Aug 25","[단독]""나는 임차인"" 윤희숙, 가족의 세종시 땅은 '10억 차익' | 다음 뉴스 https://news.v.daum.net/v/20210826060336739?x_trkm=t… 표리부동 의 표본 국짐당 정부여당 글케 물어뜯고 비난 하더니 까고보니 더하네 이래놓고 의원직 사퇴 한다고 연막치며 피해자 코스프레로 눈물연기 까지 정말 가증스런 인간들임
[단독]""나는 임차인"" 윤희숙, 가족의 세종시 땅은 '10억 차익'
윤희숙 의원 부친 세종시 '농지' 8억 구매 뒤 호가 18억까지 뛰어국민의힘 윤희숙 의원 일가에 대해 '내부정보를 이용한 가족 투기' 의혹이 제기된 가운데, 윤 의원 부친의 세종시 땅이 매입 당시 8억원에서 현재 최대 18억원까지 오른 것으로 드러났습니다. 동네 주민들은 하나같이 이 지역 땅값이 계속 오르고 있다고 입을 모읍니다. 부동산중개업자들도 세종시
news.v.daum.net
4
58
57",,4,58,57,[],https://twitter.com/kmssung5/status/1430677082305044481
짱돌(Vinson),@Vinson61397083,2021-08-25T02:59:59.000Z,"짱돌(Vinson)
@Vinson61397083
·
Aug 24","이자식도 토착왜구 적통이네
일구이언을 밥 먹듯이 하네
국짐당 꼰대들이 만만치는 않치
4
6",,,4,6,['https://pbs.twimg.com/media/E9msXDRVEAQkXuT?format=png&name=small'],https://twitter.com/Vinson61397083/status/1430364305283706882
agora.민심은 천심(민주정부4기이낙연정부),@gajuknamu,2021-08-09T09:11:16.000Z,"agora.민심은 천심(민주정부4기이낙연정부)
@gajuknamu
·
Aug 9","이낙연대표님께서  빡치셔서   국회의원 사퇴  하신다고 배수진 치시면  막산놈  도지사 사퇴 안할껴 ㅋ 국개 추년 두관이  용진이 
이것들도 개 뻔뻔  
울 동네 국짐당 지역간부놈  막산놈 본선오면  꽃놀이패라고  ㅋㅋㅋ
 이낙연대표가   깨끗해서  어렵다고
1",,,,1,"['https://pbs.twimg.com/media/E8VoSLqUUAwdRXz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8VoStfUcAc0HHZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8VoSZ7VkAEITZZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8VoS-bVoAIw_Jc?format=jpg&name=360x360']",https://twitter.com/gajuknamu/status/1424659534534963200
까칠한 도담파파,@csswook,2021-08-25T11:19:12.000Z,"까칠한 도담파파
@csswook
·
Aug 25","[취재썰] 의원직 사퇴 강수..'윤희숙다운' 되치기, 신의 한수 되나 https://news.v.daum.net/v/20210825185006161… 국회의원이 아니라 부동산 투기꾼인데 기레기가 이렇게 적폐 국짐당것들을 빨아주고 옹호해주니 언론중재법도 결사 반대하는 것이죠! #국민의힘해체 #부동산투기 #적폐청산
[취재썰] 의원직 사퇴 강수..'윤희숙다운' 되치기, 신의 한수 되나
“염치와 상식의 정치를 주장해온 제가 신의를 지키고, 자식된 도리를 다하는 길이라 생각합니다.” 오늘(25일) 오전 10시 10분 국회 소통관. 국민의힘 윤희숙 의원은 ""대통령 후보 경선을 향한 여정을 멈추겠다. 또한 국회의원 직도 다시 서초갑 지역 구민과 국민들께 돌려드리겠다""며 이렇게 말했습니다. 앞서 국민권익위원회는 윤 의원의 부친이 농지법
news.v.daum.net
2
2",,,2,2,['https://pbs.twimg.com/card_img/1440648331546423298/kRSWxWOd?format=jpg&name=small'],https://twitter.com/csswook/status/1430489935589482497
구행식,@23mesoftly,2021-08-16T16:09:01.000Z,"구행식
@23mesoftly
·
Aug 16","꼭 새벽 되면 썰들 다 개뇌절치고 싶어짐
일단 동사무소 그거는 막 연애한 애들인데 결혼까지 시켜서 hrj이 새댁 소리 듣게 만들고 싶고 어르신들이 장어 구워놓고 부를 때마다 치 떠는 hrj이랑 냉큼 가서 받아먹는 ljn 보고싶음
갑자기 얼토당토않은 드라마st 5년뒤... 이따위 자막 띄운 후에
1
26
278",,1,26,278,[],https://twitter.com/23mesoftly/status/1427301379312218117
유성짬뽕 메인트를 확인해주세용,@a_idea_no,2021-08-14T15:21:25.000Z,"유성짬뽕 메인트를 확인해주세용
@a_idea_no
·
Aug 14","약간 주접을 당차게 떨어보겠다고 계정팠는데.. 아는게 별로 없어서 좀 수줍어짐.. 혼자 서치하면서 피식피식 웃고있..
1",,1,,,[],https://twitter.com/a_idea_no/status/1426564625991016450
번_기레기와 검새!! 개혁해야 나라가 산다!!,@tmdtmdwjr,2021-08-19T03:51:47.000Z,"번_기레기와 검새!! 개혁해야 나라가 산다!!
@tmdtmdwjr
·
Aug 18","국민의짐!! 
가짜뉴스로 이익좀보다가 이제 제재좀 당할라치니까 발광을 하는거냐?
기레기들이 연합해서 띄워주니까 국민이 우습게 보이지 !!

野 ""더블로 꼼수당다운 후안무치…언론장악 폭주 멈추라""
野 ""더블로 꼼수당다운 후안무치…언론장악 폭주 멈추라""
국민의힘은 19일 더불어민주당의 언론중재법 강행 처리 움직임을 ""입법 폭거""로 규정하고 강경 투쟁을 예고했다. 특히 민주당이 협치를 위한 상임위 안건조정위 제도를 악용했다고 강하게 비판했다. 여야 3명 동수로 구성되는 안건조정위에 범여권 인사인 열린민주당 김...
segye.com",,,,,['https://pbs.twimg.com/card_img/1440551218829733888/EVxflcPv?format=jpg&name=240x240'],https://twitter.com/tmdtmdwjr/status/1428203010824425478
뉴시즈 대사 가사 봇,@newsies_lyrics,2021-08-13T01:07:00.000Z,"뉴시즈 대사 가사 봇
@newsies_lyrics
·
Aug 12","버디: 크러치! 어때? 오늘 네 발은 별 말 없냐? 비 온대?
크러치: 음… 비 소식 없음. 구름만 조금. 어! 저녁때쯤 맑아짐!
버디: 이 자식은 이걸로 직업 전환해야 돼.
행크: 야, 지금도 저 다리 하나로 혼자 주당 500부나 팔잖아
크러치: 다리로 파는 거 아니야. 나만의 개성으로 파는 거지.",,,,,[],https://twitter.com/newsies_lyrics/status/1425987214304063488
R2P 만주당 초선들이 바로 국민의주적당의 간자들이다! 배후도밝히자!,,2021-08-26T09:00:48.000Z,"R2P 만주당 초선들이 바로 국민의주적당의 간자들이다! 배후도밝히자!
·
Aug 26",＂인류애 모범＂...한국의 아프간인 이송 작전에 해외 누리꾼들도 찬사(출처 : 한국일보|네이버 뉴스) http://naver.me/xgaJHd28 --인류애의 최정상급..국격이 치솟는.대한민국! 전세계가 부러워하는 대한민국!이런 나라에..대한민국의 주적당!국민의짐당..이것들만 씨를말리면..전세계의 패권국이 된다,,,,,[],https://twitter.com/lucky_kdh/status/1430817495565312000
주의,@5thk1nda,2021-08-29T03:18:33.000Z,"주의
@5thk1nda
·
Aug 28","ㅋㅋㅋㅋㅋㅋㅋ 잡지 질문 뽑은거라는걸 이제알았고 더황당해짐
수백명 멘트 수집해서 짜깁기 끝에 만든 결과물이 고작 저거라고
써치에 걸리는 결혼질문은 하나밖에 없고 뉘앙스도 완전 다른데ㅋㅋㅋㅋㅋ 너무 가공이 많이들어간듯요????? 개황당
1",,1,,,[],https://twitter.com/5thk1nda/status/1431818525711077376
부성_기 민주정부 대통령 이낙연,@kewcheon,2021-08-29T14:19:00.000Z,"부성_기 민주정부 대통령 이낙연
@kewcheon
·
Aug 29","심상정은 지난 선거에서 당이 빚진거 갚기는 하고 대선에 나오는건가? 

내 돈만 아니면 뭐 있나? 그지요? 

레파토리야 국짐당 후보한테 힘내라~  아니면 민주당과 단일화 없다(진짜?) 설레발 치겠지..",⚪ ⚪ ⚪,,,,[],https://twitter.com/kewcheon/status/1431984733148246016
선불폰팅 상황극하기 24시간 지역폰팅 원나잇 지역만남,@hagaxaniku,2021-08-30T08:23:01.000Z,"선불폰팅 상황극하기 24시간 지역폰팅 원나잇 지역만남
@hagaxaniku
·
Aug 30","대형홀 멘토르 쌍용굴 전현주 짐백 할께요 고생대 봉동초 생성된 지엠씨 회전각 흉계 김비서 벨리체 신상현 조은별 큰대야 세슘 게스진 민꽃게 싼치마 정령성 추배도 포켓걸 자연퐁 생합 레고당 김길호 스캐너

 프로필 설명GKEO",🇹,,,,[],https://twitter.com/hagaxaniku/status/1432257535726264329
재조산하!,@bongc12,2021-08-13T05:26:55.000Z,"재조산하!
@bongc12
·
Aug 12","사람으로 태어나
어떻게 한나라 새누리 국짐당같은 것들을 지지할수있나?
이리 떠들었던 것들까지
사람으로 태어나 온갖 막장짓에
대국민사기치는 세금도적짓하는
이재명이를 지지한단다?
죽도록 지지하고 찬양한단다

이 망국의 조력자들이 이재명의 생명수로 유튜브 돈버러지들",,,,,[],https://twitter.com/bongc12/status/1426052626106306566
