UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Galaletsang,@EuSou_Gali,2021-08-27T10:18:50.000Z,"Galaletsang
@EuSou_Gali
·
8월 27일","Him: awuyi lapho

*Me on my way there*
67
741
3.4천",,67,741,3.4천,['https://pbs.twimg.com/media/E9ykXvDX0AM9kEK?format=jpg&name=small'],https://twitter.com/EuSou_Gali/status/1431199517400092675
Vabranium,@iMbalie_,2021-08-29T16:22:21.000Z,"Vabranium
@iMbalie_
·
8월 30일","My nail technician  is struggling to get customers lapho he is really good. plus based in Hatfield n has  reasonable  prices. Look at his work
What I wanted  Vs what I got  #GirlzTalkZa #GirlsTalkZA  #GirlBuyZA
8
18
75",❤ 🥺 🥺,8,18,75,"['https://pbs.twimg.com/media/E9-Kvn9XEAEkm-b?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9-KwjpXIAMJ7fh?format=jpg&name=360x360']",https://twitter.com/iMbalie_/status/1432015776811192320
M E R A K I,@pinx_meraki,2021-08-26T19:37:35.000Z,"M E R A K I
@pinx_meraki
·
8월 27일","The lesson Ronald is teaching me: Don't commit to the Afrikaans part of the national anthem.
Kunzima lapho #90DayFianceHappilyEverAfter
9
11
176",😔,9,11,176,['https://pbs.twimg.com/media/E9varHLXEAIzgnn?format=jpg&name=small'],https://twitter.com/pinx_meraki/status/1430977744851058695
Em,@em_adler,2021-08-30T00:26:34.000Z,"Em
@em_adler
·
8월 30일","101-75 loss is Seattle's 5th-worst loss in history, behind:
- 102-68 v. LA, 9/5/19
- 82-49 v. PHO, 6/7/00
- 79-46 v. SAC, 8/9/00
- 102-69 v. LA, 5/26/13

2000, '13, and '19 were the only seasons in Storm history that none of Lauren Jackson, Sue Bird, or Stewie played
3
9
42",🌹,3,9,42,[],https://twitter.com/em_adler/status/1432137635120566279
D Coldtan,@D_luvs_bts,2021-08-29T17:51:03.000Z,"D Coldtan
@D_luvs_bts
·
8월 30일","<Checking interactions>

Tell me who's ur bias without telling me their names 

Here's mine
Shut up Malfoy
Hey Stob It!
You like this chain? 3 dollars
Important buisineseu
LA CHI MO LA LA 
Niagara Pho Pho
Bonobonoya

OT7",💜 🦋 💫 💫 😉 🥴 💜,,,,[],https://twitter.com/D_luvs_bts/status/1432038100285284355
IG: @therealnamhladuma,IG: @therealnamhladuma,2021-08-28T09:06:09.000Z,"IG: @therealnamhladuma
@BossMatriach
·
8월 28일","One thing about Aunty, she will put these guys to work on Saturday. Lapho suke sengizivelele in my room acting like I'mdead, chuckling... 
9
1
127",🧹 🧺 🧼,9,1,127,['https://pbs.twimg.com/ext_tw_video_thumb/1431543306312470530/pu/img/kKkyF7fWmCtRwg4J.jpg'],https://twitter.com/BossMatriach/status/1431543614010765313
cwty pie,@CwtyP,2021-08-30T22:49:01.000Z,"cwty pie
@CwtyP
·
8월 31일","“Yellow shirt schools...” lapho the only thing you took with from your white shirt wearing high school yi  accent enxilileyo and “My name is Olwethu but you can call me Ollie” ugh.
50
308
1.2천",,50,308,1.2천,[],https://twitter.com/CwtyP/status/1432475473376907265
Tsire,@kingbeams,2021-08-25T21:20:50.000Z,"Tsire
@kingbeams
·
8월 26일","""it looks boring"" lapho umuntu doesn't even have a passport
i.am.Les
@LesDramatic
 · 8월 26일
Maldives ya bora. Khuli and Lamiz already look bored. Now imagine ole daar 7 days. Nka hlokofala 
2
9
50",😂 😂 😂,2,9,50,['https://pbs.twimg.com/profile_images/816352187714596868/CfeinnlI_mini.jpg'],https://twitter.com/kingbeams/status/1430641342451957769
Step-mom,@naSkosana_,2021-08-24T09:08:49.000Z,"Step-mom
@naSkosana_
·
8월 24일","Umuntu athi I lack leadership skills, lapho I have 2563 followers on Twitter and Jesus only had 12.

Yaz niyeyisa maningafuni ukulalela nina
28
26
109",,28,26,109,[],https://twitter.com/naSkosana_/status/1430094734119297024
Sphithiphithi Evaluator,@_AfricanSoil,2021-08-25T18:58:43.000Z,"Sphithiphithi Evaluator
@_AfricanSoil
·
8월 26일","Just finished watching EFF Presser!

Bringing clips in 5 minutes if you couldn't watch, sondelani. Julius Malema kahle hle uyalazi iqiniso, unokuzisanganisa nje

Kodwa ke asikho lapho, it was a good presser nonetheless
45
109
613",🤔,45,109,613,[],https://twitter.com/_AfricanSoil/status/1430605575562448899
Nana Dlamini,@nana_sibalkhulu,2021-08-28T04:49:57.000Z,"Nana Dlamini
@nana_sibalkhulu
·
8월 28일","Dating a skinny guy is stressing, one minute sitting on his lap i be like am i not too heavy for you ? Lapho yena akanandaba.
21
12
91",❤ 😇 😇 😇,21,12,91,[],https://twitter.com/nana_sibalkhulu/status/1431479140704788482
Sbu Mpungose,@SbuMpungose,2021-08-25T18:08:19.000Z,"Sbu Mpungose
@SbuMpungose
·
8월 26일","Guys, my electricity bill is almost R3k! I hate this country! Lapho it’s me, aunty & my son. How! 
46
38
94",🤬,46,38,94,[],https://twitter.com/SbuMpungose/status/1430592895099211778
Gawoz’Omkhulu,@uGawozi,2021-08-25T22:02:34.000Z,"Gawoz’Omkhulu
@uGawozi
·
8월 26일","Patiently waiting for my patents to sleep so I can have my Savanna, Lapho iyashisa because ngiyifihle kwiBag with impahla.
10
7
121",,10,7,121,[],https://twitter.com/uGawozi/status/1430651843231760394
Tall_Nique,@Nique1Tall,2021-08-23T16:46:25.000Z,"Tall_Nique
@Nique1Tall
·
8월 24일","We are indirectly forced to vaccinated, lapho president reassured us ba akhomntu who'll be forced.
16
14
53",🥴,16,14,53,[],https://twitter.com/Nique1Tall/status/1429847504514916361
X O L I,@MfekaXolisile,2021-08-27T10:10:36.000Z,"X O L I
@MfekaXolisile
·
8월 27일","Lapho bengith we going to do a crate challenge at the party NAKED. Andizi ke ngoku 
15
5
99",😭,15,5,99,[],https://twitter.com/MfekaXolisile/status/1431197446550564868
Beyond 90 Minutes,@Beyond90Min,2021-08-24T20:47:16.000Z,"Beyond 90 Minutes
@Beyond90Min
·
8월 25일","The football that coaches talk about is yet to be seen on the field of play but asikho lapho
5
9
26",,5,9,26,[],https://twitter.com/Beyond90Min/status/1430270507291746310
Samke,@NomaguguSamke,2021-08-28T12:58:53.000Z,"Samke
@NomaguguSamke
·
8월 28일","She is trying so hard to mize the situation lapho no one is entertaining her where are 30k followers  never mess with Chris friends uzokunya
24
31
331",❤ 🌼 ☘ 🎋 🤣 😂 😂 😂,24,31,331,[],https://twitter.com/NomaguguSamke/status/1431602186585317379
Mzilikazi,@KhumaloMphe,2021-08-25T13:34:19.000Z,"Mzilikazi
@KhumaloMphe
·
8월 25일","I never understand people like this. Like you don't have to do anything, you just going to get a notification kuphelele lapho
Sam Dhlamini
@SamDhlam
 · 8월 25일
Genuine ask, why do some people hate being tagged on IG competitions so much?
이 스레드 보기
1
7
12",,1,7,12,['https://pbs.twimg.com/profile_images/1422577683813253124/4xKamdJS_mini.jpg'],https://twitter.com/KhumaloMphe/status/1430523938279469060
Bhuda Tingah,@Zingah_LOTJ,2021-08-28T02:03:46.000Z,"Bhuda Tingah
@Zingah_LOTJ
·
8월 28일","There was so much envy around me as Smashis that so many people made it a point to take personally my action. Lapho I was just a kid 
But ke, asikho lapho…
9
6
104",🥴 😅,9,6,104,[],https://twitter.com/Zingah_LOTJ/status/1431437318028726277
IG: @therealnamhladuma,IG: @therealnamhladuma,2021-08-26T09:48:17.000Z,"IG: @therealnamhladuma
@BossMatriach
·
8월 26일","Honestly Durban is becoming a little mafamu nje.. There are no direct flights to George, SAA is coming back without a Durban leg, the 2 Five star hotels akhona are LOL, ama restaurant aLousy.. Haaaibo kanti ithini into lapho 
18
20
62",😜 🥴 🥴 🥴 🥴 🥴,18,20,62,[],https://twitter.com/BossMatriach/status/1430829442331398145
Gift Mayeza,@ingamayeza,2021-08-29T08:11:56.000Z,"Gift Mayeza
@ingamayeza
·
8월 29일","Khuphuka lapho Meddison thank you mfoka Zulu for giving this guy a feature we are looking forward ukuzwa ushuni wenu
Big Zulu
@BigZulu_ZN
 · 8월 29일
Ay sengangawe mfoka Mkhulu ifikile incwadi ngiyazizwa ikhalo asingene estudio uyitholile feature kim twitter.com/ChrisExcel102/…
8
79",🙌 🙌 🎤,,8,79,['https://pbs.twimg.com/profile_images/1433565777257549824/sLId6ALF_mini.jpg'],https://twitter.com/ingamayeza/status/1431892360682672135
PO! Sessions ®,@DeepMarvin,2021-08-28T13:06:10.000Z,"PO! Sessions ®
@DeepMarvin
·
8월 28일","There's nothing as sexy as a lady dancing to deep house music wearing heels. 

Khohlwa. Infact suka lapho
6
14
85",,6,14,85,[],https://twitter.com/DeepMarvin/status/1431604018070147076
we'MaRadebe,@Amand_Radebe,2021-08-26T17:40:26.000Z,"we'MaRadebe
@Amand_Radebe
·
8월 27일","Thread

Dated this worshiper gent at school Grade 10, girls loved him. He had  girlfriends in all grades, ingasi dribblishi inceku. Mind you we were in the same class, enenye intombi futhi lapho 
Malusi February
@malusi_February
 · 8월 26일
What was your high school huge scandal?
4
6
17",✨ 😭 😭,4,6,17,['https://pbs.twimg.com/profile_images/1411811329514553344/JWfGJuLj_mini.jpg'],https://twitter.com/Amand_Radebe/status/1430948261892968455
long vân khánh thành,@vandamsaotroi,2021-08-25T09:53:54.000Z,"long vân khánh thành
@vandamsaotroi
·
8월 25일","[THREAD] Để kể cho các bạn nghe quá khứ huy hoàng của TFW tổng hợp được nè :))

Năm ấy khiến HTL bị chửi banh xác trên các page cộng đồng, nhưng cuối cùng thực chất chỉ là phô bày sự thiếu kiến thức

(c)Tien Bui
5
159
294",,5,159,294,"['https://pbs.twimg.com/media/E9oLfU1WEAA0USz?format=jpg&name=small', 'https://pbs.twimg.com/media/E9oLfUyX0AAxC9g?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9oLfUsXMAAGTa3?format=jpg&name=small']",https://twitter.com/vandamsaotroi/status/1430468470945292291
HoàiNhi,@NhiiMoon2201,2021-08-26T12:48:02.000Z,"HoàiNhi
@NhiiMoon2201
·
8월 26일","Luôn Đồng Hành Cùng Jack
Nếu không có anh ấy ở đấy, Sài Gòn cũng đơn thuần là một thành phố xa lạ, ồn ào "".Nghĩa là, Sài Gòn chỉ cần có Phương Tuấn ở đó, trong mắt tôi sẽ là nơi hoàn hảo nhất... Bởi vì yêu thương nên nơi nào có anh ấy nơi đó chính là nhà 
2
38
11",🌻,2,38,11,['https://pbs.twimg.com/media/E9t8601VkAs0tte?format=jpg&name=900x900'],https://twitter.com/NhiiMoon2201/status/1430874680173350918
Kant faut y aller...,@sirius1936,2021-08-26T09:19:32.000Z,"Kant faut y aller...
@sirius1936
·
8월 26일","FASCINANT
Quatre guépards traversant la rivière Mara.
Réserve nationale du Masai Mara.
Kenya
(Pho. by_buddhilini)
3
24
93",,3,24,93,['https://pbs.twimg.com/media/E9tMqTdXMAAngHi?format=jpg&name=small'],https://twitter.com/sirius1936/status/1430822206523777034
