UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
𝟱𝟮𝟬𝙎𝙊𝙉,@o8o5520son1oo5,2021-08-23T15:34:29.000Z,"𝟱𝟮𝟬𝙎𝙊𝙉
@o8o5520son1oo5
·
8월 24일","이~ 틀이나~ 늦었지만~ 생일축~하혀~ 
@TAPTAP_YT
20
22
68",🌻 💚 ❤ ☀,20,22,68,['https://pbs.twimg.com/media/E9fGEtkUYAQocJI?format=jpg&name=900x900'],https://twitter.com/o8o5520son1oo5/status/1429829403844890624
탭 ,@TAPtap_1010,2021-08-27T13:57:51.000Z,"탭 
@TAPtap_1010
·
8월 27일","골라조
1
10",,1,,10,"['https://pbs.twimg.com/media/E9zWgIQUUAQj1bG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9zWgIQUcAA09wv?format=jpg&name=360x360']",https://twitter.com/TAPtap_1010/status/1431254637768630284
탭 ,@TAPtap_1010,2021-08-26T14:26:23.000Z,"탭 
@TAPtap_1010
·
8월 26일","겸도김
1
1
8",,1,1,8,['https://pbs.twimg.com/media/E9uTch5UYAkc_9y?format=jpg&name=small'],https://twitter.com/TAPtap_1010/status/1430899430949937159
ᶻʸˣиís,@dlincotton,2021-08-30T06:25:06.000Z,"ᶻʸˣиís
@dlincotton
·
8월 30일","Taptap option 2 
세훈 : SEHUN
덕킹 THEKKING
@THEK___KING
 · 8월 30일
「팀에서 제일 사랑스러운 막내는?」

- 결선 투표 : 9/2 덕킹 앱 내

덕킹 앱 내 최종 투표 1위 아이돌에게 아래와 같이 선물할 예정이니 많은 관심 바랍니다

 : CM보드 30일

#니키 #세훈 #해찬
이 투표 표시하기",🥰 🥇,,,,['https://pbs.twimg.com/profile_images/1227847793441554432/V33Z5k7x_mini.jpg'],https://twitter.com/dlincotton/status/1432227861071478784
(쇼나),@shawnaus9844,2021-08-16T03:01:44.000Z,"(쇼나)
@shawnaus9844
·
8월 16일","히이이잉 드디어 퓨  
Okay taptap fams 
SF9_FANCLUB
@SF9_FANCLUB
 · 8월 16일
[V LIVE] [빈,us] Season2 - 8월 3째주

21.08.16 10:00 PM
Coming soon!

#SF9 #에스에프나인 #영빈 #YOUNGBIN #빈us

https://vlive.tv/video/259540",💪,,,,['https://pbs.twimg.com/profile_images/1411973874737061891/KFuVqYaC_mini.jpg'],https://twitter.com/shawnaus9844/status/1427103251627864073
김시후 Kim_Sihoo,@Kim_Sihoo_,2021-08-04T07:38:59.000Z,"김시후 Kim_Sihoo
@Kim_Sihoo_
·
8월 4일","예약하실 분들은 
TapTap 
스토어 인터넷에서 다운받아야합니다.

에이펙스 레전드는 
현재 다운로드 가능합니다.(아마 플레이도..?)

이 스토어가 중국인걸로 아는데
국내출시할때 할라믄 가만히 계시고
개인정보 뜯기지마시고

글로벌서버부터 시작할거면 
예약해두는것도..?
(뇌피셜임돠)
김시후 Kim_Sihoo
@Kim_Sihoo_
 · 8월 4일
발로란트 모바일 
예약인원 모집중

+ 에이펙스 레전드도 현재 
모바일 앱 베타테스트중인가봐오
이 스레드 보기
2",,,,2,"['https://pbs.twimg.com/profile_images/1442100552175738880/yarCMnI2_mini.jpg', 'https://pbs.twimg.com/media/E76z1UVUYAMUbO9?format=jpg&name=medium']",https://twitter.com/Kim_Sihoo_/status/1422824370523697158
Rush,@rush_over_me,2021-08-25T12:08:59.000Z,"Rush
@rush_over_me
·
8월 25일",혹시 TapTap쓰는분 계세요?,,,,,[],https://twitter.com/rush_over_me/status/1430502463342211077
GEN-CHAN BIRTHDAY NEEDED / 이엘(ELBD),@e_l_b_d,2021-08-27T05:45:20.000Z,"GEN-CHAN BIRTHDAY NEEDED / 이엘(ELBD)
@e_l_b_d
·
8월 27일","이런 말도 앜도ㅑ...
TAPTAP...
내 가히리겜...",,,,,[],https://twitter.com/e_l_b_d/status/1431130689592696832
GEN-CHAN BIRTHDAY NEEDED / 이엘(ELBD),@e_l_b_d,2021-08-26T04:37:23.000Z,"GEN-CHAN BIRTHDAY NEEDED / 이엘(ELBD)
@e_l_b_d
·
8월 26일","으아아 apkure인가 뭔가 여기서 다운 가능한 듯
TAPTAP 일 안하죠~ 주말도 아닌데 일을 안 해~",,,,,[],https://twitter.com/e_l_b_d/status/1430751202065600513
병자월 무진일,@Arrived_Leave,2021-08-21T15:21:31.000Z,"병자월 무진일
@Arrived_Leave
·
8월 22일","언제나 행복하세요 제가 오늘 주는 사랑이 당신이 오늘 받을 사랑 중 가장 작은 사랑이길 바랍니다 생일 축하해. 
@TAPTAP_YT
1
4",,,1,4,[],https://twitter.com/Arrived_Leave/status/1429101363040985089
,@dearninepercent,2021-08-19T17:02:58.000Z,"@dearninepercent
·
8월 20일","TAPTAP - chinese lyrics + english translations 

Netease music  http://t.cn/A6IKVI79

 #王子异 #WangZiyi
1
48
41",🦋 🔗 💙,1,48,41,"['https://pbs.twimg.com/media/E9K0JfoVgAAJkHr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9K0JiQVoAQR7ME?format=jpg&name=360x360']",https://twitter.com/dearninepercent/status/1428402120873504769
AceBlaz,@AceBlaz_Flare,2021-08-09T12:16:03.000Z,"AceBlaz
@AceBlaz_Flare
·
8월 9일","This is a PSA:

PLAY GUNS GIRL- HONKAI GAKUEN WHILE YOU STILL CAN.

It's gone from Google Play, but the servers will be up until October, and apps like TapTap still have it available for download.

This is your LAST CHANCE to experience the original Honkai Impact.
7
122
467",,7,122,467,['https://pbs.twimg.com/media/E8WSk3GVgAEnjjq?format=jpg&name=small'],https://twitter.com/AceBlaz_Flare/status/1424706038180155398
wangziyi pics ⁰⁷¹³,@wzypics,2021-08-09T12:08:01.000Z,"wangziyi pics ⁰⁷¹³
@wzypics
·
8월 9일","— 210809 Wang Ziyi Weibo Update 

- 8/20/21 
- until dawn 

Blacksummer Continue 

#TapTap

⌜ #王子异 ⋆ #wangziyi ⌟
#NinePercent
1
23
33",🪵 🪵 🪵 🪵 🪵 💙,1,23,33,"['https://pbs.twimg.com/media/E8WQuZ9VgAEggwv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8WQvwgUUAcTzaX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8WQvRqVcAQYTne?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8WQv-pVUAY288Q?format=jpg&name=360x360']",https://twitter.com/wzypics/status/1424704013702893568
