UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
청렴,@treeforreal,2021-08-28T12:53:23.000Z,"청렴
@treeforreal
·
Aug 28","건대 방탈출카페 <솔버> 놀러갔다가  싸인 봤어욤
여긴 ‘루시드드림’이라는 공포테마로 유명한 곳인데용 두분은 무섭다는 얘기 듣고 이 테마 다음 시리즈인 ‘콜드 케이스’ 하고 가셨대여 
그리고 은 이 다음에 찾았다오~그룹 리더랑 와서 같은 테마 또 하고 가셨대여
1
362
650",🐻 🐹 🐻,1,362,650,['https://pbs.twimg.com/media/E94RVjaUYAEVsOe?format=jpg&name=small'],https://twitter.com/treeforreal/status/1431600802691358722
절망,@haerim_rang,2021-08-29T15:08:00.000Z,"절망
@haerim_rang
·
Aug 29","판토메 팔아요... 번쩍 집어들기
카페랑 동시분양중. 시작가 2.0 마감가7.0
(1~3 본인D 율님A) (4 본인 DA)
1
10
16",,1,10,16,"['https://pbs.twimg.com/media/E995OTjVkAUZ2a0?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E995YzlVQAAlKgO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E995SmlVEAgi-yM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E995cASVUAYe1WX?format=png&name=360x360']",https://twitter.com/haerim_rang/status/1431997065106624514
동글러버 정 콩 ෆ,@qlscps1121,2021-08-29T10:47:42.000Z,"동글러버 정 콩 ෆ
@qlscps1121
·
Aug 29","#아미트친소 
익명깅이 올려달래서 올리는 트친소•••
카페 좋아하는 나랑 친해지장.ᐟ.ᐟ 앎맘 다 잡을게용
28
28",,,28,28,"['https://pbs.twimg.com/media/E98-JtVUUAkrEXY?format=jpg&name=small', 'https://pbs.twimg.com/media/E98-JtZUUAYj_1A?format=jpg&name=small', 'https://pbs.twimg.com/media/E98-JtXVEAQwUIw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E98-JtcVkAEBf3V?format=jpg&name=360x360']",https://twitter.com/qlscps1121/status/1431931560924569603
꽃길,@flowerchaen,2021-08-29T05:11:17.000Z,"꽃길
@flowerchaen
·
Aug 28","투명포카 넘 귀여워요 와앙포카 가지려고 세트 구매한 나란 사람... 초록색 느낌 카페랑 잘 어울려서 넘 좋았어요~ 잘 보고 갑니당 

#원영이와_함께할_영원한_나날
26
51",,,26,51,"['https://pbs.twimg.com/media/E97xJsiUUAEiHQk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97xJsjVgAMwa7u?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97xJsiVUAMNryz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97xJslUUAQ2jxo?format=jpg&name=360x360']",https://twitter.com/flowerchaen/status/1431846898382503936
맛탕,@gogumamattang34,2021-08-28T16:25:56.000Z,"맛탕
@gogumamattang34
·
Aug 28","지금보니까이거그거아닐까 한겨ㄹ긍찬썸타고 진하림싱숭생숭해서노선기랑섹파하는데 카페에선절대티안내는거 근데하림이가또한결이얘기하니까 선기가저렇게엉덩이때리고하림이전날밤여운때문에크게반응하는데 딴직원들 다들너왜그러냐허리아파?하는거...하림이 귀빨개져서아니라고선기노려보는데
GIF
9
25",,,9,25,['https://pbs.twimg.com/tweet_video_thumb/E95B98GVIAEYR7V.jpg'],https://twitter.com/gogumamattang34/status/1431654291370962949
조보,@lsnt_he_lovely,2021-08-29T06:48:39.000Z,"조보
@lsnt_he_lovely
·
Aug 28","#무즈야_얘들아_여기야

환승연애 촬영지인 카페 부암동 >제비꽃다방<

해가될까 뮤직비디오에 나오는 고양이도 볼 수 있다냥

촬영할때랑 테이블셋팅은 다르지만 그래도 승연이 발자취 따라가기는 넘나 좋은 것
1
38
89",🐈 🧡 💙,1,38,89,"['https://pbs.twimg.com/media/E98HbmfVkAQ47rm?format=jpg&name=small', 'https://pbs.twimg.com/media/E98HbmgVQAADDeF?format=jpg&name=360x360']",https://twitter.com/lsnt_he_lovely/status/1431871400604626946
ᴺᴬᴺᴬ,@NANA_rabbit2S,2021-08-27T07:44:57.000Z,"ᴺᴬᴺᴬ
@NANA_rabbit2S
·
Aug 27","연차내고 카페에서 조용히 띵까
내 최애 버터캬라멜빙수랑 달이

#미니주 #지햇님
3
5
80",🍨 🌙,3,5,80,"['https://pbs.twimg.com/media/E9yBJImVkAI3U4Y?format=jpg&name=small', 'https://pbs.twimg.com/media/E9yBJInVcAQLj28?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9yBJInVEAUerkM?format=jpg&name=360x360']",https://twitter.com/NANA_rabbit2S/status/1431160794390024201
(Rest)지구입니다,@Ryu10154,2021-08-29T00:51:17.000Z,"(Rest)지구입니다
@Ryu10154
·
Aug 28","방모닝입니다
오늘 정국생일 이벤트카페 마르티니크랑
맹방 해수욕장을 가는데
그래서그런가 알람 맞춘것보다 
훨일찍 눈떠서 설레하고있네요
오늘도 보라한 하루 보내세요

#MPN + #BUTTER #ARMY #BTS
@BTS_twt
15
40
75",🌏 💜 🥰 💜,15,40,75,['https://pbs.twimg.com/ext_tw_video_thumb/1431781448156020736/pu/img/R5psz-aP5jKfceeA.jpg'],https://twitter.com/Ryu10154/status/1431781467869233159
밀감,@gam_0218,2021-08-29T06:14:47.000Z,"밀감
@gam_0218
·
Aug 28","시에러 카페 with 랑
2
4",,,2,4,"['https://pbs.twimg.com/media/E97_qVXVUAQ-bFp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97_r92UUAIurDF?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97_rMyUcAEqosK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97_sqyVUAE5H7B?format=jpg&name=360x360']",https://twitter.com/gam_0218/status/1431862877317599235
오삼,@53_5813,2021-08-28T05:23:13.000Z,"오삼
@53_5813
·
Aug 27","언제였더라 ,, 정구기 생일 때 전시회랑 카페 많이 갔었는데 ㅠ
2
54",,,2,54,"['https://pbs.twimg.com/media/E92qR9rUYAY4KYf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E92qTSbVIAcosf9?format=jpg&name=360x360']",https://twitter.com/53_5813/status/1431487511268757506
더듬이,@heremichu,2021-08-29T11:24:05.000Z,"더듬이
@heremichu
·
Aug 29","언니랑 카페에서 데이트하는데 카페 창문으로 언니 취향 지나감 언니 그 여자한테 반해서 내가 뭔 말하는지도 모르고 그 여자만 계속 쳐다보면서 내 말에 대충대충 답하는 거 언니 내 말 듣고 있냐고 물어보니까 고개 끄덕이면서

                                           어… 어… 듣고 있어
GIF
5
42",,,5,42,['https://pbs.twimg.com/tweet_video_thumb/E99GarQVgAAuX82.jpg'],https://twitter.com/heremichu/status/1431940716473638915
비비❥Slow),@D_rjhc236,2021-08-26T03:55:17.000Z,"비비❥Slow)
@D_rjhc236
·
Aug 25","부산에 놀러온 자기랑 훠궈 조지기♡♡
밥 다먹고 카페가자아아아아 ><
12
2
36",💛 💛 💛,12,2,36,['https://pbs.twimg.com/media/E9sC-MGVEAQQomd?format=jpg&name=small'],https://twitter.com/D_rjhc236/status/1430740608780443657
월성화ღ'ᴗ'ღ,@wsh_IU,2021-08-28T06:17:52.000Z,"월성화ღ'ᴗ'ღ
@wsh_IU
·
Aug 27","#달빛아래_성스러운_꽃

블루밍 엽서

디자인에 도움주신 (@ _GucciDesign)구찌님 감사드립니다

백만송이장미꽃을, 나랑피워볼래?

-

데뷔카페에서 나눔할 예정입니다.ღ
The following media includes potentially sensitive content. Change settings
View
8
12
43",💙 🤍 🌹,8,12,43,[],https://twitter.com/wsh_IU/status/1431501266950053894
래티,@raet102,2021-08-29T05:18:52.000Z,"래티
@raet102
·
Aug 28","#원영이와_함께할_영원한_나날

아기토끼 생일 축하하러 왔어요 ♡ 

카페색감이랑 아기랑 너무 잘어울림 ⸝⸝>  ̫ <⸝⸝
실컷 잘 구경하다 갑니다 >.<
1
7
12",,1,7,12,"['https://pbs.twimg.com/media/E97y0paVkAcBFaP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97y0rhVUAUTyXA?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97y0pcVgAMWRkN?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E97y0rjVIAEQ0kc?format=jpg&name=360x360']",https://twitter.com/raet102/status/1431848804039286786
김밥,@saesongiii,2021-08-29T11:08:46.000Z,"김밥
@saesongiii
·
Aug 29","사당역 거북이 카페에서 민트초코 케이크랑 복숭아 타르트 사와서 어제 오늘 먹었다. 둘다 엄청 맛있었고, 우리집 어린이는 민초파로 밝혀짐. ""이거 엄청 맛있는데? 약간 민트맛이 나는데?""
1
5
14",,1,5,14,"['https://pbs.twimg.com/media/E99C-dWVcAoCDCb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99C-dWVUAAjMUJ?format=jpg&name=small']",https://twitter.com/saesongiii/status/1431936860285116418
박박박라세필Bᴜᴛᴛᴇʀ⁷BTS⁰⁶¹³,@bts_7942,2021-08-26T06:45:09.000Z,"박박박라세필Bᴜᴛᴛᴇʀ⁷BTS⁰⁶¹³
@bts_7942
·
Aug 25","20190901

단체방에 사진 보내다가 추억에 젖어..
란코가 어디지?
이름이 어려웠던 카페 
띠그레블랑코

#정국이와_함께라서_행복해
1
2
16",🎗 🐣 🐥 💜 🐰 🥕 🎉 🎂 🎁 📷 ☕ 😅,1,2,16,"['https://pbs.twimg.com/media/E9sp4FSVkAEoGGV?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9sp4FRVkAIcIDT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9sp4FRVcAIMmVt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9sp4FTVgAE8Bfd?format=jpg&name=360x360']",https://twitter.com/bts_7942/status/1430783355545559041
코랄,@I_JIU_U,2021-08-29T00:03:40.000Z,"코랄
@I_JIU_U
·
Aug 28","유현아 너가 시험공부하고 있는 카페에 다미랑 가현이가 놀러왔어, 둘 중에 누가 잘못했는지 골라봐

나 고생한다고 커피 한 잔 더 시켜줬는데 가져오다가 엎질러서 요점노트 다 적신 가현이
VS
내가 화장실 다녀온 사이에 밤새서 정리한 요점노트 사진찍어간 다미
The following media includes potentially sensitive content. Change settings
View
27
54",,,27,54,[],https://twitter.com/I_JIU_U/status/1431769484973408258
1일1망개 •᷄ɞ•᷅ ᴍʏᴜɴɪᴠᴇʀsᴇ,@1day1manggae,2021-08-29T04:01:30.000Z,"1일1망개 •᷄ɞ•᷅ ᴍʏᴜɴɪᴠᴇʀsᴇ
@1day1manggae
·
Aug 28","생일 카페 처음 가는 쫄보는
아미 티 내려고 보라색 옷 챙겨 입고 
슈키랑 치미도 데리고 가는중

I followed 
@965TDY
 and vote for #BTS  (
@BTS_twt
) for #ArtistoftheSummer
10
55
84",💜 🐙 💜 💜,10,55,84,['https://pbs.twimg.com/media/E97hLdkUUAc8d4o?format=jpg&name=small'],https://twitter.com/1day1manggae/status/1431829335686606848
JJ,@HOLLYANDSEOAH,2021-08-30T09:23:01.000Z,"JJ
@HOLLYANDSEOAH
·
Aug 30","이호정 윤서아 
이렇게 나란히 공식카페 인정받았네요.

팬덤 랭킹도, 회원수도 쭉쭉 올라갔으면 좋겠어요!

홀리호정 선우서아 축하해 얘두랑!!!!!!!!!

#이호정 #호넬로 #윤서아 #아로 #젤리단 #솔지완
98
283",💝 🦊 🐰 💖,,98,283,"['https://pbs.twimg.com/media/E-B0XvDVcAAazbh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-B0XvBVIAQnOPj?format=jpg&name=360x360']",https://twitter.com/HOLLYANDSEOAH/status/1432272638231990272
