UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
김라다,@kimradaramama,2021-08-06T03:11:41.000Z,"김라다
@kimradaramama
·
8월 6일","꿈에 그리던 돼지게티 먹으려고 아침도 굶고 시켰는데 제법....정말 이름처럼 돼지게티 그잡채. 먹는 내내 몬엑이들 먹어봤을까...슬픈 눈동자 되어버림....

선생님들 날이 더워도 밥 잘 챙겨먹어용 맛점
7
20",🍛,7,,20,['https://pbs.twimg.com/media/E8E5OMXVUAMTosD?format=jpg&name=small'],https://twitter.com/kimradaramama/status/1423481878594478090
순순.,@soonftware,2021-08-12T22:57:18.000Z,"순순.
@soonftware
·
8월 13일","꿈에서 김연경 선수를 코앞에서 만나 너무 벅차오른 마음에
“언니!!! 근데 남자인데 언니라고 해도 돼요?” 라고 묻자

현실반영된 느낌의 꿈에서
“그럼~ 해도 돼지”라는 말에
또 벅차오름

꿈이었다.
1
2",,1,,2,['https://pbs.twimg.com/media/E8oCIQ3VUAEgENm?format=jpg&name=small'],https://twitter.com/soonftware/status/1425954576314748929
김사탄 가보자고,@wMYRZUZyQwWUXAG,2021-08-12T17:25:07.000Z,"김사탄 가보자고
@wMYRZUZyQwWUXAG
·
8월 13일","내가젤조아하느씬
이유:넷플릭스 청춘돼지는 바니걸 선배의 꿈을 꾸지 않는다 6화에 나옴
GIF
2",,,,2,['https://pbs.twimg.com/tweet_video_thumb/E8m2Fp7VoAEAZ4k.jpg'],https://twitter.com/wMYRZUZyQwWUXAG/status/1425870979545190400
넴비,@manhwa_sae,2021-08-04T08:04:22.000Z,"넴비
@manhwa_sae
·
8월 4일","아 머리 없는 돼지 꿈에 나올거 같은
닭은 머리가 없어도 돌아다닌단 얘기 들은 적 있지만 크기가 커지니 데미지 장난 아니에요
4",,,,4,[],https://twitter.com/manhwa_sae/status/1422830756896800771
죠타로,@_Jyotaro,2021-08-06T09:45:23.000Z,"죠타로
@_Jyotaro
·
8월 6일","그래서 내 꿈에 그렇게 두리가 많이 나오나보다. 근데 두리야 너 나오면 다 개꿈되니까 가끔은 돼지나 용으로 변신해서 나와주면 좋겠어....복권사게..
10",😷,,,10,['https://pbs.twimg.com/media/E8GTUcAUYAMY0jL?format=jpg&name=small'],https://twitter.com/_Jyotaro/status/1423580954497458178
그 네모눈에 도취된것같아 (ルアン),@Lee_ranchan,2021-08-23T11:46:28.000Z,"그 네모눈에 도취된것같아 (ルアン)
@Lee_ranchan
·
8월 23일","아 걍 요약하면
저 식물무리한테 심한말해서
어그로 끈다는 내용이예요 ㅋㅋㅋㅋㅋㅋㅋㅋ
스너프킨 : 너네는 낮잠자는 돼지의 꿈같은 한심한 녀석들이야
안경무민 : 바보바보 너네따위 전혀…

다음은 질문 상자에
계정 일시정지당했다의 질문함입니다
질문/답변은 여기
peing.net",,,,,['https://pbs.twimg.com/card_img/1440880263152553997/ZW0bSbVF?format=jpg&name=small'],https://twitter.com/Lee_ranchan/status/1429772021311836164
날치,@naruzzi_fish,2021-08-03T15:15:25.000Z,"날치
@naruzzi_fish
·
8월 4일",투란도트네 악몽에 마나달아주고싶어 근데 그러려면 또 악몽을 꿈으로옮겨야하고 그렇게된다면 진짜 꿈먹는돼지됌(땅침,🌊 🎲,,,,[],https://twitter.com/naruzzi_fish/status/1422576846693044227
ㄱㅅ,@hihimimichi,2021-08-29T10:04:49.000Z,"ㄱㅅ
@hihimimichi
·
8월 29일","마호파돌리는김에 남축미치루도 나오면좋겠다아
-돼지현자는 오시캐쓰알거저먹기의꿈을꾼다",🍠,,,,[],https://twitter.com/hihimimichi/status/1431920765759213568
운몽강씨강공팔이,@knack_mdzs,2021-08-05T02:41:57.000Z,"운몽강씨강공팔이
@knack_mdzs
·
8월 5일","꿈에서 밝은 빛을 따라 걷던 강만음. 그의 발치에 하얀색 공같은 게 채여서 놀라 다가가니 아주 커다란 흰토끼가 있는 거야.

- 얘는 토끼야? 돼지야? 생긴 건 토낀데 크기는 돼지만하구나.

참 특이하다, 하면서 지나가려는데 애가 계속 낑낑거리면서 옷자락을 붙잡더라고.
1
20
66",,1,20,66,[],https://twitter.com/knack_mdzs/status/1423112009051086850
암퇘지,@uCtTTsdS3IUvDCD,2021-08-09T06:34:32.000Z,"암퇘지
@uCtTTsdS3IUvDCD
·
8월 9일","돼지 앞에 암이나 숫이 붙으면 암퇘지 숫퇘지가 맞구여~ 90kg 아니고 앞자리 7이구용~ 8 끼 안 먹고 하루에 2 끼 학교 다닐 땐 3 끼 먹구용 한 끼에 한 그릇 먹구용~ 살 빼는 중이고용~ 죽이라고 하시는데 꿈에 나온다니 구냥 제가 좋다구 하세용~ 관심 감사합니당~♡ 차단 드릴게용 후회하세욥~
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
3
6",♥,3,,6,[],https://twitter.com/uCtTTsdS3IUvDCD/status/1424620088972374016
